quote_date,paper,exch,open,high,low,close,volume,value
20171120,IS-UTBYT,Fonds,169.4178,169.4178,169.4178,169.4178,0,0
20171117,IS-UTBYT,Fonds,168.7696,168.7696,168.7696,168.7696,0,0
20171116,IS-UTBYT,Fonds,169.8932,169.8932,169.8932,169.8932,0,0
20171115,IS-UTBYT,Fonds,168.9392,168.9392,168.9392,168.9392,0,0
20171114,IS-UTBYT,Fonds,170.3421,170.3421,170.3421,170.3421,0,0
20171113,IS-UTBYT,Fonds,170.7845,170.7845,170.7845,170.7845,0,0
20171110,IS-UTBYT,Fonds,171.177,171.177,171.177,171.177,0,0
20171109,IS-UTBYT,Fonds,171.4587,171.4587,171.4587,171.4587,0,0
20171108,IS-UTBYT,Fonds,173.4186,173.4186,173.4186,173.4186,0,0
20171107,IS-UTBYT,Fonds,173.3063,173.3063,173.3063,173.3063,0,0
20171106,IS-UTBYT,Fonds,173.3744,173.3744,173.3744,173.3744,0,0
20171103,IS-UTBYT,Fonds,173.3705,173.3705,173.3705,173.3705,0,0
20171102,IS-UTBYT,Fonds,172.2562,172.2562,172.2562,172.2562,0,0
20171101,IS-UTBYT,Fonds,173.097,173.097,173.097,173.097,0,0
20171031,IS-UTBYT,Fonds,171.7489,171.7489,171.7489,171.7489,0,0
20171030,IS-UTBYT,Fonds,171.7441,171.7441,171.7441,171.7441,0,0
20171027,IS-UTBYT,Fonds,171.5235,171.5235,171.5235,171.5235,0,0
20171026,IS-UTBYT,Fonds,170.9002,170.9002,170.9002,170.9002,0,0
20171025,IS-UTBYT,Fonds,169.7821,169.7821,169.7821,169.7821,0,0
20171024,IS-UTBYT,Fonds,169.4211,169.4211,169.4211,169.4211,0,0
20171023,IS-UTBYT,Fonds,170.1088,170.1088,170.1088,170.1088,0,0
20171020,IS-UTBYT,Fonds,170.9854,170.9854,170.9854,170.9854,0,0
20171019,IS-UTBYT,Fonds,170.4391,170.4391,170.4391,170.4391,0,0
20171018,IS-UTBYT,Fonds,170.5511,170.5511,170.5511,170.5511,0,0
20171017,IS-UTBYT,Fonds,170.8239,170.8239,170.8239,170.8239,0,0
20171016,IS-UTBYT,Fonds,170.546,170.546,170.546,170.546,0,0
20171013,IS-UTBYT,Fonds,171.2078,171.2078,171.2078,171.2078,0,0
20171012,IS-UTBYT,Fonds,171.1654,171.1654,171.1654,171.1654,0,0
20171011,IS-UTBYT,Fonds,171.0194,171.0194,171.0194,171.0194,0,0
20171010,IS-UTBYT,Fonds,171.2144,171.2144,171.2144,171.2144,0,0
20171009,IS-UTBYT,Fonds,170.9704,170.9704,170.9704,170.9704,0,0
20171006,IS-UTBYT,Fonds,170.6078,170.6078,170.6078,170.6078,0,0
20171005,IS-UTBYT,Fonds,170.1422,170.1422,170.1422,170.1422,0,0
20171004,IS-UTBYT,Fonds,169.6856,169.6856,169.6856,169.6856,0,0
20171003,IS-UTBYT,Fonds,170.0598,170.0598,170.0598,170.0598,0,0
20171002,IS-UTBYT,Fonds,169.5859,169.5859,169.5859,169.5859,0,0
20170929,IS-UTBYT,Fonds,169.3143,169.3143,169.3143,169.3143,0,0
20170928,IS-UTBYT,Fonds,169.0264,169.0264,169.0264,169.0264,0,0
20170927,IS-UTBYT,Fonds,168.5819,168.5819,168.5819,168.5819,0,0
20170926,IS-UTBYT,Fonds,167.9548,167.9548,167.9548,167.9548,0,0
20170925,IS-UTBYT,Fonds,168.9506,168.9506,168.9506,168.9506,0,0
20170922,IS-UTBYT,Fonds,168.8373,168.8373,168.8373,168.8373,0,0
20170921,IS-UTBYT,Fonds,168.5323,168.5323,168.5323,168.5323,0,0
20170920,IS-UTBYT,Fonds,167.8624,167.8624,167.8624,167.8624,0,0
20170919,IS-UTBYT,Fonds,167.8584,167.8584,167.8584,167.8584,0,0
20170918,IS-UTBYT,Fonds,167.8983,167.8983,167.8983,167.8983,0,0
20170915,IS-UTBYT,Fonds,167.6986,167.6986,167.6986,167.6986,0,0
20170914,IS-UTBYT,Fonds,168.0532,168.0532,168.0532,168.0532,0,0
20170913,IS-UTBYT,Fonds,168.3379,168.3379,168.3379,168.3379,0,0
20170912,IS-UTBYT,Fonds,167.9492,167.9492,167.9492,167.9492,0,0
20170911,IS-UTBYT,Fonds,166.9725,166.9725,166.9725,166.9725,0,0
20170908,IS-UTBYT,Fonds,166.4453,166.4453,166.4453,166.4453,0,0
20170907,IS-UTBYT,Fonds,166.8999,166.8999,166.8999,166.8999,0,0
20170906,IS-UTBYT,Fonds,166.7408,166.7408,166.7408,166.7408,0,0
20170905,IS-UTBYT,Fonds,167.2342,167.2342,167.2342,167.2342,0,0
20170904,IS-UTBYT,Fonds,167.5481,167.5481,167.5481,167.5481,0,0
20170901,IS-UTBYT,Fonds,167.52,167.52,167.52,167.52,0,0
20170831,IS-UTBYT,Fonds,167.0464,167.0464,167.0464,167.0464,0,0
20170830,IS-UTBYT,Fonds,165.6409,165.6409,165.6409,165.6409,0,0
20170829,IS-UTBYT,Fonds,164.7217,164.7217,164.7217,164.7217,0,0
20170828,IS-UTBYT,Fonds,165.0828,165.0828,165.0828,165.0828,0,0
20170825,IS-UTBYT,Fonds,165.4436,165.4436,165.4436,165.4436,0,0
20170824,IS-UTBYT,Fonds,165.0397,165.0397,165.0397,165.0397,0,0
20170823,IS-UTBYT,Fonds,164.504,164.504,164.504,164.504,0,0
20170822,IS-UTBYT,Fonds,164.534,164.534,164.534,164.534,0,0
20170821,IS-UTBYT,Fonds,164.389,164.389,164.389,164.389,0,0
20170818,IS-UTBYT,Fonds,164.1838,164.1838,164.1838,164.1838,0,0
20170817,IS-UTBYT,Fonds,164.301,164.301,164.301,164.301,0,0
20170816,IS-UTBYT,Fonds,165.459,165.459,165.459,165.459,0,0
20170815,IS-UTBYT,Fonds,164.4006,164.4006,164.4006,164.4006,0,0
20170814,IS-UTBYT,Fonds,164.6876,164.6876,164.6876,164.6876,0,0
20170811,IS-UTBYT,Fonds,163.7397,163.7397,163.7397,163.7397,0,0
20170810,IS-UTBYT,Fonds,165.1275,165.1275,165.1275,165.1275,0,0
20170809,IS-UTBYT,Fonds,165.5534,165.5534,165.5534,165.5534,0,0
20170808,IS-UTBYT,Fonds,165.877,165.877,165.877,165.877,0,0
20170807,IS-UTBYT,Fonds,165.7465,165.7465,165.7465,165.7465,0,0
20170804,IS-UTBYT,Fonds,165.8155,165.8155,165.8155,165.8155,0,0
20170803,IS-UTBYT,Fonds,165.3572,165.3572,165.3572,165.3572,0,0
20170802,IS-UTBYT,Fonds,164.7727,164.7727,164.7727,164.7727,0,0
20170801,IS-UTBYT,Fonds,164.5897,164.5897,164.5897,164.5897,0,0
20170731,IS-UTBYT,Fonds,163.8043,163.8043,163.8043,163.8043,0,0
20170728,IS-UTBYT,Fonds,164.1266,164.1266,164.1266,164.1266,0,0
20170727,IS-UTBYT,Fonds,163.7972,163.7972,163.7972,163.7972,0,0
20170726,IS-UTBYT,Fonds,163.6811,163.6811,163.6811,163.6811,0,0
20170725,IS-UTBYT,Fonds,162.7202,162.7202,162.7202,162.7202,0,0
20170724,IS-UTBYT,Fonds,161.8756,161.8756,161.8756,161.8756,0,0
20170721,IS-UTBYT,Fonds,162.156,162.156,162.156,162.156,0,0
20170720,IS-UTBYT,Fonds,163.5891,163.5891,163.5891,163.5891,0,0
20170719,IS-UTBYT,Fonds,162.3278,162.3278,162.3278,162.3278,0,0
20170718,IS-UTBYT,Fonds,161.5945,161.5945,161.5945,161.5945,0,0
20170717,IS-UTBYT,Fonds,161.9929,161.9929,161.9929,161.9929,0,0
20170714,IS-UTBYT,Fonds,161.0763,161.0763,161.0763,161.0763,0,0
20170713,IS-UTBYT,Fonds,161.5409,161.5409,161.5409,161.5409,0,0
20170712,IS-UTBYT,Fonds,160.2843,160.2843,160.2843,160.2843,0,0
20170711,IS-UTBYT,Fonds,158.5321,158.5321,158.5321,158.5321,0,0
20170710,IS-UTBYT,Fonds,159.5042,159.5042,159.5042,159.5042,0,0
20170707,IS-UTBYT,Fonds,158.5686,158.5686,158.5686,158.5686,0,0
20170706,IS-UTBYT,Fonds,158.8052,158.8052,158.8052,158.8052,0,0
20170705,IS-UTBYT,Fonds,159.1021,159.1021,159.1021,159.1021,0,0
20170704,IS-UTBYT,Fonds,159.4023,159.4023,159.4023,159.4023,0,0
20170703,IS-UTBYT,Fonds,159.2941,159.2941,159.2941,159.2941,0,0
20170630,IS-UTBYT,Fonds,158.5493,158.5493,158.5493,158.5493,0,0
20170629,IS-UTBYT,Fonds,157.98,157.98,157.98,157.98,0,0
20170628,IS-UTBYT,Fonds,157.8926,157.8926,157.8926,157.8926,0,0
20170627,IS-UTBYT,Fonds,157.3563,157.3563,157.3563,157.3563,0,0
20170626,IS-UTBYT,Fonds,157.2711,157.2711,157.2711,157.2711,0,0
20170623,IS-UTBYT,Fonds,157.4195,157.4195,157.4195,157.4195,0,0
20170622,IS-UTBYT,Fonds,157.4019,157.4019,157.4019,157.4019,0,0
20170621,IS-UTBYT,Fonds,158.1887,158.1887,158.1887,158.1887,0,0
20170620,IS-UTBYT,Fonds,159.2332,159.2332,159.2332,159.2332,0,0
20170619,IS-UTBYT,Fonds,158.7962,158.7962,158.7962,158.7962,0,0
20170616,IS-UTBYT,Fonds,157.8279,157.8279,157.8279,157.8279,0,0
20170615,IS-UTBYT,Fonds,156.9058,156.9058,156.9058,156.9058,0,0
20170614,IS-UTBYT,Fonds,157.7703,157.7703,157.7703,157.7703,0,0
20170613,IS-UTBYT,Fonds,156.7769,156.7769,156.7769,156.7769,0,0
20170612,IS-UTBYT,Fonds,157.2491,157.2491,157.2491,157.2491,0,0
20170609,IS-UTBYT,Fonds,156.9197,156.9197,156.9197,156.9197,0,0
20170608,IS-UTBYT,Fonds,157.4753,157.4753,157.4753,157.4753,0,0
20170607,IS-UTBYT,Fonds,157.1576,157.1576,157.1576,157.1576,0,0
20170606,IS-UTBYT,Fonds,158.2702,158.2702,158.2702,158.2702,0,0
20170602,IS-UTBYT,Fonds,164.4532,164.4532,164.4532,164.4532,0,0
20170601,IS-UTBYT,Fonds,164.36,164.36,164.36,164.36,0,0
20170531,IS-UTBYT,Fonds,163.8943,163.8943,163.8943,163.8943,0,0
20170530,IS-UTBYT,Fonds,164.0227,164.0227,164.0227,164.0227,0,0
20170529,IS-UTBYT,Fonds,163.8877,163.8877,163.8877,163.8877,0,0
20170526,IS-UTBYT,Fonds,163.8349,163.8349,163.8349,163.8349,0,0
20170524,IS-UTBYT,Fonds,164.6983,164.6983,164.6983,164.6983,0,0
20170523,IS-UTBYT,Fonds,163.9301,163.9301,163.9301,163.9301,0,0
20170522,IS-UTBYT,Fonds,164.3898,164.3898,164.3898,164.3898,0,0
20170519,IS-UTBYT,Fonds,164.5785,164.5785,164.5785,164.5785,0,0
20170518,IS-UTBYT,Fonds,163.0482,163.0482,163.0482,163.0482,0,0
20170516,IS-UTBYT,Fonds,165.4706,165.4706,165.4706,165.4706,0,0
20170515,IS-UTBYT,Fonds,164.775,164.775,164.775,164.775,0,0
20170512,IS-UTBYT,Fonds,164.361,164.361,164.361,164.361,0,0
20170511,IS-UTBYT,Fonds,163.5624,163.5624,163.5624,163.5624,0,0
20170510,IS-UTBYT,Fonds,163.8281,163.8281,163.8281,163.8281,0,0
20170509,IS-UTBYT,Fonds,164.2848,164.2848,164.2848,164.2848,0,0
20170508,IS-UTBYT,Fonds,163.3372,163.3372,163.3372,163.3372,0,0
20170505,IS-UTBYT,Fonds,162.8853,162.8853,162.8853,162.8853,0,0
20170504,IS-UTBYT,Fonds,162.6449,162.6449,162.6449,162.6449,0,0
20170503,IS-UTBYT,Fonds,162.7424,162.7424,162.7424,162.7424,0,0
20170502,IS-UTBYT,Fonds,162.696,162.696,162.696,162.696,0,0
20170428,IS-UTBYT,Fonds,161.1569,161.1569,161.1569,161.1569,0,0
20170427,IS-UTBYT,Fonds,160.1636,160.1636,160.1636,160.1636,0,0
20170426,IS-UTBYT,Fonds,159.8474,159.8474,159.8474,159.8474,0,0
20170425,IS-UTBYT,Fonds,158.9806,158.9806,158.9806,158.9806,0,0
20170424,IS-UTBYT,Fonds,157.7354,157.7354,157.7354,157.7354,0,0
20170421,IS-UTBYT,Fonds,156.5575,156.5575,156.5575,156.5575,0,0
20170420,IS-UTBYT,Fonds,156.6019,156.6019,156.6019,156.6019,0,0
20170419,IS-UTBYT,Fonds,156.3351,156.3351,156.3351,156.3351,0,0
20170418,IS-UTBYT,Fonds,156.5276,156.5276,156.5276,156.5276,0,0
20170412,IS-UTBYT,Fonds,157.0072,157.0072,157.0072,157.0072,0,0
20170411,IS-UTBYT,Fonds,156.5373,156.5373,156.5373,156.5373,0,0
