quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-AVKAS,Fonds,2311.80,2311.80,2311.80,2311.80,0,0
20171120,KF-AVKAS,Fonds,2284.66,2284.66,2284.66,2284.66,0,0
20171117,KF-AVKAS,Fonds,2267.80,2267.80,2267.80,2267.80,0,0
20171116,KF-AVKAS,Fonds,2282.99,2282.99,2282.99,2282.99,0,0
20171115,KF-AVKAS,Fonds,2270.30,2270.30,2270.30,2270.30,0,0
20171114,KF-AVKAS,Fonds,2302.25,2302.25,2302.25,2302.25,0,0
20171113,KF-AVKAS,Fonds,2301.38,2301.38,2301.38,2301.38,0,0
20171110,KF-AVKAS,Fonds,2314.33,2314.33,2314.33,2314.33,0,0
20171109,KF-AVKAS,Fonds,2315.71,2315.71,2315.71,2315.71,0,0
20171108,KF-AVKAS,Fonds,2345.15,2345.15,2345.15,2345.15,0,0
20171107,KF-AVKAS,Fonds,2331.94,2331.94,2331.94,2331.94,0,0
20171106,KF-AVKAS,Fonds,2330.41,2330.41,2330.41,2330.41,0,0
20171103,KF-AVKAS,Fonds,2329.46,2329.46,2329.46,2329.46,0,0
20171102,KF-AVKAS,Fonds,2309.97,2309.97,2309.97,2309.97,0,0
20171101,KF-AVKAS,Fonds,2319.46,2319.46,2319.46,2319.46,0,0
20171031,KF-AVKAS,Fonds,2299.13,2299.13,2299.13,2299.13,0,0
20171030,KF-AVKAS,Fonds,2296.53,2296.53,2296.53,2296.53,0,0
20171027,KF-AVKAS,Fonds,2282.92,2282.92,2282.92,2282.92,0,0
20171026,KF-AVKAS,Fonds,2266.23,2266.23,2266.23,2266.23,0,0
20171025,KF-AVKAS,Fonds,2264.64,2264.64,2264.64,2264.64,0,0
20171024,KF-AVKAS,Fonds,2251.60,2251.60,2251.60,2251.60,0,0
20171023,KF-AVKAS,Fonds,2260.73,2260.73,2260.73,2260.73,0,0
20171020,KF-AVKAS,Fonds,2268.89,2268.89,2268.89,2268.89,0,0
20171019,KF-AVKAS,Fonds,2253.70,2253.70,2253.70,2253.70,0,0
20171018,KF-AVKAS,Fonds,2261.60,2261.60,2261.60,2261.60,0,0
20171017,KF-AVKAS,Fonds,2262.57,2262.57,2262.57,2262.57,0,0
20171016,KF-AVKAS,Fonds,2268.52,2268.52,2268.52,2268.52,0,0
20171013,KF-AVKAS,Fonds,2268.88,2268.88,2268.88,2268.88,0,0
20171012,KF-AVKAS,Fonds,2264.46,2264.46,2264.46,2264.46,0,0
20171011,KF-AVKAS,Fonds,2262.62,2262.62,2262.62,2262.62,0,0
20171010,KF-AVKAS,Fonds,2260.60,2260.60,2260.60,2260.60,0,0
20171009,KF-AVKAS,Fonds,2253.17,2253.17,2253.17,2253.17,0,0
20171006,KF-AVKAS,Fonds,2246.70,2246.70,2246.70,2246.70,0,0
20171005,KF-AVKAS,Fonds,2253.99,2253.99,2253.99,2253.99,0,0
20171004,KF-AVKAS,Fonds,2243.43,2243.43,2243.43,2243.43,0,0
20171003,KF-AVKAS,Fonds,2249.95,2249.95,2249.95,2249.95,0,0
20171002,KF-AVKAS,Fonds,2242.21,2242.21,2242.21,2242.21,0,0
20170929,KF-AVKAS,Fonds,2237.21,2237.21,2237.21,2237.21,0,0
20170928,KF-AVKAS,Fonds,2237.53,2237.53,2237.53,2237.53,0,0
20170927,KF-AVKAS,Fonds,2230.86,2230.86,2230.86,2230.86,0,0
20170926,KF-AVKAS,Fonds,2215.89,2215.89,2215.89,2215.89,0,0
20170925,KF-AVKAS,Fonds,2223.78,2223.78,2223.78,2223.78,0,0
20170922,KF-AVKAS,Fonds,2218.90,2218.90,2218.90,2218.90,0,0
20170921,KF-AVKAS,Fonds,2206.86,2206.86,2206.86,2206.86,0,0
20170920,KF-AVKAS,Fonds,2190.50,2190.50,2190.50,2190.50,0,0
20170919,KF-AVKAS,Fonds,2190.15,2190.15,2190.15,2190.15,0,0
20170918,KF-AVKAS,Fonds,2188.37,2188.37,2188.37,2188.37,0,0
20170915,KF-AVKAS,Fonds,2185.38,2185.38,2185.38,2185.38,0,0
20170914,KF-AVKAS,Fonds,2192.55,2192.55,2192.55,2192.55,0,0
20170913,KF-AVKAS,Fonds,2192.28,2192.28,2192.28,2192.28,0,0
20170912,KF-AVKAS,Fonds,2180.51,2180.51,2180.51,2180.51,0,0
20170911,KF-AVKAS,Fonds,2171.67,2171.67,2171.67,2171.67,0,0
20170908,KF-AVKAS,Fonds,2161.01,2161.01,2161.01,2161.01,0,0
20170907,KF-AVKAS,Fonds,2165.60,2165.60,2165.60,2165.60,0,0
20170906,KF-AVKAS,Fonds,2158.66,2158.66,2158.66,2158.66,0,0
20170905,KF-AVKAS,Fonds,2166.00,2166.00,2166.00,2166.00,0,0
20170904,KF-AVKAS,Fonds,2157.44,2157.44,2157.44,2157.44,0,0
20170901,KF-AVKAS,Fonds,2161.05,2161.05,2161.05,2161.05,0,0
20170831,KF-AVKAS,Fonds,2144.04,2144.04,2144.04,2144.04,0,0
20170830,KF-AVKAS,Fonds,2121.77,2121.77,2121.77,2121.77,0,0
20170829,KF-AVKAS,Fonds,2104.31,2104.31,2104.31,2104.31,0,0
20170828,KF-AVKAS,Fonds,2123.31,2123.31,2123.31,2123.31,0,0
20170825,KF-AVKAS,Fonds,2127.19,2127.19,2127.19,2127.19,0,0
20170824,KF-AVKAS,Fonds,2118.38,2118.38,2118.38,2118.38,0,0
20170823,KF-AVKAS,Fonds,2117.65,2117.65,2117.65,2117.65,0,0
20170822,KF-AVKAS,Fonds,2116.62,2116.62,2116.62,2116.62,0,0
20170821,KF-AVKAS,Fonds,2112.31,2112.31,2112.31,2112.31,0,0
20170818,KF-AVKAS,Fonds,2109.80,2109.80,2109.80,2109.80,0,0
