quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-CBON,Fonds,470.01,470.01,470.01,470.01,0,0
20171108,KF-CBON,Fonds,470.95,470.95,470.95,470.95,0,0
20171107,KF-CBON,Fonds,470.73,470.73,470.73,470.73,0,0
20171106,KF-CBON,Fonds,470.68,470.68,470.68,470.68,0,0
20171103,KF-CBON,Fonds,470.09,470.09,470.09,470.09,0,0
20171102,KF-CBON,Fonds,469.91,469.91,469.91,469.91,0,0
20171031,KF-CBON,Fonds,469.15,469.15,469.15,469.15,0,0
20171030,KF-CBON,Fonds,468.60,468.60,468.60,468.60,0,0
20171027,KF-CBON,Fonds,467.57,467.57,467.57,467.57,0,0
20171026,KF-CBON,Fonds,466.49,466.49,466.49,466.49,0,0
20171025,KF-CBON,Fonds,465.65,465.65,465.65,465.65,0,0
20171024,KF-CBON,Fonds,466.13,466.13,466.13,466.13,0,0
20171023,KF-CBON,Fonds,466.68,466.68,466.68,466.68,0,0
20171020,KF-CBON,Fonds,466.21,466.21,466.21,466.21,0,0
20171019,KF-CBON,Fonds,467.11,467.11,467.11,467.11,0,0
20171018,KF-CBON,Fonds,467.17,467.17,467.17,467.17,0,0
20171017,KF-CBON,Fonds,467.42,467.42,467.42,467.42,0,0
20171016,KF-CBON,Fonds,466.95,466.95,466.95,466.95,0,0
20171013,KF-CBON,Fonds,466.20,466.20,466.20,466.20,0,0
20171012,KF-CBON,Fonds,465.33,465.33,465.33,465.33,0,0
20171011,KF-CBON,Fonds,465.08,465.08,465.08,465.08,0,0
20171010,KF-CBON,Fonds,464.80,464.80,464.80,464.80,0,0
20171009,KF-CBON,Fonds,464.78,464.78,464.78,464.78,0,0
20171006,KF-CBON,Fonds,464.10,464.10,464.10,464.10,0,0
20171005,KF-CBON,Fonds,464.67,464.67,464.67,464.67,0,0
20171004,KF-CBON,Fonds,464.91,464.91,464.91,464.91,0,0
20171003,KF-CBON,Fonds,464.20,464.20,464.20,464.20,0,0
20171002,KF-CBON,Fonds,464.30,464.30,464.30,464.30,0,0
20170929,KF-CBON,Fonds,464.23,464.23,464.23,464.23,0,0
20170928,KF-CBON,Fonds,463.43,463.43,463.43,463.43,0,0
20170927,KF-CBON,Fonds,463.74,463.74,463.74,463.74,0,0
20170926,KF-CBON,Fonds,464.74,464.74,464.74,464.74,0,0
20170925,KF-CBON,Fonds,464.41,464.41,464.41,464.41,0,0
20170922,KF-CBON,Fonds,463.86,463.86,463.86,463.86,0,0
20170921,KF-CBON,Fonds,463.81,463.81,463.81,463.81,0,0
20170920,KF-CBON,Fonds,464.29,464.29,464.29,464.29,0,0
20170919,KF-CBON,Fonds,464.17,464.17,464.17,464.17,0,0
20170918,KF-CBON,Fonds,463.67,463.67,463.67,463.67,0,0
20170915,KF-CBON,Fonds,464.00,464.00,464.00,464.00,0,0
