quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-CLIME,Fonds,164.36,164.36,164.36,164.36,0,0
20171108,KF-CLIME,Fonds,166.07,166.07,166.07,166.07,0,0
20171107,KF-CLIME,Fonds,167.22,167.22,167.22,167.22,0,0
20171106,KF-CLIME,Fonds,166.46,166.46,166.46,166.46,0,0
20171103,KF-CLIME,Fonds,166.50,166.50,166.50,166.50,0,0
20171102,KF-CLIME,Fonds,166.50,166.50,166.50,166.50,0,0
20171031,KF-CLIME,Fonds,166.86,166.86,166.86,166.86,0,0
20171030,KF-CLIME,Fonds,166.32,166.32,166.32,166.32,0,0
20171027,KF-CLIME,Fonds,167.05,167.05,167.05,167.05,0,0
20171026,KF-CLIME,Fonds,164.20,164.20,164.20,164.20,0,0
20171025,KF-CLIME,Fonds,162.61,162.61,162.61,162.61,0,0
20171024,KF-CLIME,Fonds,161.79,161.79,161.79,161.79,0,0
20171023,KF-CLIME,Fonds,162.04,162.04,162.04,162.04,0,0
20171020,KF-CLIME,Fonds,160.74,160.74,160.74,160.74,0,0
20171019,KF-CLIME,Fonds,159.25,159.25,159.25,159.25,0,0
20171018,KF-CLIME,Fonds,160.09,160.09,160.09,160.09,0,0
20171017,KF-CLIME,Fonds,159.91,159.91,159.91,159.91,0,0
20171016,KF-CLIME,Fonds,159.34,159.34,159.34,159.34,0,0
20171013,KF-CLIME,Fonds,159.54,159.54,159.54,159.54,0,0
20171012,KF-CLIME,Fonds,158.76,158.76,158.76,158.76,0,0
20171011,KF-CLIME,Fonds,159.56,159.56,159.56,159.56,0,0
20171010,KF-CLIME,Fonds,159.71,159.71,159.71,159.71,0,0
20171009,KF-CLIME,Fonds,160.18,160.18,160.18,160.18,0,0
20171006,KF-CLIME,Fonds,160.39,160.39,160.39,160.39,0,0
20171005,KF-CLIME,Fonds,160.28,160.28,160.28,160.28,0,0
20171004,KF-CLIME,Fonds,159.49,159.49,159.49,159.49,0,0
20171003,KF-CLIME,Fonds,160.37,160.37,160.37,160.37,0,0
20171002,KF-CLIME,Fonds,159.71,159.71,159.71,159.71,0,0
20170929,KF-CLIME,Fonds,159.01,159.01,159.01,159.01,0,0
20170928,KF-CLIME,Fonds,157.38,157.38,157.38,157.38,0,0
