quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-EMCBI,Fonds,798.39,798.39,798.39,798.39,0,0
20171108,KF-EMCBI,Fonds,798.97,798.97,798.97,798.97,0,0
20171107,KF-EMCBI,Fonds,799.99,799.99,799.99,799.99,0,0
20171106,KF-EMCBI,Fonds,800.02,800.02,800.02,800.02,0,0
20171103,KF-EMCBI,Fonds,800.14,800.14,800.14,800.14,0,0
20171102,KF-EMCBI,Fonds,800.15,800.15,800.15,800.15,0,0
20171031,KF-EMCBI,Fonds,799.59,799.59,799.59,799.59,0,0
20171030,KF-EMCBI,Fonds,798.92,798.92,798.92,798.92,0,0
20171027,KF-EMCBI,Fonds,797.35,797.35,797.35,797.35,0,0
20171026,KF-EMCBI,Fonds,798.61,798.61,798.61,798.61,0,0
20171025,KF-EMCBI,Fonds,798.18,798.18,798.18,798.18,0,0
20171024,KF-EMCBI,Fonds,799.96,799.96,799.96,799.96,0,0
20171023,KF-EMCBI,Fonds,800.78,800.78,800.78,800.78,0,0
20171020,KF-EMCBI,Fonds,800.16,800.16,800.16,800.16,0,0
20171019,KF-EMCBI,Fonds,800.86,800.86,800.86,800.86,0,0
20171018,KF-EMCBI,Fonds,799.89,799.89,799.89,799.89,0,0
20171017,KF-EMCBI,Fonds,799.60,799.60,799.60,799.60,0,0
20171016,KF-EMCBI,Fonds,799.30,799.30,799.30,799.30,0,0
20171013,KF-EMCBI,Fonds,799.28,799.28,799.28,799.28,0,0
20171012,KF-EMCBI,Fonds,798.68,798.68,798.68,798.68,0,0
20171011,KF-EMCBI,Fonds,798.29,798.29,798.29,798.29,0,0
20171010,KF-EMCBI,Fonds,798.01,798.01,798.01,798.01,0,0
20171009,KF-EMCBI,Fonds,797.51,797.51,797.51,797.51,0,0
20171006,KF-EMCBI,Fonds,797.17,797.17,797.17,797.17,0,0
20171005,KF-EMCBI,Fonds,797.99,797.99,797.99,797.99,0,0
20171004,KF-EMCBI,Fonds,797.86,797.86,797.86,797.86,0,0
20171003,KF-EMCBI,Fonds,796.97,796.97,796.97,796.97,0,0
20171002,KF-EMCBI,Fonds,796.65,796.65,796.65,796.65,0,0
20170929,KF-EMCBI,Fonds,796.40,796.40,796.40,796.40,0,0
20170928,KF-EMCBI,Fonds,795.49,795.49,795.49,795.49,0,0
20170927,KF-EMCBI,Fonds,795.73,795.73,795.73,795.73,0,0
20170926,KF-EMCBI,Fonds,796.97,796.97,796.97,796.97,0,0
20170925,KF-EMCBI,Fonds,797.08,797.08,797.08,797.08,0,0
20170922,KF-EMCBI,Fonds,796.91,796.91,796.91,796.91,0,0
20170921,KF-EMCBI,Fonds,796.45,796.45,796.45,796.45,0,0
20170920,KF-EMCBI,Fonds,797.07,797.07,797.07,797.07,0,0
20170919,KF-EMCBI,Fonds,797.59,797.59,797.59,797.59,0,0
20170918,KF-EMCBI,Fonds,797.82,797.82,797.82,797.82,0,0
20170915,KF-EMCBI,Fonds,797.60,797.60,797.60,797.60,0,0
20170914,KF-EMCBI,Fonds,797.29,797.29,797.29,797.29,0,0
20170913,KF-EMCBI,Fonds,797.58,797.58,797.58,797.58,0,0
20170912,KF-EMCBI,Fonds,797.58,797.58,797.58,797.58,0,0
20170911,KF-EMCBI,Fonds,797.79,797.79,797.79,797.79,0,0
20170908,KF-EMCBI,Fonds,798.01,798.01,798.01,798.01,0,0
20170907,KF-EMCBI,Fonds,797.40,797.40,797.40,797.40,0,0
20170906,KF-EMCBI,Fonds,796.91,796.91,796.91,796.91,0,0
20170905,KF-EMCBI,Fonds,795.91,795.91,795.91,795.91,0,0
20170904,KF-EMCBI,Fonds,795.08,795.08,795.08,795.08,0,0
20170901,KF-EMCBI,Fonds,794.68,794.68,794.68,794.68,0,0
20170831,KF-EMCBI,Fonds,794.04,794.04,794.04,794.04,0,0
20170830,KF-EMCBI,Fonds,793.47,793.47,793.47,793.47,0,0
20170829,KF-EMCBI,Fonds,793.24,793.24,793.24,793.24,0,0
20170828,KF-EMCBI,Fonds,792.04,792.04,792.04,792.04,0,0
20170825,KF-EMCBI,Fonds,791.41,791.41,791.41,791.41,0,0
20170824,KF-EMCBI,Fonds,790.81,790.81,790.81,790.81,0,0
20170823,KF-EMCBI,Fonds,794.71,794.71,794.71,794.71,0,0
20170822,KF-EMCBI,Fonds,789.97,789.97,789.97,789.97,0,0
20170821,KF-EMCBI,Fonds,789.57,789.57,789.57,789.57,0,0
20170818,KF-EMCBI,Fonds,789.45,789.45,789.45,789.45,0,0
20170817,KF-EMCBI,Fonds,788.97,788.97,788.97,788.97,0,0
20170816,KF-EMCBI,Fonds,788.08,788.08,788.08,788.08,0,0
20170814,KF-EMCBI,Fonds,787.79,787.79,787.79,787.79,0,0
20170811,KF-EMCBI,Fonds,786.92,786.92,786.92,786.92,0,0
20170810,KF-EMCBI,Fonds,788.03,788.03,788.03,788.03,0,0
20170809,KF-EMCBI,Fonds,788.64,788.64,788.64,788.64,0,0
20170808,KF-EMCBI,Fonds,788.46,788.46,788.46,788.46,0,0
20170807,KF-EMCBI,Fonds,788.10,788.10,788.10,788.10,0,0
20170804,KF-EMCBI,Fonds,787.82,787.82,787.82,787.82,0,0
20170803,KF-EMCBI,Fonds,787.92,787.92,787.92,787.92,0,0
20170802,KF-EMCBI,Fonds,787.17,787.17,787.17,787.17,0,0
20170801,KF-EMCBI,Fonds,786.12,786.12,786.12,786.12,0,0
20170731,KF-EMCBI,Fonds,785.64,785.64,785.64,785.64,0,0
20170728,KF-EMCBI,Fonds,785.04,785.04,785.04,785.04,0,0
20170727,KF-EMCBI,Fonds,784.96,784.96,784.96,784.96,0,0
20170726,KF-EMCBI,Fonds,784.04,784.04,784.04,784.04,0,0
20170725,KF-EMCBI,Fonds,784.14,784.14,784.14,784.14,0,0
20170724,KF-EMCBI,Fonds,784.82,784.82,784.82,784.82,0,0
20170721,KF-EMCBI,Fonds,784.46,784.46,784.46,784.46,0,0
20170720,KF-EMCBI,Fonds,783.89,783.89,783.89,783.89,0,0
20170719,KF-EMCBI,Fonds,783.06,783.06,783.06,783.06,0,0
20170718,KF-EMCBI,Fonds,782.58,782.58,782.58,782.58,0,0
20170717,KF-EMCBI,Fonds,781.57,781.57,781.57,781.57,0,0
20170714,KF-EMCBI,Fonds,781.43,781.43,781.43,781.43,0,0
20170713,KF-EMCBI,Fonds,780.46,780.46,780.46,780.46,0,0
20170712,KF-EMCBI,Fonds,780.19,780.19,780.19,780.19,0,0
20170711,KF-EMCBI,Fonds,778.09,778.09,778.09,778.09,0,0
20170710,KF-EMCBI,Fonds,777.63,777.63,777.63,777.63,0,0
20170707,KF-EMCBI,Fonds,777.19,777.19,777.19,777.19,0,0
20170706,KF-EMCBI,Fonds,777.96,777.96,777.96,777.96,0,0
20170705,KF-EMCBI,Fonds,778.92,778.92,778.92,778.92,0,0
20170704,KF-EMCBI,Fonds,779.05,779.05,779.05,779.05,0,0
20170703,KF-EMCBI,Fonds,779.58,779.58,779.58,779.58,0,0
20170630,KF-EMCBI,Fonds,779.67,779.67,779.67,779.67,0,0
