quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-GHYLD,Fonds,1032.75,1032.75,1032.75,1032.75,0,0
20171120,KF-GHYLD,Fonds,1031.71,1031.71,1031.71,1031.71,0,0
20171117,KF-GHYLD,Fonds,1030.71,1030.71,1030.71,1030.71,0,0
20171116,KF-GHYLD,Fonds,1028.51,1028.51,1028.51,1028.51,0,0
20171115,KF-GHYLD,Fonds,1025.54,1025.54,1025.54,1025.54,0,0
20171114,KF-GHYLD,Fonds,1029.37,1029.37,1029.37,1029.37,0,0
20171113,KF-GHYLD,Fonds,1031.25,1031.25,1031.25,1031.25,0,0
20171110,KF-GHYLD,Fonds,1031.54,1031.54,1031.54,1031.54,0,0
20171109,KF-GHYLD,Fonds,1033.06,1033.06,1033.06,1033.06,0,0
20171108,KF-GHYLD,Fonds,1036.45,1036.45,1036.45,1036.45,0,0
20171107,KF-GHYLD,Fonds,1039.55,1039.55,1039.55,1039.55,0,0
20171106,KF-GHYLD,Fonds,1038.95,1038.95,1038.95,1038.95,0,0
20171103,KF-GHYLD,Fonds,1039.31,1039.31,1039.31,1039.31,0,0
20171102,KF-GHYLD,Fonds,1039.68,1039.68,1039.68,1039.68,0,0
20171101,KF-GHYLD,Fonds,1039.41,1039.41,1039.41,1039.41,0,0
20171031,KF-GHYLD,Fonds,1038.44,1038.44,1038.44,1038.44,0,0
20171030,KF-GHYLD,Fonds,1038.46,1038.46,1038.46,1038.46,0,0
20171027,KF-GHYLD,Fonds,1037.53,1037.53,1037.53,1037.53,0,0
20171026,KF-GHYLD,Fonds,1037.64,1037.64,1037.64,1037.64,0,0
20171025,KF-GHYLD,Fonds,1038.28,1038.28,1038.28,1038.28,0,0
20171024,KF-GHYLD,Fonds,1039.20,1039.20,1039.20,1039.20,0,0
20171023,KF-GHYLD,Fonds,1038.71,1038.71,1038.71,1038.71,0,0
20171020,KF-GHYLD,Fonds,1037.55,1037.55,1037.55,1037.55,0,0
20171019,KF-GHYLD,Fonds,1037.60,1037.60,1037.60,1037.60,0,0
20171018,KF-GHYLD,Fonds,1037.31,1037.31,1037.31,1037.31,0,0
20171017,KF-GHYLD,Fonds,1036.54,1036.54,1036.54,1036.54,0,0
20171016,KF-GHYLD,Fonds,1036.03,1036.03,1036.03,1036.03,0,0
20171013,KF-GHYLD,Fonds,1035.46,1035.46,1035.46,1035.46,0,0
20171012,KF-GHYLD,Fonds,1035.39,1035.39,1035.39,1035.39,0,0
20171011,KF-GHYLD,Fonds,1035.72,1035.72,1035.72,1035.72,0,0
20171010,KF-GHYLD,Fonds,1035.57,1035.57,1035.57,1035.57,0,0
20171009,KF-GHYLD,Fonds,1035.53,1035.53,1035.53,1035.53,0,0
20171006,KF-GHYLD,Fonds,1035.26,1035.26,1035.26,1035.26,0,0
20171005,KF-GHYLD,Fonds,1034.90,1034.90,1034.90,1034.90,0,0
20171004,KF-GHYLD,Fonds,1034.58,1034.58,1034.58,1034.58,0,0
20171003,KF-GHYLD,Fonds,1034.18,1034.18,1034.18,1034.18,0,0
20171002,KF-GHYLD,Fonds,1033.75,1033.75,1033.75,1033.75,0,0
20170929,KF-GHYLD,Fonds,1033.27,1033.27,1033.27,1033.27,0,0
20170928,KF-GHYLD,Fonds,1031.91,1031.91,1031.91,1031.91,0,0
20170927,KF-GHYLD,Fonds,1031.29,1031.29,1031.29,1031.29,0,0
20170926,KF-GHYLD,Fonds,1031.22,1031.22,1031.22,1031.22,0,0
20170925,KF-GHYLD,Fonds,1030.60,1030.60,1030.60,1030.60,0,0
20170922,KF-GHYLD,Fonds,1029.86,1029.86,1029.86,1029.86,0,0
20170921,KF-GHYLD,Fonds,1029.89,1029.89,1029.89,1029.89,0,0
20170920,KF-GHYLD,Fonds,1030.18,1030.18,1030.18,1030.18,0,0
20170919,KF-GHYLD,Fonds,1028.93,1028.93,1028.93,1028.93,0,0
20170918,KF-GHYLD,Fonds,1028.26,1028.26,1028.26,1028.26,0,0
20170915,KF-GHYLD,Fonds,1027.88,1027.88,1027.88,1027.88,0,0
20170914,KF-GHYLD,Fonds,1028.25,1028.25,1028.25,1028.25,0,0
20170913,KF-GHYLD,Fonds,1026.78,1026.78,1026.78,1026.78,0,0
20170912,KF-GHYLD,Fonds,1026.65,1026.65,1026.65,1026.65,0,0
20170911,KF-GHYLD,Fonds,1026.63,1026.63,1026.63,1026.63,0,0
20170908,KF-GHYLD,Fonds,1026.79,1026.79,1026.79,1026.79,0,0
20170907,KF-GHYLD,Fonds,1026.82,1026.82,1026.82,1026.82,0,0
20170906,KF-GHYLD,Fonds,1026.51,1026.51,1026.51,1026.51,0,0
20170905,KF-GHYLD,Fonds,1025.86,1025.86,1025.86,1025.86,0,0
20170904,KF-GHYLD,Fonds,1025.61,1025.61,1025.61,1025.61,0,0
20170901,KF-GHYLD,Fonds,1024.99,1024.99,1024.99,1024.99,0,0
20170831,KF-GHYLD,Fonds,1024.04,1024.04,1024.04,1024.04,0,0
20170830,KF-GHYLD,Fonds,1022.69,1022.69,1022.69,1022.69,0,0
20170829,KF-GHYLD,Fonds,1022.46,1022.46,1022.46,1022.46,0,0
20170828,KF-GHYLD,Fonds,1022.66,1022.66,1022.66,1022.66,0,0
20170825,KF-GHYLD,Fonds,1021.67,1021.67,1021.67,1021.67,0,0
20170824,KF-GHYLD,Fonds,1020.72,1020.72,1020.72,1020.72,0,0
20170823,KF-GHYLD,Fonds,1019.83,1019.83,1019.83,1019.83,0,0
20170822,KF-GHYLD,Fonds,1019.44,1019.44,1019.44,1019.44,0,0
20170821,KF-GHYLD,Fonds,1019.03,1019.03,1019.03,1019.03,0,0
20170818,KF-GHYLD,Fonds,1019.73,1019.73,1019.73,1019.73,0,0
20170817,KF-GHYLD,Fonds,1020.44,1020.44,1020.44,1020.44,0,0
20170816,KF-GHYLD,Fonds,1019.72,1019.72,1019.72,1019.72,0,0
20170815,KF-GHYLD,Fonds,1019.68,1019.68,1019.68,1019.68,0,0
20170814,KF-GHYLD,Fonds,1018.41,1018.41,1018.41,1018.41,0,0
20170811,KF-GHYLD,Fonds,1016.81,1016.81,1016.81,1016.81,0,0
20170810,KF-GHYLD,Fonds,1019.45,1019.45,1019.45,1019.45,0,0
20170809,KF-GHYLD,Fonds,1022.28,1022.28,1022.28,1022.28,0,0
20170808,KF-GHYLD,Fonds,1024.65,1024.65,1024.65,1024.65,0,0
20170807,KF-GHYLD,Fonds,1024.03,1024.03,1024.03,1024.03,0,0
20170804,KF-GHYLD,Fonds,1024.04,1024.04,1024.04,1024.04,0,0
20170803,KF-GHYLD,Fonds,1024.79,1024.79,1024.79,1024.79,0,0
20170802,KF-GHYLD,Fonds,1024.71,1024.71,1024.71,1024.71,0,0
20170801,KF-GHYLD,Fonds,1024.13,1024.13,1024.13,1024.13,0,0
20170731,KF-GHYLD,Fonds,1024.00,1024.00,1024.00,1024.00,0,0
20170728,KF-GHYLD,Fonds,1023.97,1023.97,1023.97,1023.97,0,0
20170727,KF-GHYLD,Fonds,1023.37,1023.37,1023.37,1023.37,0,0
20170726,KF-GHYLD,Fonds,1023.29,1023.29,1023.29,1023.29,0,0
20170725,KF-GHYLD,Fonds,1022.21,1022.21,1022.21,1022.21,0,0
20170724,KF-GHYLD,Fonds,1021.60,1021.60,1021.60,1021.60,0,0
20170721,KF-GHYLD,Fonds,1021.10,1021.10,1021.10,1021.10,0,0
20170720,KF-GHYLD,Fonds,1020.74,1020.74,1020.74,1020.74,0,0
20170719,KF-GHYLD,Fonds,1019.34,1019.34,1019.34,1019.34,0,0
20170718,KF-GHYLD,Fonds,1018.21,1018.21,1018.21,1018.21,0,0
20170717,KF-GHYLD,Fonds,1016.35,1016.35,1016.35,1016.35,0,0
20170714,KF-GHYLD,Fonds,1014.47,1014.47,1014.47,1014.47,0,0
20170713,KF-GHYLD,Fonds,1013.61,1013.61,1013.61,1013.61,0,0
20170712,KF-GHYLD,Fonds,1012.78,1012.78,1012.78,1012.78,0,0
20170711,KF-GHYLD,Fonds,1010.91,1010.91,1010.91,1010.91,0,0
20170710,KF-GHYLD,Fonds,1010.92,1010.92,1010.92,1010.92,0,0
20170707,KF-GHYLD,Fonds,1011.51,1011.51,1011.51,1011.51,0,0
20170706,KF-GHYLD,Fonds,1013.24,1013.24,1013.24,1013.24,0,0
20170705,KF-GHYLD,Fonds,1014.77,1014.77,1014.77,1014.77,0,0
20170704,KF-GHYLD,Fonds,1014.88,1014.88,1014.88,1014.88,0,0
20170703,KF-GHYLD,Fonds,1014.62,1014.62,1014.62,1014.62,0,0
20170630,KF-GHYLD,Fonds,1014.19,1014.19,1014.19,1014.19,0,0
20170629,KF-GHYLD,Fonds,1015.06,1015.06,1015.06,1015.06,0,0
20170628,KF-GHYLD,Fonds,1013.72,1013.72,1013.72,1013.72,0,0
20170627,KF-GHYLD,Fonds,1014.19,1014.19,1014.19,1014.19,0,0
20170626,KF-GHYLD,Fonds,1013.36,1013.36,1013.36,1013.36,0,0
20170623,KF-GHYLD,Fonds,1011.85,1011.85,1011.85,1011.85,0,0
20170622,KF-GHYLD,Fonds,1011.52,1011.52,1011.52,1011.52,0,0
20170621,KF-GHYLD,Fonds,1013.38,1013.38,1013.38,1013.38,0,0
20170620,KF-GHYLD,Fonds,1014.62,1014.62,1014.62,1014.62,0,0
20170619,KF-GHYLD,Fonds,1014.46,1014.46,1014.46,1014.46,0,0
20170616,KF-GHYLD,Fonds,1014.42,1014.42,1014.42,1014.42,0,0
20170615,KF-GHYLD,Fonds,1014.16,1014.16,1014.16,1014.16,0,0
20170614,KF-GHYLD,Fonds,1014.35,1014.35,1014.35,1014.35,0,0
20170613,KF-GHYLD,Fonds,1012.89,1012.89,1012.89,1012.89,0,0
20170612,KF-GHYLD,Fonds,1012.79,1012.79,1012.79,1012.79,0,0
20170609,KF-GHYLD,Fonds,1012.09,1012.09,1012.09,1012.09,0,0
20170608,KF-GHYLD,Fonds,1011.95,1011.95,1011.95,1011.95,0,0
