quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-IAKII,Fonds,1562.41,1562.41,1562.41,1562.41,0,0
20171120,KF-IAKII,Fonds,1565.29,1565.29,1565.29,1565.29,0,0
20171117,KF-IAKII,Fonds,1559.78,1559.78,1559.78,1559.78,0,0
20171116,KF-IAKII,Fonds,1549.57,1549.57,1549.57,1549.57,0,0
20171115,KF-IAKII,Fonds,1539.76,1539.76,1539.76,1539.76,0,0
20171114,KF-IAKII,Fonds,1545.07,1545.07,1545.07,1545.07,0,0
20171113,KF-IAKII,Fonds,1539.73,1539.73,1539.73,1539.73,0,0
20171110,KF-IAKII,Fonds,1538.50,1538.50,1538.50,1538.50,0,0
20171109,KF-IAKII,Fonds,1544.10,1544.10,1544.10,1544.10,0,0
20171108,KF-IAKII,Fonds,1554.41,1554.41,1554.41,1554.41,0,0
20171107,KF-IAKII,Fonds,1562.96,1562.96,1562.96,1562.96,0,0
20171106,KF-IAKII,Fonds,1557.45,1557.45,1557.45,1557.45,0,0
20171103,KF-IAKII,Fonds,1555.69,1555.69,1555.69,1555.69,0,0
20171102,KF-IAKII,Fonds,1549.91,1549.91,1549.91,1549.91,0,0
20171101,KF-IAKII,Fonds,1554.96,1554.96,1554.96,1554.96,0,0
20171031,KF-IAKII,Fonds,1554.10,1554.10,1554.10,1554.10,0,0
20171030,KF-IAKII,Fonds,1552.56,1552.56,1552.56,1552.56,0,0
20171027,KF-IAKII,Fonds,1551.31,1551.31,1551.31,1551.31,0,0
20171026,KF-IAKII,Fonds,1529.62,1529.62,1529.62,1529.62,0,0
20171025,KF-IAKII,Fonds,1504.39,1504.39,1504.39,1504.39,0,0
20171024,KF-IAKII,Fonds,1499.58,1499.58,1499.58,1499.58,0,0
20171023,KF-IAKII,Fonds,1503.69,1503.69,1503.69,1503.69,0,0
20171020,KF-IAKII,Fonds,1499.10,1499.10,1499.10,1499.10,0,0
20171019,KF-IAKII,Fonds,1483.80,1483.80,1483.80,1483.80,0,0
20171018,KF-IAKII,Fonds,1491.78,1491.78,1491.78,1491.78,0,0
20171017,KF-IAKII,Fonds,1486.22,1486.22,1486.22,1486.22,0,0
20171016,KF-IAKII,Fonds,1478.47,1478.47,1478.47,1478.47,0,0
20171013,KF-IAKII,Fonds,1471.14,1471.14,1471.14,1471.14,0,0
20171012,KF-IAKII,Fonds,1475.17,1475.17,1475.17,1475.17,0,0
20171011,KF-IAKII,Fonds,1474.43,1474.43,1474.43,1474.43,0,0
20171010,KF-IAKII,Fonds,1477.78,1477.78,1477.78,1477.78,0,0
20171009,KF-IAKII,Fonds,1482.30,1482.30,1482.30,1482.30,0,0
20171006,KF-IAKII,Fonds,1488.47,1488.47,1488.47,1488.47,0,0
20171005,KF-IAKII,Fonds,1479.56,1479.56,1479.56,1479.56,0,0
20171004,KF-IAKII,Fonds,1470.10,1470.10,1470.10,1470.10,0,0
20171003,KF-IAKII,Fonds,1476.98,1476.98,1476.98,1476.98,0,0
20171002,KF-IAKII,Fonds,1470.02,1470.02,1470.02,1470.02,0,0
20170929,KF-IAKII,Fonds,1461.74,1461.74,1461.74,1461.74,0,0
20170928,KF-IAKII,Fonds,1449.87,1449.87,1449.87,1449.87,0,0
20170927,KF-IAKII,Fonds,1451.42,1451.42,1451.42,1451.42,0,0
20170926,KF-IAKII,Fonds,1433.14,1433.14,1433.14,1433.14,0,0
20170925,KF-IAKII,Fonds,1422.59,1422.59,1422.59,1422.59,0,0
20170922,KF-IAKII,Fonds,1418.56,1418.56,1418.56,1418.56,0,0
20170921,KF-IAKII,Fonds,1426.69,1426.69,1426.69,1426.69,0,0
20170920,KF-IAKII,Fonds,1426.18,1426.18,1426.18,1426.18,0,0
20170919,KF-IAKII,Fonds,1426.41,1426.41,1426.41,1426.41,0,0
20170918,KF-IAKII,Fonds,1425.99,1425.99,1425.99,1425.99,0,0
20170915,KF-IAKII,Fonds,1419.71,1419.71,1419.71,1419.71,0,0
20170914,KF-IAKII,Fonds,1438.63,1438.63,1438.63,1438.63,0,0
20170913,KF-IAKII,Fonds,1431.47,1431.47,1431.47,1431.47,0,0
20170912,KF-IAKII,Fonds,1426.43,1426.43,1426.43,1426.43,0,0
20170911,KF-IAKII,Fonds,1418.67,1418.67,1418.67,1418.67,0,0
20170908,KF-IAKII,Fonds,1390.76,1390.76,1390.76,1390.76,0,0
20170907,KF-IAKII,Fonds,1391.96,1391.96,1391.96,1391.96,0,0
20170906,KF-IAKII,Fonds,1393.95,1393.95,1393.95,1393.95,0,0
20170905,KF-IAKII,Fonds,1397.52,1397.52,1397.52,1397.52,0,0
20170904,KF-IAKII,Fonds,1403.29,1403.29,1403.29,1403.29,0,0
20170901,KF-IAKII,Fonds,1406.17,1406.17,1406.17,1406.17,0,0
20170831,KF-IAKII,Fonds,1400.18,1400.18,1400.18,1400.18,0,0
20170830,KF-IAKII,Fonds,1387.72,1387.72,1387.72,1387.72,0,0
20170829,KF-IAKII,Fonds,1373.17,1373.17,1373.17,1373.17,0,0
20170828,KF-IAKII,Fonds,1384.40,1384.40,1384.40,1384.40,0,0
20170825,KF-IAKII,Fonds,1393.86,1393.86,1393.86,1393.86,0,0
20170824,KF-IAKII,Fonds,1393.46,1393.46,1393.46,1393.46,0,0
20170823,KF-IAKII,Fonds,1403.70,1403.70,1403.70,1403.70,0,0
20170822,KF-IAKII,Fonds,1402.63,1402.63,1402.63,1402.63,0,0
20170821,KF-IAKII,Fonds,1390.96,1390.96,1390.96,1390.96,0,0
20170818,KF-IAKII,Fonds,1398.24,1398.24,1398.24,1398.24,0,0
20170817,KF-IAKII,Fonds,1420.27,1420.27,1420.27,1420.27,0,0
20170816,KF-IAKII,Fonds,1425.89,1425.89,1425.89,1425.89,0,0
20170815,KF-IAKII,Fonds,1425.20,1425.20,1425.20,1425.20,0,0
20170814,KF-IAKII,Fonds,1413.86,1413.86,1413.86,1413.86,0,0
20170811,KF-IAKII,Fonds,1411.03,1411.03,1411.03,1411.03,0,0
20170810,KF-IAKII,Fonds,1417.15,1417.15,1417.15,1417.15,0,0
20170809,KF-IAKII,Fonds,1427.79,1427.79,1427.79,1427.79,0,0
20170808,KF-IAKII,Fonds,1422.33,1422.33,1422.33,1422.33,0,0
20170807,KF-IAKII,Fonds,1428.88,1428.88,1428.88,1428.88,0,0
20170804,KF-IAKII,Fonds,1422.37,1422.37,1422.37,1422.37,0,0
20170803,KF-IAKII,Fonds,1415.23,1415.23,1415.23,1415.23,0,0
20170802,KF-IAKII,Fonds,1415.85,1415.85,1415.85,1415.85,0,0
20170801,KF-IAKII,Fonds,1413.16,1413.16,1413.16,1413.16,0,0
20170731,KF-IAKII,Fonds,1415.40,1415.40,1415.40,1415.40,0,0
20170728,KF-IAKII,Fonds,1410.05,1410.05,1410.05,1410.05,0,0
20170727,KF-IAKII,Fonds,1416.60,1416.60,1416.60,1416.60,0,0
20170726,KF-IAKII,Fonds,1425.49,1425.49,1425.49,1425.49,0,0
20170725,KF-IAKII,Fonds,1416.96,1416.96,1416.96,1416.96,0,0
20170724,KF-IAKII,Fonds,1423.91,1423.91,1423.91,1423.91,0,0
20170721,KF-IAKII,Fonds,1424.04,1424.04,1424.04,1424.04,0,0
20170720,KF-IAKII,Fonds,1437.40,1437.40,1437.40,1437.40,0,0
20170719,KF-IAKII,Fonds,1431.54,1431.54,1431.54,1431.54,0,0
20170718,KF-IAKII,Fonds,1424.78,1424.78,1424.78,1424.78,0,0
20170717,KF-IAKII,Fonds,1443.49,1443.49,1443.49,1443.49,0,0
20170714,KF-IAKII,Fonds,1447.15,1447.15,1447.15,1447.15,0,0
20170713,KF-IAKII,Fonds,1454.73,1454.73,1454.73,1454.73,0,0
20170712,KF-IAKII,Fonds,1454.78,1454.78,1454.78,1454.78,0,0
20170711,KF-IAKII,Fonds,1451.23,1451.23,1451.23,1451.23,0,0
20170710,KF-IAKII,Fonds,1450.37,1450.37,1450.37,1450.37,0,0
20170707,KF-IAKII,Fonds,1447.61,1447.61,1447.61,1447.61,0,0
20170706,KF-IAKII,Fonds,1445.35,1445.35,1445.35,1445.35,0,0
20170705,KF-IAKII,Fonds,1456.98,1456.98,1456.98,1456.98,0,0
20170704,KF-IAKII,Fonds,1449.76,1449.76,1449.76,1449.76,0,0
20170703,KF-IAKII,Fonds,1454.08,1454.08,1454.08,1454.08,0,0
20170630,KF-IAKII,Fonds,1457.07,1457.07,1457.07,1457.07,0,0
20170629,KF-IAKII,Fonds,1467.89,1467.89,1467.89,1467.89,0,0
20170628,KF-IAKII,Fonds,1468.94,1468.94,1468.94,1468.94,0,0
20170627,KF-IAKII,Fonds,1470.30,1470.30,1470.30,1470.30,0,0
20170626,KF-IAKII,Fonds,1478.96,1478.96,1478.96,1478.96,0,0
20170623,KF-IAKII,Fonds,1471.95,1471.95,1471.95,1471.95,0,0
20170622,KF-IAKII,Fonds,1477.74,1477.74,1477.74,1477.74,0,0
20170621,KF-IAKII,Fonds,1484.91,1484.91,1484.91,1484.91,0,0
20170620,KF-IAKII,Fonds,1490.35,1490.35,1490.35,1490.35,0,0
20170619,KF-IAKII,Fonds,1477.02,1477.02,1477.02,1477.02,0,0
20170616,KF-IAKII,Fonds,1467.93,1467.93,1467.93,1467.93,0,0
20170615,KF-IAKII,Fonds,1472.97,1472.97,1472.97,1472.97,0,0
20170614,KF-IAKII,Fonds,1466.45,1466.45,1466.45,1466.45,0,0
20170613,KF-IAKII,Fonds,1475.22,1475.22,1475.22,1475.22,0,0
20170612,KF-IAKII,Fonds,1472.94,1472.94,1472.94,1472.94,0,0
20170609,KF-IAKII,Fonds,1488.62,1488.62,1488.62,1488.62,0,0
20170608,KF-IAKII,Fonds,1481.94,1481.94,1481.94,1481.94,0,0
20170607,KF-IAKII,Fonds,1479.11,1479.11,1479.11,1479.11,0,0
20170606,KF-IAKII,Fonds,1479.39,1479.39,1479.39,1479.39,0,0
20170602,KF-IAKII,Fonds,1472.68,1472.68,1472.68,1472.68,0,0
20170601,KF-IAKII,Fonds,1466.35,1466.35,1466.35,1466.35,0,0
20170531,KF-IAKII,Fonds,1455.40,1455.40,1455.40,1455.40,0,0
20170530,KF-IAKII,Fonds,1462.23,1462.23,1462.23,1462.23,0,0
20170529,KF-IAKII,Fonds,1457.40,1457.40,1457.40,1457.40,0,0
20170526,KF-IAKII,Fonds,1452.33,1452.33,1452.33,1452.33,0,0
20170524,KF-IAKII,Fonds,1445.30,1445.30,1445.30,1445.30,0,0
20170523,KF-IAKII,Fonds,1437.89,1437.89,1437.89,1437.89,0,0
20170522,KF-IAKII,Fonds,1435.52,1435.52,1435.52,1435.52,0,0
20170519,KF-IAKII,Fonds,1437.29,1437.29,1437.29,1437.29,0,0
20170518,KF-IAKII,Fonds,1438.65,1438.65,1438.65,1438.65,0,0
20170516,KF-IAKII,Fonds,1468.83,1468.83,1468.83,1468.83,0,0
20170515,KF-IAKII,Fonds,1468.75,1468.75,1468.75,1468.75,0,0
20170512,KF-IAKII,Fonds,1471.59,1471.59,1471.59,1471.59,0,0
20170511,KF-IAKII,Fonds,1474.54,1474.54,1474.54,1474.54,0,0
20170510,KF-IAKII,Fonds,1485.03,1485.03,1485.03,1485.03,0,0
20170509,KF-IAKII,Fonds,1488.32,1488.32,1488.32,1488.32,0,0
20170508,KF-IAKII,Fonds,1479.43,1479.43,1479.43,1479.43,0,0
20170505,KF-IAKII,Fonds,1472.90,1472.90,1472.90,1472.90,0,0
20170504,KF-IAKII,Fonds,1481.12,1481.12,1481.12,1481.12,0,0
20170503,KF-IAKII,Fonds,1466.63,1466.63,1466.63,1466.63,0,0
20170502,KF-IAKII,Fonds,1466.01,1466.01,1466.01,1466.01,0,0
20170428,KF-IAKII,Fonds,1451.73,1451.73,1451.73,1451.73,0,0
20170427,KF-IAKII,Fonds,1461.11,1461.11,1461.11,1461.11,0,0
20170426,KF-IAKII,Fonds,1461.50,1461.50,1461.50,1461.50,0,0
20170425,KF-IAKII,Fonds,1457.81,1457.81,1457.81,1457.81,0,0
20170424,KF-IAKII,Fonds,1445.11,1445.11,1445.11,1445.11,0,0
20170421,KF-IAKII,Fonds,1441.57,1441.57,1441.57,1441.57,0,0
20170420,KF-IAKII,Fonds,1422.53,1422.53,1422.53,1422.53,0,0
20170419,KF-IAKII,Fonds,1418.67,1418.67,1418.67,1418.67,0,0
20170418,KF-IAKII,Fonds,1414.37,1414.37,1414.37,1414.37,0,0
20170412,KF-IAKII,Fonds,1425.27,1425.27,1425.27,1425.27,0,0
20170411,KF-IAKII,Fonds,1427.94,1427.94,1427.94,1427.94,0,0
20170410,KF-IAKII,Fonds,1438.32,1438.32,1438.32,1438.32,0,0
20170407,KF-IAKII,Fonds,1432.96,1432.96,1432.96,1432.96,0,0
20170406,KF-IAKII,Fonds,1431.29,1431.29,1431.29,1431.29,0,0
20170405,KF-IAKII,Fonds,1441.63,1441.63,1441.63,1441.63,0,0
20170404,KF-IAKII,Fonds,1438.24,1438.24,1438.24,1438.24,0,0
20170403,KF-IAKII,Fonds,1435.79,1435.79,1435.79,1435.79,0,0
20170331,KF-IAKII,Fonds,1437.67,1437.67,1437.67,1437.67,0,0
20170330,KF-IAKII,Fonds,1433.94,1433.94,1433.94,1433.94,0,0
20170329,KF-IAKII,Fonds,1434.27,1434.27,1434.27,1434.27,0,0
20170328,KF-IAKII,Fonds,1420.51,1420.51,1420.51,1420.51,0,0
20170327,KF-IAKII,Fonds,1408.42,1408.42,1408.42,1408.42,0,0
20170324,KF-IAKII,Fonds,1422.89,1422.89,1422.89,1422.89,0,0
20170323,KF-IAKII,Fonds,1416.36,1416.36,1416.36,1416.36,0,0
20170322,KF-IAKII,Fonds,1408.57,1408.57,1408.57,1408.57,0,0
20170321,KF-IAKII,Fonds,1417.63,1417.63,1417.63,1417.63,0,0
20170320,KF-IAKII,Fonds,1427.29,1427.29,1427.29,1427.29,0,0
20170317,KF-IAKII,Fonds,1424.97,1424.97,1424.97,1424.97,0,0
20170316,KF-IAKII,Fonds,1438.48,1438.48,1438.48,1438.48,0,0
20170315,KF-IAKII,Fonds,1440.42,1440.42,1440.42,1440.42,0,0
20170314,KF-IAKII,Fonds,1438.10,1438.10,1438.10,1438.10,0,0
20170313,KF-IAKII,Fonds,1433.79,1433.79,1433.79,1433.79,0,0
20170310,KF-IAKII,Fonds,1438.35,1438.35,1438.35,1438.35,0,0
20170309,KF-IAKII,Fonds,1426.09,1426.09,1426.09,1426.09,0,0
20170308,KF-IAKII,Fonds,1416.13,1416.13,1416.13,1416.13,0,0
20170307,KF-IAKII,Fonds,1411.25,1411.25,1411.25,1411.25,0,0
20170306,KF-IAKII,Fonds,1415.55,1415.55,1415.55,1415.55,0,0
20170303,KF-IAKII,Fonds,1412.38,1412.38,1412.38,1412.38,0,0
20170302,KF-IAKII,Fonds,1422.24,1422.24,1422.24,1422.24,0,0
20170301,KF-IAKII,Fonds,1408.25,1408.25,1408.25,1408.25,0,0
20170228,KF-IAKII,Fonds,1391.85,1391.85,1391.85,1391.85,0,0
20170227,KF-IAKII,Fonds,1388.83,1388.83,1388.83,1388.83,0,0
20170224,KF-IAKII,Fonds,1387.31,1387.31,1387.31,1387.31,0,0
20170223,KF-IAKII,Fonds,1388.73,1388.73,1388.73,1388.73,0,0
20170222,KF-IAKII,Fonds,1393.19,1393.19,1393.19,1393.19,0,0
20170221,KF-IAKII,Fonds,1386.70,1386.70,1386.70,1386.70,0,0
20170220,KF-IAKII,Fonds,1379.47,1379.47,1379.47,1379.47,0,0
20170217,KF-IAKII,Fonds,1374.62,1374.62,1374.62,1374.62,0,0
20170216,KF-IAKII,Fonds,1375.69,1375.69,1375.69,1375.69,0,0
20170215,KF-IAKII,Fonds,1379.67,1379.67,1379.67,1379.67,0,0
20170214,KF-IAKII,Fonds,1369.74,1369.74,1369.74,1369.74,0,0
20170213,KF-IAKII,Fonds,1375.06,1375.06,1375.06,1375.06,0,0
20170210,KF-IAKII,Fonds,1366.24,1366.24,1366.24,1366.24,0,0
20170209,KF-IAKII,Fonds,1346.01,1346.01,1346.01,1346.01,0,0
20170208,KF-IAKII,Fonds,1343.91,1343.91,1343.91,1343.91,0,0
20170207,KF-IAKII,Fonds,1349.37,1349.37,1349.37,1349.37,0,0
20170206,KF-IAKII,Fonds,1339.35,1339.35,1339.35,1339.35,0,0
20170203,KF-IAKII,Fonds,1335.11,1335.11,1335.11,1335.11,0,0
20170202,KF-IAKII,Fonds,1327.17,1327.17,1327.17,1327.17,0,0
20170201,KF-IAKII,Fonds,1336.74,1336.74,1336.74,1336.74,0,0
20170131,KF-IAKII,Fonds,1331.13,1331.13,1331.13,1331.13,0,0
20170130,KF-IAKII,Fonds,1345.09,1345.09,1345.09,1345.09,0,0
20170127,KF-IAKII,Fonds,1352.77,1352.77,1352.77,1352.77,0,0
20170126,KF-IAKII,Fonds,1355.91,1355.91,1355.91,1355.91,0,0
20170125,KF-IAKII,Fonds,1350.39,1350.39,1350.39,1350.39,0,0
20170124,KF-IAKII,Fonds,1335.99,1335.99,1335.99,1335.99,0,0
20170123,KF-IAKII,Fonds,1345.54,1345.54,1345.54,1345.54,0,0
20170120,KF-IAKII,Fonds,1356.67,1356.67,1356.67,1356.67,0,0
20170119,KF-IAKII,Fonds,1363.60,1363.60,1363.60,1363.60,0,0
20170118,KF-IAKII,Fonds,1356.75,1356.75,1356.75,1356.75,0,0
20170117,KF-IAKII,Fonds,1356.24,1356.24,1356.24,1356.24,0,0
20170116,KF-IAKII,Fonds,1373.83,1373.83,1373.83,1373.83,0,0
20170113,KF-IAKII,Fonds,1375.97,1375.97,1375.97,1375.97,0,0
