quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-INDIA,Fonds,243.17,243.17,243.17,243.17,0,0
20171108,KF-INDIA,Fonds,243.21,243.21,243.21,243.21,0,0
20171107,KF-INDIA,Fonds,245.20,245.20,245.20,245.20,0,0
20171106,KF-INDIA,Fonds,248.87,248.87,248.87,248.87,0,0
20171103,KF-INDIA,Fonds,248.46,248.46,248.46,248.46,0,0
20171102,KF-INDIA,Fonds,247.89,247.89,247.89,247.89,0,0
20171031,KF-INDIA,Fonds,245.36,245.36,245.36,245.36,0,0
20171030,KF-INDIA,Fonds,244.23,244.23,244.23,244.23,0,0
20171027,KF-INDIA,Fonds,242.90,242.90,242.90,242.90,0,0
20171026,KF-INDIA,Fonds,241.15,241.15,241.15,241.15,0,0
20171025,KF-INDIA,Fonds,238.21,238.21,238.21,238.21,0,0
20171024,KF-INDIA,Fonds,231.26,231.26,231.26,231.26,0,0
20171023,KF-INDIA,Fonds,230.48,230.48,230.48,230.48,0,0
20171019,KF-INDIA,Fonds,227.92,227.92,227.92,227.92,0,0
20171018,KF-INDIA,Fonds,229.17,229.17,229.17,229.17,0,0
20171017,KF-INDIA,Fonds,230.53,230.53,230.53,230.53,0,0
20171016,KF-INDIA,Fonds,229.68,229.68,229.68,229.68,0,0
20171013,KF-INDIA,Fonds,227.92,227.92,227.92,227.92,0,0
20171012,KF-INDIA,Fonds,225.27,225.27,225.27,225.27,0,0
20171011,KF-INDIA,Fonds,224.40,224.40,224.40,224.40,0,0
20171010,KF-INDIA,Fonds,225.35,225.35,225.35,225.35,0,0
20171009,KF-INDIA,Fonds,225.27,225.27,225.27,225.27,0,0
20171006,KF-INDIA,Fonds,226.22,226.22,226.22,226.22,0,0
20171005,KF-INDIA,Fonds,223.23,223.23,223.23,223.23,0,0
20171004,KF-INDIA,Fonds,222.77,222.77,222.77,222.77,0,0
20171003,KF-INDIA,Fonds,222.22,222.22,222.22,222.22,0,0
20170929,KF-INDIA,Fonds,221.63,221.63,221.63,221.63,0,0
20170928,KF-INDIA,Fonds,219.10,219.10,219.10,219.10,0,0
20170927,KF-INDIA,Fonds,217.15,217.15,217.15,217.15,0,0
20170926,KF-INDIA,Fonds,218.68,218.68,218.68,218.68,0,0
20170925,KF-INDIA,Fonds,216.82,216.82,216.82,216.82,0,0
20170922,KF-INDIA,Fonds,219.01,219.01,219.01,219.01,0,0
20170921,KF-INDIA,Fonds,224.32,224.32,224.32,224.32,0,0
20170920,KF-INDIA,Fonds,225.30,225.30,225.30,225.30,0,0
20170919,KF-INDIA,Fonds,226.05,226.05,226.05,226.05,0,0
