quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-LIKII,Fonds,1014.68,1014.68,1014.68,1014.68,0,0
20171108,KF-LIKII,Fonds,1014.71,1014.71,1014.71,1014.71,0,0
20171107,KF-LIKII,Fonds,1014.72,1014.72,1014.72,1014.72,0,0
20171106,KF-LIKII,Fonds,1014.67,1014.67,1014.67,1014.67,0,0
20171103,KF-LIKII,Fonds,1014.54,1014.54,1014.54,1014.54,0,0
20171102,KF-LIKII,Fonds,1014.51,1014.51,1014.51,1014.51,0,0
20171101,KF-LIKII,Fonds,1014.47,1014.47,1014.47,1014.47,0,0
20171031,KF-LIKII,Fonds,1014.44,1014.44,1014.44,1014.44,0,0
20171030,KF-LIKII,Fonds,1014.39,1014.39,1014.39,1014.39,0,0
20171027,KF-LIKII,Fonds,1014.26,1014.26,1014.26,1014.26,0,0
20171026,KF-LIKII,Fonds,1014.25,1014.25,1014.25,1014.25,0,0
20171025,KF-LIKII,Fonds,1014.26,1014.26,1014.26,1014.26,0,0
20171024,KF-LIKII,Fonds,1014.26,1014.26,1014.26,1014.26,0,0
20171023,KF-LIKII,Fonds,1014.23,1014.23,1014.23,1014.23,0,0
20171020,KF-LIKII,Fonds,1014.14,1014.14,1014.14,1014.14,0,0
20171019,KF-LIKII,Fonds,1014.14,1014.14,1014.14,1014.14,0,0
20171018,KF-LIKII,Fonds,1014.12,1014.12,1014.12,1014.12,0,0
20171017,KF-LIKII,Fonds,1014.07,1014.07,1014.07,1014.07,0,0
20171016,KF-LIKII,Fonds,1014.00,1014.00,1014.00,1014.00,0,0
20171013,KF-LIKII,Fonds,1013.93,1013.93,1013.93,1013.93,0,0
20171012,KF-LIKII,Fonds,1013.93,1013.93,1013.93,1013.93,0,0
20171011,KF-LIKII,Fonds,1014.13,1014.13,1014.13,1014.13,0,0
20171010,KF-LIKII,Fonds,1014.13,1014.13,1014.13,1014.13,0,0
20171009,KF-LIKII,Fonds,1014.12,1014.12,1014.12,1014.12,0,0
20171006,KF-LIKII,Fonds,1013.96,1013.96,1013.96,1013.96,0,0
20171005,KF-LIKII,Fonds,1013.94,1013.94,1013.94,1013.94,0,0
20171004,KF-LIKII,Fonds,1013.93,1013.93,1013.93,1013.93,0,0
20171003,KF-LIKII,Fonds,1013.90,1013.90,1013.90,1013.90,0,0
20171002,KF-LIKII,Fonds,1013.85,1013.85,1013.85,1013.85,0,0
20170929,KF-LIKII,Fonds,1013.78,1013.78,1013.78,1013.78,0,0
20170928,KF-LIKII,Fonds,1013.77,1013.77,1013.77,1013.77,0,0
20170927,KF-LIKII,Fonds,1013.85,1013.85,1013.85,1013.85,0,0
20170926,KF-LIKII,Fonds,1013.81,1013.81,1013.81,1013.81,0,0
20170925,KF-LIKII,Fonds,1013.76,1013.76,1013.76,1013.76,0,0
20170922,KF-LIKII,Fonds,1013.65,1013.65,1013.65,1013.65,0,0
20170921,KF-LIKII,Fonds,1013.61,1013.61,1013.61,1013.61,0,0
20170920,KF-LIKII,Fonds,1013.65,1013.65,1013.65,1013.65,0,0
20170919,KF-LIKII,Fonds,1013.65,1013.65,1013.65,1013.65,0,0
20170918,KF-LIKII,Fonds,1013.60,1013.60,1013.60,1013.60,0,0
20170915,KF-LIKII,Fonds,1013.45,1013.45,1013.45,1013.45,0,0
20170914,KF-LIKII,Fonds,1013.43,1013.43,1013.43,1013.43,0,0
20170913,KF-LIKII,Fonds,1013.42,1013.42,1013.42,1013.42,0,0
20170912,KF-LIKII,Fonds,1013.39,1013.39,1013.39,1013.39,0,0
20170911,KF-LIKII,Fonds,1013.38,1013.38,1013.38,1013.38,0,0
20170908,KF-LIKII,Fonds,1013.27,1013.27,1013.27,1013.27,0,0
20170907,KF-LIKII,Fonds,1013.25,1013.25,1013.25,1013.25,0,0
20170906,KF-LIKII,Fonds,1013.26,1013.26,1013.26,1013.26,0,0
20170905,KF-LIKII,Fonds,1013.21,1013.21,1013.21,1013.21,0,0
20170904,KF-LIKII,Fonds,1013.18,1013.18,1013.18,1013.18,0,0
20170901,KF-LIKII,Fonds,1013.07,1013.07,1013.07,1013.07,0,0
20170831,KF-LIKII,Fonds,1013.03,1013.03,1013.03,1013.03,0,0
20170830,KF-LIKII,Fonds,1013.02,1013.02,1013.02,1013.02,0,0
20170829,KF-LIKII,Fonds,1013.02,1013.02,1013.02,1013.02,0,0
20170828,KF-LIKII,Fonds,1012.98,1012.98,1012.98,1012.98,0,0
20170825,KF-LIKII,Fonds,1012.80,1012.80,1012.80,1012.80,0,0
20170824,KF-LIKII,Fonds,1012.81,1012.81,1012.81,1012.81,0,0
20170823,KF-LIKII,Fonds,1012.79,1012.79,1012.79,1012.79,0,0
20170822,KF-LIKII,Fonds,1012.73,1012.73,1012.73,1012.73,0,0
20170821,KF-LIKII,Fonds,1012.68,1012.68,1012.68,1012.68,0,0
20170818,KF-LIKII,Fonds,1012.55,1012.55,1012.55,1012.55,0,0
20170817,KF-LIKII,Fonds,1012.52,1012.52,1012.52,1012.52,0,0
20170816,KF-LIKII,Fonds,1012.49,1012.49,1012.49,1012.49,0,0
20170815,KF-LIKII,Fonds,1012.43,1012.43,1012.43,1012.43,0,0
