quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-LIKRE,Fonds,1069.72,1069.72,1069.72,1069.72,0,0
20171108,KF-LIKRE,Fonds,1069.75,1069.75,1069.75,1069.75,0,0
20171107,KF-LIKRE,Fonds,1069.70,1069.70,1069.70,1069.70,0,0
20171106,KF-LIKRE,Fonds,1069.65,1069.65,1069.65,1069.65,0,0
20171103,KF-LIKRE,Fonds,1069.46,1069.46,1069.46,1069.46,0,0
20171102,KF-LIKRE,Fonds,1069.41,1069.41,1069.41,1069.41,0,0
20171101,KF-LIKRE,Fonds,1069.31,1069.31,1069.31,1069.31,0,0
20171031,KF-LIKRE,Fonds,1069.29,1069.29,1069.29,1069.29,0,0
20171030,KF-LIKRE,Fonds,1069.23,1069.23,1069.23,1069.23,0,0
20171027,KF-LIKRE,Fonds,1069.04,1069.04,1069.04,1069.04,0,0
20171026,KF-LIKRE,Fonds,1069.06,1069.06,1069.06,1069.06,0,0
20171025,KF-LIKRE,Fonds,1069.09,1069.09,1069.09,1069.09,0,0
20171024,KF-LIKRE,Fonds,1069.02,1069.02,1069.02,1069.02,0,0
20171023,KF-LIKRE,Fonds,1069.16,1069.16,1069.16,1069.16,0,0
20171020,KF-LIKRE,Fonds,1069.01,1069.01,1069.01,1069.01,0,0
20171019,KF-LIKRE,Fonds,1068.99,1068.99,1068.99,1068.99,0,0
20171018,KF-LIKRE,Fonds,1068.90,1068.90,1068.90,1068.90,0,0
20171017,KF-LIKRE,Fonds,1068.82,1068.82,1068.82,1068.82,0,0
20171016,KF-LIKRE,Fonds,1068.77,1068.77,1068.77,1068.77,0,0
20171013,KF-LIKRE,Fonds,1068.59,1068.59,1068.59,1068.59,0,0
20171012,KF-LIKRE,Fonds,1068.58,1068.58,1068.58,1068.58,0,0
20171011,KF-LIKRE,Fonds,1069.14,1069.14,1069.14,1069.14,0,0
20171010,KF-LIKRE,Fonds,1069.22,1069.22,1069.22,1069.22,0,0
20171009,KF-LIKRE,Fonds,1069.17,1069.17,1069.17,1069.17,0,0
20171006,KF-LIKRE,Fonds,1069.02,1069.02,1069.02,1069.02,0,0
20171005,KF-LIKRE,Fonds,1068.98,1068.98,1068.98,1068.98,0,0
20171004,KF-LIKRE,Fonds,1068.98,1068.98,1068.98,1068.98,0,0
20171003,KF-LIKRE,Fonds,1068.92,1068.92,1068.92,1068.92,0,0
20171002,KF-LIKRE,Fonds,1068.84,1068.84,1068.84,1068.84,0,0
20170929,KF-LIKRE,Fonds,1068.68,1068.68,1068.68,1068.68,0,0
20170928,KF-LIKRE,Fonds,1068.63,1068.63,1068.63,1068.63,0,0
20170927,KF-LIKRE,Fonds,1068.70,1068.70,1068.70,1068.70,0,0
20170926,KF-LIKRE,Fonds,1068.65,1068.65,1068.65,1068.65,0,0
20170925,KF-LIKRE,Fonds,1068.57,1068.57,1068.57,1068.57,0,0
20170922,KF-LIKRE,Fonds,1068.40,1068.40,1068.40,1068.40,0,0
20170921,KF-LIKRE,Fonds,1068.33,1068.33,1068.33,1068.33,0,0
20170920,KF-LIKRE,Fonds,1068.36,1068.36,1068.36,1068.36,0,0
20170919,KF-LIKRE,Fonds,1068.33,1068.33,1068.33,1068.33,0,0
20170918,KF-LIKRE,Fonds,1068.27,1068.27,1068.27,1068.27,0,0
20170915,KF-LIKRE,Fonds,1068.09,1068.09,1068.09,1068.09,0,0
20170914,KF-LIKRE,Fonds,1068.06,1068.06,1068.06,1068.06,0,0
20170913,KF-LIKRE,Fonds,1067.98,1067.98,1067.98,1067.98,0,0
20170912,KF-LIKRE,Fonds,1067.91,1067.91,1067.91,1067.91,0,0
20170911,KF-LIKRE,Fonds,1067.88,1067.88,1067.88,1067.88,0,0
20170908,KF-LIKRE,Fonds,1067.73,1067.73,1067.73,1067.73,0,0
20170907,KF-LIKRE,Fonds,1067.70,1067.70,1067.70,1067.70,0,0
20170906,KF-LIKRE,Fonds,1067.67,1067.67,1067.67,1067.67,0,0
20170905,KF-LIKRE,Fonds,1067.60,1067.60,1067.60,1067.60,0,0
20170904,KF-LIKRE,Fonds,1067.55,1067.55,1067.55,1067.55,0,0
20170901,KF-LIKRE,Fonds,1067.38,1067.38,1067.38,1067.38,0,0
20170831,KF-LIKRE,Fonds,1067.33,1067.33,1067.33,1067.33,0,0
20170830,KF-LIKRE,Fonds,1067.15,1067.15,1067.15,1067.15,0,0
20170829,KF-LIKRE,Fonds,1067.13,1067.13,1067.13,1067.13,0,0
20170828,KF-LIKRE,Fonds,1067.06,1067.06,1067.06,1067.06,0,0
20170825,KF-LIKRE,Fonds,1066.87,1066.87,1066.87,1066.87,0,0
20170824,KF-LIKRE,Fonds,1066.78,1066.78,1066.78,1066.78,0,0
20170823,KF-LIKRE,Fonds,1066.67,1066.67,1066.67,1066.67,0,0
20170822,KF-LIKRE,Fonds,1066.61,1066.61,1066.61,1066.61,0,0
20170821,KF-LIKRE,Fonds,1066.54,1066.54,1066.54,1066.54,0,0
20170818,KF-LIKRE,Fonds,1066.30,1066.30,1066.30,1066.30,0,0
20170817,KF-LIKRE,Fonds,1066.26,1066.26,1066.26,1066.26,0,0
20170816,KF-LIKRE,Fonds,1066.31,1066.31,1066.31,1066.31,0,0
20170815,KF-LIKRE,Fonds,1066.23,1066.23,1066.23,1066.23,0,0
20170814,KF-LIKRE,Fonds,1066.23,1066.23,1066.23,1066.23,0,0
20170811,KF-LIKRE,Fonds,1066.10,1066.10,1066.10,1066.10,0,0
20170810,KF-LIKRE,Fonds,1066.07,1066.07,1066.07,1066.07,0,0
20170809,KF-LIKRE,Fonds,1065.77,1065.77,1065.77,1065.77,0,0
20170808,KF-LIKRE,Fonds,1065.68,1065.68,1065.68,1065.68,0,0
20170807,KF-LIKRE,Fonds,1065.62,1065.62,1065.62,1065.62,0,0
20170804,KF-LIKRE,Fonds,1065.46,1065.46,1065.46,1065.46,0,0
20170803,KF-LIKRE,Fonds,1065.43,1065.43,1065.43,1065.43,0,0
20170802,KF-LIKRE,Fonds,1065.00,1065.00,1065.00,1065.00,0,0
20170801,KF-LIKRE,Fonds,1064.92,1064.92,1064.92,1064.92,0,0
20170731,KF-LIKRE,Fonds,1064.81,1064.81,1064.81,1064.81,0,0
20170728,KF-LIKRE,Fonds,1064.62,1064.62,1064.62,1064.62,0,0
20170727,KF-LIKRE,Fonds,1064.58,1064.58,1064.58,1064.58,0,0
20170726,KF-LIKRE,Fonds,1064.34,1064.34,1064.34,1064.34,0,0
20170725,KF-LIKRE,Fonds,1064.29,1064.29,1064.29,1064.29,0,0
20170724,KF-LIKRE,Fonds,1064.23,1064.23,1064.23,1064.23,0,0
20170721,KF-LIKRE,Fonds,1064.06,1064.06,1064.06,1064.06,0,0
20170720,KF-LIKRE,Fonds,1063.99,1063.99,1063.99,1063.99,0,0
20170719,KF-LIKRE,Fonds,1063.92,1063.92,1063.92,1063.92,0,0
