quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-LKIII,Fonds,1024.40,1024.40,1024.40,1024.40,0,0
20171120,KF-LKIII,Fonds,1024.44,1024.44,1024.44,1024.44,0,0
20171117,KF-LKIII,Fonds,1024.30,1024.30,1024.30,1024.30,0,0
20171116,KF-LKIII,Fonds,1024.25,1024.25,1024.25,1024.25,0,0
20171115,KF-LKIII,Fonds,1024.26,1024.26,1024.26,1024.26,0,0
20171114,KF-LKIII,Fonds,1024.24,1024.24,1024.24,1024.24,0,0
20171113,KF-LKIII,Fonds,1024.16,1024.16,1024.16,1024.16,0,0
20171110,KF-LKIII,Fonds,1024.05,1024.05,1024.05,1024.05,0,0
20171109,KF-LKIII,Fonds,1024.03,1024.03,1024.03,1024.03,0,0
20171108,KF-LKIII,Fonds,1024.05,1024.05,1024.05,1024.05,0,0
20171107,KF-LKIII,Fonds,1024.05,1024.05,1024.05,1024.05,0,0
20171106,KF-LKIII,Fonds,1024.01,1024.01,1024.01,1024.01,0,0
20171103,KF-LKIII,Fonds,1023.86,1023.86,1023.86,1023.86,0,0
20171102,KF-LKIII,Fonds,1023.82,1023.82,1023.82,1023.82,0,0
20171101,KF-LKIII,Fonds,1023.78,1023.78,1023.78,1023.78,0,0
20171031,KF-LKIII,Fonds,1023.74,1023.74,1023.74,1023.74,0,0
20171030,KF-LKIII,Fonds,1023.70,1023.70,1023.70,1023.70,0,0
20171027,KF-LKIII,Fonds,1023.55,1023.55,1023.55,1023.55,0,0
20171026,KF-LKIII,Fonds,1023.54,1023.54,1023.54,1023.54,0,0
20171025,KF-LKIII,Fonds,1023.55,1023.55,1023.55,1023.55,0,0
20171024,KF-LKIII,Fonds,1023.55,1023.55,1023.55,1023.55,0,0
20171023,KF-LKIII,Fonds,1023.52,1023.52,1023.52,1023.52,0,0
20171020,KF-LKIII,Fonds,1023.42,1023.42,1023.42,1023.42,0,0
20171019,KF-LKIII,Fonds,1023.41,1023.41,1023.41,1023.41,0,0
20171018,KF-LKIII,Fonds,1023.39,1023.39,1023.39,1023.39,0,0
20171017,KF-LKIII,Fonds,1023.33,1023.33,1023.33,1023.33,0,0
20171016,KF-LKIII,Fonds,1023.26,1023.26,1023.26,1023.26,0,0
20171013,KF-LKIII,Fonds,1023.18,1023.18,1023.18,1023.18,0,0
20171012,KF-LKIII,Fonds,1023.18,1023.18,1023.18,1023.18,0,0
20171011,KF-LKIII,Fonds,1023.37,1023.37,1023.37,1023.37,0,0
20171010,KF-LKIII,Fonds,1023.37,1023.37,1023.37,1023.37,0,0
20171009,KF-LKIII,Fonds,1023.37,1023.37,1023.37,1023.37,0,0
20171006,KF-LKIII,Fonds,1023.19,1023.19,1023.19,1023.19,0,0
20171005,KF-LKIII,Fonds,1023.16,1023.16,1023.16,1023.16,0,0
20171004,KF-LKIII,Fonds,1023.16,1023.16,1023.16,1023.16,0,0
20171003,KF-LKIII,Fonds,1023.12,1023.12,1023.12,1023.12,0,0
20171002,KF-LKIII,Fonds,1023.05,1023.05,1023.05,1023.05,0,0
20170929,KF-LKIII,Fonds,1022.97,1022.97,1022.97,1022.97,0,0
20170928,KF-LKIII,Fonds,1022.97,1022.97,1022.97,1022.97,0,0
20170927,KF-LKIII,Fonds,1023.04,1023.04,1023.04,1023.04,0,0
20170926,KF-LKIII,Fonds,1023.00,1023.00,1023.00,1023.00,0,0
20170925,KF-LKIII,Fonds,1022.95,1022.95,1022.95,1022.95,0,0
20170922,KF-LKIII,Fonds,1022.82,1022.82,1022.82,1022.82,0,0
20170921,KF-LKIII,Fonds,1022.78,1022.78,1022.78,1022.78,0,0
20170920,KF-LKIII,Fonds,1022.82,1022.82,1022.82,1022.82,0,0
20170919,KF-LKIII,Fonds,1022.81,1022.81,1022.81,1022.81,0,0
20170918,KF-LKIII,Fonds,1022.76,1022.76,1022.76,1022.76,0,0
20170915,KF-LKIII,Fonds,1022.60,1022.60,1022.60,1022.60,0,0
20170914,KF-LKIII,Fonds,1022.57,1022.57,1022.57,1022.57,0,0
20170913,KF-LKIII,Fonds,1022.56,1022.56,1022.56,1022.56,0,0
20170912,KF-LKIII,Fonds,1022.53,1022.53,1022.53,1022.53,0,0
20170911,KF-LKIII,Fonds,1022.51,1022.51,1022.51,1022.51,0,0
20170908,KF-LKIII,Fonds,1022.39,1022.39,1022.39,1022.39,0,0
20170907,KF-LKIII,Fonds,1022.37,1022.37,1022.37,1022.37,0,0
20170906,KF-LKIII,Fonds,1022.37,1022.37,1022.37,1022.37,0,0
20170905,KF-LKIII,Fonds,1022.32,1022.32,1022.32,1022.32,0,0
20170904,KF-LKIII,Fonds,1022.29,1022.29,1022.29,1022.29,0,0
20170901,KF-LKIII,Fonds,1022.17,1022.17,1022.17,1022.17,0,0
20170831,KF-LKIII,Fonds,1022.13,1022.13,1022.13,1022.13,0,0
20170830,KF-LKIII,Fonds,1022.11,1022.11,1022.11,1022.11,0,0
20170829,KF-LKIII,Fonds,1022.11,1022.11,1022.11,1022.11,0,0
20170828,KF-LKIII,Fonds,1022.07,1022.07,1022.07,1022.07,0,0
20170825,KF-LKIII,Fonds,1021.88,1021.88,1021.88,1021.88,0,0
20170824,KF-LKIII,Fonds,1021.88,1021.88,1021.88,1021.88,0,0
20170823,KF-LKIII,Fonds,1021.86,1021.86,1021.86,1021.86,0,0
20170822,KF-LKIII,Fonds,1021.79,1021.79,1021.79,1021.79,0,0
20170821,KF-LKIII,Fonds,1021.74,1021.74,1021.74,1021.74,0,0
20170818,KF-LKIII,Fonds,1021.60,1021.60,1021.60,1021.60,0,0
20170817,KF-LKIII,Fonds,1021.56,1021.56,1021.56,1021.56,0,0
20170816,KF-LKIII,Fonds,1021.53,1021.53,1021.53,1021.53,0,0
20170815,KF-LKIII,Fonds,1021.47,1021.47,1021.47,1021.47,0,0
20170814,KF-LKIII,Fonds,1021.49,1021.49,1021.49,1021.49,0,0
20170811,KF-LKIII,Fonds,1021.49,1021.49,1021.49,1021.49,0,0
20170810,KF-LKIII,Fonds,1021.52,1021.52,1021.52,1021.52,0,0
20170809,KF-LKIII,Fonds,1021.45,1021.45,1021.45,1021.45,0,0
20170808,KF-LKIII,Fonds,1021.42,1021.42,1021.42,1021.42,0,0
20170807,KF-LKIII,Fonds,1021.38,1021.38,1021.38,1021.38,0,0
