quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-NGSFD,Fonds,1053.87,1053.87,1053.87,1053.87,0,0
20171120,KF-NGSFD,Fonds,1047.85,1047.85,1047.85,1047.85,0,0
20171117,KF-NGSFD,Fonds,1044.15,1044.15,1044.15,1044.15,0,0
20171116,KF-NGSFD,Fonds,1032.90,1032.90,1032.90,1032.90,0,0
20171115,KF-NGSFD,Fonds,1028.38,1028.38,1028.38,1028.38,0,0
20171114,KF-NGSFD,Fonds,1024.95,1024.95,1024.95,1024.95,0,0
20171113,KF-NGSFD,Fonds,1019.17,1019.17,1019.17,1019.17,0,0
20171110,KF-NGSFD,Fonds,1019.07,1019.07,1019.07,1019.07,0,0
20171109,KF-NGSFD,Fonds,1019.84,1019.84,1019.84,1019.84,0,0
20171108,KF-NGSFD,Fonds,1026.73,1026.73,1026.73,1026.73,0,0
20171107,KF-NGSFD,Fonds,1029.38,1029.38,1029.38,1029.38,0,0
20171106,KF-NGSFD,Fonds,1022.48,1022.48,1022.48,1022.48,0,0
