quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-NJFIN,Fonds,2.50,2.50,2.50,2.50,0,0
20171120,KF-NJFIN,Fonds,2.50,2.50,2.50,2.50,0,0
20171117,KF-NJFIN,Fonds,2.50,2.50,2.50,2.50,0,0
20171116,KF-NJFIN,Fonds,2.47,2.47,2.47,2.47,0,0
20171115,KF-NJFIN,Fonds,2.46,2.46,2.46,2.46,0,0
20171114,KF-NJFIN,Fonds,2.48,2.48,2.48,2.48,0,0
20171113,KF-NJFIN,Fonds,2.48,2.48,2.48,2.48,0,0
20171110,KF-NJFIN,Fonds,2.49,2.49,2.49,2.49,0,0
20171109,KF-NJFIN,Fonds,2.51,2.51,2.51,2.51,0,0
20171108,KF-NJFIN,Fonds,2.53,2.53,2.53,2.53,0,0
20171107,KF-NJFIN,Fonds,2.52,2.52,2.52,2.52,0,0
20171106,KF-NJFIN,Fonds,2.49,2.49,2.49,2.49,0,0
20171102,KF-NJFIN,Fonds,2.49,2.49,2.49,2.49,0,0
20171101,KF-NJFIN,Fonds,2.48,2.48,2.48,2.48,0,0
20171031,KF-NJFIN,Fonds,2.46,2.46,2.46,2.46,0,0
20171030,KF-NJFIN,Fonds,2.47,2.47,2.47,2.47,0,0
20171027,KF-NJFIN,Fonds,2.47,2.47,2.47,2.47,0,0
20171026,KF-NJFIN,Fonds,2.43,2.43,2.43,2.43,0,0
20171025,KF-NJFIN,Fonds,2.39,2.39,2.39,2.39,0,0
20171024,KF-NJFIN,Fonds,2.38,2.38,2.38,2.38,0,0
20171023,KF-NJFIN,Fonds,2.37,2.37,2.37,2.37,0,0
20171020,KF-NJFIN,Fonds,2.35,2.35,2.35,2.35,0,0
20171019,KF-NJFIN,Fonds,2.36,2.36,2.36,2.36,0,0
20171018,KF-NJFIN,Fonds,2.35,2.35,2.35,2.35,0,0
20171017,KF-NJFIN,Fonds,2.35,2.35,2.35,2.35,0,0
20171016,KF-NJFIN,Fonds,2.34,2.34,2.34,2.34,0,0
20171013,KF-NJFIN,Fonds,2.32,2.32,2.32,2.32,0,0
20171012,KF-NJFIN,Fonds,2.31,2.31,2.31,2.31,0,0
20171011,KF-NJFIN,Fonds,2.30,2.30,2.30,2.30,0,0
20171010,KF-NJFIN,Fonds,2.31,2.31,2.31,2.31,0,0
20171006,KF-NJFIN,Fonds,2.29,2.29,2.29,2.29,0,0
20171005,KF-NJFIN,Fonds,2.29,2.29,2.29,2.29,0,0
20171004,KF-NJFIN,Fonds,2.28,2.28,2.28,2.28,0,0
20171003,KF-NJFIN,Fonds,2.30,2.30,2.30,2.30,0,0
20171002,KF-NJFIN,Fonds,2.28,2.28,2.28,2.28,0,0
20170929,KF-NJFIN,Fonds,2.28,2.28,2.28,2.28,0,0
20170928,KF-NJFIN,Fonds,2.28,2.28,2.28,2.28,0,0
20170927,KF-NJFIN,Fonds,2.26,2.26,2.26,2.26,0,0
20170926,KF-NJFIN,Fonds,2.25,2.25,2.25,2.25,0,0
20170925,KF-NJFIN,Fonds,2.23,2.23,2.23,2.23,0,0
20170922,KF-NJFIN,Fonds,2.21,2.21,2.21,2.21,0,0
20170921,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170920,KF-NJFIN,Fonds,2.23,2.23,2.23,2.23,0,0
20170919,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
20170915,KF-NJFIN,Fonds,2.21,2.21,2.21,2.21,0,0
20170914,KF-NJFIN,Fonds,2.23,2.23,2.23,2.23,0,0
20170913,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170912,KF-NJFIN,Fonds,2.21,2.21,2.21,2.21,0,0
20170911,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170908,KF-NJFIN,Fonds,2.18,2.18,2.18,2.18,0,0
20170907,KF-NJFIN,Fonds,2.17,2.17,2.17,2.17,0,0
20170906,KF-NJFIN,Fonds,2.16,2.16,2.16,2.16,0,0
20170905,KF-NJFIN,Fonds,2.16,2.16,2.16,2.16,0,0
20170904,KF-NJFIN,Fonds,2.18,2.18,2.18,2.18,0,0
20170901,KF-NJFIN,Fonds,2.19,2.19,2.19,2.19,0,0
20170831,KF-NJFIN,Fonds,2.18,2.18,2.18,2.18,0,0
20170830,KF-NJFIN,Fonds,2.16,2.16,2.16,2.16,0,0
20170829,KF-NJFIN,Fonds,2.17,2.17,2.17,2.17,0,0
20170828,KF-NJFIN,Fonds,2.17,2.17,2.17,2.17,0,0
20170825,KF-NJFIN,Fonds,2.17,2.17,2.17,2.17,0,0
20170824,KF-NJFIN,Fonds,2.18,2.18,2.18,2.18,0,0
20170823,KF-NJFIN,Fonds,2.20,2.20,2.20,2.20,0,0
20170822,KF-NJFIN,Fonds,2.20,2.20,2.20,2.20,0,0
20170821,KF-NJFIN,Fonds,2.20,2.20,2.20,2.20,0,0
20170818,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170817,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170816,KF-NJFIN,Fonds,2.21,2.21,2.21,2.21,0,0
20170815,KF-NJFIN,Fonds,2.21,2.21,2.21,2.21,0,0
20170814,KF-NJFIN,Fonds,2.20,2.20,2.20,2.20,0,0
20170810,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170809,KF-NJFIN,Fonds,2.23,2.23,2.23,2.23,0,0
20170808,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170807,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
20170804,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170803,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170802,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170801,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170731,KF-NJFIN,Fonds,2.21,2.21,2.21,2.21,0,0
20170728,KF-NJFIN,Fonds,2.20,2.20,2.20,2.20,0,0
20170727,KF-NJFIN,Fonds,2.20,2.20,2.20,2.20,0,0
20170726,KF-NJFIN,Fonds,2.20,2.20,2.20,2.20,0,0
20170725,KF-NJFIN,Fonds,2.18,2.18,2.18,2.18,0,0
20170724,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170721,KF-NJFIN,Fonds,2.23,2.23,2.23,2.23,0,0
20170720,KF-NJFIN,Fonds,2.23,2.23,2.23,2.23,0,0
20170719,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170718,KF-NJFIN,Fonds,2.21,2.21,2.21,2.21,0,0
20170714,KF-NJFIN,Fonds,2.25,2.25,2.25,2.25,0,0
20170713,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
20170712,KF-NJFIN,Fonds,2.25,2.25,2.25,2.25,0,0
20170711,KF-NJFIN,Fonds,2.25,2.25,2.25,2.25,0,0
20170710,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
20170707,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
20170706,KF-NJFIN,Fonds,2.26,2.26,2.26,2.26,0,0
20170705,KF-NJFIN,Fonds,2.27,2.27,2.27,2.27,0,0
20170704,KF-NJFIN,Fonds,2.25,2.25,2.25,2.25,0,0
20170703,KF-NJFIN,Fonds,2.25,2.25,2.25,2.25,0,0
20170630,KF-NJFIN,Fonds,2.28,2.28,2.28,2.28,0,0
20170629,KF-NJFIN,Fonds,2.29,2.29,2.29,2.29,0,0
20170628,KF-NJFIN,Fonds,2.29,2.29,2.29,2.29,0,0
20170627,KF-NJFIN,Fonds,2.30,2.30,2.30,2.30,0,0
20170626,KF-NJFIN,Fonds,2.30,2.30,2.30,2.30,0,0
20170622,KF-NJFIN,Fonds,2.32,2.32,2.32,2.32,0,0
20170621,KF-NJFIN,Fonds,2.32,2.32,2.32,2.32,0,0
20170620,KF-NJFIN,Fonds,2.33,2.33,2.33,2.33,0,0
20170619,KF-NJFIN,Fonds,2.30,2.30,2.30,2.30,0,0
20170616,KF-NJFIN,Fonds,2.29,2.29,2.29,2.29,0,0
20170615,KF-NJFIN,Fonds,2.30,2.30,2.30,2.30,0,0
20170614,KF-NJFIN,Fonds,2.30,2.30,2.30,2.30,0,0
20170613,KF-NJFIN,Fonds,2.31,2.31,2.31,2.31,0,0
20170612,KF-NJFIN,Fonds,2.32,2.32,2.32,2.32,0,0
20170609,KF-NJFIN,Fonds,2.31,2.31,2.31,2.31,0,0
20170608,KF-NJFIN,Fonds,2.31,2.31,2.31,2.31,0,0
20170607,KF-NJFIN,Fonds,2.33,2.33,2.33,2.33,0,0
20170606,KF-NJFIN,Fonds,2.33,2.33,2.33,2.33,0,0
20170602,KF-NJFIN,Fonds,2.33,2.33,2.33,2.33,0,0
20170601,KF-NJFIN,Fonds,2.28,2.28,2.28,2.28,0,0
20170531,KF-NJFIN,Fonds,2.26,2.26,2.26,2.26,0,0
20170530,KF-NJFIN,Fonds,2.27,2.27,2.27,2.27,0,0
20170529,KF-NJFIN,Fonds,2.25,2.25,2.25,2.25,0,0
20170526,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
20170524,KF-NJFIN,Fonds,2.23,2.23,2.23,2.23,0,0
20170523,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170522,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170519,KF-NJFIN,Fonds,2.22,2.22,2.22,2.22,0,0
20170518,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
20170516,KF-NJFIN,Fonds,2.24,2.24,2.24,2.24,0,0
