quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-NKRED,Fonds,1122.25,1122.25,1122.25,1122.25,0,0
20171108,KF-NKRED,Fonds,1123.06,1123.06,1123.06,1123.06,0,0
20171107,KF-NKRED,Fonds,1122.67,1122.67,1122.67,1122.67,0,0
20171106,KF-NKRED,Fonds,1122.54,1122.54,1122.54,1122.54,0,0
20171103,KF-NKRED,Fonds,1122.02,1122.02,1122.02,1122.02,0,0
20171102,KF-NKRED,Fonds,1121.62,1121.62,1121.62,1121.62,0,0
20171101,KF-NKRED,Fonds,1121.38,1121.38,1121.38,1121.38,0,0
20171031,KF-NKRED,Fonds,1121.13,1121.13,1121.13,1121.13,0,0
20171030,KF-NKRED,Fonds,1121.00,1121.00,1121.00,1121.00,0,0
20171027,KF-NKRED,Fonds,1120.24,1120.24,1120.24,1120.24,0,0
20171026,KF-NKRED,Fonds,1120.16,1120.16,1120.16,1120.16,0,0
20171025,KF-NKRED,Fonds,1119.62,1119.62,1119.62,1119.62,0,0
20171024,KF-NKRED,Fonds,1119.82,1119.82,1119.82,1119.82,0,0
20171023,KF-NKRED,Fonds,1120.26,1120.26,1120.26,1120.26,0,0
20171020,KF-NKRED,Fonds,1119.98,1119.98,1119.98,1119.98,0,0
20171019,KF-NKRED,Fonds,1120.39,1120.39,1120.39,1120.39,0,0
20171018,KF-NKRED,Fonds,1120.21,1120.21,1120.21,1120.21,0,0
20171017,KF-NKRED,Fonds,1120.33,1120.33,1120.33,1120.33,0,0
20171016,KF-NKRED,Fonds,1119.98,1119.98,1119.98,1119.98,0,0
20171013,KF-NKRED,Fonds,1119.60,1119.60,1119.60,1119.60,0,0
20171012,KF-NKRED,Fonds,1119.06,1119.06,1119.06,1119.06,0,0
20171011,KF-NKRED,Fonds,1119.60,1119.60,1119.60,1119.60,0,0
20171010,KF-NKRED,Fonds,1119.59,1119.59,1119.59,1119.59,0,0
20171009,KF-NKRED,Fonds,1119.66,1119.66,1119.66,1119.66,0,0
20171006,KF-NKRED,Fonds,1119.13,1119.13,1119.13,1119.13,0,0
20171005,KF-NKRED,Fonds,1120.09,1120.09,1120.09,1120.09,0,0
20171004,KF-NKRED,Fonds,1120.21,1120.21,1120.21,1120.21,0,0
20171003,KF-NKRED,Fonds,1119.80,1119.80,1119.80,1119.80,0,0
20171002,KF-NKRED,Fonds,1120.16,1120.16,1120.16,1120.16,0,0
20170929,KF-NKRED,Fonds,1119.84,1119.84,1119.84,1119.84,0,0
20170928,KF-NKRED,Fonds,1119.51,1119.51,1119.51,1119.51,0,0
20170927,KF-NKRED,Fonds,1119.75,1119.75,1119.75,1119.75,0,0
20170926,KF-NKRED,Fonds,1120.26,1120.26,1120.26,1120.26,0,0
20170925,KF-NKRED,Fonds,1120.17,1120.17,1120.17,1120.17,0,0
20170922,KF-NKRED,Fonds,1119.77,1119.77,1119.77,1119.77,0,0
20170921,KF-NKRED,Fonds,1119.62,1119.62,1119.62,1119.62,0,0
20170920,KF-NKRED,Fonds,1120.39,1120.39,1120.39,1120.39,0,0
20170919,KF-NKRED,Fonds,1120.41,1120.41,1120.41,1120.41,0,0
20170918,KF-NKRED,Fonds,1120.29,1120.29,1120.29,1120.29,0,0
20170915,KF-NKRED,Fonds,1120.49,1120.49,1120.49,1120.49,0,0
20170914,KF-NKRED,Fonds,1120.74,1120.74,1120.74,1120.74,0,0
20170913,KF-NKRED,Fonds,1121.03,1121.03,1121.03,1121.03,0,0
20170912,KF-NKRED,Fonds,1121.22,1121.22,1121.22,1121.22,0,0
20170911,KF-NKRED,Fonds,1121.73,1121.73,1121.73,1121.73,0,0
