quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-NOAMV,Fonds,428.42,428.42,428.42,428.42,0,0
20171108,KF-NOAMV,Fonds,432.08,432.08,432.08,432.08,0,0
20171107,KF-NOAMV,Fonds,434.72,434.72,434.72,434.72,0,0
20171106,KF-NOAMV,Fonds,432.05,432.05,432.05,432.05,0,0
20171103,KF-NOAMV,Fonds,431.41,431.41,431.41,431.41,0,0
20171102,KF-NOAMV,Fonds,429.48,429.48,429.48,429.48,0,0
20171031,KF-NOAMV,Fonds,432.36,432.36,432.36,432.36,0,0
20171030,KF-NOAMV,Fonds,433.99,433.99,433.99,433.99,0,0
20171027,KF-NOAMV,Fonds,434.84,434.84,434.84,434.84,0,0
20171026,KF-NOAMV,Fonds,427.32,427.32,427.32,427.32,0,0
20171025,KF-NOAMV,Fonds,423.93,423.93,423.93,423.93,0,0
20171024,KF-NOAMV,Fonds,424.01,424.01,424.01,424.01,0,0
20171023,KF-NOAMV,Fonds,425.86,425.86,425.86,425.86,0,0
20171020,KF-NOAMV,Fonds,423.09,423.09,423.09,423.09,0,0
20171019,KF-NOAMV,Fonds,419.19,419.19,419.19,419.19,0,0
20171018,KF-NOAMV,Fonds,422.64,422.64,422.64,422.64,0,0
20171017,KF-NOAMV,Fonds,420.62,420.62,420.62,420.62,0,0
20171016,KF-NOAMV,Fonds,418.27,418.27,418.27,418.27,0,0
20171013,KF-NOAMV,Fonds,419.64,419.64,419.64,419.64,0,0
20171012,KF-NOAMV,Fonds,417.73,417.73,417.73,417.73,0,0
20171011,KF-NOAMV,Fonds,419.31,419.31,419.31,419.31,0,0
20171010,KF-NOAMV,Fonds,420.51,420.51,420.51,420.51,0,0
20171009,KF-NOAMV,Fonds,421.31,421.31,421.31,421.31,0,0
20171006,KF-NOAMV,Fonds,423.17,423.17,423.17,423.17,0,0
20171005,KF-NOAMV,Fonds,419.51,419.51,419.51,419.51,0,0
20171004,KF-NOAMV,Fonds,417.57,417.57,417.57,417.57,0,0
20171003,KF-NOAMV,Fonds,419.48,419.48,419.48,419.48,0,0
20171002,KF-NOAMV,Fonds,416.88,416.88,416.88,416.88,0,0
20170929,KF-NOAMV,Fonds,414.55,414.55,414.55,414.55,0,0
20170928,KF-NOAMV,Fonds,411.21,411.21,411.21,411.21,0,0
20170927,KF-NOAMV,Fonds,412.22,412.22,412.22,412.22,0,0
20170926,KF-NOAMV,Fonds,408.40,408.40,408.40,408.40,0,0
20170925,KF-NOAMV,Fonds,404.24,404.24,404.24,404.24,0,0
20170922,KF-NOAMV,Fonds,400.52,400.52,400.52,400.52,0,0
20170921,KF-NOAMV,Fonds,400.68,400.68,400.68,400.68,0,0
20170920,KF-NOAMV,Fonds,399.62,399.62,399.62,399.62,0,0
20170919,KF-NOAMV,Fonds,400.12,400.12,400.12,400.12,0,0
20170918,KF-NOAMV,Fonds,399.97,399.97,399.97,399.97,0,0
20170915,KF-NOAMV,Fonds,399.82,399.82,399.82,399.82,0,0
20170914,KF-NOAMV,Fonds,404.77,404.77,404.77,404.77,0,0
20170913,KF-NOAMV,Fonds,400.56,400.56,400.56,400.56,0,0
20170912,KF-NOAMV,Fonds,399.34,399.34,399.34,399.34,0,0
20170911,KF-NOAMV,Fonds,396.82,396.82,396.82,396.82,0,0
20170908,KF-NOAMV,Fonds,387.46,387.46,387.46,387.46,0,0
20170907,KF-NOAMV,Fonds,391.12,391.12,391.12,391.12,0,0
20170906,KF-NOAMV,Fonds,391.19,391.19,391.19,391.19,0,0
20170905,KF-NOAMV,Fonds,394.06,394.06,394.06,394.06,0,0
20170901,KF-NOAMV,Fonds,393.92,393.92,393.92,393.92,0,0
20170831,KF-NOAMV,Fonds,396.08,396.08,396.08,396.08,0,0
20170830,KF-NOAMV,Fonds,391.13,391.13,391.13,391.13,0,0
20170829,KF-NOAMV,Fonds,385.05,385.05,385.05,385.05,0,0
20170828,KF-NOAMV,Fonds,390.23,390.23,390.23,390.23,0,0
20170825,KF-NOAMV,Fonds,393.52,393.52,393.52,393.52,0,0
20170824,KF-NOAMV,Fonds,393.36,393.36,393.36,393.36,0,0
20170823,KF-NOAMV,Fonds,395.50,395.50,395.50,395.50,0,0
20170822,KF-NOAMV,Fonds,395.69,395.69,395.69,395.69,0,0
20170821,KF-NOAMV,Fonds,392.02,392.02,392.02,392.02,0,0
20170818,KF-NOAMV,Fonds,394.97,394.97,394.97,394.97,0,0
20170817,KF-NOAMV,Fonds,403.89,403.89,403.89,403.89,0,0
20170816,KF-NOAMV,Fonds,404.97,404.97,404.97,404.97,0,0
20170814,KF-NOAMV,Fonds,401.90,401.90,401.90,401.90,0,0
20170811,KF-NOAMV,Fonds,401.33,401.33,401.33,401.33,0,0
20170810,KF-NOAMV,Fonds,402.89,402.89,402.89,402.89,0,0
20170809,KF-NOAMV,Fonds,405.43,405.43,405.43,405.43,0,0
20170808,KF-NOAMV,Fonds,402.96,402.96,402.96,402.96,0,0
20170807,KF-NOAMV,Fonds,404.86,404.86,404.86,404.86,0,0
20170804,KF-NOAMV,Fonds,401.76,401.76,401.76,401.76,0,0
20170803,KF-NOAMV,Fonds,402.18,402.18,402.18,402.18,0,0
20170802,KF-NOAMV,Fonds,402.28,402.28,402.28,402.28,0,0
20170801,KF-NOAMV,Fonds,400.17,400.17,400.17,400.17,0,0
20170731,KF-NOAMV,Fonds,401.58,401.58,401.58,401.58,0,0
20170728,KF-NOAMV,Fonds,401.66,401.66,401.66,401.66,0,0
20170727,KF-NOAMV,Fonds,402.66,402.66,402.66,402.66,0,0
20170726,KF-NOAMV,Fonds,404.86,404.86,404.86,404.86,0,0
20170725,KF-NOAMV,Fonds,404.70,404.70,404.70,404.70,0,0
20170724,KF-NOAMV,Fonds,406.51,406.51,406.51,406.51,0,0
20170721,KF-NOAMV,Fonds,405.51,405.51,405.51,405.51,0,0
20170720,KF-NOAMV,Fonds,409.29,409.29,409.29,409.29,0,0
20170719,KF-NOAMV,Fonds,406.89,406.89,406.89,406.89,0,0
20170718,KF-NOAMV,Fonds,405.11,405.11,405.11,405.11,0,0
20170717,KF-NOAMV,Fonds,411.65,411.65,411.65,411.65,0,0
20170714,KF-NOAMV,Fonds,413.08,413.08,413.08,413.08,0,0
20170713,KF-NOAMV,Fonds,415.45,415.45,415.45,415.45,0,0
20170712,KF-NOAMV,Fonds,414.52,414.52,414.52,414.52,0,0
20170711,KF-NOAMV,Fonds,416.19,416.19,416.19,416.19,0,0
20170710,KF-NOAMV,Fonds,417.05,417.05,417.05,417.05,0,0
20170707,KF-NOAMV,Fonds,418.36,418.36,418.36,418.36,0,0
20170706,KF-NOAMV,Fonds,417.02,417.02,417.02,417.02,0,0
20170705,KF-NOAMV,Fonds,418.48,418.48,418.48,418.48,0,0
20170703,KF-NOAMV,Fonds,421.11,421.11,421.11,421.11,0,0
20170630,KF-NOAMV,Fonds,419.56,419.56,419.56,419.56,0,0
20170629,KF-NOAMV,Fonds,420.18,420.18,420.18,420.18,0,0
20170628,KF-NOAMV,Fonds,421.25,421.25,421.25,421.25,0,0
20170627,KF-NOAMV,Fonds,421.98,421.98,421.98,421.98,0,0
20170626,KF-NOAMV,Fonds,425.39,425.39,425.39,425.39,0,0
20170622,KF-NOAMV,Fonds,424.20,424.20,424.20,424.20,0,0
20170621,KF-NOAMV,Fonds,427.63,427.63,427.63,427.63,0,0
20170620,KF-NOAMV,Fonds,427.54,427.54,427.54,427.54,0,0
20170619,KF-NOAMV,Fonds,424.74,424.74,424.74,424.74,0,0
20170616,KF-NOAMV,Fonds,423.76,423.76,423.76,423.76,0,0
20170615,KF-NOAMV,Fonds,425.16,425.16,425.16,425.16,0,0
20170614,KF-NOAMV,Fonds,422.90,422.90,422.90,422.90,0,0
