quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-NSCAP,Fonds,122.25,122.25,122.25,122.25,0,0
20171120,KF-NSCAP,Fonds,122.79,122.79,122.79,122.79,0,0
20171117,KF-NSCAP,Fonds,122.38,122.38,122.38,122.38,0,0
20171116,KF-NSCAP,Fonds,121.92,121.92,121.92,121.92,0,0
20171115,KF-NSCAP,Fonds,120.64,120.64,120.64,120.64,0,0
20171114,KF-NSCAP,Fonds,121.62,121.62,121.62,121.62,0,0
20171113,KF-NSCAP,Fonds,120.39,120.39,120.39,120.39,0,0
20171110,KF-NSCAP,Fonds,121.97,121.97,121.97,121.97,0,0
20171109,KF-NSCAP,Fonds,122.26,122.26,122.26,122.26,0,0
20171108,KF-NSCAP,Fonds,123.53,123.53,123.53,123.53,0,0
20171107,KF-NSCAP,Fonds,124.42,124.42,124.42,124.42,0,0
20171106,KF-NSCAP,Fonds,124.27,124.27,124.27,124.27,0,0
20171103,KF-NSCAP,Fonds,124.75,124.75,124.75,124.75,0,0
20171102,KF-NSCAP,Fonds,124.04,124.04,124.04,124.04,0,0
20171101,KF-NSCAP,Fonds,124.71,124.71,124.71,124.71,0,0
20171031,KF-NSCAP,Fonds,124.97,124.97,124.97,124.97,0,0
20171030,KF-NSCAP,Fonds,124.40,124.40,124.40,124.40,0,0
20171027,KF-NSCAP,Fonds,124.00,124.00,124.00,124.00,0,0
20171026,KF-NSCAP,Fonds,122.97,122.97,122.97,122.97,0,0
20171025,KF-NSCAP,Fonds,122.35,122.35,122.35,122.35,0,0
20171024,KF-NSCAP,Fonds,122.06,122.06,122.06,122.06,0,0
20171023,KF-NSCAP,Fonds,122.63,122.63,122.63,122.63,0,0
20171020,KF-NSCAP,Fonds,122.84,122.84,122.84,122.84,0,0
20171019,KF-NSCAP,Fonds,121.48,121.48,121.48,121.48,0,0
20171018,KF-NSCAP,Fonds,122.08,122.08,122.08,122.08,0,0
20171017,KF-NSCAP,Fonds,121.40,121.40,121.40,121.40,0,0
20171016,KF-NSCAP,Fonds,121.40,121.40,121.40,121.40,0,0
20171013,KF-NSCAP,Fonds,121.59,121.59,121.59,121.59,0,0
20171012,KF-NSCAP,Fonds,121.79,121.79,121.79,121.79,0,0
20171011,KF-NSCAP,Fonds,122.54,122.54,122.54,122.54,0,0
20171010,KF-NSCAP,Fonds,122.74,122.74,122.74,122.74,0,0
20171009,KF-NSCAP,Fonds,122.92,122.92,122.92,122.92,0,0
20171006,KF-NSCAP,Fonds,123.17,123.17,123.17,123.17,0,0
20171005,KF-NSCAP,Fonds,123.14,123.14,123.14,123.14,0,0
20171004,KF-NSCAP,Fonds,122.44,122.44,122.44,122.44,0,0
20171003,KF-NSCAP,Fonds,122.61,122.61,122.61,122.61,0,0
20171002,KF-NSCAP,Fonds,121.94,121.94,121.94,121.94,0,0
20170929,KF-NSCAP,Fonds,121.17,121.17,121.17,121.17,0,0
20170928,KF-NSCAP,Fonds,120.48,120.48,120.48,120.48,0,0
20170927,KF-NSCAP,Fonds,120.16,120.16,120.16,120.16,0,0
20170926,KF-NSCAP,Fonds,119.55,119.55,119.55,119.55,0,0
20170925,KF-NSCAP,Fonds,119.49,119.49,119.49,119.49,0,0
20170922,KF-NSCAP,Fonds,119.58,119.58,119.58,119.58,0,0
20170921,KF-NSCAP,Fonds,119.49,119.49,119.49,119.49,0,0
20170920,KF-NSCAP,Fonds,119.43,119.43,119.43,119.43,0,0
20170919,KF-NSCAP,Fonds,119.16,119.16,119.16,119.16,0,0
20170918,KF-NSCAP,Fonds,119.15,119.15,119.15,119.15,0,0
20170915,KF-NSCAP,Fonds,118.99,118.99,118.99,118.99,0,0
20170914,KF-NSCAP,Fonds,119.70,119.70,119.70,119.70,0,0
20170913,KF-NSCAP,Fonds,119.14,119.14,119.14,119.14,0,0
20170912,KF-NSCAP,Fonds,118.64,118.64,118.64,118.64,0,0
20170911,KF-NSCAP,Fonds,118.18,118.18,118.18,118.18,0,0
20170908,KF-NSCAP,Fonds,116.44,116.44,116.44,116.44,0,0
20170907,KF-NSCAP,Fonds,116.37,116.37,116.37,116.37,0,0
20170906,KF-NSCAP,Fonds,116.11,116.11,116.11,116.11,0,0
20170905,KF-NSCAP,Fonds,116.72,116.72,116.72,116.72,0,0
20170904,KF-NSCAP,Fonds,116.71,116.71,116.71,116.71,0,0
20170901,KF-NSCAP,Fonds,116.89,116.89,116.89,116.89,0,0
20170831,KF-NSCAP,Fonds,116.01,116.01,116.01,116.01,0,0
20170830,KF-NSCAP,Fonds,115.22,115.22,115.22,115.22,0,0
20170829,KF-NSCAP,Fonds,114.53,114.53,114.53,114.53,0,0
20170828,KF-NSCAP,Fonds,115.78,115.78,115.78,115.78,0,0
20170825,KF-NSCAP,Fonds,115.72,115.72,115.72,115.72,0,0
20170824,KF-NSCAP,Fonds,115.82,115.82,115.82,115.82,0,0
20170823,KF-NSCAP,Fonds,116.59,116.59,116.59,116.59,0,0
20170822,KF-NSCAP,Fonds,116.18,116.18,116.18,116.18,0,0
20170821,KF-NSCAP,Fonds,115.75,115.75,115.75,115.75,0,0
20170818,KF-NSCAP,Fonds,116.13,116.13,116.13,116.13,0,0
20170817,KF-NSCAP,Fonds,117.19,117.19,117.19,117.19,0,0
20170816,KF-NSCAP,Fonds,117.53,117.53,117.53,117.53,0,0
20170815,KF-NSCAP,Fonds,117.34,117.34,117.34,117.34,0,0
20170814,KF-NSCAP,Fonds,117.07,117.07,117.07,117.07,0,0
20170811,KF-NSCAP,Fonds,116.42,116.42,116.42,116.42,0,0
20170810,KF-NSCAP,Fonds,117.63,117.63,117.63,117.63,0,0
20170809,KF-NSCAP,Fonds,117.77,117.77,117.77,117.77,0,0
20170808,KF-NSCAP,Fonds,118.55,118.55,118.55,118.55,0,0
20170807,KF-NSCAP,Fonds,118.77,118.77,118.77,118.77,0,0
20170804,KF-NSCAP,Fonds,118.59,118.59,118.59,118.59,0,0
20170803,KF-NSCAP,Fonds,118.45,118.45,118.45,118.45,0,0
20170802,KF-NSCAP,Fonds,118.05,118.05,118.05,118.05,0,0
20170801,KF-NSCAP,Fonds,117.54,117.54,117.54,117.54,0,0
20170731,KF-NSCAP,Fonds,116.87,116.87,116.87,116.87,0,0
