quote_date,paper,exch,open,high,low,close,volume,value
20171121,KF-OBLII,Fonds,1255.84,1255.84,1255.84,1255.84,0,0
20171120,KF-OBLII,Fonds,1255.87,1255.87,1255.87,1255.87,0,0
20171117,KF-OBLII,Fonds,1254.86,1254.86,1254.86,1254.86,0,0
20171116,KF-OBLII,Fonds,1254.52,1254.52,1254.52,1254.52,0,0
20171115,KF-OBLII,Fonds,1254.71,1254.71,1254.71,1254.71,0,0
20171114,KF-OBLII,Fonds,1253.85,1253.85,1253.85,1253.85,0,0
20171113,KF-OBLII,Fonds,1253.62,1253.62,1253.62,1253.62,0,0
20171110,KF-OBLII,Fonds,1253.79,1253.79,1253.79,1253.79,0,0
20171109,KF-OBLII,Fonds,1253.71,1253.71,1253.71,1253.71,0,0
20171108,KF-OBLII,Fonds,1254.40,1254.40,1254.40,1254.40,0,0
20171107,KF-OBLII,Fonds,1254.01,1254.01,1254.01,1254.01,0,0
20171106,KF-OBLII,Fonds,1253.88,1253.88,1253.88,1253.88,0,0
20171103,KF-OBLII,Fonds,1253.32,1253.32,1253.32,1253.32,0,0
20171102,KF-OBLII,Fonds,1252.90,1252.90,1252.90,1252.90,0,0
20171101,KF-OBLII,Fonds,1252.58,1252.58,1252.58,1252.58,0,0
20171031,KF-OBLII,Fonds,1252.28,1252.28,1252.28,1252.28,0,0
20171030,KF-OBLII,Fonds,1252.11,1252.11,1252.11,1252.11,0,0
20171027,KF-OBLII,Fonds,1251.27,1251.27,1251.27,1251.27,0,0
20171026,KF-OBLII,Fonds,1251.15,1251.15,1251.15,1251.15,0,0
20171025,KF-OBLII,Fonds,1250.48,1250.48,1250.48,1250.48,0,0
20171024,KF-OBLII,Fonds,1250.68,1250.68,1250.68,1250.68,0,0
20171023,KF-OBLII,Fonds,1251.05,1251.05,1251.05,1251.05,0,0
20171020,KF-OBLII,Fonds,1250.75,1250.75,1250.75,1250.75,0,0
20171019,KF-OBLII,Fonds,1251.20,1251.20,1251.20,1251.20,0,0
20171018,KF-OBLII,Fonds,1251.00,1251.00,1251.00,1251.00,0,0
20171017,KF-OBLII,Fonds,1251.12,1251.12,1251.12,1251.12,0,0
20171016,KF-OBLII,Fonds,1250.51,1250.51,1250.51,1250.51,0,0
20171013,KF-OBLII,Fonds,1250.10,1250.10,1250.10,1250.10,0,0
20171012,KF-OBLII,Fonds,1249.51,1249.51,1249.51,1249.51,0,0
20171011,KF-OBLII,Fonds,1250.37,1250.37,1250.37,1250.37,0,0
20171010,KF-OBLII,Fonds,1250.39,1250.39,1250.39,1250.39,0,0
20171009,KF-OBLII,Fonds,1250.86,1250.86,1250.86,1250.86,0,0
20171006,KF-OBLII,Fonds,1250.27,1250.27,1250.27,1250.27,0,0
20171005,KF-OBLII,Fonds,1251.40,1251.40,1251.40,1251.40,0,0
20171004,KF-OBLII,Fonds,1251.45,1251.45,1251.45,1251.45,0,0
20171003,KF-OBLII,Fonds,1251.03,1251.03,1251.03,1251.03,0,0
20171002,KF-OBLII,Fonds,1251.43,1251.43,1251.43,1251.43,0,0
20170929,KF-OBLII,Fonds,1251.28,1251.28,1251.28,1251.28,0,0
20170928,KF-OBLII,Fonds,1250.86,1250.86,1250.86,1250.86,0,0
20170927,KF-OBLII,Fonds,1251.39,1251.39,1251.39,1251.39,0,0
20170926,KF-OBLII,Fonds,1252.04,1252.04,1252.04,1252.04,0,0
20170925,KF-OBLII,Fonds,1251.95,1251.95,1251.95,1251.95,0,0
20170922,KF-OBLII,Fonds,1251.55,1251.55,1251.55,1251.55,0,0
20170921,KF-OBLII,Fonds,1251.41,1251.41,1251.41,1251.41,0,0
20170920,KF-OBLII,Fonds,1252.47,1252.47,1252.47,1252.47,0,0
20170919,KF-OBLII,Fonds,1252.51,1252.51,1252.51,1252.51,0,0
20170918,KF-OBLII,Fonds,1252.35,1252.35,1252.35,1252.35,0,0
20170915,KF-OBLII,Fonds,1252.60,1252.60,1252.60,1252.60,0,0
20170914,KF-OBLII,Fonds,1252.89,1252.89,1252.89,1252.89,0,0
20170913,KF-OBLII,Fonds,1253.32,1253.32,1253.32,1253.32,0,0
20170912,KF-OBLII,Fonds,1253.45,1253.45,1253.45,1253.45,0,0
20170911,KF-OBLII,Fonds,1254.03,1254.03,1254.03,1254.03,0,0
