quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-PLAKI,Fonds,1085.15,1085.15,1085.15,1085.15,0,0
20171108,KF-PLAKI,Fonds,1086.20,1086.20,1086.20,1086.20,0,0
20171107,KF-PLAKI,Fonds,1086.53,1086.53,1086.53,1086.53,0,0
20171106,KF-PLAKI,Fonds,1086.46,1086.46,1086.46,1086.46,0,0
20171103,KF-PLAKI,Fonds,1086.23,1086.23,1086.23,1086.23,0,0
20171102,KF-PLAKI,Fonds,1086.14,1086.14,1086.14,1086.14,0,0
20171101,KF-PLAKI,Fonds,1086.08,1086.08,1086.08,1086.08,0,0
20171031,KF-PLAKI,Fonds,1085.74,1085.74,1085.74,1085.74,0,0
20171030,KF-PLAKI,Fonds,1085.39,1085.39,1085.39,1085.39,0,0
20171027,KF-PLAKI,Fonds,1084.52,1084.52,1084.52,1084.52,0,0
20171026,KF-PLAKI,Fonds,1084.30,1084.30,1084.30,1084.30,0,0
20171025,KF-PLAKI,Fonds,1083.82,1083.82,1083.82,1083.82,0,0
20171024,KF-PLAKI,Fonds,1084.04,1084.04,1084.04,1084.04,0,0
20171023,KF-PLAKI,Fonds,1084.72,1084.72,1084.72,1084.72,0,0
20171020,KF-PLAKI,Fonds,1084.25,1084.25,1084.25,1084.25,0,0
20171019,KF-PLAKI,Fonds,1084.43,1084.43,1084.43,1084.43,0,0
20171018,KF-PLAKI,Fonds,1084.38,1084.38,1084.38,1084.38,0,0
20171017,KF-PLAKI,Fonds,1084.06,1084.06,1084.06,1084.06,0,0
20171016,KF-PLAKI,Fonds,1083.93,1083.93,1083.93,1083.93,0,0
20171013,KF-PLAKI,Fonds,1083.61,1083.61,1083.61,1083.61,0,0
20171012,KF-PLAKI,Fonds,1083.22,1083.22,1083.22,1083.22,0,0
20171011,KF-PLAKI,Fonds,1083.50,1083.50,1083.50,1083.50,0,0
20171010,KF-PLAKI,Fonds,1083.45,1083.45,1083.45,1083.45,0,0
20171009,KF-PLAKI,Fonds,1083.40,1083.40,1083.40,1083.40,0,0
20171006,KF-PLAKI,Fonds,1083.16,1083.16,1083.16,1083.16,0,0
20171005,KF-PLAKI,Fonds,1083.56,1083.56,1083.56,1083.56,0,0
20171004,KF-PLAKI,Fonds,1083.49,1083.49,1083.49,1083.49,0,0
20171003,KF-PLAKI,Fonds,1083.11,1083.11,1083.11,1083.11,0,0
20171002,KF-PLAKI,Fonds,1082.99,1082.99,1082.99,1082.99,0,0
20170929,KF-PLAKI,Fonds,1082.56,1082.56,1082.56,1082.56,0,0
20170928,KF-PLAKI,Fonds,1081.78,1081.78,1081.78,1081.78,0,0
20170927,KF-PLAKI,Fonds,1082.05,1082.05,1082.05,1082.05,0,0
20170926,KF-PLAKI,Fonds,1082.44,1082.44,1082.44,1082.44,0,0
20170925,KF-PLAKI,Fonds,1082.24,1082.24,1082.24,1082.24,0,0
20170922,KF-PLAKI,Fonds,1081.88,1081.88,1081.88,1081.88,0,0
20170921,KF-PLAKI,Fonds,1081.57,1081.57,1081.57,1081.57,0,0
20170920,KF-PLAKI,Fonds,1081.95,1081.95,1081.95,1081.95,0,0
20170919,KF-PLAKI,Fonds,1081.93,1081.93,1081.93,1081.93,0,0
20170918,KF-PLAKI,Fonds,1081.80,1081.80,1081.80,1081.80,0,0
20170915,KF-PLAKI,Fonds,1081.54,1081.54,1081.54,1081.54,0,0
20170914,KF-PLAKI,Fonds,1081.67,1081.67,1081.67,1081.67,0,0
20170913,KF-PLAKI,Fonds,1081.97,1081.97,1081.97,1081.97,0,0
20170912,KF-PLAKI,Fonds,1081.72,1081.72,1081.72,1081.72,0,0
20170911,KF-PLAKI,Fonds,1081.73,1081.73,1081.73,1081.73,0,0
20170908,KF-PLAKI,Fonds,1081.28,1081.28,1081.28,1081.28,0,0
20170907,KF-PLAKI,Fonds,1081.07,1081.07,1081.07,1081.07,0,0
20170906,KF-PLAKI,Fonds,1080.91,1080.91,1080.91,1080.91,0,0
20170905,KF-PLAKI,Fonds,1080.74,1080.74,1080.74,1080.74,0,0
20170904,KF-PLAKI,Fonds,1080.47,1080.47,1080.47,1080.47,0,0
20170901,KF-PLAKI,Fonds,1080.38,1080.38,1080.38,1080.38,0,0
