quote_date,paper,exch,open,high,low,close,volume,value
20171109,KF-STGBL,Fonds,2476.34,2476.34,2476.34,2476.34,0,0
20171108,KF-STGBL,Fonds,2477.43,2477.43,2477.43,2477.43,0,0
20171107,KF-STGBL,Fonds,2478.93,2478.93,2478.93,2478.93,0,0
20171106,KF-STGBL,Fonds,2474.20,2474.20,2474.20,2474.20,0,0
20171103,KF-STGBL,Fonds,2469.73,2469.73,2469.73,2469.73,0,0
20171102,KF-STGBL,Fonds,2467.99,2467.99,2467.99,2467.99,0,0
20171101,KF-STGBL,Fonds,2473.56,2473.56,2473.56,2473.56,0,0
20171031,KF-STGBL,Fonds,2470.22,2470.22,2470.22,2470.22,0,0
20171030,KF-STGBL,Fonds,2471.04,2471.04,2471.04,2471.04,0,0
20171027,KF-STGBL,Fonds,2471.09,2471.09,2471.09,2471.09,0,0
20171026,KF-STGBL,Fonds,2479.74,2479.74,2479.74,2479.74,0,0
20171025,KF-STGBL,Fonds,2470.97,2470.97,2470.97,2470.97,0,0
20171024,KF-STGBL,Fonds,2471.32,2471.32,2471.32,2471.32,0,0
20171023,KF-STGBL,Fonds,2486.91,2486.91,2486.91,2486.91,0,0
20171020,KF-STGBL,Fonds,2479.50,2479.50,2479.50,2479.50,0,0
20171019,KF-STGBL,Fonds,2468.63,2468.63,2468.63,2468.63,0,0
20171018,KF-STGBL,Fonds,2475.25,2475.25,2475.25,2475.25,0,0
20171017,KF-STGBL,Fonds,2461.66,2461.66,2461.66,2461.66,0,0
20171016,KF-STGBL,Fonds,2460.30,2460.30,2460.30,2460.30,0,0
20171013,KF-STGBL,Fonds,2453.98,2453.98,2453.98,2453.98,0,0
20171012,KF-STGBL,Fonds,2452.91,2452.91,2452.91,2452.91,0,0
20171011,KF-STGBL,Fonds,2457.90,2457.90,2457.90,2457.90,0,0
20171010,KF-STGBL,Fonds,2459.73,2459.73,2459.73,2459.73,0,0
20171009,KF-STGBL,Fonds,2459.08,2459.08,2459.08,2459.08,0,0
20171006,KF-STGBL,Fonds,2474.23,2474.23,2474.23,2474.23,0,0
20171005,KF-STGBL,Fonds,2472.12,2472.12,2472.12,2472.12,0,0
20171004,KF-STGBL,Fonds,2466.94,2466.94,2466.94,2466.94,0,0
20171003,KF-STGBL,Fonds,2465.17,2465.17,2465.17,2465.17,0,0
20171002,KF-STGBL,Fonds,2459.74,2459.74,2459.74,2459.74,0,0
20170929,KF-STGBL,Fonds,2448.09,2448.09,2448.09,2448.09,0,0
20170928,KF-STGBL,Fonds,2443.09,2443.09,2443.09,2443.09,0,0
20170927,KF-STGBL,Fonds,2446.52,2446.52,2446.52,2446.52,0,0
20170926,KF-STGBL,Fonds,2450.08,2450.08,2450.08,2450.08,0,0
20170925,KF-STGBL,Fonds,2442.31,2442.31,2442.31,2442.31,0,0
20170922,KF-STGBL,Fonds,2433.97,2433.97,2433.97,2433.97,0,0
20170921,KF-STGBL,Fonds,2434.42,2434.42,2434.42,2434.42,0,0
20170920,KF-STGBL,Fonds,2439.22,2439.22,2439.22,2439.22,0,0
20170919,KF-STGBL,Fonds,2439.22,2439.22,2439.22,2439.22,0,0
20170918,KF-STGBL,Fonds,2439.71,2439.71,2439.71,2439.71,0,0
20170915,KF-STGBL,Fonds,2433.28,2433.28,2433.28,2433.28,0,0
20170914,KF-STGBL,Fonds,2440.29,2440.29,2440.29,2440.29,0,0
20170913,KF-STGBL,Fonds,2447.53,2447.53,2447.53,2447.53,0,0
20170912,KF-STGBL,Fonds,2441.45,2441.45,2441.45,2441.45,0,0
20170911,KF-STGBL,Fonds,2434.07,2434.07,2434.07,2434.07,0,0
20170908,KF-STGBL,Fonds,2414.15,2414.15,2414.15,2414.15,0,0
20170907,KF-STGBL,Fonds,2419.48,2419.48,2419.48,2419.48,0,0
20170906,KF-STGBL,Fonds,2414.99,2414.99,2414.99,2414.99,0,0
20170905,KF-STGBL,Fonds,2418.63,2418.63,2418.63,2418.63,0,0
20170904,KF-STGBL,Fonds,2422.26,2422.26,2422.26,2422.26,0,0
20170901,KF-STGBL,Fonds,2426.13,2426.13,2426.13,2426.13,0,0
20170831,KF-STGBL,Fonds,2421.03,2421.03,2421.03,2421.03,0,0
20170830,KF-STGBL,Fonds,2407.08,2407.08,2407.08,2407.08,0,0
20170829,KF-STGBL,Fonds,2396.39,2396.39,2396.39,2396.39,0,0
20170828,KF-STGBL,Fonds,2405.22,2405.22,2405.22,2405.22,0,0
20170825,KF-STGBL,Fonds,2409.22,2409.22,2409.22,2409.22,0,0
20170824,KF-STGBL,Fonds,2404.09,2404.09,2404.09,2404.09,0,0
20170823,KF-STGBL,Fonds,2408.31,2408.31,2408.31,2408.31,0,0
20170822,KF-STGBL,Fonds,2408.50,2408.50,2408.50,2408.50,0,0
20170821,KF-STGBL,Fonds,2395.32,2395.32,2395.32,2395.32,0,0
20170818,KF-STGBL,Fonds,2399.75,2399.75,2399.75,2399.75,0,0
