quote_date,paper,exch,open,high,low,close,volume,value
20171109,KL-AAII,Fonds,1741.1795,1741.1795,1741.1795,1741.1795,0,0
20171108,KL-AAII,Fonds,1752.2283,1752.2283,1752.2283,1752.2283,0,0
20171107,KL-AAII,Fonds,1743.2516,1743.2516,1743.2516,1743.2516,0,0
20171106,KL-AAII,Fonds,1720.9114,1720.9114,1720.9114,1720.9114,0,0
20171102,KL-AAII,Fonds,1718.9852,1718.9852,1718.9852,1718.9852,0,0
20171101,KL-AAII,Fonds,1714.4346,1714.4346,1714.4346,1714.4346,0,0
20171031,KL-AAII,Fonds,1704.8228,1704.8228,1704.8228,1704.8228,0,0
20171030,KL-AAII,Fonds,1710.4407,1710.4407,1710.4407,1710.4407,0,0
20171027,KL-AAII,Fonds,1708.9885,1708.9885,1708.9885,1708.9885,0,0
20171026,KL-AAII,Fonds,1688.1822,1688.1822,1688.1822,1688.1822,0,0
20171025,KL-AAII,Fonds,1665.0604,1665.0604,1665.0604,1665.0604,0,0
20171024,KL-AAII,Fonds,1662.26,1662.26,1662.26,1662.26,0,0
20171023,KL-AAII,Fonds,1661.2952,1661.2952,1661.2952,1661.2952,0,0
20171020,KL-AAII,Fonds,1653.2002,1653.2002,1653.2002,1653.2002,0,0
20171019,KL-AAII,Fonds,1655.166,1655.166,1655.166,1655.166,0,0
20171018,KL-AAII,Fonds,1650.3264,1650.3264,1650.3264,1650.3264,0,0
20171017,KL-AAII,Fonds,1651.9533,1651.9533,1651.9533,1651.9533,0,0
20171016,KL-AAII,Fonds,1639.1404,1639.1404,1639.1404,1639.1404,0,0
20171013,KL-AAII,Fonds,1628.1956,1628.1956,1628.1956,1628.1956,0,0
20171012,KL-AAII,Fonds,1615.5832,1615.5832,1615.5832,1615.5832,0,0
20171011,KL-AAII,Fonds,1615.7657,1615.7657,1615.7657,1615.7657,0,0
20171010,KL-AAII,Fonds,1621.6342,1621.6342,1621.6342,1621.6342,0,0
20171006,KL-AAII,Fonds,1621.2884,1621.2884,1621.2884,1621.2884,0,0
20171005,KL-AAII,Fonds,1611.7373,1611.7373,1611.7373,1611.7373,0,0
20171004,KL-AAII,Fonds,1605.3931,1605.3931,1605.3931,1605.3931,0,0
20171003,KL-AAII,Fonds,1611.2164,1611.2164,1611.2164,1611.2164,0,0
20171002,KL-AAII,Fonds,1608.3367,1608.3367,1608.3367,1608.3367,0,0
20170929,KL-AAII,Fonds,1601.4109,1601.4109,1601.4109,1601.4109,0,0
20170928,KL-AAII,Fonds,1596.4946,1596.4946,1596.4946,1596.4946,0,0
20170927,KL-AAII,Fonds,1595.287,1595.287,1595.287,1595.287,0,0
20170926,KL-AAII,Fonds,1586.7412,1586.7412,1586.7412,1586.7412,0,0
20170925,KL-AAII,Fonds,1576.731,1576.731,1576.731,1576.731,0,0
20170922,KL-AAII,Fonds,1569.1735,1569.1735,1569.1735,1569.1735,0,0
20170921,KL-AAII,Fonds,1570.5131,1570.5131,1570.5131,1570.5131,0,0
20170920,KL-AAII,Fonds,1585.3621,1585.3621,1585.3621,1585.3621,0,0
20170919,KL-AAII,Fonds,1583.9991,1583.9991,1583.9991,1583.9991,0,0
20170915,KL-AAII,Fonds,1571.676,1571.676,1571.676,1571.676,0,0
20170914,KL-AAII,Fonds,1586.4978,1586.4978,1586.4978,1586.4978,0,0
20170913,KL-AAII,Fonds,1586.0193,1586.0193,1586.0193,1586.0193,0,0
20170912,KL-AAII,Fonds,1579.0438,1579.0438,1579.0438,1579.0438,0,0
20170911,KL-AAII,Fonds,1579.1947,1579.1947,1579.1947,1579.1947,0,0
20170908,KL-AAII,Fonds,1553.666,1553.666,1553.666,1553.666,0,0
20170907,KL-AAII,Fonds,1549.7328,1549.7328,1549.7328,1549.7328,0,0
20170906,KL-AAII,Fonds,1546.4596,1546.4596,1546.4596,1546.4596,0,0
20170905,KL-AAII,Fonds,1547.3283,1547.3283,1547.3283,1547.3283,0,0
20170904,KL-AAII,Fonds,1550.7239,1550.7239,1550.7239,1550.7239,0,0
20170901,KL-AAII,Fonds,1555.6735,1555.6735,1555.6735,1555.6735,0,0
20170831,KL-AAII,Fonds,1551.1191,1551.1191,1551.1191,1551.1191,0,0
20170830,KL-AAII,Fonds,1540.8408,1540.8408,1540.8408,1540.8408,0,0
20170829,KL-AAII,Fonds,1536.7046,1536.7046,1536.7046,1536.7046,0,0
20170828,KL-AAII,Fonds,1543.5309,1543.5309,1543.5309,1543.5309,0,0
20170825,KL-AAII,Fonds,1544.6465,1544.6465,1544.6465,1544.6465,0,0
20170824,KL-AAII,Fonds,1551.4339,1551.4339,1551.4339,1551.4339,0,0
20170823,KL-AAII,Fonds,1566.1148,1566.1148,1566.1148,1566.1148,0,0
20170822,KL-AAII,Fonds,1568.0295,1568.0295,1568.0295,1568.0295,0,0
20170821,KL-AAII,Fonds,1569.3906,1569.3906,1569.3906,1569.3906,0,0
20170818,KL-AAII,Fonds,1579.6255,1579.6255,1579.6255,1579.6255,0,0
20170817,KL-AAII,Fonds,1584.0096,1584.0096,1584.0096,1584.0096,0,0
20170816,KL-AAII,Fonds,1580.5122,1580.5122,1580.5122,1580.5122,0,0
20170815,KL-AAII,Fonds,1578.245,1578.245,1578.245,1578.245,0,0
20170814,KL-AAII,Fonds,1570.1266,1570.1266,1570.1266,1570.1266,0,0
20170810,KL-AAII,Fonds,1589.7926,1589.7926,1589.7926,1589.7926,0,0
20170809,KL-AAII,Fonds,1590.3815,1590.3815,1590.3815,1590.3815,0,0
20170808,KL-AAII,Fonds,1588.9652,1588.9652,1588.9652,1588.9652,0,0
20170807,KL-AAII,Fonds,1593.5647,1593.5647,1593.5647,1593.5647,0,0
20170804,KL-AAII,Fonds,1588.2667,1588.2667,1588.2667,1588.2667,0,0
20170803,KL-AAII,Fonds,1588.7181,1588.7181,1588.7181,1588.7181,0,0
20170802,KL-AAII,Fonds,1585.683,1585.683,1585.683,1585.683,0,0
20170801,KL-AAII,Fonds,1589.1768,1589.1768,1589.1768,1589.1768,0,0
20170731,KL-AAII,Fonds,1575.1343,1575.1343,1575.1343,1575.1343,0,0
20170728,KL-AAII,Fonds,1574.1319,1574.1319,1574.1319,1574.1319,0,0
20170727,KL-AAII,Fonds,1581.212,1581.212,1581.212,1581.212,0,0
20170726,KL-AAII,Fonds,1577.6177,1577.6177,1577.6177,1577.6177,0,0
20170725,KL-AAII,Fonds,1574.0592,1574.0592,1574.0592,1574.0592,0,0
20170724,KL-AAII,Fonds,1584.3398,1584.3398,1584.3398,1584.3398,0,0
20170721,KL-AAII,Fonds,1592.0407,1592.0407,1592.0407,1592.0407,0,0
20170720,KL-AAII,Fonds,1594.6845,1594.6845,1594.6845,1594.6845,0,0
20170719,KL-AAII,Fonds,1591.5184,1591.5184,1591.5184,1591.5184,0,0
20170718,KL-AAII,Fonds,1586.5382,1586.5382,1586.5382,1586.5382,0,0
20170714,KL-AAII,Fonds,1608.2332,1608.2332,1608.2332,1608.2332,0,0
20170713,KL-AAII,Fonds,1601.2714,1601.2714,1601.2714,1601.2714,0,0
20170712,KL-AAII,Fonds,1601.8825,1601.8825,1601.8825,1601.8825,0,0
20170711,KL-AAII,Fonds,1602.973,1602.973,1602.973,1602.973,0,0
20170710,KL-AAII,Fonds,1599.0494,1599.0494,1599.0494,1599.0494,0,0
20170707,KL-AAII,Fonds,1597.3549,1597.3549,1597.3549,1597.3549,0,0
20170706,KL-AAII,Fonds,1611.0228,1611.0228,1611.0228,1611.0228,0,0
20170705,KL-AAII,Fonds,1621.9664,1621.9664,1621.9664,1621.9664,0,0
20170704,KL-AAII,Fonds,1607.7837,1607.7837,1607.7837,1607.7837,0,0
20170703,KL-AAII,Fonds,1609.0578,1609.0578,1609.0578,1609.0578,0,0
20170630,KL-AAII,Fonds,1623.3359,1623.3359,1623.3359,1623.3359,0,0
20170629,KL-AAII,Fonds,1639.5408,1639.5408,1639.5408,1639.5408,0,0
20170628,KL-AAII,Fonds,1641.4721,1641.4721,1641.4721,1641.4721,0,0
20170627,KL-AAII,Fonds,1634.9632,1634.9632,1634.9632,1634.9632,0,0
20170626,KL-AAII,Fonds,1646.9827,1646.9827,1646.9827,1646.9827,0,0
20170623,KL-AAII,Fonds,1639.4966,1639.4966,1639.4966,1639.4966,0,0
20170622,KL-AAII,Fonds,1644.2784,1644.2784,1644.2784,1644.2784,0,0
20170621,KL-AAII,Fonds,1650.525,1650.525,1650.525,1650.525,0,0
20170620,KL-AAII,Fonds,1665.5424,1665.5424,1665.5424,1665.5424,0,0
20170619,KL-AAII,Fonds,1647.6651,1647.6651,1647.6651,1647.6651,0,0
20170616,KL-AAII,Fonds,1644.3575,1644.3575,1644.3575,1644.3575,0,0
20170615,KL-AAII,Fonds,1644.4549,1644.4549,1644.4549,1644.4549,0,0
20170614,KL-AAII,Fonds,1646.4372,1646.4372,1646.4372,1646.4372,0,0
20170613,KL-AAII,Fonds,1643.2433,1643.2433,1643.2433,1643.2433,0,0
20170612,KL-AAII,Fonds,1644.4871,1644.4871,1644.4871,1644.4871,0,0
20170609,KL-AAII,Fonds,1642.7966,1642.7966,1642.7966,1642.7966,0,0
20170608,KL-AAII,Fonds,1645.0086,1645.0086,1645.0086,1645.0086,0,0
20170607,KL-AAII,Fonds,1658.5227,1658.5227,1658.5227,1658.5227,0,0
20170606,KL-AAII,Fonds,1653.1373,1653.1373,1653.1373,1653.1373,0,0
20170602,KL-AAII,Fonds,1649.0095,1649.0095,1649.0095,1649.0095,0,0
20170601,KL-AAII,Fonds,1616.9261,1616.9261,1616.9261,1616.9261,0,0
20170531,KL-AAII,Fonds,1608.479,1608.479,1608.479,1608.479,0,0
20170530,KL-AAII,Fonds,1611.1749,1611.1749,1611.1749,1611.1749,0,0
20170529,KL-AAII,Fonds,1599.0479,1599.0479,1599.0479,1599.0479,0,0
20170526,KL-AAII,Fonds,1596.7946,1596.7946,1596.7946,1596.7946,0,0
20170524,KL-AAII,Fonds,1592.9771,1592.9771,1592.9771,1592.9771,0,0
20170523,KL-AAII,Fonds,1587.9203,1587.9203,1587.9203,1587.9203,0,0
20170522,KL-AAII,Fonds,1589.9378,1589.9378,1589.9378,1589.9378,0,0
20170519,KL-AAII,Fonds,1581.4279,1581.4279,1581.4279,1581.4279,0,0
20170518,KL-AAII,Fonds,1594.2088,1594.2088,1594.2088,1594.2088,0,0
20170516,KL-AAII,Fonds,1612.7021,1612.7021,1612.7021,1612.7021,0,0
20170515,KL-AAII,Fonds,1615.662,1615.662,1615.662,1615.662,0,0
20170512,KL-AAII,Fonds,1624.9484,1624.9484,1624.9484,1624.9484,0,0
20170511,KL-AAII,Fonds,1627.9182,1627.9182,1627.9182,1627.9182,0,0
20170510,KL-AAII,Fonds,1627.7614,1627.7614,1627.7614,1627.7614,0,0
