quote_date,paper,exch,open,high,low,close,volume,value
20171109,KL-AEIII,Fonds,1671.4338,1671.4338,1671.4338,1671.4338,0,0
20171108,KL-AEIII,Fonds,1686.9756,1686.9756,1686.9756,1686.9756,0,0
20171107,KL-AEIII,Fonds,1685.458,1685.458,1685.458,1685.458,0,0
20171106,KL-AEIII,Fonds,1695.3569,1695.3569,1695.3569,1695.3569,0,0
20171103,KL-AEIII,Fonds,1696.386,1696.386,1696.386,1696.386,0,0
20171102,KL-AEIII,Fonds,1694.523,1694.523,1694.523,1694.523,0,0
20171101,KL-AEIII,Fonds,1692.4933,1692.4933,1692.4933,1692.4933,0,0
20171031,KL-AEIII,Fonds,1686.7313,1686.7313,1686.7313,1686.7313,0,0
20171030,KL-AEIII,Fonds,1681.67,1681.67,1681.67,1681.67,0,0
20171027,KL-AEIII,Fonds,1679.605,1679.605,1679.605,1679.605,0,0
20171026,KL-AEIII,Fonds,1674.4716,1674.4716,1674.4716,1674.4716,0,0
20171025,KL-AEIII,Fonds,1658.4753,1658.4753,1658.4753,1658.4753,0,0
20171024,KL-AEIII,Fonds,1669.5697,1669.5697,1669.5697,1669.5697,0,0
20171023,KL-AEIII,Fonds,1671.4503,1671.4503,1671.4503,1671.4503,0,0
20171020,KL-AEIII,Fonds,1670.6751,1670.6751,1670.6751,1670.6751,0,0
20171019,KL-AEIII,Fonds,1667.7894,1667.7894,1667.7894,1667.7894,0,0
20171018,KL-AEIII,Fonds,1674.753,1674.753,1674.753,1674.753,0,0
20171017,KL-AEIII,Fonds,1667.3154,1667.3154,1667.3154,1667.3154,0,0
20171016,KL-AEIII,Fonds,1668.9417,1668.9417,1668.9417,1668.9417,0,0
20171013,KL-AEIII,Fonds,1670.5834,1670.5834,1670.5834,1670.5834,0,0
20171012,KL-AEIII,Fonds,1671.2402,1671.2402,1671.2402,1671.2402,0,0
20171011,KL-AEIII,Fonds,1668.3162,1668.3162,1668.3162,1668.3162,0,0
20171010,KL-AEIII,Fonds,1665.9059,1665.9059,1665.9059,1665.9059,0,0
20171009,KL-AEIII,Fonds,1665.8374,1665.8374,1665.8374,1665.8374,0,0
20171006,KL-AEIII,Fonds,1664.2651,1664.2651,1664.2651,1664.2651,0,0
20171005,KL-AEIII,Fonds,1667.2997,1667.2997,1667.2997,1667.2997,0,0
20171004,KL-AEIII,Fonds,1661.1688,1661.1688,1661.1688,1661.1688,0,0
20171003,KL-AEIII,Fonds,1663.3311,1663.3311,1663.3311,1663.3311,0,0
20171002,KL-AEIII,Fonds,1658.7646,1658.7646,1658.7646,1658.7646,0,0
20170929,KL-AEIII,Fonds,1649.7352,1649.7352,1649.7352,1649.7352,0,0
20170928,KL-AEIII,Fonds,1638.9646,1638.9646,1638.9646,1638.9646,0,0
20170927,KL-AEIII,Fonds,1634.3127,1634.3127,1634.3127,1634.3127,0,0
20170926,KL-AEIII,Fonds,1628.3669,1628.3669,1628.3669,1628.3669,0,0
20170925,KL-AEIII,Fonds,1629.79,1629.79,1629.79,1629.79,0,0
20170922,KL-AEIII,Fonds,1630.3919,1630.3919,1630.3919,1630.3919,0,0
20170921,KL-AEIII,Fonds,1626.9048,1626.9048,1626.9048,1626.9048,0,0
20170920,KL-AEIII,Fonds,1623.3042,1623.3042,1623.3042,1623.3042,0,0
20170919,KL-AEIII,Fonds,1624.6089,1624.6089,1624.6089,1624.6089,0,0
20170918,KL-AEIII,Fonds,1621.5171,1621.5171,1621.5171,1621.5171,0,0
20170915,KL-AEIII,Fonds,1614.2714,1614.2714,1614.2714,1614.2714,0,0
20170914,KL-AEIII,Fonds,1624.6921,1624.6921,1624.6921,1624.6921,0,0
20170913,KL-AEIII,Fonds,1628.0925,1628.0925,1628.0925,1628.0925,0,0
20170912,KL-AEIII,Fonds,1627.6874,1627.6874,1627.6874,1627.6874,0,0
20170911,KL-AEIII,Fonds,1621.8177,1621.8177,1621.8177,1621.8177,0,0
20170908,KL-AEIII,Fonds,1605.2283,1605.2283,1605.2283,1605.2283,0,0
20170907,KL-AEIII,Fonds,1605.4245,1605.4245,1605.4245,1605.4245,0,0
20170906,KL-AEIII,Fonds,1598.4601,1598.4601,1598.4601,1598.4601,0,0
20170905,KL-AEIII,Fonds,1598.3781,1598.3781,1598.3781,1598.3781,0,0
20170904,KL-AEIII,Fonds,1602.1159,1602.1159,1602.1159,1602.1159,0,0
20170901,KL-AEIII,Fonds,1609.3997,1609.3997,1609.3997,1609.3997,0,0
20170831,KL-AEIII,Fonds,1602.6946,1602.6946,1602.6946,1602.6946,0,0
20170830,KL-AEIII,Fonds,1591.2774,1591.2774,1591.2774,1591.2774,0,0
20170829,KL-AEIII,Fonds,1583.0335,1583.0335,1583.0335,1583.0335,0,0
20170828,KL-AEIII,Fonds,1597.3822,1597.3822,1597.3822,1597.3822,0,0
20170825,KL-AEIII,Fonds,1602.5116,1602.5116,1602.5116,1602.5116,0,0
20170824,KL-AEIII,Fonds,1604.849,1604.849,1604.849,1604.849,0,0
20170823,KL-AEIII,Fonds,1603.5592,1603.5592,1603.5592,1603.5592,0,0
20170822,KL-AEIII,Fonds,1607.8569,1607.8569,1607.8569,1607.8569,0,0
20170821,KL-AEIII,Fonds,1593.4137,1593.4137,1593.4137,1593.4137,0,0
20170818,KL-AEIII,Fonds,1598.2328,1598.2328,1598.2328,1598.2328,0,0
20170817,KL-AEIII,Fonds,1608.1889,1608.1889,1608.1889,1608.1889,0,0
20170816,KL-AEIII,Fonds,1617.5403,1617.5403,1617.5403,1617.5403,0,0
20170815,KL-AEIII,Fonds,1608.003,1608.003,1608.003,1608.003,0,0
20170814,KL-AEIII,Fonds,1605.9767,1605.9767,1605.9767,1605.9767,0,0
20170811,KL-AEIII,Fonds,1588.2851,1588.2851,1588.2851,1588.2851,0,0
20170810,KL-AEIII,Fonds,1601.6671,1601.6671,1601.6671,1601.6671,0,0
20170809,KL-AEIII,Fonds,1615.8097,1615.8097,1615.8097,1615.8097,0,0
20170808,KL-AEIII,Fonds,1630.9717,1630.9717,1630.9717,1630.9717,0,0
20170807,KL-AEIII,Fonds,1627.6598,1627.6598,1627.6598,1627.6598,0,0
20170804,KL-AEIII,Fonds,1626.8776,1626.8776,1626.8776,1626.8776,0,0
20170803,KL-AEIII,Fonds,1613.8186,1613.8186,1613.8186,1613.8186,0,0
20170802,KL-AEIII,Fonds,1607.8294,1607.8294,1607.8294,1607.8294,0,0
20170801,KL-AEIII,Fonds,1610.8674,1610.8674,1610.8674,1610.8674,0,0
20170731,KL-AEIII,Fonds,1601.4023,1601.4023,1601.4023,1601.4023,0,0
20170728,KL-AEIII,Fonds,1602.0392,1602.0392,1602.0392,1602.0392,0,0
20170727,KL-AEIII,Fonds,1611.913,1611.913,1611.913,1611.913,0,0
20170726,KL-AEIII,Fonds,1611.0735,1611.0735,1611.0735,1611.0735,0,0
20170725,KL-AEIII,Fonds,1603.2503,1603.2503,1603.2503,1603.2503,0,0
20170724,KL-AEIII,Fonds,1594.3969,1594.3969,1594.3969,1594.3969,0,0
20170721,KL-AEIII,Fonds,1601.4838,1601.4838,1601.4838,1601.4838,0,0
20170720,KL-AEIII,Fonds,1617.8759,1617.8759,1617.8759,1617.8759,0,0
20170719,KL-AEIII,Fonds,1615.1244,1615.1244,1615.1244,1615.1244,0,0
20170718,KL-AEIII,Fonds,1607.563,1607.563,1607.563,1607.563,0,0
20170717,KL-AEIII,Fonds,1619.2911,1619.2911,1619.2911,1619.2911,0,0
