quote_date,paper,exch,open,high,low,close,volume,value
20171109,KL-AEIIN,Fonds,1102.4577,1102.4577,1102.4577,1102.4577,0,0
20171108,KL-AEIIN,Fonds,1116.5352,1116.5352,1116.5352,1116.5352,0,0
20171107,KL-AEIIN,Fonds,1116.2843,1116.2843,1116.2843,1116.2843,0,0
20171106,KL-AEIIN,Fonds,1121.5099,1121.5099,1121.5099,1121.5099,0,0
20171103,KL-AEIIN,Fonds,1123.3419,1123.3419,1123.3419,1123.3419,0,0
20171102,KL-AEIIN,Fonds,1120.2124,1120.2124,1120.2124,1120.2124,0,0
20171101,KL-AEIIN,Fonds,1121.7306,1121.7306,1121.7306,1121.7306,0,0
20171031,KL-AEIIN,Fonds,1124.1867,1124.1867,1124.1867,1124.1867,0,0
20171030,KL-AEIIN,Fonds,1115.6304,1115.6304,1115.6304,1115.6304,0,0
20171027,KL-AEIIN,Fonds,1113.1431,1113.1431,1113.1431,1113.1431,0,0
20171026,KL-AEIIN,Fonds,1111.8603,1111.8603,1111.8603,1111.8603,0,0
20171025,KL-AEIIN,Fonds,1094.2539,1094.2539,1094.2539,1094.2539,0,0
20171024,KL-AEIIN,Fonds,1092.9266,1092.9266,1092.9266,1092.9266,0,0
20171023,KL-AEIIN,Fonds,1096.0033,1096.0033,1096.0033,1096.0033,0,0
20171020,KL-AEIIN,Fonds,1095.905,1095.905,1095.905,1095.905,0,0
20171019,KL-AEIIN,Fonds,1093.788,1093.788,1093.788,1093.788,0,0
20171018,KL-AEIIN,Fonds,1095.7189,1095.7189,1095.7189,1095.7189,0,0
20171017,KL-AEIIN,Fonds,1088.2818,1088.2818,1088.2818,1088.2818,0,0
20171016,KL-AEIIN,Fonds,1085.6339,1085.6339,1085.6339,1085.6339,0,0
20171013,KL-AEIIN,Fonds,1089.1717,1089.1717,1089.1717,1089.1717,0,0
20171012,KL-AEIIN,Fonds,1087.7734,1087.7734,1087.7734,1087.7734,0,0
20171011,KL-AEIIN,Fonds,1091.1385,1091.1385,1091.1385,1091.1385,0,0
20171010,KL-AEIIN,Fonds,1091.3817,1091.3817,1091.3817,1091.3817,0,0
20171009,KL-AEIIN,Fonds,1089.9587,1089.9587,1089.9587,1089.9587,0,0
20171006,KL-AEIIN,Fonds,1091.9307,1091.9307,1091.9307,1091.9307,0,0
20171005,KL-AEIIN,Fonds,1091.3947,1091.3947,1091.3947,1091.3947,0,0
20171004,KL-AEIIN,Fonds,1087.8352,1087.8352,1087.8352,1087.8352,0,0
20171003,KL-AEIIN,Fonds,1092.2307,1092.2307,1092.2307,1092.2307,0,0
20171002,KL-AEIIN,Fonds,1090.6919,1090.6919,1090.6919,1090.6919,0,0
20170929,KL-AEIIN,Fonds,1088.7172,1088.7172,1088.7172,1088.7172,0,0
20170928,KL-AEIIN,Fonds,1077.8253,1077.8253,1077.8253,1077.8253,0,0
20170927,KL-AEIIN,Fonds,1072.7586,1072.7586,1072.7586,1072.7586,0,0
20170926,KL-AEIIN,Fonds,1065.0248,1065.0248,1065.0248,1065.0248,0,0
20170925,KL-AEIIN,Fonds,1060.3035,1060.3035,1060.3035,1060.3035,0,0
20170922,KL-AEIIN,Fonds,1063.1091,1063.1091,1063.1091,1063.1091,0,0
20170921,KL-AEIIN,Fonds,1062.4488,1062.4488,1062.4488,1062.4488,0,0
20170920,KL-AEIIN,Fonds,1064.3127,1064.3127,1064.3127,1064.3127,0,0
20170919,KL-AEIIN,Fonds,1065.1576,1065.1576,1065.1576,1065.1576,0,0
20170918,KL-AEIIN,Fonds,1062.881,1062.881,1062.881,1062.881,0,0
20170915,KL-AEIIN,Fonds,1063.0967,1063.0967,1063.0967,1063.0967,0,0
20170914,KL-AEIIN,Fonds,1068.3494,1068.3494,1068.3494,1068.3494,0,0
20170913,KL-AEIIN,Fonds,1066.7577,1066.7577,1066.7577,1066.7577,0,0
20170912,KL-AEIIN,Fonds,1063.8106,1063.8106,1063.8106,1063.8106,0,0
20170911,KL-AEIIN,Fonds,1062.7976,1062.7976,1062.7976,1062.7976,0,0
20170908,KL-AEIIN,Fonds,1041.4619,1041.4619,1041.4619,1041.4619,0,0
20170907,KL-AEIIN,Fonds,1038.4447,1038.4447,1038.4447,1038.4447,0,0
20170906,KL-AEIIN,Fonds,1033.4567,1033.4567,1033.4567,1033.4567,0,0
20170905,KL-AEIIN,Fonds,1030.5717,1030.5717,1030.5717,1030.5717,0,0
20170904,KL-AEIIN,Fonds,1035.4476,1035.4476,1035.4476,1035.4476,0,0
20170901,KL-AEIIN,Fonds,1036.9123,1036.9123,1036.9123,1036.9123,0,0
20170831,KL-AEIIN,Fonds,1030.4569,1030.4569,1030.4569,1030.4569,0,0
20170830,KL-AEIIN,Fonds,1026.575,1026.575,1026.575,1026.575,0,0
20170829,KL-AEIIN,Fonds,1020.7289,1020.7289,1020.7289,1020.7289,0,0
20170828,KL-AEIIN,Fonds,1029.7315,1029.7315,1029.7315,1029.7315,0,0
20170825,KL-AEIIN,Fonds,1028.8832,1028.8832,1028.8832,1028.8832,0,0
20170824,KL-AEIIN,Fonds,1032.9351,1032.9351,1032.9351,1032.9351,0,0
20170823,KL-AEIIN,Fonds,1037.165,1037.165,1037.165,1037.165,0,0
20170822,KL-AEIIN,Fonds,1041.7691,1041.7691,1041.7691,1041.7691,0,0
20170821,KL-AEIIN,Fonds,1036.2141,1036.2141,1036.2141,1036.2141,0,0
20170818,KL-AEIIN,Fonds,1040.2713,1040.2713,1040.2713,1040.2713,0,0
20170817,KL-AEIIN,Fonds,1046.8771,1046.8771,1046.8771,1046.8771,0,0
20170816,KL-AEIIN,Fonds,1052.0703,1052.0703,1052.0703,1052.0703,0,0
20170815,KL-AEIIN,Fonds,1047.1571,1047.1571,1047.1571,1047.1571,0,0
20170814,KL-AEIIN,Fonds,1046.9006,1046.9006,1046.9006,1046.9006,0,0
20170811,KL-AEIIN,Fonds,1040.875,1040.875,1040.875,1040.875,0,0
20170810,KL-AEIIN,Fonds,1045.8912,1045.8912,1045.8912,1045.8912,0,0
20170809,KL-AEIIN,Fonds,1057.539,1057.539,1057.539,1057.539,0,0
20170808,KL-AEIIN,Fonds,1061.9545,1061.9545,1061.9545,1061.9545,0,0
20170807,KL-AEIIN,Fonds,1065.2521,1065.2521,1065.2521,1065.2521,0,0
20170804,KL-AEIIN,Fonds,1064.2826,1064.2826,1064.2826,1064.2826,0,0
20170803,KL-AEIIN,Fonds,1056.4656,1056.4656,1056.4656,1056.4656,0,0
20170802,KL-AEIIN,Fonds,1051.8762,1051.8762,1051.8762,1051.8762,0,0
20170801,KL-AEIIN,Fonds,1053.827,1053.827,1053.827,1053.827,0,0
20170731,KL-AEIIN,Fonds,1046.5087,1046.5087,1046.5087,1046.5087,0,0
20170728,KL-AEIIN,Fonds,1045.2742,1045.2742,1045.2742,1045.2742,0,0
20170727,KL-AEIIN,Fonds,1050.77,1050.77,1050.77,1050.77,0,0
20170726,KL-AEIIN,Fonds,1053.9791,1053.9791,1053.9791,1053.9791,0,0
20170725,KL-AEIIN,Fonds,1050.6361,1050.6361,1050.6361,1050.6361,0,0
20170724,KL-AEIIN,Fonds,1048.1713,1048.1713,1048.1713,1048.1713,0,0
20170721,KL-AEIIN,Fonds,1052.3999,1052.3999,1052.3999,1052.3999,0,0
20170720,KL-AEIIN,Fonds,1064.0566,1064.0566,1064.0566,1064.0566,0,0
20170719,KL-AEIIN,Fonds,1061.1817,1061.1817,1061.1817,1061.1817,0,0
20170718,KL-AEIIN,Fonds,1059.2912,1059.2912,1059.2912,1059.2912,0,0
20170717,KL-AEIIN,Fonds,1071.2808,1071.2808,1071.2808,1071.2808,0,0
20170714,KL-AEIIN,Fonds,1077.3043,1077.3043,1077.3043,1077.3043,0,0
20170713,KL-AEIIN,Fonds,1078.9334,1078.9334,1078.9334,1078.9334,0,0
20170712,KL-AEIIN,Fonds,1080.6109,1080.6109,1080.6109,1080.6109,0,0
20170711,KL-AEIIN,Fonds,1069.9439,1069.9439,1069.9439,1069.9439,0,0
20170710,KL-AEIIN,Fonds,1075.5808,1075.5808,1075.5808,1075.5808,0,0
20170707,KL-AEIIN,Fonds,1074.2442,1074.2442,1074.2442,1074.2442,0,0
20170706,KL-AEIIN,Fonds,1075.6917,1075.6917,1075.6917,1075.6917,0,0
20170705,KL-AEIIN,Fonds,1081.4145,1081.4145,1081.4145,1081.4145,0,0
20170704,KL-AEIIN,Fonds,1075.1346,1075.1346,1075.1346,1075.1346,0,0
20170703,KL-AEIIN,Fonds,1081.6571,1081.6571,1081.6571,1081.6571,0,0
20170630,KL-AEIIN,Fonds,1075.5358,1075.5358,1075.5358,1075.5358,0,0
20170629,KL-AEIIN,Fonds,1083.6646,1083.6646,1083.6646,1083.6646,0,0
20170628,KL-AEIIN,Fonds,1101.1919,1101.1919,1101.1919,1101.1919,0,0
20170627,KL-AEIIN,Fonds,1091.1118,1091.1118,1091.1118,1091.1118,0,0
20170626,KL-AEIIN,Fonds,1097.1408,1097.1408,1097.1408,1097.1408,0,0
20170623,KL-AEIIN,Fonds,1087.1982,1087.1982,1087.1982,1087.1982,0,0
20170622,KL-AEIIN,Fonds,1091.3245,1091.3245,1091.3245,1091.3245,0,0
20170621,KL-AEIIN,Fonds,1096.7952,1096.7952,1096.7952,1096.7952,0,0
20170620,KL-AEIIN,Fonds,1100.5365,1100.5365,1100.5365,1100.5365,0,0
20170619,KL-AEIIN,Fonds,1099.1731,1099.1731,1099.1731,1099.1731,0,0
20170616,KL-AEIIN,Fonds,1092.9383,1092.9383,1092.9383,1092.9383,0,0
20170615,KL-AEIIN,Fonds,1085.604,1085.604,1085.604,1085.604,0,0
20170614,KL-AEIIN,Fonds,1085.1349,1085.1349,1085.1349,1085.1349,0,0
20170613,KL-AEIIN,Fonds,1089.6121,1089.6121,1089.6121,1089.6121,0,0
20170612,KL-AEIIN,Fonds,1089.0899,1089.0899,1089.0899,1089.0899,0,0
20170609,KL-AEIIN,Fonds,1100.3046,1100.3046,1100.3046,1100.3046,0,0
20170608,KL-AEIIN,Fonds,1098.0895,1098.0895,1098.0895,1098.0895,0,0
20170607,KL-AEIIN,Fonds,1102.7031,1102.7031,1102.7031,1102.7031,0,0
20170606,KL-AEIIN,Fonds,1101.2965,1101.2965,1101.2965,1101.2965,0,0
20170602,KL-AEIIN,Fonds,1105.5043,1105.5043,1105.5043,1105.5043,0,0
20170601,KL-AEIIN,Fonds,1098.8487,1098.8487,1098.8487,1098.8487,0,0
20170531,KL-AEIIN,Fonds,1093.1293,1093.1293,1093.1293,1093.1293,0,0
20170530,KL-AEIIN,Fonds,1090.4604,1090.4604,1090.4604,1090.4604,0,0
20170529,KL-AEIIN,Fonds,1087.3161,1087.3161,1087.3161,1087.3161,0,0
20170526,KL-AEIIN,Fonds,1085.0996,1085.0996,1085.0996,1085.0996,0,0
20170524,KL-AEIIN,Fonds,1087.7949,1087.7949,1087.7949,1087.7949,0,0
20170523,KL-AEIIN,Fonds,1086.1388,1086.1388,1086.1388,1086.1388,0,0
20170522,KL-AEIIN,Fonds,1083.9879,1083.9879,1083.9879,1083.9879,0,0
20170519,KL-AEIIN,Fonds,1083.43,1083.43,1083.43,1083.43,0,0
20170518,KL-AEIIN,Fonds,1078.8588,1078.8588,1078.8588,1078.8588,0,0
20170516,KL-AEIIN,Fonds,1098.0566,1098.0566,1098.0566,1098.0566,0,0
20170515,KL-AEIIN,Fonds,1095.1127,1095.1127,1095.1127,1095.1127,0,0
20170512,KL-AEIIN,Fonds,1093.1682,1093.1682,1093.1682,1093.1682,0,0
20170511,KL-AEIIN,Fonds,1085.0071,1085.0071,1085.0071,1085.0071,0,0
20170510,KL-AEIIN,Fonds,1091.9132,1091.9132,1091.9132,1091.9132,0,0
20170509,KL-AEIIN,Fonds,1098.7355,1098.7355,1098.7355,1098.7355,0,0
20170508,KL-AEIIN,Fonds,1093.9298,1093.9298,1093.9298,1093.9298,0,0
20170505,KL-AEIIN,Fonds,1095.5471,1095.5471,1095.5471,1095.5471,0,0
20170504,KL-AEIIN,Fonds,1092.231,1092.231,1092.231,1092.231,0,0
20170503,KL-AEIIN,Fonds,1074.5072,1074.5072,1074.5072,1074.5072,0,0
20170502,KL-AEIIN,Fonds,1070.5268,1070.5268,1070.5268,1070.5268,0,0
20170428,KL-AEIIN,Fonds,1057.6907,1057.6907,1057.6907,1057.6907,0,0
