quote_date,paper,exch,open,high,low,close,volume,value
20171120,KL-AFMI1,Fonds,1997.2507,1997.2507,1997.2507,1997.2507,0,0
20171117,KL-AFMI1,Fonds,1992.3199,1992.3199,1992.3199,1992.3199,0,0
20171116,KL-AFMI1,Fonds,1959.0338,1959.0338,1959.0338,1959.0338,0,0
20171115,KL-AFMI1,Fonds,1946.9021,1946.9021,1946.9021,1946.9021,0,0
20171114,KL-AFMI1,Fonds,1949.5366,1949.5366,1949.5366,1949.5366,0,0
20171113,KL-AFMI1,Fonds,1944.7012,1944.7012,1944.7012,1944.7012,0,0
20171110,KL-AFMI1,Fonds,1940.6284,1940.6284,1940.6284,1940.6284,0,0
20171109,KL-AFMI1,Fonds,1954.0677,1954.0677,1954.0677,1954.0677,0,0
20171108,KL-AFMI1,Fonds,1967.6197,1967.6197,1967.6197,1967.6197,0,0
20171107,KL-AFMI1,Fonds,1968.5426,1968.5426,1968.5426,1968.5426,0,0
20171106,KL-AFMI1,Fonds,1959.6122,1959.6122,1959.6122,1959.6122,0,0
20171103,KL-AFMI1,Fonds,1952.5549,1952.5549,1952.5549,1952.5549,0,0
20171102,KL-AFMI1,Fonds,1944.9742,1944.9742,1944.9742,1944.9742,0,0
20171101,KL-AFMI1,Fonds,1952.2841,1952.2841,1952.2841,1952.2841,0,0
20171031,KL-AFMI1,Fonds,1940.5067,1940.5067,1940.5067,1940.5067,0,0
20171030,KL-AFMI1,Fonds,1928.914,1928.914,1928.914,1928.914,0,0
20171027,KL-AFMI1,Fonds,1925.2522,1925.2522,1925.2522,1925.2522,0,0
20171026,KL-AFMI1,Fonds,1911.2341,1911.2341,1911.2341,1911.2341,0,0
20171025,KL-AFMI1,Fonds,1893.4858,1893.4858,1893.4858,1893.4858,0,0
20171024,KL-AFMI1,Fonds,1886.4528,1886.4528,1886.4528,1886.4528,0,0
20171023,KL-AFMI1,Fonds,1891.8557,1891.8557,1891.8557,1891.8557,0,0
20171020,KL-AFMI1,Fonds,1893.6596,1893.6596,1893.6596,1893.6596,0,0
20171019,KL-AFMI1,Fonds,1878.9105,1878.9105,1878.9105,1878.9105,0,0
20171018,KL-AFMI1,Fonds,1901.2885,1901.2885,1901.2885,1901.2885,0,0
20171017,KL-AFMI1,Fonds,1896.7422,1896.7422,1896.7422,1896.7422,0,0
20171016,KL-AFMI1,Fonds,1890.5233,1890.5233,1890.5233,1890.5233,0,0
20171013,KL-AFMI1,Fonds,1880.9117,1880.9117,1880.9117,1880.9117,0,0
20171012,KL-AFMI1,Fonds,1875.2167,1875.2167,1875.2167,1875.2167,0,0
20171011,KL-AFMI1,Fonds,1874.8697,1874.8697,1874.8697,1874.8697,0,0
20171010,KL-AFMI1,Fonds,1871.3145,1871.3145,1871.3145,1871.3145,0,0
20171009,KL-AFMI1,Fonds,1859.9442,1859.9442,1859.9442,1859.9442,0,0
20171006,KL-AFMI1,Fonds,1872.5049,1872.5049,1872.5049,1872.5049,0,0
20171005,KL-AFMI1,Fonds,1865.8648,1865.8648,1865.8648,1865.8648,0,0
20171004,KL-AFMI1,Fonds,1854.7974,1854.7974,1854.7974,1854.7974,0,0
20171003,KL-AFMI1,Fonds,1853.6874,1853.6874,1853.6874,1853.6874,0,0
20171002,KL-AFMI1,Fonds,1833.0615,1833.0615,1833.0615,1833.0615,0,0
20170929,KL-AFMI1,Fonds,1823.7883,1823.7883,1823.7883,1823.7883,0,0
20170928,KL-AFMI1,Fonds,1803.6208,1803.6208,1803.6208,1803.6208,0,0
20170927,KL-AFMI1,Fonds,1818.158,1818.158,1818.158,1818.158,0,0
20170926,KL-AFMI1,Fonds,1807.6369,1807.6369,1807.6369,1807.6369,0,0
20170925,KL-AFMI1,Fonds,1799.595,1799.595,1799.595,1799.595,0,0
20170922,KL-AFMI1,Fonds,1817.1994,1817.1994,1817.1994,1817.1994,0,0
20170921,KL-AFMI1,Fonds,1834.2084,1834.2084,1834.2084,1834.2084,0,0
20170920,KL-AFMI1,Fonds,1836.7508,1836.7508,1836.7508,1836.7508,0,0
20170919,KL-AFMI1,Fonds,1836.8236,1836.8236,1836.8236,1836.8236,0,0
20170918,KL-AFMI1,Fonds,1842.6531,1842.6531,1842.6531,1842.6531,0,0
20170915,KL-AFMI1,Fonds,1829.8758,1829.8758,1829.8758,1829.8758,0,0
20170914,KL-AFMI1,Fonds,1841.779,1841.779,1841.779,1841.779,0,0
20170913,KL-AFMI1,Fonds,1833.1823,1833.1823,1833.1823,1833.1823,0,0
20170912,KL-AFMI1,Fonds,1826.4155,1826.4155,1826.4155,1826.4155,0,0
20170911,KL-AFMI1,Fonds,1824.7022,1824.7022,1824.7022,1824.7022,0,0
20170908,KL-AFMI1,Fonds,1787.6992,1787.6992,1787.6992,1787.6992,0,0
20170907,KL-AFMI1,Fonds,1785.7254,1785.7254,1785.7254,1785.7254,0,0
20170906,KL-AFMI1,Fonds,1780.1072,1780.1072,1780.1072,1780.1072,0,0
20170905,KL-AFMI1,Fonds,1781.1484,1781.1484,1781.1484,1781.1484,0,0
20170904,KL-AFMI1,Fonds,1786.4065,1786.4065,1786.4065,1786.4065,0,0
20170901,KL-AFMI1,Fonds,1797.6388,1797.6388,1797.6388,1797.6388,0,0
20170831,KL-AFMI1,Fonds,1789.7518,1789.7518,1789.7518,1789.7518,0,0
20170830,KL-AFMI1,Fonds,1791.9858,1791.9858,1791.9858,1791.9858,0,0
20170829,KL-AFMI1,Fonds,1765.9992,1765.9992,1765.9992,1765.9992,0,0
20170828,KL-AFMI1,Fonds,1780.811,1780.811,1780.811,1780.811,0,0
20170825,KL-AFMI1,Fonds,1783.9566,1783.9566,1783.9566,1783.9566,0,0
20170824,KL-AFMI1,Fonds,1794.2279,1794.2279,1794.2279,1794.2279,0,0
20170823,KL-AFMI1,Fonds,1790.8754,1790.8754,1790.8754,1790.8754,0,0
20170822,KL-AFMI1,Fonds,1792.4925,1792.4925,1792.4925,1792.4925,0,0
20170821,KL-AFMI1,Fonds,1774.9655,1774.9655,1774.9655,1774.9655,0,0
20170818,KL-AFMI1,Fonds,1777.70,1777.70,1777.70,1777.70,0,0
20170817,KL-AFMI1,Fonds,1784.5507,1784.5507,1784.5507,1784.5507,0,0
20170816,KL-AFMI1,Fonds,1784.7911,1784.7911,1784.7911,1784.7911,0,0
20170815,KL-AFMI1,Fonds,1772.3117,1772.3117,1772.3117,1772.3117,0,0
20170814,KL-AFMI1,Fonds,1765.0917,1765.0917,1765.0917,1765.0917,0,0
20170811,KL-AFMI1,Fonds,1753.9112,1753.9112,1753.9112,1753.9112,0,0
20170810,KL-AFMI1,Fonds,1772.8158,1772.8158,1772.8158,1772.8158,0,0
20170809,KL-AFMI1,Fonds,1799.8426,1799.8426,1799.8426,1799.8426,0,0
20170808,KL-AFMI1,Fonds,1811.0257,1811.0257,1811.0257,1811.0257,0,0
20170807,KL-AFMI1,Fonds,1806.2007,1806.2007,1806.2007,1806.2007,0,0
20170804,KL-AFMI1,Fonds,1794.8701,1794.8701,1794.8701,1794.8701,0,0
20170803,KL-AFMI1,Fonds,1774.5521,1774.5521,1774.5521,1774.5521,0,0
20170802,KL-AFMI1,Fonds,1781.5134,1781.5134,1781.5134,1781.5134,0,0
20170801,KL-AFMI1,Fonds,1783.396,1783.396,1783.396,1783.396,0,0
20170731,KL-AFMI1,Fonds,1779.2347,1779.2347,1779.2347,1779.2347,0,0
20170728,KL-AFMI1,Fonds,1777.8099,1777.8099,1777.8099,1777.8099,0,0
20170727,KL-AFMI1,Fonds,1793.3964,1793.3964,1793.3964,1793.3964,0,0
20170726,KL-AFMI1,Fonds,1791.6492,1791.6492,1791.6492,1791.6492,0,0
20170725,KL-AFMI1,Fonds,1788.6797,1788.6797,1788.6797,1788.6797,0,0
20170724,KL-AFMI1,Fonds,1800.1283,1800.1283,1800.1283,1800.1283,0,0
20170721,KL-AFMI1,Fonds,1793.4996,1793.4996,1793.4996,1793.4996,0,0
20170720,KL-AFMI1,Fonds,1795.8214,1795.8214,1795.8214,1795.8214,0,0
20170719,KL-AFMI1,Fonds,1803.7284,1803.7284,1803.7284,1803.7284,0,0
20170718,KL-AFMI1,Fonds,1792.5986,1792.5986,1792.5986,1792.5986,0,0
