quote_date,paper,exch,open,high,low,close,volume,value
20171109,KL-AGERG,Fonds,1203.322,1203.322,1203.322,1203.322,0,0
20171108,KL-AGERG,Fonds,1206.8795,1206.8795,1206.8795,1206.8795,0,0
20171107,KL-AGERG,Fonds,1207.8349,1207.8349,1207.8349,1207.8349,0,0
20171106,KL-AGERG,Fonds,1206.0109,1206.0109,1206.0109,1206.0109,0,0
20171103,KL-AGERG,Fonds,1209.7942,1209.7942,1209.7942,1209.7942,0,0
20171102,KL-AGERG,Fonds,1209.053,1209.053,1209.053,1209.053,0,0
20171101,KL-AGERG,Fonds,1207.1492,1207.1492,1207.1492,1207.1492,0,0
20171031,KL-AGERG,Fonds,1203.5861,1203.5861,1203.5861,1203.5861,0,0
20171030,KL-AGERG,Fonds,1198.5032,1198.5032,1198.5032,1198.5032,0,0
20171027,KL-AGERG,Fonds,1206.2522,1206.2522,1206.2522,1206.2522,0,0
20171026,KL-AGERG,Fonds,1207.1562,1207.1562,1207.1562,1207.1562,0,0
20171025,KL-AGERG,Fonds,1208.8861,1208.8861,1208.8861,1208.8861,0,0
20171024,KL-AGERG,Fonds,1208.2974,1208.2974,1208.2974,1208.2974,0,0
20171023,KL-AGERG,Fonds,1208.2372,1208.2372,1208.2372,1208.2372,0,0
20171020,KL-AGERG,Fonds,1203.4802,1203.4802,1203.4802,1203.4802,0,0
20171019,KL-AGERG,Fonds,1203.8648,1203.8648,1203.8648,1203.8648,0,0
20171018,KL-AGERG,Fonds,1207.1317,1207.1317,1207.1317,1207.1317,0,0
20171017,KL-AGERG,Fonds,1205.2125,1205.2125,1205.2125,1205.2125,0,0
20171016,KL-AGERG,Fonds,1210.9334,1210.9334,1210.9334,1210.9334,0,0
20171013,KL-AGERG,Fonds,1211.1438,1211.1438,1211.1438,1211.1438,0,0
20171012,KL-AGERG,Fonds,1208.8073,1208.8073,1208.8073,1208.8073,0,0
20171011,KL-AGERG,Fonds,1209.4081,1209.4081,1209.4081,1209.4081,0,0
20171010,KL-AGERG,Fonds,1212.6838,1212.6838,1212.6838,1212.6838,0,0
20171009,KL-AGERG,Fonds,1209.4342,1209.4342,1209.4342,1209.4342,0,0
20171006,KL-AGERG,Fonds,1210.782,1210.782,1210.782,1210.782,0,0
20171005,KL-AGERG,Fonds,1209.9279,1209.9279,1209.9279,1209.9279,0,0
20171004,KL-AGERG,Fonds,1211.1207,1211.1207,1211.1207,1211.1207,0,0
20171003,KL-AGERG,Fonds,1213.6146,1213.6146,1213.6146,1213.6146,0,0
20171002,KL-AGERG,Fonds,1212.1995,1212.1995,1212.1995,1212.1995,0,0
20170929,KL-AGERG,Fonds,1216.7574,1216.7574,1216.7574,1216.7574,0,0
20170928,KL-AGERG,Fonds,1222.0316,1222.0316,1222.0316,1222.0316,0,0
20170927,KL-AGERG,Fonds,1214.0419,1214.0419,1214.0419,1214.0419,0,0
20170926,KL-AGERG,Fonds,1211.1848,1211.1848,1211.1848,1211.1848,0,0
20170925,KL-AGERG,Fonds,1213.5682,1213.5682,1213.5682,1213.5682,0,0
20170922,KL-AGERG,Fonds,1217.8828,1217.8828,1217.8828,1217.8828,0,0
20170921,KL-AGERG,Fonds,1216.5038,1216.5038,1216.5038,1216.5038,0,0
20170920,KL-AGERG,Fonds,1209.6997,1209.6997,1209.6997,1209.6997,0,0
20170919,KL-AGERG,Fonds,1214.789,1214.789,1214.789,1214.789,0,0
20170918,KL-AGERG,Fonds,1216.0724,1216.0724,1216.0724,1216.0724,0,0
20170915,KL-AGERG,Fonds,1212.3315,1212.3315,1212.3315,1212.3315,0,0
20170914,KL-AGERG,Fonds,1213.2463,1213.2463,1213.2463,1213.2463,0,0
20170913,KL-AGERG,Fonds,1206.968,1206.968,1206.968,1206.968,0,0
20170912,KL-AGERG,Fonds,1211.1577,1211.1577,1211.1577,1211.1577,0,0
20170911,KL-AGERG,Fonds,1217.0011,1217.0011,1217.0011,1217.0011,0,0
20170908,KL-AGERG,Fonds,1219.0998,1219.0998,1219.0998,1219.0998,0,0
20170907,KL-AGERG,Fonds,1216.4718,1216.4718,1216.4718,1216.4718,0,0
20170906,KL-AGERG,Fonds,1220.3035,1220.3035,1220.3035,1220.3035,0,0
20170905,KL-AGERG,Fonds,1219.6204,1219.6204,1219.6204,1219.6204,0,0
20170904,KL-AGERG,Fonds,1217.5427,1217.5427,1217.5427,1217.5427,0,0
20170901,KL-AGERG,Fonds,1215.2639,1215.2639,1215.2639,1215.2639,0,0
20170831,KL-AGERG,Fonds,1212.4654,1212.4654,1212.4654,1212.4654,0,0
20170830,KL-AGERG,Fonds,1207.0938,1207.0938,1207.0938,1207.0938,0,0
20170829,KL-AGERG,Fonds,1204.4257,1204.4257,1204.4257,1204.4257,0,0
20170828,KL-AGERG,Fonds,1207.4186,1207.4186,1207.4186,1207.4186,0,0
20170825,KL-AGERG,Fonds,1209.885,1209.885,1209.885,1209.885,0,0
20170824,KL-AGERG,Fonds,1208.8289,1208.8289,1208.8289,1208.8289,0,0
20170823,KL-AGERG,Fonds,1211.9338,1211.9338,1211.9338,1211.9338,0,0
20170822,KL-AGERG,Fonds,1212.344,1212.344,1212.344,1212.344,0,0
20170821,KL-AGERG,Fonds,1214.5731,1214.5731,1214.5731,1214.5731,0,0
20170818,KL-AGERG,Fonds,1212.3921,1212.3921,1212.3921,1212.3921,0,0
20170817,KL-AGERG,Fonds,1213.3736,1213.3736,1213.3736,1213.3736,0,0
20170816,KL-AGERG,Fonds,1220.1221,1220.1221,1220.1221,1220.1221,0,0
20170815,KL-AGERG,Fonds,1216.4013,1216.4013,1216.4013,1216.4013,0,0
20170814,KL-AGERG,Fonds,1219.9903,1219.9903,1219.9903,1219.9903,0,0
20170811,KL-AGERG,Fonds,1220.8425,1220.8425,1220.8425,1220.8425,0,0
20170810,KL-AGERG,Fonds,1227.5599,1227.5599,1227.5599,1227.5599,0,0
20170809,KL-AGERG,Fonds,1228.3435,1228.3435,1228.3435,1228.3435,0,0
20170808,KL-AGERG,Fonds,1228.1437,1228.1437,1228.1437,1228.1437,0,0
20170807,KL-AGERG,Fonds,1224.2158,1224.2158,1224.2158,1224.2158,0,0
20170804,KL-AGERG,Fonds,1217.2803,1217.2803,1217.2803,1217.2803,0,0
20170803,KL-AGERG,Fonds,1222.0201,1222.0201,1222.0201,1222.0201,0,0
20170802,KL-AGERG,Fonds,1217.8162,1217.8162,1217.8162,1217.8162,0,0
20170801,KL-AGERG,Fonds,1222.3173,1222.3173,1222.3173,1222.3173,0,0
20170731,KL-AGERG,Fonds,1215.5495,1215.5495,1215.5495,1215.5495,0,0
20170728,KL-AGERG,Fonds,1214.9087,1214.9087,1214.9087,1214.9087,0,0
20170727,KL-AGERG,Fonds,1215.088,1215.088,1215.088,1215.088,0,0
