quote_date,paper,exch,open,high,low,close,volume,value
20171120,KL-AKGI4,Fonds,2083.579,2083.579,2083.579,2083.579,0,0
20171117,KL-AKGI4,Fonds,2080.611,2080.611,2080.611,2080.611,0,0
20171116,KL-AKGI4,Fonds,2083.8292,2083.8292,2083.8292,2083.8292,0,0
20171115,KL-AKGI4,Fonds,2068.8379,2068.8379,2068.8379,2068.8379,0,0
20171114,KL-AKGI4,Fonds,2082.3432,2082.3432,2082.3432,2082.3432,0,0
20171113,KL-AKGI4,Fonds,2088.1966,2088.1966,2088.1966,2088.1966,0,0
20171110,KL-AKGI4,Fonds,2091.2221,2091.2221,2091.2221,2091.2221,0,0
20171109,KL-AKGI4,Fonds,2096.0988,2096.0988,2096.0988,2096.0988,0,0
20171108,KL-AKGI4,Fonds,2105.4949,2105.4949,2105.4949,2105.4949,0,0
20171107,KL-AKGI4,Fonds,2102.8532,2102.8532,2102.8532,2102.8532,0,0
20171106,KL-AKGI4,Fonds,2102.9368,2102.9368,2102.9368,2102.9368,0,0
20171103,KL-AKGI4,Fonds,2101.5248,2101.5248,2101.5248,2101.5248,0,0
20171102,KL-AKGI4,Fonds,2096.3278,2096.3278,2096.3278,2096.3278,0,0
20171101,KL-AKGI4,Fonds,2095.306,2095.306,2095.306,2095.306,0,0
20171031,KL-AKGI4,Fonds,2088.7386,2088.7386,2088.7386,2088.7386,0,0
20171030,KL-AKGI4,Fonds,2086.1601,2086.1601,2086.1601,2086.1601,0,0
20171027,KL-AKGI4,Fonds,2089.5909,2089.5909,2089.5909,2089.5909,0,0
20171026,KL-AKGI4,Fonds,2074.9343,2074.9343,2074.9343,2074.9343,0,0
20171025,KL-AKGI4,Fonds,2066.8802,2066.8802,2066.8802,2066.8802,0,0
20171024,KL-AKGI4,Fonds,2076.3577,2076.3577,2076.3577,2076.3577,0,0
20171023,KL-AKGI4,Fonds,2073.5571,2073.5571,2073.5571,2073.5571,0,0
20171020,KL-AKGI4,Fonds,2077.178,2077.178,2077.178,2077.178,0,0
20171019,KL-AKGI4,Fonds,2069.9308,2069.9308,2069.9308,2069.9308,0,0
20171018,KL-AKGI4,Fonds,2070.5101,2070.5101,2070.5101,2070.5101,0,0
20171017,KL-AKGI4,Fonds,2066.8897,2066.8897,2066.8897,2066.8897,0,0
20171016,KL-AKGI4,Fonds,2065.0929,2065.0929,2065.0929,2065.0929,0,0
20171013,KL-AKGI4,Fonds,2061.8024,2061.8024,2061.8024,2061.8024,0,0
20171012,KL-AKGI4,Fonds,2059.458,2059.458,2059.458,2059.458,0,0
20171011,KL-AKGI4,Fonds,2060.4765,2060.4765,2060.4765,2060.4765,0,0
20171010,KL-AKGI4,Fonds,2057.296,2057.296,2057.296,2057.296,0,0
20171009,KL-AKGI4,Fonds,2054.3051,2054.3051,2054.3051,2054.3051,0,0
20171006,KL-AKGI4,Fonds,2056.824,2056.824,2056.824,2056.824,0,0
20171005,KL-AKGI4,Fonds,2057.7001,2057.7001,2057.7001,2057.7001,0,0
20171004,KL-AKGI4,Fonds,2048.8631,2048.8631,2048.8631,2048.8631,0,0
20171003,KL-AKGI4,Fonds,2048.6998,2048.6998,2048.6998,2048.6998,0,0
20171002,KL-AKGI4,Fonds,2043.6088,2043.6088,2043.6088,2043.6088,0,0
