quote_date,paper,exch,open,high,low,close,volume,value
20171109,KL-AKUSI,Fonds,2695.3983,2695.3983,2695.3983,2695.3983,0,0
20171108,KL-AKUSI,Fonds,2705.0096,2705.0096,2705.0096,2705.0096,0,0
20171107,KL-AKUSI,Fonds,2701.1782,2701.1782,2701.1782,2701.1782,0,0
20171106,KL-AKUSI,Fonds,2702.8444,2702.8444,2702.8444,2702.8444,0,0
20171103,KL-AKUSI,Fonds,2699.2467,2699.2467,2699.2467,2699.2467,0,0
20171102,KL-AKUSI,Fonds,2689.949,2689.949,2689.949,2689.949,0,0
20171101,KL-AKUSI,Fonds,2690.5974,2690.5974,2690.5974,2690.5974,0,0
20171031,KL-AKUSI,Fonds,2686.4353,2686.4353,2686.4353,2686.4353,0,0
20171030,KL-AKUSI,Fonds,2682.9367,2682.9367,2682.9367,2682.9367,0,0
20171027,KL-AKUSI,Fonds,2692.2305,2692.2305,2692.2305,2692.2305,0,0
20171026,KL-AKUSI,Fonds,2669.5705,2669.5705,2669.5705,2669.5705,0,0
20171025,KL-AKUSI,Fonds,2665.0026,2665.0026,2665.0026,2665.0026,0,0
20171024,KL-AKUSI,Fonds,2677.204,2677.204,2677.204,2677.204,0,0
20171023,KL-AKUSI,Fonds,2672.2978,2672.2978,2672.2978,2672.2978,0,0
20171020,KL-AKUSI,Fonds,2684.1676,2684.1676,2684.1676,2684.1676,0,0
20171019,KL-AKUSI,Fonds,2671.0922,2671.0922,2671.0922,2671.0922,0,0
20171018,KL-AKUSI,Fonds,2668.8386,2668.8386,2668.8386,2668.8386,0,0
20171017,KL-AKUSI,Fonds,2666.4273,2666.4273,2666.4273,2666.4273,0,0
20171016,KL-AKUSI,Fonds,2664.4025,2664.4025,2664.4025,2664.4025,0,0
20171013,KL-AKUSI,Fonds,2659.3747,2659.3747,2659.3747,2659.3747,0,0
20171012,KL-AKUSI,Fonds,2657.2216,2657.2216,2657.2216,2657.2216,0,0
20171011,KL-AKUSI,Fonds,2662.1731,2662.1731,2662.1731,2662.1731,0,0
20171010,KL-AKUSI,Fonds,2657.7564,2657.7564,2657.7564,2657.7564,0,0
20171009,KL-AKUSI,Fonds,2653.4179,2653.4179,2653.4179,2653.4179,0,0
20171006,KL-AKUSI,Fonds,2660.8585,2660.8585,2660.8585,2660.8585,0,0
20171005,KL-AKUSI,Fonds,2663.385,2663.385,2663.385,2663.385,0,0
20171004,KL-AKUSI,Fonds,2648.4105,2648.4105,2648.4105,2648.4105,0,0
20171003,KL-AKUSI,Fonds,2645.3498,2645.3498,2645.3498,2645.3498,0,0
20171002,KL-AKUSI,Fonds,2639.8635,2639.8635,2639.8635,2639.8635,0,0
20170929,KL-AKUSI,Fonds,2629.4051,2629.4051,2629.4051,2629.4051,0,0
20170928,KL-AKUSI,Fonds,2619.1694,2619.1694,2619.1694,2619.1694,0,0
20170927,KL-AKUSI,Fonds,2616.0578,2616.0578,2616.0578,2616.0578,0,0
20170926,KL-AKUSI,Fonds,2605.2114,2605.2114,2605.2114,2605.2114,0,0
20170925,KL-AKUSI,Fonds,2605.0937,2605.0937,2605.0937,2605.0937,0,0
20170922,KL-AKUSI,Fonds,2610.8875,2610.8875,2610.8875,2610.8875,0,0
20170921,KL-AKUSI,Fonds,2608.8665,2608.8665,2608.8665,2608.8665,0,0
20170920,KL-AKUSI,Fonds,2617.1671,2617.1671,2617.1671,2617.1671,0,0
20170919,KL-AKUSI,Fonds,2615.5735,2615.5735,2615.5735,2615.5735,0,0
20170918,KL-AKUSI,Fonds,2613.3807,2613.3807,2613.3807,2613.3807,0,0
20170915,KL-AKUSI,Fonds,2608.9295,2608.9295,2608.9295,2608.9295,0,0
20170914,KL-AKUSI,Fonds,2604.1699,2604.1699,2604.1699,2604.1699,0,0
20170913,KL-AKUSI,Fonds,2606.5966,2606.5966,2606.5966,2606.5966,0,0
20170912,KL-AKUSI,Fonds,2604.2609,2604.2609,2604.2609,2604.2609,0,0
20170911,KL-AKUSI,Fonds,2593.7036,2593.7036,2593.7036,2593.7036,0,0
20170908,KL-AKUSI,Fonds,2565.9688,2565.9688,2565.9688,2565.9688,0,0
20170907,KL-AKUSI,Fonds,2569.5056,2569.5056,2569.5056,2569.5056,0,0
20170906,KL-AKUSI,Fonds,2570.1941,2570.1941,2570.1941,2570.1941,0,0
