quote_date,paper,exch,open,high,low,close,volume,value
20171109,KL-FREMT,Fonds,1155.501,1155.501,1155.501,1155.501,0,0
20171108,KL-FREMT,Fonds,1165.1951,1165.1951,1165.1951,1165.1951,0,0
20171107,KL-FREMT,Fonds,1163.4263,1163.4263,1163.4263,1163.4263,0,0
20171106,KL-FREMT,Fonds,1162.8133,1162.8133,1162.8133,1162.8133,0,0
20171103,KL-FREMT,Fonds,1162.0962,1162.0962,1162.0962,1162.0962,0,0
20171102,KL-FREMT,Fonds,1156.87,1156.87,1156.87,1156.87,0,0
20171101,KL-FREMT,Fonds,1159.5979,1159.5979,1159.5979,1159.5979,0,0
20171031,KL-FREMT,Fonds,1156.4302,1156.4302,1156.4302,1156.4302,0,0
20171030,KL-FREMT,Fonds,1154.3946,1154.3946,1154.3946,1154.3946,0,0
20171027,KL-FREMT,Fonds,1153.5748,1153.5748,1153.5748,1153.5748,0,0
20171026,KL-FREMT,Fonds,1145.9065,1145.9065,1145.9065,1145.9065,0,0
20171025,KL-FREMT,Fonds,1136.8088,1136.8088,1136.8088,1136.8088,0,0
20171024,KL-FREMT,Fonds,1136.3977,1136.3977,1136.3977,1136.3977,0,0
20171023,KL-FREMT,Fonds,1137.3176,1137.3176,1137.3176,1137.3176,0,0
20171020,KL-FREMT,Fonds,1139.0441,1139.0441,1139.0441,1139.0441,0,0
20171019,KL-FREMT,Fonds,1133.0701,1133.0701,1133.0701,1133.0701,0,0
20171018,KL-FREMT,Fonds,1134.9209,1134.9209,1134.9209,1134.9209,0,0
20171017,KL-FREMT,Fonds,1132.0683,1132.0683,1132.0683,1132.0683,0,0
20171016,KL-FREMT,Fonds,1129.1351,1129.1351,1129.1351,1129.1351,0,0
20171013,KL-FREMT,Fonds,1128.9555,1128.9555,1128.9555,1128.9555,0,0
20171012,KL-FREMT,Fonds,1127.2128,1127.2128,1127.2128,1127.2128,0,0
