quote_date,paper,exch,open,high,low,close,volume,value
20171120,KL-KLGIV,Fonds,1240.0093,1240.0093,1240.0093,1240.0093,0,0
20171117,KL-KLGIV,Fonds,1235.3607,1235.3607,1235.3607,1235.3607,0,0
20171116,KL-KLGIV,Fonds,1228.4881,1228.4881,1228.4881,1228.4881,0,0
20171115,KL-KLGIV,Fonds,1227.6043,1227.6043,1227.6043,1227.6043,0,0
20171114,KL-KLGIV,Fonds,1228.4692,1228.4692,1228.4692,1228.4692,0,0
20171113,KL-KLGIV,Fonds,1223.1288,1223.1288,1223.1288,1223.1288,0,0
20171110,KL-KLGIV,Fonds,1218.3438,1218.3438,1218.3438,1218.3438,0,0
20171109,KL-KLGIV,Fonds,1222.1598,1222.1598,1222.1598,1222.1598,0,0
20171108,KL-KLGIV,Fonds,1233.8979,1233.8979,1233.8979,1233.8979,0,0
20171107,KL-KLGIV,Fonds,1232.1058,1232.1058,1232.1058,1232.1058,0,0
20171106,KL-KLGIV,Fonds,1230.7662,1230.7662,1230.7662,1230.7662,0,0
20171103,KL-KLGIV,Fonds,1230.6034,1230.6034,1230.6034,1230.6034,0,0
20171102,KL-KLGIV,Fonds,1222.9764,1222.9764,1222.9764,1222.9764,0,0
20171101,KL-KLGIV,Fonds,1224.4318,1224.4318,1224.4318,1224.4318,0,0
20171031,KL-KLGIV,Fonds,1225.2709,1225.2709,1225.2709,1225.2709,0,0
20171030,KL-KLGIV,Fonds,1220.9375,1220.9375,1220.9375,1220.9375,0,0
20171027,KL-KLGIV,Fonds,1224.5139,1224.5139,1224.5139,1224.5139,0,0
20171026,KL-KLGIV,Fonds,1211.6325,1211.6325,1211.6325,1211.6325,0,0
20171025,KL-KLGIV,Fonds,1192.3892,1192.3892,1192.3892,1192.3892,0,0
20171024,KL-KLGIV,Fonds,1192.9344,1192.9344,1192.9344,1192.9344,0,0
20171023,KL-KLGIV,Fonds,1192.699,1192.699,1192.699,1192.699,0,0
20171020,KL-KLGIV,Fonds,1193.3642,1193.3642,1193.3642,1193.3642,0,0
20171019,KL-KLGIV,Fonds,1186.2514,1186.2514,1186.2514,1186.2514,0,0
20171018,KL-KLGIV,Fonds,1187.5999,1187.5999,1187.5999,1187.5999,0,0
20171017,KL-KLGIV,Fonds,1183.8778,1183.8778,1183.8778,1183.8778,0,0
20171016,KL-KLGIV,Fonds,1175.0695,1175.0695,1175.0695,1175.0695,0,0
20171013,KL-KLGIV,Fonds,1173.7298,1173.7298,1173.7298,1173.7298,0,0
20171012,KL-KLGIV,Fonds,1171.7691,1171.7691,1171.7691,1171.7691,0,0
20171011,KL-KLGIV,Fonds,1176.7653,1176.7653,1176.7653,1176.7653,0,0
20171010,KL-KLGIV,Fonds,1178.1845,1178.1845,1178.1845,1178.1845,0,0
20171009,KL-KLGIV,Fonds,1179.5836,1179.5836,1179.5836,1179.5836,0,0
20171006,KL-KLGIV,Fonds,1185.5305,1185.5305,1185.5305,1185.5305,0,0
20171005,KL-KLGIV,Fonds,1182.9074,1182.9074,1182.9074,1182.9074,0,0
20171004,KL-KLGIV,Fonds,1173.6537,1173.6537,1173.6537,1173.6537,0,0
20171003,KL-KLGIV,Fonds,1177.4177,1177.4177,1177.4177,1177.4177,0,0
20171002,KL-KLGIV,Fonds,1176.5819,1176.5819,1176.5819,1176.5819,0,0
20170929,KL-KLGIV,Fonds,1169.6225,1169.6225,1169.6225,1169.6225,0,0
20170928,KL-KLGIV,Fonds,1162.0279,1162.0279,1162.0279,1162.0279,0,0
20170927,KL-KLGIV,Fonds,1161.6442,1161.6442,1161.6442,1161.6442,0,0
20170926,KL-KLGIV,Fonds,1150.588,1150.588,1150.588,1150.588,0,0
20170925,KL-KLGIV,Fonds,1139.8186,1139.8186,1139.8186,1139.8186,0,0
20170922,KL-KLGIV,Fonds,1138.9034,1138.9034,1138.9034,1138.9034,0,0
20170921,KL-KLGIV,Fonds,1141.0144,1141.0144,1141.0144,1141.0144,0,0
20170920,KL-KLGIV,Fonds,1144.0507,1144.0507,1144.0507,1144.0507,0,0
20170919,KL-KLGIV,Fonds,1144.5805,1144.5805,1144.5805,1144.5805,0,0
20170918,KL-KLGIV,Fonds,1141.5992,1141.5992,1141.5992,1141.5992,0,0
20170915,KL-KLGIV,Fonds,1143.4586,1143.4586,1143.4586,1143.4586,0,0
20170914,KL-KLGIV,Fonds,1151.3131,1151.3131,1151.3131,1151.3131,0,0
20170913,KL-KLGIV,Fonds,1148.5358,1148.5358,1148.5358,1148.5358,0,0
20170912,KL-KLGIV,Fonds,1142.537,1142.537,1142.537,1142.537,0,0
20170911,KL-KLGIV,Fonds,1140.7104,1140.7104,1140.7104,1140.7104,0,0
20170908,KL-KLGIV,Fonds,1116.1643,1116.1643,1116.1643,1116.1643,0,0
20170907,KL-KLGIV,Fonds,1115.7307,1115.7307,1115.7307,1115.7307,0,0
20170906,KL-KLGIV,Fonds,1116.4237,1116.4237,1116.4237,1116.4237,0,0
20170905,KL-KLGIV,Fonds,1112.698,1112.698,1112.698,1112.698,0,0
20170901,KL-KLGIV,Fonds,1122.803,1122.803,1122.803,1122.803,0,0
20170831,KL-KLGIV,Fonds,1117.8206,1117.8206,1117.8206,1117.8206,0,0
20170830,KL-KLGIV,Fonds,1112.187,1112.187,1112.187,1112.187,0,0
20170829,KL-KLGIV,Fonds,1101.5135,1101.5135,1101.5135,1101.5135,0,0
20170828,KL-KLGIV,Fonds,1107.473,1107.473,1107.473,1107.473,0,0
20170825,KL-KLGIV,Fonds,1108.0346,1108.0346,1108.0346,1108.0346,0,0
20170824,KL-KLGIV,Fonds,1114.4106,1114.4106,1114.4106,1114.4106,0,0
20170823,KL-KLGIV,Fonds,1121.325,1121.325,1121.325,1121.325,0,0
20170822,KL-KLGIV,Fonds,1127.4693,1127.4693,1127.4693,1127.4693,0,0
20170821,KL-KLGIV,Fonds,1118.2099,1118.2099,1118.2099,1118.2099,0,0
20170818,KL-KLGIV,Fonds,1123.3685,1123.3685,1123.3685,1123.3685,0,0
20170817,KL-KLGIV,Fonds,1127.0306,1127.0306,1127.0306,1127.0306,0,0
20170816,KL-KLGIV,Fonds,1140.1402,1140.1402,1140.1402,1140.1402,0,0
20170815,KL-KLGIV,Fonds,1137.6062,1137.6062,1137.6062,1137.6062,0,0
20170814,KL-KLGIV,Fonds,1133.9743,1133.9743,1133.9743,1133.9743,0,0
20170811,KL-KLGIV,Fonds,1130.0536,1130.0536,1130.0536,1130.0536,0,0
20170810,KL-KLGIV,Fonds,1129.5176,1129.5176,1129.5176,1129.5176,0,0
20170809,KL-KLGIV,Fonds,1144.9784,1144.9784,1144.9784,1144.9784,0,0
20170808,KL-KLGIV,Fonds,1144.5637,1144.5637,1144.5637,1144.5637,0,0
20170807,KL-KLGIV,Fonds,1147.9621,1147.9621,1147.9621,1147.9621,0,0
20170804,KL-KLGIV,Fonds,1147.3128,1147.3128,1147.3128,1147.3128,0,0
20170803,KL-KLGIV,Fonds,1138.2387,1138.2387,1138.2387,1138.2387,0,0
20170802,KL-KLGIV,Fonds,1137.4306,1137.4306,1137.4306,1137.4306,0,0
20170801,KL-KLGIV,Fonds,1139.4052,1139.4052,1139.4052,1139.4052,0,0
20170731,KL-KLGIV,Fonds,1134.702,1134.702,1134.702,1134.702,0,0
20170728,KL-KLGIV,Fonds,1136.5517,1136.5517,1136.5517,1136.5517,0,0
20170727,KL-KLGIV,Fonds,1141.5605,1141.5605,1141.5605,1141.5605,0,0
20170726,KL-KLGIV,Fonds,1146.567,1146.567,1146.567,1146.567,0,0
20170725,KL-KLGIV,Fonds,1144.9639,1144.9639,1144.9639,1144.9639,0,0
20170724,KL-KLGIV,Fonds,1145.9004,1145.9004,1145.9004,1145.9004,0,0
20170721,KL-KLGIV,Fonds,1148.5662,1148.5662,1148.5662,1148.5662,0,0
20170720,KL-KLGIV,Fonds,1154.0371,1154.0371,1154.0371,1154.0371,0,0
20170719,KL-KLGIV,Fonds,1155.4962,1155.4962,1155.4962,1155.4962,0,0
20170718,KL-KLGIV,Fonds,1150.5701,1150.5701,1150.5701,1150.5701,0,0
20170717,KL-KLGIV,Fonds,1161.0974,1161.0974,1161.0974,1161.0974,0,0
20170714,KL-KLGIV,Fonds,1169.5433,1169.5433,1169.5433,1169.5433,0,0
20170713,KL-KLGIV,Fonds,1170.7158,1170.7158,1170.7158,1170.7158,0,0
20170712,KL-KLGIV,Fonds,1171.9712,1171.9712,1171.9712,1171.9712,0,0
20170711,KL-KLGIV,Fonds,1168.0034,1168.0034,1168.0034,1168.0034,0,0
20170710,KL-KLGIV,Fonds,1170.3846,1170.3846,1170.3846,1170.3846,0,0
20170707,KL-KLGIV,Fonds,1170.565,1170.565,1170.565,1170.565,0,0
20170706,KL-KLGIV,Fonds,1167.3739,1167.3739,1167.3739,1167.3739,0,0
20170705,KL-KLGIV,Fonds,1180.6571,1180.6571,1180.6571,1180.6571,0,0
20170703,KL-KLGIV,Fonds,1175.2828,1175.2828,1175.2828,1175.2828,0,0
20170630,KL-KLGIV,Fonds,1174.817,1174.817,1174.817,1174.817,0,0
20170629,KL-KLGIV,Fonds,1178.7828,1178.7828,1178.7828,1178.7828,0,0
20170628,KL-KLGIV,Fonds,1195.2923,1195.2923,1195.2923,1195.2923,0,0
20170627,KL-KLGIV,Fonds,1183.0082,1183.0082,1183.0082,1183.0082,0,0
20170626,KL-KLGIV,Fonds,1195.3981,1195.3981,1195.3981,1195.3981,0,0
20170623,KL-KLGIV,Fonds,1188.3727,1188.3727,1188.3727,1188.3727,0,0
20170622,KL-KLGIV,Fonds,1192.1832,1192.1832,1192.1832,1192.1832,0,0
20170621,KL-KLGIV,Fonds,1198.6254,1198.6254,1198.6254,1198.6254,0,0
20170620,KL-KLGIV,Fonds,1203.4806,1203.4806,1203.4806,1203.4806,0,0
20170619,KL-KLGIV,Fonds,1197.9844,1197.9844,1197.9844,1197.9844,0,0
20170616,KL-KLGIV,Fonds,1190.0337,1190.0337,1190.0337,1190.0337,0,0
20170615,KL-KLGIV,Fonds,1191.0188,1191.0188,1191.0188,1191.0188,0,0
20170614,KL-KLGIV,Fonds,1181.9655,1181.9655,1181.9655,1181.9655,0,0
20170613,KL-KLGIV,Fonds,1189.5839,1189.5839,1189.5839,1189.5839,0,0
20170612,KL-KLGIV,Fonds,1189.1587,1189.1587,1189.1587,1189.1587,0,0
20170609,KL-KLGIV,Fonds,1195.0204,1195.0204,1195.0204,1195.0204,0,0
20170608,KL-KLGIV,Fonds,1194.1335,1194.1335,1194.1335,1194.1335,0,0
20170607,KL-KLGIV,Fonds,1196.7955,1196.7955,1196.7955,1196.7955,0,0
20170606,KL-KLGIV,Fonds,1193.6936,1193.6936,1193.6936,1193.6936,0,0
20170602,KL-KLGIV,Fonds,1193.7041,1193.7041,1193.7041,1193.7041,0,0
20170601,KL-KLGIV,Fonds,1186.9717,1186.9717,1186.9717,1186.9717,0,0
20170531,KL-KLGIV,Fonds,1176.6496,1176.6496,1176.6496,1176.6496,0,0
20170530,KL-KLGIV,Fonds,1178.6742,1178.6742,1178.6742,1178.6742,0,0
20170526,KL-KLGIV,Fonds,1171.8041,1171.8041,1171.8041,1171.8041,0,0
20170524,KL-KLGIV,Fonds,1168.7962,1168.7962,1168.7962,1168.7962,0,0
20170523,KL-KLGIV,Fonds,1162.9692,1162.9692,1162.9692,1162.9692,0,0
20170522,KL-KLGIV,Fonds,1160.6493,1160.6493,1160.6493,1160.6493,0,0
20170519,KL-KLGIV,Fonds,1158.7737,1158.7737,1158.7737,1158.7737,0,0
20170518,KL-KLGIV,Fonds,1159.1694,1159.1694,1159.1694,1159.1694,0,0
20170516,KL-KLGIV,Fonds,1180.6491,1180.6491,1180.6491,1180.6491,0,0
20170515,KL-KLGIV,Fonds,1186.1347,1186.1347,1186.1347,1186.1347,0,0
20170512,KL-KLGIV,Fonds,1186.2017,1186.2017,1186.2017,1186.2017,0,0
20170511,KL-KLGIV,Fonds,1186.3347,1186.3347,1186.3347,1186.3347,0,0
20170510,KL-KLGIV,Fonds,1191.8916,1191.8916,1191.8916,1191.8916,0,0
20170509,KL-KLGIV,Fonds,1197.3275,1197.3275,1197.3275,1197.3275,0,0
20170508,KL-KLGIV,Fonds,1195.5683,1195.5683,1195.5683,1195.5683,0,0
20170505,KL-KLGIV,Fonds,1189.5382,1189.5382,1189.5382,1189.5382,0,0
20170504,KL-KLGIV,Fonds,1192.2877,1192.2877,1192.2877,1192.2877,0,0
20170503,KL-KLGIV,Fonds,1183.9431,1183.9431,1183.9431,1183.9431,0,0
20170502,KL-KLGIV,Fonds,1182.7547,1182.7547,1182.7547,1182.7547,0,0
20170427,KL-KLGIV,Fonds,1178.7895,1178.7895,1178.7895,1178.7895,0,0
20170426,KL-KLGIV,Fonds,1178.2059,1178.2059,1178.2059,1178.2059,0,0
20170425,KL-KLGIV,Fonds,1172.4156,1172.4156,1172.4156,1172.4156,0,0
20170424,KL-KLGIV,Fonds,1166.7829,1166.7829,1166.7829,1166.7829,0,0
20170421,KL-KLGIV,Fonds,1164.1729,1164.1729,1164.1729,1164.1729,0,0
20170420,KL-KLGIV,Fonds,1155.5923,1155.5923,1155.5923,1155.5923,0,0
20170419,KL-KLGIV,Fonds,1143.7543,1143.7543,1143.7543,1143.7543,0,0
20170418,KL-KLGIV,Fonds,1139.3105,1139.3105,1139.3105,1139.3105,0,0
20170411,KL-KLGIV,Fonds,1155.1129,1155.1129,1155.1129,1155.1129,0,0
20170410,KL-KLGIV,Fonds,1159.4526,1159.4526,1159.4526,1159.4526,0,0
20170407,KL-KLGIV,Fonds,1158.4464,1158.4464,1158.4464,1158.4464,0,0
20170406,KL-KLGIV,Fonds,1155.5279,1155.5279,1155.5279,1155.5279,0,0
20170405,KL-KLGIV,Fonds,1153.9509,1153.9509,1153.9509,1153.9509,0,0
