quote_date,paper,exch,open,high,low,close,volume,value
20171120,KL-KLPKH,Fonds,1032.4998,1032.4998,1032.4998,1032.4998,0,0
20171117,KL-KLPKH,Fonds,1031.5107,1031.5107,1031.5107,1031.5107,0,0
20171116,KL-KLPKH,Fonds,1031.0373,1031.0373,1031.0373,1031.0373,0,0
20171115,KL-KLPKH,Fonds,1030.4232,1030.4232,1030.4232,1030.4232,0,0
20171114,KL-KLPKH,Fonds,1030.6841,1030.6841,1030.6841,1030.6841,0,0
20171113,KL-KLPKH,Fonds,1030.3897,1030.3897,1030.3897,1030.3897,0,0
20171110,KL-KLPKH,Fonds,1031.1772,1031.1772,1031.1772,1031.1772,0,0
20171109,KL-KLPKH,Fonds,1031.7715,1031.7715,1031.7715,1031.7715,0,0
20171108,KL-KLPKH,Fonds,1033.9622,1033.9622,1033.9622,1033.9622,0,0
20171107,KL-KLPKH,Fonds,1033.779,1033.779,1033.779,1033.779,0,0
20171106,KL-KLPKH,Fonds,1033.6151,1033.6151,1033.6151,1033.6151,0,0
20171103,KL-KLPKH,Fonds,1033.0901,1033.0901,1033.0901,1033.0901,0,0
20171102,KL-KLPKH,Fonds,1032.1328,1032.1328,1032.1328,1032.1328,0,0
20171101,KL-KLPKH,Fonds,1032.2615,1032.2615,1032.2615,1032.2615,0,0
20171031,KL-KLPKH,Fonds,1031.6379,1031.6379,1031.6379,1031.6379,0,0
20171030,KL-KLPKH,Fonds,1031.2945,1031.2945,1031.2945,1031.2945,0,0
20171027,KL-KLPKH,Fonds,1030.2347,1030.2347,1030.2347,1030.2347,0,0
20171026,KL-KLPKH,Fonds,1028.5209,1028.5209,1028.5209,1028.5209,0,0
20171025,KL-KLPKH,Fonds,1026.8035,1026.8035,1026.8035,1026.8035,0,0
20171024,KL-KLPKH,Fonds,1027.1486,1027.1486,1027.1486,1027.1486,0,0
20171023,KL-KLPKH,Fonds,1027.6694,1027.6694,1027.6694,1027.6694,0,0
20171020,KL-KLPKH,Fonds,1027.5945,1027.5945,1027.5945,1027.5945,0,0
20171019,KL-KLPKH,Fonds,1027.2728,1027.2728,1027.2728,1027.2728,0,0
20171018,KL-KLPKH,Fonds,1027.2953,1027.2953,1027.2953,1027.2953,0,0
20171017,KL-KLPKH,Fonds,1027.247,1027.247,1027.247,1027.247,0,0
20171016,KL-KLPKH,Fonds,1026.4318,1026.4318,1026.4318,1026.4318,0,0
20171013,KL-KLPKH,Fonds,1026.3597,1026.3597,1026.3597,1026.3597,0,0
20171012,KL-KLPKH,Fonds,1025.422,1025.422,1025.422,1025.422,0,0
20171011,KL-KLPKH,Fonds,1025.6475,1025.6475,1025.6475,1025.6475,0,0
20171010,KL-KLPKH,Fonds,1025.609,1025.609,1025.609,1025.609,0,0
20171009,KL-KLPKH,Fonds,1025.1258,1025.1258,1025.1258,1025.1258,0,0
20171006,KL-KLPKH,Fonds,1025.3336,1025.3336,1025.3336,1025.3336,0,0
20171005,KL-KLPKH,Fonds,1025.8134,1025.8134,1025.8134,1025.8134,0,0
20171004,KL-KLPKH,Fonds,1025.025,1025.025,1025.025,1025.025,0,0
20171003,KL-KLPKH,Fonds,1025.3321,1025.3321,1025.3321,1025.3321,0,0
20171002,KL-KLPKH,Fonds,1024.7513,1024.7513,1024.7513,1024.7513,0,0
20170929,KL-KLPKH,Fonds,1023.7215,1023.7215,1023.7215,1023.7215,0,0
20170928,KL-KLPKH,Fonds,1022.5359,1022.5359,1022.5359,1022.5359,0,0
20170927,KL-KLPKH,Fonds,1022.3065,1022.3065,1022.3065,1022.3065,0,0
20170926,KL-KLPKH,Fonds,1022.1029,1022.1029,1022.1029,1022.1029,0,0
20170925,KL-KLPKH,Fonds,1021.7253,1021.7253,1021.7253,1021.7253,0,0
20170922,KL-KLPKH,Fonds,1020.8596,1020.8596,1020.8596,1020.8596,0,0
20170921,KL-KLPKH,Fonds,1020.7882,1020.7882,1020.7882,1020.7882,0,0
20170920,KL-KLPKH,Fonds,1021.0497,1021.0497,1021.0497,1021.0497,0,0
20170919,KL-KLPKH,Fonds,1021.1498,1021.1498,1021.1498,1021.1498,0,0
20170918,KL-KLPKH,Fonds,1020.8249,1020.8249,1020.8249,1020.8249,0,0
20170915,KL-KLPKH,Fonds,1020.5844,1020.5844,1020.5844,1020.5844,0,0
20170914,KL-KLPKH,Fonds,1021.5255,1021.5255,1021.5255,1021.5255,0,0
