quote_date,paper,exch,open,high,low,close,volume,value
20171120,KL-OBLIG,Fonds,1096.0489,1096.0489,1096.0489,1096.0489,0,0
20171117,KL-OBLIG,Fonds,1094.9557,1094.9557,1094.9557,1094.9557,0,0
20171116,KL-OBLIG,Fonds,1094.6639,1094.6639,1094.6639,1094.6639,0,0
20171115,KL-OBLIG,Fonds,1094.8138,1094.8138,1094.8138,1094.8138,0,0
20171114,KL-OBLIG,Fonds,1093.9236,1093.9236,1093.9236,1093.9236,0,0
20171113,KL-OBLIG,Fonds,1093.661,1093.661,1093.661,1093.661,0,0
20171110,KL-OBLIG,Fonds,1093.8542,1093.8542,1093.8542,1093.8542,0,0
20171109,KL-OBLIG,Fonds,1093.812,1093.812,1093.812,1093.812,0,0
20171108,KL-OBLIG,Fonds,1094.6002,1094.6002,1094.6002,1094.6002,0,0
20171107,KL-OBLIG,Fonds,1094.195,1094.195,1094.195,1094.195,0,0
20171106,KL-OBLIG,Fonds,1094.0531,1094.0531,1094.0531,1094.0531,0,0
20171103,KL-OBLIG,Fonds,1093.4651,1093.4651,1093.4651,1093.4651,0,0
20171102,KL-OBLIG,Fonds,1093.0206,1093.0206,1093.0206,1093.0206,0,0
20171101,KL-OBLIG,Fonds,1092.8042,1092.8042,1092.8042,1092.8042,0,0
20171031,KL-OBLIG,Fonds,1092.5387,1092.5387,1092.5387,1092.5387,0,0
20171030,KL-OBLIG,Fonds,1092.3094,1092.3094,1092.3094,1092.3094,0,0
20171027,KL-OBLIG,Fonds,1091.3702,1091.3702,1091.3702,1091.3702,0,0
20171026,KL-OBLIG,Fonds,1091.3272,1091.3272,1091.3272,1091.3272,0,0
20171025,KL-OBLIG,Fonds,1090.6971,1090.6971,1090.6971,1090.6971,0,0
20171024,KL-OBLIG,Fonds,1090.9618,1090.9618,1090.9618,1090.9618,0,0
20171023,KL-OBLIG,Fonds,1091.3518,1091.3518,1091.3518,1091.3518,0,0
20171020,KL-OBLIG,Fonds,1091.0197,1091.0197,1091.0197,1091.0197,0,0
20171019,KL-OBLIG,Fonds,1091.5882,1091.5882,1091.5882,1091.5882,0,0
20171018,KL-OBLIG,Fonds,1091.4324,1091.4324,1091.4324,1091.4324,0,0
20171017,KL-OBLIG,Fonds,1091.6316,1091.6316,1091.6316,1091.6316,0,0
20171016,KL-OBLIG,Fonds,1091.1289,1091.1289,1091.1289,1091.1289,0,0
20171013,KL-OBLIG,Fonds,1090.6754,1090.6754,1090.6754,1090.6754,0,0
20171012,KL-OBLIG,Fonds,1089.9868,1089.9868,1089.9868,1089.9868,0,0
20171011,KL-OBLIG,Fonds,1090.6593,1090.6593,1090.6593,1090.6593,0,0
20171010,KL-OBLIG,Fonds,1090.6845,1090.6845,1090.6845,1090.6845,0,0
20171009,KL-OBLIG,Fonds,1090.9039,1090.9039,1090.9039,1090.9039,0,0
20171006,KL-OBLIG,Fonds,1090.1715,1090.1715,1090.1715,1090.1715,0,0
20171005,KL-OBLIG,Fonds,1091.3506,1091.3506,1091.3506,1091.3506,0,0
20171004,KL-OBLIG,Fonds,1091.5282,1091.5282,1091.5282,1091.5282,0,0
20171003,KL-OBLIG,Fonds,1091.0616,1091.0616,1091.0616,1091.0616,0,0
20171002,KL-OBLIG,Fonds,1091.5016,1091.5016,1091.5016,1091.5016,0,0
20170929,KL-OBLIG,Fonds,1091.2615,1091.2615,1091.2615,1091.2615,0,0
20170928,KL-OBLIG,Fonds,1090.7251,1090.7251,1090.7251,1090.7251,0,0
20170927,KL-OBLIG,Fonds,1091.029,1091.029,1091.029,1091.029,0,0
20170926,KL-OBLIG,Fonds,1091.6883,1091.6883,1091.6883,1091.6883,0,0
20170925,KL-OBLIG,Fonds,1091.5557,1091.5557,1091.5557,1091.5557,0,0
20170922,KL-OBLIG,Fonds,1091.0553,1091.0553,1091.0553,1091.0553,0,0
20170921,KL-OBLIG,Fonds,1090.9173,1090.9173,1090.9173,1090.9173,0,0
20170920,KL-OBLIG,Fonds,1091.8494,1091.8494,1091.8494,1091.8494,0,0
20170919,KL-OBLIG,Fonds,1091.9497,1091.9497,1091.9497,1091.9497,0,0
20170918,KL-OBLIG,Fonds,1091.7379,1091.7379,1091.7379,1091.7379,0,0
20170915,KL-OBLIG,Fonds,1092.0034,1092.0034,1092.0034,1092.0034,0,0
20170914,KL-OBLIG,Fonds,1092.3762,1092.3762,1092.3762,1092.3762,0,0
20170913,KL-OBLIG,Fonds,1092.7158,1092.7158,1092.7158,1092.7158,0,0
20170912,KL-OBLIG,Fonds,1092.8216,1092.8216,1092.8216,1092.8216,0,0
20170911,KL-OBLIG,Fonds,1093.455,1093.455,1093.455,1093.455,0,0
20170908,KL-OBLIG,Fonds,1093.0601,1093.0601,1093.0601,1093.0601,0,0
20170907,KL-OBLIG,Fonds,1092.4495,1092.4495,1092.4495,1092.4495,0,0
20170906,KL-OBLIG,Fonds,1092.7226,1092.7226,1092.7226,1092.7226,0,0
20170905,KL-OBLIG,Fonds,1092.0115,1092.0115,1092.0115,1092.0115,0,0
20170904,KL-OBLIG,Fonds,1091.4835,1091.4835,1091.4835,1091.4835,0,0
20170901,KL-OBLIG,Fonds,1091.0184,1091.0184,1091.0184,1091.0184,0,0
20170831,KL-OBLIG,Fonds,1091.1309,1091.1309,1091.1309,1091.1309,0,0
20170830,KL-OBLIG,Fonds,1091.0697,1091.0697,1091.0697,1091.0697,0,0
20170829,KL-OBLIG,Fonds,1091.2008,1091.2008,1091.2008,1091.2008,0,0
20170828,KL-OBLIG,Fonds,1090.5504,1090.5504,1090.5504,1090.5504,0,0
20170825,KL-OBLIG,Fonds,1090.1012,1090.1012,1090.1012,1090.1012,0,0
20170824,KL-OBLIG,Fonds,1090.1968,1090.1968,1090.1968,1090.1968,0,0
20170823,KL-OBLIG,Fonds,1090.0076,1090.0076,1090.0076,1090.0076,0,0
20170822,KL-OBLIG,Fonds,1089.6973,1089.6973,1089.6973,1089.6973,0,0
20170821,KL-OBLIG,Fonds,1089.4738,1089.4738,1089.4738,1089.4738,0,0
20170818,KL-OBLIG,Fonds,1089.1096,1089.1096,1089.1096,1089.1096,0,0
20170817,KL-OBLIG,Fonds,1088.5507,1088.5507,1088.5507,1088.5507,0,0
20170816,KL-OBLIG,Fonds,1088.1394,1088.1394,1088.1394,1088.1394,0,0
20170815,KL-OBLIG,Fonds,1088.4815,1088.4815,1088.4815,1088.4815,0,0
20170814,KL-OBLIG,Fonds,1089.5698,1089.5698,1089.5698,1089.5698,0,0
20170811,KL-OBLIG,Fonds,1090.2198,1090.2198,1090.2198,1090.2198,0,0
20170810,KL-OBLIG,Fonds,1089.8232,1089.8232,1089.8232,1089.8232,0,0
20170809,KL-OBLIG,Fonds,1089.3239,1089.3239,1089.3239,1089.3239,0,0
20170808,KL-OBLIG,Fonds,1088.3903,1088.3903,1088.3903,1088.3903,0,0
20170807,KL-OBLIG,Fonds,1087.9465,1087.9465,1087.9465,1087.9465,0,0
20170804,KL-OBLIG,Fonds,1087.3947,1087.3947,1087.3947,1087.3947,0,0
20170803,KL-OBLIG,Fonds,1087.0608,1087.0608,1087.0608,1087.0608,0,0
20170802,KL-OBLIG,Fonds,1086.4288,1086.4288,1086.4288,1086.4288,0,0
20170801,KL-OBLIG,Fonds,1085.8032,1085.8032,1085.8032,1085.8032,0,0
20170731,KL-OBLIG,Fonds,1085.3892,1085.3892,1085.3892,1085.3892,0,0
20170728,KL-OBLIG,Fonds,1085.1648,1085.1648,1085.1648,1085.1648,0,0
20170727,KL-OBLIG,Fonds,1085.6627,1085.6627,1085.6627,1085.6627,0,0
20170726,KL-OBLIG,Fonds,1085.442,1085.442,1085.442,1085.442,0,0
20170725,KL-OBLIG,Fonds,1085.164,1085.164,1085.164,1085.164,0,0
20170724,KL-OBLIG,Fonds,1085.7057,1085.7057,1085.7057,1085.7057,0,0
20170721,KL-OBLIG,Fonds,1085.1926,1085.1926,1085.1926,1085.1926,0,0
20170720,KL-OBLIG,Fonds,1084.992,1084.992,1084.992,1084.992,0,0
