quote_date,paper,exch,open,high,low,close,volume,value
20171120,KL-PENGE,Fonds,1012.2124,1012.2124,1012.2124,1012.2124,0,0
20171117,KL-PENGE,Fonds,1012.0183,1012.0183,1012.0183,1012.0183,0,0
20171116,KL-PENGE,Fonds,1011.9735,1011.9735,1011.9735,1011.9735,0,0
20171115,KL-PENGE,Fonds,1012.0046,1012.0046,1012.0046,1012.0046,0,0
20171114,KL-PENGE,Fonds,1011.8714,1011.8714,1011.8714,1011.8714,0,0
20171113,KL-PENGE,Fonds,1011.795,1011.795,1011.795,1011.795,0,0
20171110,KL-PENGE,Fonds,1011.6908,1011.6908,1011.6908,1011.6908,0,0
20171109,KL-PENGE,Fonds,1011.6831,1011.6831,1011.6831,1011.6831,0,0
20171108,KL-PENGE,Fonds,1011.7395,1011.7395,1011.7395,1011.7395,0,0
20171107,KL-PENGE,Fonds,1011.7648,1011.7648,1011.7648,1011.7648,0,0
20171106,KL-PENGE,Fonds,1011.7275,1011.7275,1011.7275,1011.7275,0,0
20171103,KL-PENGE,Fonds,1011.5694,1011.5694,1011.5694,1011.5694,0,0
20171102,KL-PENGE,Fonds,1011.5358,1011.5358,1011.5358,1011.5358,0,0
20171101,KL-PENGE,Fonds,1011.541,1011.541,1011.541,1011.541,0,0
20171031,KL-PENGE,Fonds,1011.5066,1011.5066,1011.5066,1011.5066,0,0
20171030,KL-PENGE,Fonds,1011.4321,1011.4321,1011.4321,1011.4321,0,0
20171027,KL-PENGE,Fonds,1011.2914,1011.2914,1011.2914,1011.2914,0,0
20171026,KL-PENGE,Fonds,1011.2481,1011.2481,1011.2481,1011.2481,0,0
20171025,KL-PENGE,Fonds,1011.2699,1011.2699,1011.2699,1011.2699,0,0
20171024,KL-PENGE,Fonds,1011.2458,1011.2458,1011.2458,1011.2458,0,0
20171023,KL-PENGE,Fonds,1011.2325,1011.2325,1011.2325,1011.2325,0,0
20171020,KL-PENGE,Fonds,1011.1363,1011.1363,1011.1363,1011.1363,0,0
20171019,KL-PENGE,Fonds,1011.1207,1011.1207,1011.1207,1011.1207,0,0
20171018,KL-PENGE,Fonds,1011.1582,1011.1582,1011.1582,1011.1582,0,0
20171017,KL-PENGE,Fonds,1011.0966,1011.0966,1011.0966,1011.0966,0,0
20171016,KL-PENGE,Fonds,1011.0461,1011.0461,1011.0461,1011.0461,0,0
20171013,KL-PENGE,Fonds,1010.9938,1010.9938,1010.9938,1010.9938,0,0
20171012,KL-PENGE,Fonds,1011.0037,1011.0037,1011.0037,1011.0037,0,0
20171011,KL-PENGE,Fonds,1011.1213,1011.1213,1011.1213,1011.1213,0,0
20171010,KL-PENGE,Fonds,1011.1075,1011.1075,1011.1075,1011.1075,0,0
20171009,KL-PENGE,Fonds,1011.1378,1011.1378,1011.1378,1011.1378,0,0
20171006,KL-PENGE,Fonds,1011.0414,1011.0414,1011.0414,1011.0414,0,0
20171005,KL-PENGE,Fonds,1011.0128,1011.0128,1011.0128,1011.0128,0,0
20171004,KL-PENGE,Fonds,1011.0679,1011.0679,1011.0679,1011.0679,0,0
20171003,KL-PENGE,Fonds,1011.0373,1011.0373,1011.0373,1011.0373,0,0
20171002,KL-PENGE,Fonds,1010.9798,1010.9798,1010.9798,1010.9798,0,0
20170929,KL-PENGE,Fonds,1010.8978,1010.8978,1010.8978,1010.8978,0,0
20170928,KL-PENGE,Fonds,1010.832,1010.832,1010.832,1010.832,0,0
20170927,KL-PENGE,Fonds,1010.8985,1010.8985,1010.8985,1010.8985,0,0
20170926,KL-PENGE,Fonds,1010.862,1010.862,1010.862,1010.862,0,0
20170925,KL-PENGE,Fonds,1010.8254,1010.8254,1010.8254,1010.8254,0,0
20170922,KL-PENGE,Fonds,1010.6974,1010.6974,1010.6974,1010.6974,0,0
20170921,KL-PENGE,Fonds,1010.6631,1010.6631,1010.6631,1010.6631,0,0
20170920,KL-PENGE,Fonds,1010.7351,1010.7351,1010.7351,1010.7351,0,0
20170919,KL-PENGE,Fonds,1010.7102,1010.7102,1010.7102,1010.7102,0,0
20170918,KL-PENGE,Fonds,1010.665,1010.665,1010.665,1010.665,0,0
20170915,KL-PENGE,Fonds,1010.5125,1010.5125,1010.5125,1010.5125,0,0
20170914,KL-PENGE,Fonds,1010.5053,1010.5053,1010.5053,1010.5053,0,0
20170913,KL-PENGE,Fonds,1010.5364,1010.5364,1010.5364,1010.5364,0,0
20170912,KL-PENGE,Fonds,1010.5232,1010.5232,1010.5232,1010.5232,0,0
20170911,KL-PENGE,Fonds,1010.5077,1010.5077,1010.5077,1010.5077,0,0
20170908,KL-PENGE,Fonds,1010.4152,1010.4152,1010.4152,1010.4152,0,0
20170907,KL-PENGE,Fonds,1010.3611,1010.3611,1010.3611,1010.3611,0,0
20170906,KL-PENGE,Fonds,1010.3817,1010.3817,1010.3817,1010.3817,0,0
20170905,KL-PENGE,Fonds,1010.3278,1010.3278,1010.3278,1010.3278,0,0
20170904,KL-PENGE,Fonds,1010.3058,1010.3058,1010.3058,1010.3058,0,0
20170901,KL-PENGE,Fonds,1010.1776,1010.1776,1010.1776,1010.1776,0,0
20170831,KL-PENGE,Fonds,1010.1256,1010.1256,1010.1256,1010.1256,0,0
20170830,KL-PENGE,Fonds,1010.1318,1010.1318,1010.1318,1010.1318,0,0
20170829,KL-PENGE,Fonds,1010.1856,1010.1856,1010.1856,1010.1856,0,0
20170828,KL-PENGE,Fonds,1010.1238,1010.1238,1010.1238,1010.1238,0,0
20170825,KL-PENGE,Fonds,1009.9826,1009.9826,1009.9826,1009.9826,0,0
20170824,KL-PENGE,Fonds,1009.9319,1009.9319,1009.9319,1009.9319,0,0
20170823,KL-PENGE,Fonds,1009.9354,1009.9354,1009.9354,1009.9354,0,0
20170822,KL-PENGE,Fonds,1009.9334,1009.9334,1009.9334,1009.9334,0,0
20170821,KL-PENGE,Fonds,1009.851,1009.851,1009.851,1009.851,0,0
20170818,KL-PENGE,Fonds,1009.7137,1009.7137,1009.7137,1009.7137,0,0
20170817,KL-PENGE,Fonds,1009.6707,1009.6707,1009.6707,1009.6707,0,0
20170816,KL-PENGE,Fonds,1009.6612,1009.6612,1009.6612,1009.6612,0,0
20170815,KL-PENGE,Fonds,1009.6055,1009.6055,1009.6055,1009.6055,0,0
20170814,KL-PENGE,Fonds,1009.5552,1009.5552,1009.5552,1009.5552,0,0
20170811,KL-PENGE,Fonds,1009.5534,1009.5534,1009.5534,1009.5534,0,0
20170810,KL-PENGE,Fonds,1009.5557,1009.5557,1009.5557,1009.5557,0,0
20170809,KL-PENGE,Fonds,1009.6166,1009.6166,1009.6166,1009.6166,0,0
20170808,KL-PENGE,Fonds,1009.5877,1009.5877,1009.5877,1009.5877,0,0
20170807,KL-PENGE,Fonds,1009.5321,1009.5321,1009.5321,1009.5321,0,0
20170804,KL-PENGE,Fonds,1009.4156,1009.4156,1009.4156,1009.4156,0,0
20170803,KL-PENGE,Fonds,1009.3615,1009.3615,1009.3615,1009.3615,0,0
20170802,KL-PENGE,Fonds,1009.2856,1009.2856,1009.2856,1009.2856,0,0
20170801,KL-PENGE,Fonds,1009.2165,1009.2165,1009.2165,1009.2165,0,0
20170731,KL-PENGE,Fonds,1009.1119,1009.1119,1009.1119,1009.1119,0,0
20170728,KL-PENGE,Fonds,1008.9836,1008.9836,1008.9836,1008.9836,0,0
20170727,KL-PENGE,Fonds,1008.96,1008.96,1008.96,1008.96,0,0
20170726,KL-PENGE,Fonds,1008.9286,1008.9286,1008.9286,1008.9286,0,0
20170725,KL-PENGE,Fonds,1008.8833,1008.8833,1008.8833,1008.8833,0,0
20170724,KL-PENGE,Fonds,1008.8335,1008.8335,1008.8335,1008.8335,0,0
20170721,KL-PENGE,Fonds,1008.6966,1008.6966,1008.6966,1008.6966,0,0
20170720,KL-PENGE,Fonds,1008.6452,1008.6452,1008.6452,1008.6452,0,0
20170719,KL-PENGE,Fonds,1008.6459,1008.6459,1008.6459,1008.6459,0,0
20170718,KL-PENGE,Fonds,1008.5995,1008.5995,1008.5995,1008.5995,0,0
20170717,KL-PENGE,Fonds,1008.5897,1008.5897,1008.5897,1008.5897,0,0
20170714,KL-PENGE,Fonds,1008.3937,1008.3937,1008.3937,1008.3937,0,0
20170713,KL-PENGE,Fonds,1008.3453,1008.3453,1008.3453,1008.3453,0,0
20170712,KL-PENGE,Fonds,1008.3091,1008.3091,1008.3091,1008.3091,0,0
20170711,KL-PENGE,Fonds,1008.2695,1008.2695,1008.2695,1008.2695,0,0
20170710,KL-PENGE,Fonds,1008.2468,1008.2468,1008.2468,1008.2468,0,0
20170707,KL-PENGE,Fonds,1008.1004,1008.1004,1008.1004,1008.1004,0,0
20170706,KL-PENGE,Fonds,1008.0767,1008.0767,1008.0767,1008.0767,0,0
20170705,KL-PENGE,Fonds,1008.0551,1008.0551,1008.0551,1008.0551,0,0
20170704,KL-PENGE,Fonds,1008.0051,1008.0051,1008.0051,1008.0051,0,0
20170703,KL-PENGE,Fonds,1007.978,1007.978,1007.978,1007.978,0,0
20170630,KL-PENGE,Fonds,1007.8287,1007.8287,1007.8287,1007.8287,0,0
20170629,KL-PENGE,Fonds,1007.782,1007.782,1007.782,1007.782,0,0
20170628,KL-PENGE,Fonds,1007.7185,1007.7185,1007.7185,1007.7185,0,0
20170627,KL-PENGE,Fonds,1007.6398,1007.6398,1007.6398,1007.6398,0,0
