quote_date,paper,exch,open,high,low,close,volume,value
20171109,KL-PENSJ,Fonds,1050.1006,1050.1006,1050.1006,1050.1006,0,0
20171108,KL-PENSJ,Fonds,1050.84,1050.84,1050.84,1050.84,0,0
20171107,KL-PENSJ,Fonds,1050.4459,1050.4459,1050.4459,1050.4459,0,0
20171106,KL-PENSJ,Fonds,1050.3128,1050.3128,1050.3128,1050.3128,0,0
20171103,KL-PENSJ,Fonds,1049.7692,1049.7692,1049.7692,1049.7692,0,0
20171102,KL-PENSJ,Fonds,1049.3515,1049.3515,1049.3515,1049.3515,0,0
20171101,KL-PENSJ,Fonds,1049.0682,1049.0682,1049.0682,1049.0682,0,0
20171031,KL-PENSJ,Fonds,1048.8005,1048.8005,1048.8005,1048.8005,0,0
20171030,KL-PENSJ,Fonds,1048.5686,1048.5686,1048.5686,1048.5686,0,0
20171027,KL-PENSJ,Fonds,1047.7121,1047.7121,1047.7121,1047.7121,0,0
20171026,KL-PENSJ,Fonds,1047.6243,1047.6243,1047.6243,1047.6243,0,0
20171025,KL-PENSJ,Fonds,1046.9284,1046.9284,1046.9284,1046.9284,0,0
20171024,KL-PENSJ,Fonds,1047.1579,1047.1579,1047.1579,1047.1579,0,0
20171023,KL-PENSJ,Fonds,1047.5414,1047.5414,1047.5414,1047.5414,0,0
20171020,KL-PENSJ,Fonds,1047.2478,1047.2478,1047.2478,1047.2478,0,0
20171019,KL-PENSJ,Fonds,1047.7598,1047.7598,1047.7598,1047.7598,0,0
20171018,KL-PENSJ,Fonds,1047.588,1047.588,1047.588,1047.588,0,0
20171017,KL-PENSJ,Fonds,1047.7622,1047.7622,1047.7622,1047.7622,0,0
20171016,KL-PENSJ,Fonds,1047.2276,1047.2276,1047.2276,1047.2276,0,0
20171013,KL-PENSJ,Fonds,1046.8021,1046.8021,1046.8021,1046.8021,0,0
20171012,KL-PENSJ,Fonds,1046.239,1046.239,1046.239,1046.239,0,0
20171011,KL-PENSJ,Fonds,1046.7843,1046.7843,1046.7843,1046.7843,0,0
20171010,KL-PENSJ,Fonds,1046.7479,1046.7479,1046.7479,1046.7479,0,0
20171009,KL-PENSJ,Fonds,1047.1082,1047.1082,1047.1082,1047.1082,0,0
20171006,KL-PENSJ,Fonds,1046.4832,1046.4832,1046.4832,1046.4832,0,0
20171005,KL-PENSJ,Fonds,1047.494,1047.494,1047.494,1047.494,0,0
20171004,KL-PENSJ,Fonds,1047.6255,1047.6255,1047.6255,1047.6255,0,0
20171003,KL-PENSJ,Fonds,1047.2424,1047.2424,1047.2424,1047.2424,0,0
20171002,KL-PENSJ,Fonds,1047.6079,1047.6079,1047.6079,1047.6079,0,0
20170929,KL-PENSJ,Fonds,1047.4881,1047.4881,1047.4881,1047.4881,0,0
20170928,KL-PENSJ,Fonds,1047.0156,1047.0156,1047.0156,1047.0156,0,0
20170927,KL-PENSJ,Fonds,1047.351,1047.351,1047.351,1047.351,0,0
20170926,KL-PENSJ,Fonds,1047.9213,1047.9213,1047.9213,1047.9213,0,0
20170925,KL-PENSJ,Fonds,1047.8359,1047.8359,1047.8359,1047.8359,0,0
20170922,KL-PENSJ,Fonds,1047.4742,1047.4742,1047.4742,1047.4742,0,0
20170921,KL-PENSJ,Fonds,1047.1637,1047.1637,1047.1637,1047.1637,0,0
20170920,KL-PENSJ,Fonds,1048.0548,1048.0548,1048.0548,1048.0548,0,0
20170919,KL-PENSJ,Fonds,1048.136,1048.136,1048.136,1048.136,0,0
20170918,KL-PENSJ,Fonds,1047.9647,1047.9647,1047.9647,1047.9647,0,0
20170915,KL-PENSJ,Fonds,1048.1561,1048.1561,1048.1561,1048.1561,0,0
20170914,KL-PENSJ,Fonds,1048.4268,1048.4268,1048.4268,1048.4268,0,0
20170913,KL-PENSJ,Fonds,1048.7668,1048.7668,1048.7668,1048.7668,0,0
20170912,KL-PENSJ,Fonds,1048.9054,1048.9054,1048.9054,1048.9054,0,0
20170911,KL-PENSJ,Fonds,1049.3832,1049.3832,1049.3832,1049.3832,0,0
20170908,KL-PENSJ,Fonds,1048.998,1048.998,1048.998,1048.998,0,0
20170907,KL-PENSJ,Fonds,1048.5306,1048.5306,1048.5306,1048.5306,0,0
20170906,KL-PENSJ,Fonds,1048.825,1048.825,1048.825,1048.825,0,0
20170905,KL-PENSJ,Fonds,1048.255,1048.255,1048.255,1048.255,0,0
20170904,KL-PENSJ,Fonds,1047.8333,1047.8333,1047.8333,1047.8333,0,0
20170901,KL-PENSJ,Fonds,1047.4655,1047.4655,1047.4655,1047.4655,0,0
20170831,KL-PENSJ,Fonds,1047.4069,1047.4069,1047.4069,1047.4069,0,0
20170830,KL-PENSJ,Fonds,1047.3878,1047.3878,1047.3878,1047.3878,0,0
20170829,KL-PENSJ,Fonds,1047.5939,1047.5939,1047.5939,1047.5939,0,0
20170828,KL-PENSJ,Fonds,1047.057,1047.057,1047.057,1047.057,0,0
20170825,KL-PENSJ,Fonds,1046.7031,1046.7031,1046.7031,1046.7031,0,0
20170824,KL-PENSJ,Fonds,1046.7427,1046.7427,1046.7427,1046.7427,0,0
20170823,KL-PENSJ,Fonds,1046.682,1046.682,1046.682,1046.682,0,0
20170822,KL-PENSJ,Fonds,1046.43,1046.43,1046.43,1046.43,0,0
20170821,KL-PENSJ,Fonds,1046.2171,1046.2171,1046.2171,1046.2171,0,0
20170818,KL-PENSJ,Fonds,1045.9274,1045.9274,1045.9274,1045.9274,0,0
20170817,KL-PENSJ,Fonds,1045.4695,1045.4695,1045.4695,1045.4695,0,0
20170816,KL-PENSJ,Fonds,1044.9762,1044.9762,1044.9762,1044.9762,0,0
20170815,KL-PENSJ,Fonds,1045.2098,1045.2098,1045.2098,1045.2098,0,0
20170814,KL-PENSJ,Fonds,1046.1374,1046.1374,1046.1374,1046.1374,0,0
20170811,KL-PENSJ,Fonds,1046.7318,1046.7318,1046.7318,1046.7318,0,0
20170810,KL-PENSJ,Fonds,1046.499,1046.499,1046.499,1046.499,0,0
20170809,KL-PENSJ,Fonds,1046.434,1046.434,1046.434,1046.434,0,0
20170808,KL-PENSJ,Fonds,1045.6666,1045.6666,1045.6666,1045.6666,0,0
20170807,KL-PENSJ,Fonds,1045.3997,1045.3997,1045.3997,1045.3997,0,0
20170804,KL-PENSJ,Fonds,1044.9698,1044.9698,1044.9698,1044.9698,0,0
20170803,KL-PENSJ,Fonds,1044.6576,1044.6576,1044.6576,1044.6576,0,0
20170802,KL-PENSJ,Fonds,1044.2569,1044.2569,1044.2569,1044.2569,0,0
20170801,KL-PENSJ,Fonds,1043.7732,1043.7732,1043.7732,1043.7732,0,0
20170731,KL-PENSJ,Fonds,1043.3594,1043.3594,1043.3594,1043.3594,0,0
