quote_date,paper,exch,open,high,low,close,volume,value
20171109,MF-EMMKD,Fonds,38.05,38.05,38.05,38.05,0,0
20171108,MF-EMMKD,Fonds,38.08,38.08,38.08,38.08,0,0
20171107,MF-EMMKD,Fonds,38.13,38.13,38.13,38.13,0,0
20171106,MF-EMMKD,Fonds,38.21,38.21,38.21,38.21,0,0
20171103,MF-EMMKD,Fonds,38.23,38.23,38.23,38.23,0,0
20171102,MF-EMMKD,Fonds,38.41,38.41,38.41,38.41,0,0
20171031,MF-EMMKD,Fonds,38.32,38.32,38.32,38.32,0,0
20171030,MF-EMMKD,Fonds,38.30,38.30,38.30,38.30,0,0
20171027,MF-EMMKD,Fonds,38.21,38.21,38.21,38.21,0,0
20171026,MF-EMMKD,Fonds,38.14,38.14,38.14,38.14,0,0
20171025,MF-EMMKD,Fonds,38.22,38.22,38.22,38.22,0,0
20171024,MF-EMMKD,Fonds,38.31,38.31,38.31,38.31,0,0
20171023,MF-EMMKD,Fonds,38.34,38.34,38.34,38.34,0,0
20171020,MF-EMMKD,Fonds,38.36,38.36,38.36,38.36,0,0
20171019,MF-EMMKD,Fonds,38.45,38.45,38.45,38.45,0,0
20171018,MF-EMMKD,Fonds,38.42,38.42,38.42,38.42,0,0
20171017,MF-EMMKD,Fonds,38.42,38.42,38.42,38.42,0,0
20171016,MF-EMMKD,Fonds,38.41,38.41,38.41,38.41,0,0
20171013,MF-EMMKD,Fonds,38.40,38.40,38.40,38.40,0,0
20171012,MF-EMMKD,Fonds,38.34,38.34,38.34,38.34,0,0
20171011,MF-EMMKD,Fonds,38.29,38.29,38.29,38.29,0,0
20171010,MF-EMMKD,Fonds,38.26,38.26,38.26,38.26,0,0
20171009,MF-EMMKD,Fonds,38.22,38.22,38.22,38.22,0,0
20171006,MF-EMMKD,Fonds,38.25,38.25,38.25,38.25,0,0
20171005,MF-EMMKD,Fonds,38.32,38.32,38.32,38.32,0,0
20171004,MF-EMMKD,Fonds,38.32,38.32,38.32,38.32,0,0
20171003,MF-EMMKD,Fonds,38.27,38.27,38.27,38.27,0,0
20171002,MF-EMMKD,Fonds,38.24,38.24,38.24,38.24,0,0
20170929,MF-EMMKD,Fonds,38.24,38.24,38.24,38.24,0,0
20170928,MF-EMMKD,Fonds,38.15,38.15,38.15,38.15,0,0
20170927,MF-EMMKD,Fonds,38.11,38.11,38.11,38.11,0,0
20170926,MF-EMMKD,Fonds,38.26,38.26,38.26,38.26,0,0
20170925,MF-EMMKD,Fonds,38.28,38.28,38.28,38.28,0,0
20170922,MF-EMMKD,Fonds,38.32,38.32,38.32,38.32,0,0
20170921,MF-EMMKD,Fonds,38.25,38.25,38.25,38.25,0,0
20170920,MF-EMMKD,Fonds,38.30,38.30,38.30,38.30,0,0
20170919,MF-EMMKD,Fonds,38.37,38.37,38.37,38.37,0,0
20170918,MF-EMMKD,Fonds,38.42,38.42,38.42,38.42,0,0
20170915,MF-EMMKD,Fonds,38.45,38.45,38.45,38.45,0,0
20170914,MF-EMMKD,Fonds,38.41,38.41,38.41,38.41,0,0
20170913,MF-EMMKD,Fonds,38.41,38.41,38.41,38.41,0,0
20170912,MF-EMMKD,Fonds,38.41,38.41,38.41,38.41,0,0
20170911,MF-EMMKD,Fonds,38.47,38.47,38.47,38.47,0,0
20170908,MF-EMMKD,Fonds,38.52,38.52,38.52,38.52,0,0
20170907,MF-EMMKD,Fonds,38.45,38.45,38.45,38.45,0,0
20170906,MF-EMMKD,Fonds,38.36,38.36,38.36,38.36,0,0
20170905,MF-EMMKD,Fonds,38.33,38.33,38.33,38.33,0,0
20170901,MF-EMMKD,Fonds,38.26,38.26,38.26,38.26,0,0
20170831,MF-EMMKD,Fonds,38.22,38.22,38.22,38.22,0,0
20170830,MF-EMMKD,Fonds,38.14,38.14,38.14,38.14,0,0
20170829,MF-EMMKD,Fonds,38.08,38.08,38.08,38.08,0,0
20170828,MF-EMMKD,Fonds,38.05,38.05,38.05,38.05,0,0
20170825,MF-EMMKD,Fonds,38.07,38.07,38.07,38.07,0,0
20170824,MF-EMMKD,Fonds,38.01,38.01,38.01,38.01,0,0
20170823,MF-EMMKD,Fonds,37.94,37.94,37.94,37.94,0,0
20170822,MF-EMMKD,Fonds,37.91,37.91,37.91,37.91,0,0
20170821,MF-EMMKD,Fonds,37.92,37.92,37.92,37.92,0,0
20170818,MF-EMMKD,Fonds,37.88,37.88,37.88,37.88,0,0
20170817,MF-EMMKD,Fonds,37.84,37.84,37.84,37.84,0,0
20170816,MF-EMMKD,Fonds,37.83,37.83,37.83,37.83,0,0
20170814,MF-EMMKD,Fonds,37.79,37.79,37.79,37.79,0,0
20170811,MF-EMMKD,Fonds,37.72,37.72,37.72,37.72,0,0
20170810,MF-EMMKD,Fonds,37.74,37.74,37.74,37.74,0,0
20170809,MF-EMMKD,Fonds,37.79,37.79,37.79,37.79,0,0
20170808,MF-EMMKD,Fonds,37.83,37.83,37.83,37.83,0,0
20170807,MF-EMMKD,Fonds,37.82,37.82,37.82,37.82,0,0
20170804,MF-EMMKD,Fonds,37.81,37.81,37.81,37.81,0,0
20170803,MF-EMMKD,Fonds,37.83,37.83,37.83,37.83,0,0
20170802,MF-EMMKD,Fonds,37.74,37.74,37.74,37.74,0,0
20170801,MF-EMMKD,Fonds,37.68,37.68,37.68,37.68,0,0
20170731,MF-EMMKD,Fonds,37.67,37.67,37.67,37.67,0,0
20170728,MF-EMMKD,Fonds,37.63,37.63,37.63,37.63,0,0
20170727,MF-EMMKD,Fonds,37.64,37.64,37.64,37.64,0,0
20170726,MF-EMMKD,Fonds,37.62,37.62,37.62,37.62,0,0
20170725,MF-EMMKD,Fonds,37.56,37.56,37.56,37.56,0,0
20170724,MF-EMMKD,Fonds,37.59,37.59,37.59,37.59,0,0
20170721,MF-EMMKD,Fonds,37.68,37.68,37.68,37.68,0,0
20170720,MF-EMMKD,Fonds,37.60,37.60,37.60,37.60,0,0
20170719,MF-EMMKD,Fonds,37.58,37.58,37.58,37.58,0,0
20170718,MF-EMMKD,Fonds,37.55,37.55,37.55,37.55,0,0
20170717,MF-EMMKD,Fonds,37.49,37.49,37.49,37.49,0,0
20170714,MF-EMMKD,Fonds,37.44,37.44,37.44,37.44,0,0
20170713,MF-EMMKD,Fonds,37.36,37.36,37.36,37.36,0,0
20170712,MF-EMMKD,Fonds,37.33,37.33,37.33,37.33,0,0
20170711,MF-EMMKD,Fonds,37.18,37.18,37.18,37.18,0,0
20170710,MF-EMMKD,Fonds,37.17,37.17,37.17,37.17,0,0
20170707,MF-EMMKD,Fonds,37.07,37.07,37.07,37.07,0,0
20170706,MF-EMMKD,Fonds,37.10,37.10,37.10,37.10,0,0
