quote_date,paper,exch,open,high,low,close,volume,value
20171120,MF-EURVA,Fonds,41.36,41.36,41.36,41.36,0,0
20171117,MF-EURVA,Fonds,41.10,41.10,41.10,41.10,0,0
20171116,MF-EURVA,Fonds,41.14,41.14,41.14,41.14,0,0
20171115,MF-EURVA,Fonds,40.69,40.69,40.69,40.69,0,0
20171114,MF-EURVA,Fonds,40.93,40.93,40.93,40.93,0,0
20171113,MF-EURVA,Fonds,41.08,41.08,41.08,41.08,0,0
20171110,MF-EURVA,Fonds,41.31,41.31,41.31,41.31,0,0
20171109,MF-EURVA,Fonds,41.43,41.43,41.43,41.43,0,0
20171108,MF-EURVA,Fonds,41.71,41.71,41.71,41.71,0,0
20171107,MF-EURVA,Fonds,41.60,41.60,41.60,41.60,0,0
20171106,MF-EURVA,Fonds,41.76,41.76,41.76,41.76,0,0
20171103,MF-EURVA,Fonds,41.70,41.70,41.70,41.70,0,0
20171102,MF-EURVA,Fonds,41.31,41.31,41.31,41.31,0,0
20171031,MF-EURVA,Fonds,41.43,41.43,41.43,41.43,0,0
20171030,MF-EURVA,Fonds,41.24,41.24,41.24,41.24,0,0
20171027,MF-EURVA,Fonds,41.20,41.20,41.20,41.20,0,0
20171026,MF-EURVA,Fonds,40.92,40.92,40.92,40.92,0,0
20171025,MF-EURVA,Fonds,40.28,40.28,40.28,40.28,0,0
20171024,MF-EURVA,Fonds,40.36,40.36,40.36,40.36,0,0
20171023,MF-EURVA,Fonds,40.62,40.62,40.62,40.62,0,0
20171020,MF-EURVA,Fonds,40.55,40.55,40.55,40.55,0,0
20171019,MF-EURVA,Fonds,40.51,40.51,40.51,40.51,0,0
20171018,MF-EURVA,Fonds,40.71,40.71,40.71,40.71,0,0
20171017,MF-EURVA,Fonds,40.60,40.60,40.60,40.60,0,0
20171016,MF-EURVA,Fonds,40.66,40.66,40.66,40.66,0,0
20171013,MF-EURVA,Fonds,40.77,40.77,40.77,40.77,0,0
20171012,MF-EURVA,Fonds,40.73,40.73,40.73,40.73,0,0
20171011,MF-EURVA,Fonds,40.43,40.43,40.43,40.43,0,0
20171010,MF-EURVA,Fonds,40.39,40.39,40.39,40.39,0,0
20171009,MF-EURVA,Fonds,40.27,40.27,40.27,40.27,0,0
20171006,MF-EURVA,Fonds,40.13,40.13,40.13,40.13,0,0
20171005,MF-EURVA,Fonds,40.24,40.24,40.24,40.24,0,0
20171004,MF-EURVA,Fonds,40.28,40.28,40.28,40.28,0,0
20171003,MF-EURVA,Fonds,40.21,40.21,40.21,40.21,0,0
20171002,MF-EURVA,Fonds,40.15,40.15,40.15,40.15,0,0
20170929,MF-EURVA,Fonds,39.95,39.95,39.95,39.95,0,0
20170928,MF-EURVA,Fonds,39.76,39.76,39.76,39.76,0,0
20170927,MF-EURVA,Fonds,39.63,39.63,39.63,39.63,0,0
20170926,MF-EURVA,Fonds,39.63,39.63,39.63,39.63,0,0
20170925,MF-EURVA,Fonds,39.49,39.49,39.49,39.49,0,0
20170922,MF-EURVA,Fonds,39.32,39.32,39.32,39.32,0,0
20170921,MF-EURVA,Fonds,39.23,39.23,39.23,39.23,0,0
20170920,MF-EURVA,Fonds,39.33,39.33,39.33,39.33,0,0
20170919,MF-EURVA,Fonds,39.29,39.29,39.29,39.29,0,0
20170918,MF-EURVA,Fonds,39.37,39.37,39.37,39.37,0,0
20170915,MF-EURVA,Fonds,39.33,39.33,39.33,39.33,0,0
20170914,MF-EURVA,Fonds,39.46,39.46,39.46,39.46,0,0
20170913,MF-EURVA,Fonds,39.41,39.41,39.41,39.41,0,0
20170912,MF-EURVA,Fonds,39.38,39.38,39.38,39.38,0,0
20170911,MF-EURVA,Fonds,39.32,39.32,39.32,39.32,0,0
20170908,MF-EURVA,Fonds,38.98,38.98,38.98,38.98,0,0
20170907,MF-EURVA,Fonds,38.76,38.76,38.76,38.76,0,0
20170906,MF-EURVA,Fonds,38.68,38.68,38.68,38.68,0,0
20170905,MF-EURVA,Fonds,38.72,38.72,38.72,38.72,0,0
20170901,MF-EURVA,Fonds,38.73,38.73,38.73,38.73,0,0
20170831,MF-EURVA,Fonds,38.62,38.62,38.62,38.62,0,0
20170830,MF-EURVA,Fonds,38.32,38.32,38.32,38.32,0,0
20170829,MF-EURVA,Fonds,38.05,38.05,38.05,38.05,0,0
20170828,MF-EURVA,Fonds,38.44,38.44,38.44,38.44,0,0
20170825,MF-EURVA,Fonds,38.55,38.55,38.55,38.55,0,0
20170824,MF-EURVA,Fonds,38.74,38.74,38.74,38.74,0,0
20170823,MF-EURVA,Fonds,38.70,38.70,38.70,38.70,0,0
20170822,MF-EURVA,Fonds,38.91,38.91,38.91,38.91,0,0
20170821,MF-EURVA,Fonds,38.63,38.63,38.63,38.63,0,0
20170818,MF-EURVA,Fonds,38.70,38.70,38.70,38.70,0,0
20170817,MF-EURVA,Fonds,38.93,38.93,38.93,38.93,0,0
20170816,MF-EURVA,Fonds,39.19,39.19,39.19,39.19,0,0
20170814,MF-EURVA,Fonds,38.89,38.89,38.89,38.89,0,0
20170811,MF-EURVA,Fonds,38.53,38.53,38.53,38.53,0,0
20170810,MF-EURVA,Fonds,38.75,38.75,38.75,38.75,0,0
20170809,MF-EURVA,Fonds,39.20,39.20,39.20,39.20,0,0
20170808,MF-EURVA,Fonds,39.34,39.34,39.34,39.34,0,0
20170807,MF-EURVA,Fonds,39.37,39.37,39.37,39.37,0,0
20170804,MF-EURVA,Fonds,39.48,39.48,39.48,39.48,0,0
20170803,MF-EURVA,Fonds,39.03,39.03,39.03,39.03,0,0
20170802,MF-EURVA,Fonds,39.03,39.03,39.03,39.03,0,0
20170801,MF-EURVA,Fonds,39.12,39.12,39.12,39.12,0,0
20170731,MF-EURVA,Fonds,38.82,38.82,38.82,38.82,0,0
20170728,MF-EURVA,Fonds,39.04,39.04,39.04,39.04,0,0
20170727,MF-EURVA,Fonds,39.59,39.59,39.59,39.59,0,0
20170726,MF-EURVA,Fonds,39.56,39.56,39.56,39.56,0,0
20170725,MF-EURVA,Fonds,39.36,39.36,39.36,39.36,0,0
20170724,MF-EURVA,Fonds,39.36,39.36,39.36,39.36,0,0
20170721,MF-EURVA,Fonds,39.65,39.65,39.65,39.65,0,0
20170720,MF-EURVA,Fonds,39.93,39.93,39.93,39.93,0,0
20170719,MF-EURVA,Fonds,40.13,40.13,40.13,40.13,0,0
20170718,MF-EURVA,Fonds,39.88,39.88,39.88,39.88,0,0
20170717,MF-EURVA,Fonds,40.16,40.16,40.16,40.16,0,0
20170714,MF-EURVA,Fonds,40.25,40.25,40.25,40.25,0,0
20170713,MF-EURVA,Fonds,40.08,40.08,40.08,40.08,0,0
20170712,MF-EURVA,Fonds,39.92,39.92,39.92,39.92,0,0
20170711,MF-EURVA,Fonds,39.32,39.32,39.32,39.32,0,0
20170710,MF-EURVA,Fonds,39.70,39.70,39.70,39.70,0,0
20170707,MF-EURVA,Fonds,39.51,39.51,39.51,39.51,0,0
20170706,MF-EURVA,Fonds,39.50,39.50,39.50,39.50,0,0
20170705,MF-EURVA,Fonds,39.91,39.91,39.91,39.91,0,0
20170703,MF-EURVA,Fonds,39.94,39.94,39.94,39.94,0,0
20170630,MF-EURVA,Fonds,39.78,39.78,39.78,39.78,0,0
20170629,MF-EURVA,Fonds,39.73,39.73,39.73,39.73,0,0
20170628,MF-EURVA,Fonds,40.37,40.37,40.37,40.37,0,0
20170627,MF-EURVA,Fonds,40.37,40.37,40.37,40.37,0,0
20170626,MF-EURVA,Fonds,40.94,40.94,40.94,40.94,0,0
20170622,MF-EURVA,Fonds,40.83,40.83,40.83,40.83,0,0
20170621,MF-EURVA,Fonds,40.86,40.86,40.86,40.86,0,0
20170620,MF-EURVA,Fonds,41.04,41.04,41.04,41.04,0,0
20170619,MF-EURVA,Fonds,41.18,41.18,41.18,41.18,0,0
20170616,MF-EURVA,Fonds,40.94,40.94,40.94,40.94,0,0
20170615,MF-EURVA,Fonds,40.49,40.49,40.49,40.49,0,0
20170614,MF-EURVA,Fonds,40.63,40.63,40.63,40.63,0,0
20170613,MF-EURVA,Fonds,40.57,40.57,40.57,40.57,0,0
20170612,MF-EURVA,Fonds,40.26,40.26,40.26,40.26,0,0
20170609,MF-EURVA,Fonds,40.72,40.72,40.72,40.72,0,0
20170608,MF-EURVA,Fonds,40.71,40.71,40.71,40.71,0,0
20170607,MF-EURVA,Fonds,40.95,40.95,40.95,40.95,0,0
20170606,MF-EURVA,Fonds,40.92,40.92,40.92,40.92,0,0
20170602,MF-EURVA,Fonds,41.15,41.15,41.15,41.15,0,0
20170601,MF-EURVA,Fonds,41.05,41.05,41.05,41.05,0,0
20170531,MF-EURVA,Fonds,40.73,40.73,40.73,40.73,0,0
20170530,MF-EURVA,Fonds,40.68,40.68,40.68,40.68,0,0
20170526,MF-EURVA,Fonds,40.75,40.75,40.75,40.75,0,0
20170524,MF-EURVA,Fonds,40.66,40.66,40.66,40.66,0,0
20170523,MF-EURVA,Fonds,40.63,40.63,40.63,40.63,0,0
20170522,MF-EURVA,Fonds,40.61,40.61,40.61,40.61,0,0
20170519,MF-EURVA,Fonds,40.57,40.57,40.57,40.57,0,0
20170518,MF-EURVA,Fonds,40.28,40.28,40.28,40.28,0,0
20170516,MF-EURVA,Fonds,40.87,40.87,40.87,40.87,0,0
20170515,MF-EURVA,Fonds,40.78,40.78,40.78,40.78,0,0
20170512,MF-EURVA,Fonds,40.84,40.84,40.84,40.84,0,0
20170511,MF-EURVA,Fonds,40.80,40.80,40.80,40.80,0,0
20170510,MF-EURVA,Fonds,40.83,40.83,40.83,40.83,0,0
20170509,MF-EURVA,Fonds,40.88,40.88,40.88,40.88,0,0
20170508,MF-EURVA,Fonds,40.59,40.59,40.59,40.59,0,0
20170505,MF-EURVA,Fonds,40.53,40.53,40.53,40.53,0,0
20170504,MF-EURVA,Fonds,40.34,40.34,40.34,40.34,0,0
20170503,MF-EURVA,Fonds,40.16,40.16,40.16,40.16,0,0
20170502,MF-EURVA,Fonds,40.21,40.21,40.21,40.21,0,0
20170428,MF-EURVA,Fonds,39.91,39.91,39.91,39.91,0,0
20170427,MF-EURVA,Fonds,40.03,40.03,40.03,40.03,0,0
20170426,MF-EURVA,Fonds,39.92,39.92,39.92,39.92,0,0
20170425,MF-EURVA,Fonds,39.76,39.76,39.76,39.76,0,0
20170424,MF-EURVA,Fonds,39.71,39.71,39.71,39.71,0,0
20170421,MF-EURVA,Fonds,39.29,39.29,39.29,39.29,0,0
20170420,MF-EURVA,Fonds,39.32,39.32,39.32,39.32,0,0
20170419,MF-EURVA,Fonds,39.18,39.18,39.18,39.18,0,0
20170418,MF-EURVA,Fonds,39.28,39.28,39.28,39.28,0,0
20170412,MF-EURVA,Fonds,39.49,39.49,39.49,39.49,0,0
20170411,MF-EURVA,Fonds,39.32,39.32,39.32,39.32,0,0
20170410,MF-EURVA,Fonds,39.14,39.14,39.14,39.14,0,0
20170407,MF-EURVA,Fonds,39.10,39.10,39.10,39.10,0,0
20170406,MF-EURVA,Fonds,38.97,38.97,38.97,38.97,0,0
20170405,MF-EURVA,Fonds,38.78,38.78,38.78,38.78,0,0
20170404,MF-EURVA,Fonds,38.74,38.74,38.74,38.74,0,0
20170403,MF-EURVA,Fonds,38.69,38.69,38.69,38.69,0,0
20170331,MF-EURVA,Fonds,38.79,38.79,38.79,38.79,0,0
20170330,MF-EURVA,Fonds,38.67,38.67,38.67,38.67,0,0
20170329,MF-EURVA,Fonds,38.46,38.46,38.46,38.46,0,0
20170328,MF-EURVA,Fonds,38.33,38.33,38.33,38.33,0,0
20170327,MF-EURVA,Fonds,38.33,38.33,38.33,38.33,0,0
20170324,MF-EURVA,Fonds,38.44,38.44,38.44,38.44,0,0
20170323,MF-EURVA,Fonds,38.34,38.34,38.34,38.34,0,0
