quote_date,paper,exch,open,high,low,close,volume,value
20171109,MF-FUGLE,Fonds,55.71,55.71,55.71,55.71,0,0
20171108,MF-FUGLE,Fonds,55.85,55.85,55.85,55.85,0,0
20171107,MF-FUGLE,Fonds,55.79,55.79,55.79,55.79,0,0
20171106,MF-FUGLE,Fonds,56.03,56.03,56.03,56.03,0,0
20171103,MF-FUGLE,Fonds,55.95,55.95,55.95,55.95,0,0
20171102,MF-FUGLE,Fonds,55.89,55.89,55.89,55.89,0,0
20171031,MF-FUGLE,Fonds,56.19,56.19,56.19,56.19,0,0
20171030,MF-FUGLE,Fonds,56.03,56.03,56.03,56.03,0,0
20171027,MF-FUGLE,Fonds,56.20,56.20,56.20,56.20,0,0
20171026,MF-FUGLE,Fonds,56.03,56.03,56.03,56.03,0,0
20171025,MF-FUGLE,Fonds,55.92,55.92,55.92,55.92,0,0
20171024,MF-FUGLE,Fonds,56.05,56.05,56.05,56.05,0,0
20171023,MF-FUGLE,Fonds,56.12,56.12,56.12,56.12,0,0
20171020,MF-FUGLE,Fonds,56.25,56.25,56.25,56.25,0,0
20171019,MF-FUGLE,Fonds,56.20,56.20,56.20,56.20,0,0
20171018,MF-FUGLE,Fonds,56.24,56.24,56.24,56.24,0,0
20171017,MF-FUGLE,Fonds,56.06,56.06,56.06,56.06,0,0
20171016,MF-FUGLE,Fonds,56.21,56.21,56.21,56.21,0,0
20171013,MF-FUGLE,Fonds,56.34,56.34,56.34,56.34,0,0
20171012,MF-FUGLE,Fonds,56.26,56.26,56.26,56.26,0,0
20171011,MF-FUGLE,Fonds,56.27,56.27,56.27,56.27,0,0
20171010,MF-FUGLE,Fonds,56.15,56.15,56.15,56.15,0,0
20171009,MF-FUGLE,Fonds,55.88,55.88,55.88,55.88,0,0
20171006,MF-FUGLE,Fonds,55.94,55.94,55.94,55.94,0,0
20171005,MF-FUGLE,Fonds,56.02,56.02,56.02,56.02,0,0
20171004,MF-FUGLE,Fonds,55.94,55.94,55.94,55.94,0,0
20171003,MF-FUGLE,Fonds,55.73,55.73,55.73,55.73,0,0
20171002,MF-FUGLE,Fonds,55.66,55.66,55.66,55.66,0,0
20170929,MF-FUGLE,Fonds,55.52,55.52,55.52,55.52,0,0
20170928,MF-FUGLE,Fonds,55.19,55.19,55.19,55.19,0,0
20170927,MF-FUGLE,Fonds,55.13,55.13,55.13,55.13,0,0
20170926,MF-FUGLE,Fonds,55.16,55.16,55.16,55.16,0,0
20170925,MF-FUGLE,Fonds,55.28,55.28,55.28,55.28,0,0
20170922,MF-FUGLE,Fonds,55.36,55.36,55.36,55.36,0,0
20170921,MF-FUGLE,Fonds,55.22,55.22,55.22,55.22,0,0
20170920,MF-FUGLE,Fonds,55.27,55.27,55.27,55.27,0,0
20170919,MF-FUGLE,Fonds,55.41,55.41,55.41,55.41,0,0
20170918,MF-FUGLE,Fonds,55.50,55.50,55.50,55.50,0,0
20170915,MF-FUGLE,Fonds,55.34,55.34,55.34,55.34,0,0
20170914,MF-FUGLE,Fonds,55.38,55.38,55.38,55.38,0,0
20170913,MF-FUGLE,Fonds,55.33,55.33,55.33,55.33,0,0
20170912,MF-FUGLE,Fonds,55.52,55.52,55.52,55.52,0,0
20170911,MF-FUGLE,Fonds,55.33,55.33,55.33,55.33,0,0
20170908,MF-FUGLE,Fonds,54.98,54.98,54.98,54.98,0,0
20170907,MF-FUGLE,Fonds,54.80,54.80,54.80,54.80,0,0
20170906,MF-FUGLE,Fonds,54.53,54.53,54.53,54.53,0,0
20170905,MF-FUGLE,Fonds,54.35,54.35,54.35,54.35,0,0
20170901,MF-FUGLE,Fonds,54.54,54.54,54.54,54.54,0,0
20170831,MF-FUGLE,Fonds,54.57,54.57,54.57,54.57,0,0
20170830,MF-FUGLE,Fonds,54.24,54.24,54.24,54.24,0,0
20170829,MF-FUGLE,Fonds,54.18,54.18,54.18,54.18,0,0
20170828,MF-FUGLE,Fonds,54.31,54.31,54.31,54.31,0,0
20170825,MF-FUGLE,Fonds,54.34,54.34,54.34,54.34,0,0
20170824,MF-FUGLE,Fonds,54.08,54.08,54.08,54.08,0,0
20170823,MF-FUGLE,Fonds,54.13,54.13,54.13,54.13,0,0
20170822,MF-FUGLE,Fonds,54.54,54.54,54.54,54.54,0,0
20170821,MF-FUGLE,Fonds,54.24,54.24,54.24,54.24,0,0
20170818,MF-FUGLE,Fonds,54.10,54.10,54.10,54.10,0,0
20170817,MF-FUGLE,Fonds,54.25,54.25,54.25,54.25,0,0
20170816,MF-FUGLE,Fonds,54.87,54.87,54.87,54.87,0,0
20170814,MF-FUGLE,Fonds,54.54,54.54,54.54,54.54,0,0
20170811,MF-FUGLE,Fonds,54.06,54.06,54.06,54.06,0,0
20170810,MF-FUGLE,Fonds,53.92,53.92,53.92,53.92,0,0
20170809,MF-FUGLE,Fonds,54.62,54.62,54.62,54.62,0,0
20170808,MF-FUGLE,Fonds,54.94,54.94,54.94,54.94,0,0
20170807,MF-FUGLE,Fonds,55.13,55.13,55.13,55.13,0,0
20170804,MF-FUGLE,Fonds,55.13,55.13,55.13,55.13,0,0
20170803,MF-FUGLE,Fonds,55.00,55.00,55.00,55.00,0,0
20170802,MF-FUGLE,Fonds,54.86,54.86,54.86,54.86,0,0
20170801,MF-FUGLE,Fonds,54.88,54.88,54.88,54.88,0,0
20170731,MF-FUGLE,Fonds,54.77,54.77,54.77,54.77,0,0
20170728,MF-FUGLE,Fonds,54.70,54.70,54.70,54.70,0,0
20170727,MF-FUGLE,Fonds,54.77,54.77,54.77,54.77,0,0
20170726,MF-FUGLE,Fonds,54.98,54.98,54.98,54.98,0,0
20170725,MF-FUGLE,Fonds,54.82,54.82,54.82,54.82,0,0
20170724,MF-FUGLE,Fonds,54.84,54.84,54.84,54.84,0,0
20170721,MF-FUGLE,Fonds,55.00,55.00,55.00,55.00,0,0
20170720,MF-FUGLE,Fonds,55.17,55.17,55.17,55.17,0,0
20170719,MF-FUGLE,Fonds,55.01,55.01,55.01,55.01,0,0
20170718,MF-FUGLE,Fonds,54.82,54.82,54.82,54.82,0,0
20170717,MF-FUGLE,Fonds,54.93,54.93,54.93,54.93,0,0
20170714,MF-FUGLE,Fonds,54.94,54.94,54.94,54.94,0,0
20170713,MF-FUGLE,Fonds,54.56,54.56,54.56,54.56,0,0
20170712,MF-FUGLE,Fonds,54.47,54.47,54.47,54.47,0,0
20170711,MF-FUGLE,Fonds,53.95,53.95,53.95,53.95,0,0
20170710,MF-FUGLE,Fonds,54.08,54.08,54.08,54.08,0,0
20170707,MF-FUGLE,Fonds,53.92,53.92,53.92,53.92,0,0
20170706,MF-FUGLE,Fonds,53.79,53.79,53.79,53.79,0,0
20170705,MF-FUGLE,Fonds,54.22,54.22,54.22,54.22,0,0
20170703,MF-FUGLE,Fonds,54.29,54.29,54.29,54.29,0,0
20170630,MF-FUGLE,Fonds,54.21,54.21,54.21,54.21,0,0
20170629,MF-FUGLE,Fonds,54.25,54.25,54.25,54.25,0,0
20170628,MF-FUGLE,Fonds,54.77,54.77,54.77,54.77,0,0
20170627,MF-FUGLE,Fonds,54.45,54.45,54.45,54.45,0,0
20170626,MF-FUGLE,Fonds,54.53,54.53,54.53,54.53,0,0
