quote_date,paper,exch,open,high,low,close,volume,value
20171120,MF-GEQIF,Fonds,12.38,12.38,12.38,12.38,0,0
20171117,MF-GEQIF,Fonds,12.37,12.37,12.37,12.37,0,0
20171116,MF-GEQIF,Fonds,12.36,12.36,12.36,12.36,0,0
20171115,MF-GEQIF,Fonds,12.27,12.27,12.27,12.27,0,0
20171114,MF-GEQIF,Fonds,12.31,12.31,12.31,12.31,0,0
20171113,MF-GEQIF,Fonds,12.31,12.31,12.31,12.31,0,0
20171110,MF-GEQIF,Fonds,12.31,12.31,12.31,12.31,0,0
20171109,MF-GEQIF,Fonds,12.34,12.34,12.34,12.34,0,0
20171108,MF-GEQIF,Fonds,12.41,12.41,12.41,12.41,0,0
20171107,MF-GEQIF,Fonds,12.37,12.37,12.37,12.37,0,0
20171106,MF-GEQIF,Fonds,12.36,12.36,12.36,12.36,0,0
20171103,MF-GEQIF,Fonds,12.36,12.36,12.36,12.36,0,0
20171102,MF-GEQIF,Fonds,12.38,12.38,12.38,12.38,0,0
20171031,MF-GEQIF,Fonds,12.37,12.37,12.37,12.37,0,0
20171030,MF-GEQIF,Fonds,12.33,12.33,12.33,12.33,0,0
20171027,MF-GEQIF,Fonds,12.35,12.35,12.35,12.35,0,0
20171026,MF-GEQIF,Fonds,12.37,12.37,12.37,12.37,0,0
20171025,MF-GEQIF,Fonds,12.38,12.38,12.38,12.38,0,0
20171024,MF-GEQIF,Fonds,12.47,12.47,12.47,12.47,0,0
20171023,MF-GEQIF,Fonds,12.51,12.51,12.51,12.51,0,0
20171020,MF-GEQIF,Fonds,12.53,12.53,12.53,12.53,0,0
20171019,MF-GEQIF,Fonds,12.55,12.55,12.55,12.55,0,0
20171018,MF-GEQIF,Fonds,12.57,12.57,12.57,12.57,0,0
20171017,MF-GEQIF,Fonds,12.57,12.57,12.57,12.57,0,0
20171016,MF-GEQIF,Fonds,12.59,12.59,12.59,12.59,0,0
20171013,MF-GEQIF,Fonds,12.59,12.59,12.59,12.59,0,0
20171012,MF-GEQIF,Fonds,12.57,12.57,12.57,12.57,0,0
20171011,MF-GEQIF,Fonds,12.56,12.56,12.56,12.56,0,0
20171010,MF-GEQIF,Fonds,12.51,12.51,12.51,12.51,0,0
20171009,MF-GEQIF,Fonds,12.45,12.45,12.45,12.45,0,0
20171006,MF-GEQIF,Fonds,12.43,12.43,12.43,12.43,0,0
20171005,MF-GEQIF,Fonds,12.45,12.45,12.45,12.45,0,0
20171004,MF-GEQIF,Fonds,12.44,12.44,12.44,12.44,0,0
20171003,MF-GEQIF,Fonds,12.43,12.43,12.43,12.43,0,0
20171002,MF-GEQIF,Fonds,12.38,12.38,12.38,12.38,0,0
20170929,MF-GEQIF,Fonds,12.34,12.34,12.34,12.34,0,0
20170928,MF-GEQIF,Fonds,12.27,12.27,12.27,12.27,0,0
20170927,MF-GEQIF,Fonds,12.26,12.26,12.26,12.26,0,0
20170926,MF-GEQIF,Fonds,12.26,12.26,12.26,12.26,0,0
20170925,MF-GEQIF,Fonds,12.29,12.29,12.29,12.29,0,0
20170922,MF-GEQIF,Fonds,12.29,12.29,12.29,12.29,0,0
20170921,MF-GEQIF,Fonds,12.28,12.28,12.28,12.28,0,0
20170920,MF-GEQIF,Fonds,12.27,12.27,12.27,12.27,0,0
20170919,MF-GEQIF,Fonds,12.29,12.29,12.29,12.29,0,0
20170918,MF-GEQIF,Fonds,12.29,12.29,12.29,12.29,0,0
20170915,MF-GEQIF,Fonds,12.27,12.27,12.27,12.27,0,0
20170914,MF-GEQIF,Fonds,12.27,12.27,12.27,12.27,0,0
20170913,MF-GEQIF,Fonds,12.26,12.26,12.26,12.26,0,0
20170912,MF-GEQIF,Fonds,12.29,12.29,12.29,12.29,0,0
20170911,MF-GEQIF,Fonds,12.25,12.25,12.25,12.25,0,0
20170908,MF-GEQIF,Fonds,12.18,12.18,12.18,12.18,0,0
20170907,MF-GEQIF,Fonds,12.18,12.18,12.18,12.18,0,0
20170906,MF-GEQIF,Fonds,12.12,12.12,12.12,12.12,0,0
20170905,MF-GEQIF,Fonds,12.08,12.08,12.08,12.08,0,0
20170901,MF-GEQIF,Fonds,12.13,12.13,12.13,12.13,0,0
20170831,MF-GEQIF,Fonds,12.10,12.10,12.10,12.10,0,0
20170830,MF-GEQIF,Fonds,11.99,11.99,11.99,11.99,0,0
