quote_date,paper,exch,open,high,low,close,volume,value
20171109,MF-MFDIF,Fonds,11.21,11.21,11.21,11.21,0,0
20171108,MF-MFDIF,Fonds,11.22,11.22,11.22,11.22,0,0
20171107,MF-MFDIF,Fonds,11.22,11.22,11.22,11.22,0,0
20171106,MF-MFDIF,Fonds,11.20,11.20,11.20,11.20,0,0
20171103,MF-MFDIF,Fonds,11.19,11.19,11.19,11.19,0,0
20171102,MF-MFDIF,Fonds,11.20,11.20,11.20,11.20,0,0
20171031,MF-MFDIF,Fonds,11.17,11.17,11.17,11.17,0,0
20171030,MF-MFDIF,Fonds,11.16,11.16,11.16,11.16,0,0
20171027,MF-MFDIF,Fonds,11.15,11.15,11.15,11.15,0,0
20171026,MF-MFDIF,Fonds,11.14,11.14,11.14,11.14,0,0
20171025,MF-MFDIF,Fonds,11.17,11.17,11.17,11.17,0,0
20171024,MF-MFDIF,Fonds,11.21,11.21,11.21,11.21,0,0
20171023,MF-MFDIF,Fonds,11.23,11.23,11.23,11.23,0,0
20171020,MF-MFDIF,Fonds,11.24,11.24,11.24,11.24,0,0
20171019,MF-MFDIF,Fonds,11.26,11.26,11.26,11.26,0,0
20171018,MF-MFDIF,Fonds,11.26,11.26,11.26,11.26,0,0
20171017,MF-MFDIF,Fonds,11.28,11.28,11.28,11.28,0,0
20171016,MF-MFDIF,Fonds,11.27,11.27,11.27,11.27,0,0
20171013,MF-MFDIF,Fonds,11.29,11.29,11.29,11.29,0,0
20171012,MF-MFDIF,Fonds,11.27,11.27,11.27,11.27,0,0
20171011,MF-MFDIF,Fonds,11.25,11.25,11.25,11.25,0,0
20171010,MF-MFDIF,Fonds,11.23,11.23,11.23,11.23,0,0
20171009,MF-MFDIF,Fonds,11.21,11.21,11.21,11.21,0,0
20171006,MF-MFDIF,Fonds,11.20,11.20,11.20,11.20,0,0
20171005,MF-MFDIF,Fonds,11.22,11.22,11.22,11.22,0,0
20171004,MF-MFDIF,Fonds,11.21,11.21,11.21,11.21,0,0
20171003,MF-MFDIF,Fonds,11.20,11.20,11.20,11.20,0,0
20171002,MF-MFDIF,Fonds,11.18,11.18,11.18,11.18,0,0
20170929,MF-MFDIF,Fonds,11.18,11.18,11.18,11.18,0,0
20170928,MF-MFDIF,Fonds,11.16,11.16,11.16,11.16,0,0
20170927,MF-MFDIF,Fonds,11.14,11.14,11.14,11.14,0,0
20170926,MF-MFDIF,Fonds,11.18,11.18,11.18,11.18,0,0
20170925,MF-MFDIF,Fonds,11.18,11.18,11.18,11.18,0,0
20170922,MF-MFDIF,Fonds,11.15,11.15,11.15,11.15,0,0
20170921,MF-MFDIF,Fonds,11.16,11.16,11.16,11.16,0,0
20170920,MF-MFDIF,Fonds,11.16,11.16,11.16,11.16,0,0
20170919,MF-MFDIF,Fonds,11.18,11.18,11.18,11.18,0,0
20170918,MF-MFDIF,Fonds,11.20,11.20,11.20,11.20,0,0
20170915,MF-MFDIF,Fonds,11.21,11.21,11.21,11.21,0,0
20170914,MF-MFDIF,Fonds,11.20,11.20,11.20,11.20,0,0
20170913,MF-MFDIF,Fonds,11.18,11.18,11.18,11.18,0,0
20170912,MF-MFDIF,Fonds,11.18,11.18,11.18,11.18,0,0
20170911,MF-MFDIF,Fonds,11.21,11.21,11.21,11.21,0,0
20170908,MF-MFDIF,Fonds,11.19,11.19,11.19,11.19,0,0
20170907,MF-MFDIF,Fonds,11.20,11.20,11.20,11.20,0,0
20170906,MF-MFDIF,Fonds,11.16,11.16,11.16,11.16,0,0
20170905,MF-MFDIF,Fonds,11.15,11.15,11.15,11.15,0,0
20170901,MF-MFDIF,Fonds,11.14,11.14,11.14,11.14,0,0
20170831,MF-MFDIF,Fonds,11.13,11.13,11.13,11.13,0,0
20170830,MF-MFDIF,Fonds,11.09,11.09,11.09,11.09,0,0
20170829,MF-MFDIF,Fonds,11.07,11.07,11.07,11.07,0,0
20170828,MF-MFDIF,Fonds,11.08,11.08,11.08,11.08,0,0
20170825,MF-MFDIF,Fonds,11.09,11.09,11.09,11.09,0,0
20170824,MF-MFDIF,Fonds,11.07,11.07,11.07,11.07,0,0
20170823,MF-MFDIF,Fonds,11.07,11.07,11.07,11.07,0,0
20170822,MF-MFDIF,Fonds,11.04,11.04,11.04,11.04,0,0
20170821,MF-MFDIF,Fonds,11.03,11.03,11.03,11.03,0,0
20170818,MF-MFDIF,Fonds,11.00,11.00,11.00,11.00,0,0
20170817,MF-MFDIF,Fonds,11.02,11.02,11.02,11.02,0,0
20170816,MF-MFDIF,Fonds,11.06,11.06,11.06,11.06,0,0
20170814,MF-MFDIF,Fonds,11.05,11.05,11.05,11.05,0,0
20170811,MF-MFDIF,Fonds,10.99,10.99,10.99,10.99,0,0
20170810,MF-MFDIF,Fonds,11.02,11.02,11.02,11.02,0,0
