quote_date,paper,exch,open,high,low,close,volume,value
20171120,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20171117,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20171116,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20171115,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20171114,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171113,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20171110,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20171109,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20171108,MF-MFGOB,Fonds,10.22,10.22,10.22,10.22,0,0
20171107,MF-MFGOB,Fonds,10.22,10.22,10.22,10.22,0,0
20171106,MF-MFGOB,Fonds,10.22,10.22,10.22,10.22,0,0
20171103,MF-MFGOB,Fonds,10.22,10.22,10.22,10.22,0,0
20171102,MF-MFGOB,Fonds,10.21,10.21,10.21,10.21,0,0
20171031,MF-MFGOB,Fonds,10.20,10.20,10.20,10.20,0,0
20171030,MF-MFGOB,Fonds,10.20,10.20,10.20,10.20,0,0
20171027,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20171026,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20171025,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171024,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20171023,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20171020,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20171019,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20171018,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20171017,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20171016,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20171013,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20171012,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20171011,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171010,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171009,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171006,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171005,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171004,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20171003,MF-MFGOB,Fonds,10.15,10.15,10.15,10.15,0,0
20171002,MF-MFGOB,Fonds,10.15,10.15,10.15,10.15,0,0
20170929,MF-MFGOB,Fonds,10.15,10.15,10.15,10.15,0,0
20170928,MF-MFGOB,Fonds,10.14,10.14,10.14,10.14,0,0
20170927,MF-MFGOB,Fonds,10.14,10.14,10.14,10.14,0,0
20170926,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20170925,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20170922,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20170921,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20170920,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20170919,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20170918,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20170915,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20170914,MF-MFGOB,Fonds,10.15,10.15,10.15,10.15,0,0
20170913,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
20170912,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20170911,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20170908,MF-MFGOB,Fonds,10.21,10.21,10.21,10.21,0,0
20170907,MF-MFGOB,Fonds,10.21,10.21,10.21,10.21,0,0
20170906,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20170905,MF-MFGOB,Fonds,10.20,10.20,10.20,10.20,0,0
20170901,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20170831,MF-MFGOB,Fonds,10.19,10.19,10.19,10.19,0,0
20170830,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20170829,MF-MFGOB,Fonds,10.18,10.18,10.18,10.18,0,0
20170828,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20170825,MF-MFGOB,Fonds,10.17,10.17,10.17,10.17,0,0
20170824,MF-MFGOB,Fonds,10.16,10.16,10.16,10.16,0,0
