quote_date,paper,exch,open,high,low,close,volume,value
20171109,MF-MFPCF,Fonds,10.82,10.82,10.82,10.82,0,0
20171108,MF-MFPCF,Fonds,10.84,10.84,10.84,10.84,0,0
20171107,MF-MFPCF,Fonds,10.81,10.81,10.81,10.81,0,0
20171106,MF-MFPCF,Fonds,10.85,10.85,10.85,10.85,0,0
20171103,MF-MFPCF,Fonds,10.83,10.83,10.83,10.83,0,0
20171102,MF-MFPCF,Fonds,10.81,10.81,10.81,10.81,0,0
20171031,MF-MFPCF,Fonds,10.79,10.79,10.79,10.79,0,0
20171030,MF-MFPCF,Fonds,10.80,10.80,10.80,10.80,0,0
20171027,MF-MFPCF,Fonds,10.75,10.75,10.75,10.75,0,0
20171026,MF-MFPCF,Fonds,10.74,10.74,10.74,10.74,0,0
20171025,MF-MFPCF,Fonds,10.72,10.72,10.72,10.72,0,0
20171024,MF-MFPCF,Fonds,10.76,10.76,10.76,10.76,0,0
20171023,MF-MFPCF,Fonds,10.76,10.76,10.76,10.76,0,0
20171020,MF-MFPCF,Fonds,10.79,10.79,10.79,10.79,0,0
20171019,MF-MFPCF,Fonds,10.83,10.83,10.83,10.83,0,0
20171018,MF-MFPCF,Fonds,10.77,10.77,10.77,10.77,0,0
20171017,MF-MFPCF,Fonds,10.78,10.78,10.78,10.78,0,0
20171016,MF-MFPCF,Fonds,10.81,10.81,10.81,10.81,0,0
20171013,MF-MFPCF,Fonds,10.82,10.82,10.82,10.82,0,0
20171012,MF-MFPCF,Fonds,10.77,10.77,10.77,10.77,0,0
20171011,MF-MFPCF,Fonds,10.72,10.72,10.72,10.72,0,0
20171010,MF-MFPCF,Fonds,10.67,10.67,10.67,10.67,0,0
20171009,MF-MFPCF,Fonds,10.63,10.63,10.63,10.63,0,0
20171006,MF-MFPCF,Fonds,10.66,10.66,10.66,10.66,0,0
20171005,MF-MFPCF,Fonds,10.68,10.68,10.68,10.68,0,0
20171004,MF-MFPCF,Fonds,10.66,10.66,10.66,10.66,0,0
20171003,MF-MFPCF,Fonds,10.64,10.64,10.64,10.64,0,0
20171002,MF-MFPCF,Fonds,10.64,10.64,10.64,10.64,0,0
20170929,MF-MFPCF,Fonds,10.71,10.71,10.71,10.71,0,0
20170928,MF-MFPCF,Fonds,10.61,10.61,10.61,10.61,0,0
20170927,MF-MFPCF,Fonds,10.64,10.64,10.64,10.64,0,0
20170926,MF-MFPCF,Fonds,10.69,10.69,10.69,10.69,0,0
20170925,MF-MFPCF,Fonds,10.66,10.66,10.66,10.66,0,0
20170922,MF-MFPCF,Fonds,10.67,10.67,10.67,10.67,0,0
20170921,MF-MFPCF,Fonds,10.58,10.58,10.58,10.58,0,0
20170920,MF-MFPCF,Fonds,10.64,10.64,10.64,10.64,0,0
20170919,MF-MFPCF,Fonds,10.69,10.69,10.69,10.69,0,0
20170918,MF-MFPCF,Fonds,10.62,10.62,10.62,10.62,0,0
20170915,MF-MFPCF,Fonds,10.68,10.68,10.68,10.68,0,0
20170914,MF-MFPCF,Fonds,10.64,10.64,10.64,10.64,0,0
20170913,MF-MFPCF,Fonds,10.66,10.66,10.66,10.66,0,0
20170912,MF-MFPCF,Fonds,10.66,10.66,10.66,10.66,0,0
20170911,MF-MFPCF,Fonds,10.65,10.65,10.65,10.65,0,0
20170908,MF-MFPCF,Fonds,10.67,10.67,10.67,10.67,0,0
20170907,MF-MFPCF,Fonds,10.64,10.64,10.64,10.64,0,0
20170906,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170905,MF-MFPCF,Fonds,10.58,10.58,10.58,10.58,0,0
20170901,MF-MFPCF,Fonds,10.60,10.60,10.60,10.60,0,0
20170831,MF-MFPCF,Fonds,10.65,10.65,10.65,10.65,0,0
20170830,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170829,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170828,MF-MFPCF,Fonds,10.51,10.51,10.51,10.51,0,0
20170825,MF-MFPCF,Fonds,10.55,10.55,10.55,10.55,0,0
20170824,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170823,MF-MFPCF,Fonds,10.62,10.62,10.62,10.62,0,0
20170822,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170821,MF-MFPCF,Fonds,10.59,10.59,10.59,10.59,0,0
20170818,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170817,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170816,MF-MFPCF,Fonds,10.62,10.62,10.62,10.62,0,0
20170814,MF-MFPCF,Fonds,10.60,10.60,10.60,10.60,0,0
20170811,MF-MFPCF,Fonds,10.55,10.55,10.55,10.55,0,0
20170810,MF-MFPCF,Fonds,10.54,10.54,10.54,10.54,0,0
20170809,MF-MFPCF,Fonds,10.61,10.61,10.61,10.61,0,0
20170808,MF-MFPCF,Fonds,10.63,10.63,10.63,10.63,0,0
20170807,MF-MFPCF,Fonds,10.62,10.62,10.62,10.62,0,0
20170804,MF-MFPCF,Fonds,10.59,10.59,10.59,10.59,0,0
20170803,MF-MFPCF,Fonds,10.62,10.62,10.62,10.62,0,0
20170802,MF-MFPCF,Fonds,10.63,10.63,10.63,10.63,0,0
20170801,MF-MFPCF,Fonds,10.59,10.59,10.59,10.59,0,0
20170731,MF-MFPCF,Fonds,10.60,10.60,10.60,10.60,0,0
20170728,MF-MFPCF,Fonds,10.60,10.60,10.60,10.60,0,0
20170727,MF-MFPCF,Fonds,10.55,10.55,10.55,10.55,0,0
20170726,MF-MFPCF,Fonds,10.58,10.58,10.58,10.58,0,0
20170725,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170724,MF-MFPCF,Fonds,10.54,10.54,10.54,10.54,0,0
20170721,MF-MFPCF,Fonds,10.60,10.60,10.60,10.60,0,0
20170720,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170719,MF-MFPCF,Fonds,10.58,10.58,10.58,10.58,0,0
20170718,MF-MFPCF,Fonds,10.57,10.57,10.57,10.57,0,0
20170717,MF-MFPCF,Fonds,10.52,10.52,10.52,10.52,0,0
20170714,MF-MFPCF,Fonds,10.58,10.58,10.58,10.58,0,0
20170713,MF-MFPCF,Fonds,10.52,10.52,10.52,10.52,0,0
20170712,MF-MFPCF,Fonds,10.52,10.52,10.52,10.52,0,0
20170711,MF-MFPCF,Fonds,10.48,10.48,10.48,10.48,0,0
