quote_date,paper,exch,open,high,low,close,volume,value
20171120,MF-MWFUN,Fonds,10.24,10.24,10.24,10.24,0,0
20171117,MF-MWFUN,Fonds,10.27,10.27,10.27,10.27,0,0
20171116,MF-MWFUN,Fonds,10.26,10.26,10.26,10.26,0,0
20171115,MF-MWFUN,Fonds,10.25,10.25,10.25,10.25,0,0
20171114,MF-MWFUN,Fonds,10.24,10.24,10.24,10.24,0,0
20171113,MF-MWFUN,Fonds,10.25,10.25,10.25,10.25,0,0
20171110,MF-MWFUN,Fonds,10.25,10.25,10.25,10.25,0,0
20171109,MF-MWFUN,Fonds,10.26,10.26,10.26,10.26,0,0
20171108,MF-MWFUN,Fonds,10.28,10.28,10.28,10.28,0,0
20171107,MF-MWFUN,Fonds,10.28,10.28,10.28,10.28,0,0
20171106,MF-MWFUN,Fonds,10.28,10.28,10.28,10.28,0,0
20171103,MF-MWFUN,Fonds,10.30,10.30,10.30,10.30,0,0
20171102,MF-MWFUN,Fonds,10.30,10.30,10.30,10.30,0,0
20171031,MF-MWFUN,Fonds,10.30,10.30,10.30,10.30,0,0
20171030,MF-MWFUN,Fonds,10.30,10.30,10.30,10.30,0,0
20171027,MF-MWFUN,Fonds,10.29,10.29,10.29,10.29,0,0
20171026,MF-MWFUN,Fonds,10.29,10.29,10.29,10.29,0,0
20171025,MF-MWFUN,Fonds,10.31,10.31,10.31,10.31,0,0
20171024,MF-MWFUN,Fonds,10.33,10.33,10.33,10.33,0,0
20171023,MF-MWFUN,Fonds,10.34,10.34,10.34,10.34,0,0
20171020,MF-MWFUN,Fonds,10.33,10.33,10.33,10.33,0,0
20171019,MF-MWFUN,Fonds,10.35,10.35,10.35,10.35,0,0
20171018,MF-MWFUN,Fonds,10.33,10.33,10.33,10.33,0,0
20171017,MF-MWFUN,Fonds,10.33,10.33,10.33,10.33,0,0
20171016,MF-MWFUN,Fonds,10.32,10.32,10.32,10.32,0,0
20171013,MF-MWFUN,Fonds,10.33,10.33,10.33,10.33,0,0
20171012,MF-MWFUN,Fonds,10.33,10.33,10.33,10.33,0,0
20171011,MF-MWFUN,Fonds,10.32,10.32,10.32,10.32,0,0
20171010,MF-MWFUN,Fonds,10.31,10.31,10.31,10.31,0,0
