quote_date,paper,exch,open,high,low,close,volume,value
20171109,MF-RESBO,Fonds,17.52,17.52,17.52,17.52,0,0
20171108,MF-RESBO,Fonds,17.54,17.54,17.54,17.54,0,0
20171107,MF-RESBO,Fonds,17.56,17.56,17.56,17.56,0,0
20171106,MF-RESBO,Fonds,17.55,17.55,17.55,17.55,0,0
20171103,MF-RESBO,Fonds,17.54,17.54,17.54,17.54,0,0
20171102,MF-RESBO,Fonds,17.53,17.53,17.53,17.53,0,0
20171031,MF-RESBO,Fonds,17.51,17.51,17.51,17.51,0,0
20171030,MF-RESBO,Fonds,17.52,17.52,17.52,17.52,0,0
20171027,MF-RESBO,Fonds,17.47,17.47,17.47,17.47,0,0
20171026,MF-RESBO,Fonds,17.44,17.44,17.44,17.44,0,0
20171025,MF-RESBO,Fonds,17.44,17.44,17.44,17.44,0,0
20171024,MF-RESBO,Fonds,17.48,17.48,17.48,17.48,0,0
20171023,MF-RESBO,Fonds,17.50,17.50,17.50,17.50,0,0
20171020,MF-RESBO,Fonds,17.48,17.48,17.48,17.48,0,0
20171019,MF-RESBO,Fonds,17.52,17.52,17.52,17.52,0,0
20171018,MF-RESBO,Fonds,17.51,17.51,17.51,17.51,0,0
20171017,MF-RESBO,Fonds,17.53,17.53,17.53,17.53,0,0
20171016,MF-RESBO,Fonds,17.53,17.53,17.53,17.53,0,0
20171013,MF-RESBO,Fonds,17.55,17.55,17.55,17.55,0,0
20171012,MF-RESBO,Fonds,17.51,17.51,17.51,17.51,0,0
20171011,MF-RESBO,Fonds,17.49,17.49,17.49,17.49,0,0
20171010,MF-RESBO,Fonds,17.50,17.50,17.50,17.50,0,0
20171009,MF-RESBO,Fonds,17.48,17.48,17.48,17.48,0,0
20171006,MF-RESBO,Fonds,17.47,17.47,17.47,17.47,0,0
20171005,MF-RESBO,Fonds,17.48,17.48,17.48,17.48,0,0
20171004,MF-RESBO,Fonds,17.50,17.50,17.50,17.50,0,0
20171003,MF-RESBO,Fonds,17.50,17.50,17.50,17.50,0,0
20171002,MF-RESBO,Fonds,17.48,17.48,17.48,17.48,0,0
