quote_date,paper,exch,open,high,low,close,volume,value
20171109,MF-RINTL,Fonds,31.80,31.80,31.80,31.80,0,0
20171108,MF-RINTL,Fonds,31.95,31.95,31.95,31.95,0,0
20171107,MF-RINTL,Fonds,31.89,31.89,31.89,31.89,0,0
20171106,MF-RINTL,Fonds,32.03,32.03,32.03,32.03,0,0
20171103,MF-RINTL,Fonds,31.89,31.89,31.89,31.89,0,0
20171102,MF-RINTL,Fonds,31.81,31.81,31.81,31.81,0,0
20171031,MF-RINTL,Fonds,31.95,31.95,31.95,31.95,0,0
20171030,MF-RINTL,Fonds,31.85,31.85,31.85,31.85,0,0
20171027,MF-RINTL,Fonds,31.88,31.88,31.88,31.88,0,0
20171026,MF-RINTL,Fonds,31.73,31.73,31.73,31.73,0,0
20171025,MF-RINTL,Fonds,31.65,31.65,31.65,31.65,0,0
20171024,MF-RINTL,Fonds,31.76,31.76,31.76,31.76,0,0
20171023,MF-RINTL,Fonds,31.74,31.74,31.74,31.74,0,0
20171020,MF-RINTL,Fonds,31.75,31.75,31.75,31.75,0,0
20171019,MF-RINTL,Fonds,31.68,31.68,31.68,31.68,0,0
20171018,MF-RINTL,Fonds,31.67,31.67,31.67,31.67,0,0
20171017,MF-RINTL,Fonds,31.67,31.67,31.67,31.67,0,0
20171016,MF-RINTL,Fonds,31.69,31.69,31.69,31.69,0,0
20171013,MF-RINTL,Fonds,31.68,31.68,31.68,31.68,0,0
20171012,MF-RINTL,Fonds,31.58,31.58,31.58,31.58,0,0
20171011,MF-RINTL,Fonds,31.54,31.54,31.54,31.54,0,0
20171010,MF-RINTL,Fonds,31.43,31.43,31.43,31.43,0,0
20171009,MF-RINTL,Fonds,31.35,31.35,31.35,31.35,0,0
20171006,MF-RINTL,Fonds,31.40,31.40,31.40,31.40,0,0
20171005,MF-RINTL,Fonds,31.41,31.41,31.41,31.41,0,0
20171004,MF-RINTL,Fonds,31.26,31.26,31.26,31.26,0,0
20171003,MF-RINTL,Fonds,31.17,31.17,31.17,31.17,0,0
20171002,MF-RINTL,Fonds,31.12,31.12,31.12,31.12,0,0
20170929,MF-RINTL,Fonds,31.05,31.05,31.05,31.05,0,0
20170928,MF-RINTL,Fonds,30.89,30.89,30.89,30.89,0,0
20170927,MF-RINTL,Fonds,30.82,30.82,30.82,30.82,0,0
20170926,MF-RINTL,Fonds,30.80,30.80,30.80,30.80,0,0
20170925,MF-RINTL,Fonds,30.81,30.81,30.81,30.81,0,0
20170922,MF-RINTL,Fonds,31.00,31.00,31.00,31.00,0,0
20170921,MF-RINTL,Fonds,31.01,31.01,31.01,31.01,0,0
20170920,MF-RINTL,Fonds,31.02,31.02,31.02,31.02,0,0
20170919,MF-RINTL,Fonds,31.04,31.04,31.04,31.04,0,0
20170918,MF-RINTL,Fonds,30.99,30.99,30.99,30.99,0,0
20170915,MF-RINTL,Fonds,30.95,30.95,30.95,30.95,0,0
20170914,MF-RINTL,Fonds,30.90,30.90,30.90,30.90,0,0
20170913,MF-RINTL,Fonds,30.93,30.93,30.93,30.93,0,0
20170912,MF-RINTL,Fonds,31.01,31.01,31.01,31.01,0,0
20170911,MF-RINTL,Fonds,30.92,30.92,30.92,30.92,0,0
20170908,MF-RINTL,Fonds,30.62,30.62,30.62,30.62,0,0
20170907,MF-RINTL,Fonds,30.62,30.62,30.62,30.62,0,0
20170906,MF-RINTL,Fonds,30.56,30.56,30.56,30.56,0,0
20170905,MF-RINTL,Fonds,30.55,30.55,30.55,30.55,0,0
20170901,MF-RINTL,Fonds,30.71,30.71,30.71,30.71,0,0
20170831,MF-RINTL,Fonds,30.67,30.67,30.67,30.67,0,0
20170830,MF-RINTL,Fonds,30.45,30.45,30.45,30.45,0,0
20170829,MF-RINTL,Fonds,30.33,30.33,30.33,30.33,0,0
20170828,MF-RINTL,Fonds,30.39,30.39,30.39,30.39,0,0
20170825,MF-RINTL,Fonds,30.33,30.33,30.33,30.33,0,0
20170824,MF-RINTL,Fonds,30.30,30.30,30.30,30.30,0,0
20170823,MF-RINTL,Fonds,30.38,30.38,30.38,30.38,0,0
20170822,MF-RINTL,Fonds,30.43,30.43,30.43,30.43,0,0
20170821,MF-RINTL,Fonds,30.20,30.20,30.20,30.20,0,0
20170818,MF-RINTL,Fonds,30.19,30.19,30.19,30.19,0,0
20170817,MF-RINTL,Fonds,30.25,30.25,30.25,30.25,0,0
20170816,MF-RINTL,Fonds,30.69,30.69,30.69,30.69,0,0
20170814,MF-RINTL,Fonds,30.55,30.55,30.55,30.55,0,0
20170811,MF-RINTL,Fonds,30.25,30.25,30.25,30.25,0,0
20170810,MF-RINTL,Fonds,30.25,30.25,30.25,30.25,0,0
20170809,MF-RINTL,Fonds,30.72,30.72,30.72,30.72,0,0
20170808,MF-RINTL,Fonds,30.82,30.82,30.82,30.82,0,0
20170807,MF-RINTL,Fonds,30.94,30.94,30.94,30.94,0,0
20170804,MF-RINTL,Fonds,30.83,30.83,30.83,30.83,0,0
20170803,MF-RINTL,Fonds,30.79,30.79,30.79,30.79,0,0
20170802,MF-RINTL,Fonds,30.79,30.79,30.79,30.79,0,0
20170801,MF-RINTL,Fonds,30.76,30.76,30.76,30.76,0,0
20170731,MF-RINTL,Fonds,30.65,30.65,30.65,30.65,0,0
20170728,MF-RINTL,Fonds,30.60,30.60,30.60,30.60,0,0
20170727,MF-RINTL,Fonds,30.67,30.67,30.67,30.67,0,0
20170726,MF-RINTL,Fonds,30.82,30.82,30.82,30.82,0,0
20170725,MF-RINTL,Fonds,30.73,30.73,30.73,30.73,0,0
20170724,MF-RINTL,Fonds,30.64,30.64,30.64,30.64,0,0
20170721,MF-RINTL,Fonds,30.64,30.64,30.64,30.64,0,0
20170720,MF-RINTL,Fonds,30.69,30.69,30.69,30.69,0,0
20170719,MF-RINTL,Fonds,30.66,30.66,30.66,30.66,0,0
20170718,MF-RINTL,Fonds,30.55,30.55,30.55,30.55,0,0
20170717,MF-RINTL,Fonds,30.55,30.55,30.55,30.55,0,0
20170714,MF-RINTL,Fonds,30.59,30.59,30.59,30.59,0,0
20170713,MF-RINTL,Fonds,30.42,30.42,30.42,30.42,0,0
20170712,MF-RINTL,Fonds,30.35,30.35,30.35,30.35,0,0
20170711,MF-RINTL,Fonds,30.07,30.07,30.07,30.07,0,0
20170710,MF-RINTL,Fonds,30.07,30.07,30.07,30.07,0,0
20170707,MF-RINTL,Fonds,30.01,30.01,30.01,30.01,0,0
20170706,MF-RINTL,Fonds,29.86,29.86,29.86,29.86,0,0
20170705,MF-RINTL,Fonds,30.05,30.05,30.05,30.05,0,0
20170703,MF-RINTL,Fonds,30.04,30.04,30.04,30.04,0,0
20170630,MF-RINTL,Fonds,30.01,30.01,30.01,30.01,0,0
20170629,MF-RINTL,Fonds,29.96,29.96,29.96,29.96,0,0
20170628,MF-RINTL,Fonds,30.19,30.19,30.19,30.19,0,0
20170627,MF-RINTL,Fonds,29.95,29.95,29.95,29.95,0,0
20170626,MF-RINTL,Fonds,30.06,30.06,30.06,30.06,0,0
20170622,MF-RINTL,Fonds,29.95,29.95,29.95,29.95,0,0
20170621,MF-RINTL,Fonds,30.01,30.01,30.01,30.01,0,0
20170620,MF-RINTL,Fonds,30.01,30.01,30.01,30.01,0,0
20170619,MF-RINTL,Fonds,30.23,30.23,30.23,30.23,0,0
20170616,MF-RINTL,Fonds,29.98,29.98,29.98,29.98,0,0
20170615,MF-RINTL,Fonds,29.93,29.93,29.93,29.93,0,0
20170614,MF-RINTL,Fonds,30.07,30.07,30.07,30.07,0,0
20170613,MF-RINTL,Fonds,30.14,30.14,30.14,30.14,0,0
20170612,MF-RINTL,Fonds,29.91,29.91,29.91,29.91,0,0
20170609,MF-RINTL,Fonds,30.04,30.04,30.04,30.04,0,0
20170608,MF-RINTL,Fonds,30.15,30.15,30.15,30.15,0,0
20170607,MF-RINTL,Fonds,30.22,30.22,30.22,30.22,0,0
20170606,MF-RINTL,Fonds,30.20,30.20,30.20,30.20,0,0
20170602,MF-RINTL,Fonds,30.36,30.36,30.36,30.36,0,0
20170601,MF-RINTL,Fonds,30.17,30.17,30.17,30.17,0,0
20170531,MF-RINTL,Fonds,29.98,29.98,29.98,29.98,0,0
20170530,MF-RINTL,Fonds,30.00,30.00,30.00,30.00,0,0
20170526,MF-RINTL,Fonds,30.04,30.04,30.04,30.04,0,0
20170524,MF-RINTL,Fonds,29.95,29.95,29.95,29.95,0,0
20170523,MF-RINTL,Fonds,29.83,29.83,29.83,29.83,0,0
20170522,MF-RINTL,Fonds,29.81,29.81,29.81,29.81,0,0
20170519,MF-RINTL,Fonds,29.61,29.61,29.61,29.61,0,0
20170518,MF-RINTL,Fonds,29.36,29.36,29.36,29.36,0,0
20170516,MF-RINTL,Fonds,29.73,29.73,29.73,29.73,0,0
20170515,MF-RINTL,Fonds,29.64,29.64,29.64,29.64,0,0
20170512,MF-RINTL,Fonds,29.50,29.50,29.50,29.50,0,0
20170511,MF-RINTL,Fonds,29.44,29.44,29.44,29.44,0,0
20170510,MF-RINTL,Fonds,29.49,29.49,29.49,29.49,0,0
20170509,MF-RINTL,Fonds,29.49,29.49,29.49,29.49,0,0
20170508,MF-RINTL,Fonds,29.44,29.44,29.44,29.44,0,0
20170505,MF-RINTL,Fonds,29.38,29.38,29.38,29.38,0,0
20170504,MF-RINTL,Fonds,29.26,29.26,29.26,29.26,0,0
20170503,MF-RINTL,Fonds,29.08,29.08,29.08,29.08,0,0
20170502,MF-RINTL,Fonds,29.02,29.02,29.02,29.02,0,0
20170428,MF-RINTL,Fonds,28.92,28.92,28.92,28.92,0,0
20170427,MF-RINTL,Fonds,28.93,28.93,28.93,28.93,0,0
