quote_date,paper,exch,open,high,low,close,volume,value
20171109,MF-UKEQU,Fonds,9.61,9.61,9.61,9.61,0,0
20171108,MF-UKEQU,Fonds,9.67,9.67,9.67,9.67,0,0
20171107,MF-UKEQU,Fonds,9.65,9.65,9.65,9.65,0,0
20171106,MF-UKEQU,Fonds,9.70,9.70,9.70,9.70,0,0
20171103,MF-UKEQU,Fonds,9.69,9.69,9.69,9.69,0,0
20171102,MF-UKEQU,Fonds,9.64,9.64,9.64,9.64,0,0
20171031,MF-UKEQU,Fonds,9.58,9.58,9.58,9.58,0,0
20171030,MF-UKEQU,Fonds,9.57,9.57,9.57,9.57,0,0
20171027,MF-UKEQU,Fonds,9.58,9.58,9.58,9.58,0,0
20171026,MF-UKEQU,Fonds,9.54,9.54,9.54,9.54,0,0
20171025,MF-UKEQU,Fonds,9.49,9.49,9.49,9.49,0,0
20171024,MF-UKEQU,Fonds,9.56,9.56,9.56,9.56,0,0
20171023,MF-UKEQU,Fonds,9.59,9.59,9.59,9.59,0,0
20171020,MF-UKEQU,Fonds,9.58,9.58,9.58,9.58,0,0
20171019,MF-UKEQU,Fonds,9.59,9.59,9.59,9.59,0,0
20171018,MF-UKEQU,Fonds,9.59,9.59,9.59,9.59,0,0
20171017,MF-UKEQU,Fonds,9.56,9.56,9.56,9.56,0,0
20171016,MF-UKEQU,Fonds,9.59,9.59,9.59,9.59,0,0
20171013,MF-UKEQU,Fonds,9.62,9.62,9.62,9.62,0,0
20171012,MF-UKEQU,Fonds,9.65,9.65,9.65,9.65,0,0
20171011,MF-UKEQU,Fonds,9.59,9.59,9.59,9.59,0,0
20171010,MF-UKEQU,Fonds,9.58,9.58,9.58,9.58,0,0
20171009,MF-UKEQU,Fonds,9.53,9.53,9.53,9.53,0,0
20171006,MF-UKEQU,Fonds,9.57,9.57,9.57,9.57,0,0
20171005,MF-UKEQU,Fonds,9.53,9.53,9.53,9.53,0,0
20171004,MF-UKEQU,Fonds,9.49,9.49,9.49,9.49,0,0
20171003,MF-UKEQU,Fonds,9.47,9.47,9.47,9.47,0,0
20171002,MF-UKEQU,Fonds,9.45,9.45,9.45,9.45,0,0
20170929,MF-UKEQU,Fonds,9.38,9.38,9.38,9.38,0,0
