quote_date,paper,exch,open,high,low,close,volume,value
20171121,NH-GHCAE,Fonds,117.4566,117.4566,117.4566,117.4566,0,0
20171120,NH-GHCAE,Fonds,116.8902,116.8902,116.8902,116.8902,0,0
20171117,NH-GHCAE,Fonds,116.2488,116.2488,116.2488,116.2488,0,0
20171116,NH-GHCAE,Fonds,115.1058,115.1058,115.1058,115.1058,0,0
20171115,NH-GHCAE,Fonds,113.701,113.701,113.701,113.701,0,0
20171114,NH-GHCAE,Fonds,114.9289,114.9289,114.9289,114.9289,0,0
20171113,NH-GHCAE,Fonds,116.0444,116.0444,116.0444,116.0444,0,0
20171110,NH-GHCAE,Fonds,116.2506,116.2506,116.2506,116.2506,0,0
20171109,NH-GHCAE,Fonds,116.6749,116.6749,116.6749,116.6749,0,0
20171108,NH-GHCAE,Fonds,117.6424,117.6424,117.6424,117.6424,0,0
20171107,NH-GHCAE,Fonds,118.3629,118.3629,118.3629,118.3629,0,0
20171106,NH-GHCAE,Fonds,118.8946,118.8946,118.8946,118.8946,0,0
20171103,NH-GHCAE,Fonds,118.1174,118.1174,118.1174,118.1174,0,0
20171102,NH-GHCAE,Fonds,117.5072,117.5072,117.5072,117.5072,0,0
20171101,NH-GHCAE,Fonds,118.4724,118.4724,118.4724,118.4724,0,0
20171031,NH-GHCAE,Fonds,117.4771,117.4771,117.4771,117.4771,0,0
20171027,NH-GHCAE,Fonds,118.3767,118.3767,118.3767,118.3767,0,0
20171026,NH-GHCAE,Fonds,116.8424,116.8424,116.8424,116.8424,0,0
20171025,NH-GHCAE,Fonds,115.9508,115.9508,115.9508,115.9508,0,0
20171024,NH-GHCAE,Fonds,115.8807,115.8807,115.8807,115.8807,0,0
20171023,NH-GHCAE,Fonds,116.6092,116.6092,116.6092,116.6092,0,0
20171020,NH-GHCAE,Fonds,116.1502,116.1502,116.1502,116.1502,0,0
20171019,NH-GHCAE,Fonds,114.6645,114.6645,114.6645,114.6645,0,0
20171018,NH-GHCAE,Fonds,116.0706,116.0706,116.0706,116.0706,0,0
20171017,NH-GHCAE,Fonds,116.1094,116.1094,116.1094,116.1094,0,0
20171016,NH-GHCAE,Fonds,115.835,115.835,115.835,115.835,0,0
20171013,NH-GHCAE,Fonds,115.4261,115.4261,115.4261,115.4261,0,0
20171012,NH-GHCAE,Fonds,115.2351,115.2351,115.2351,115.2351,0,0
20171011,NH-GHCAE,Fonds,115.3066,115.3066,115.3066,115.3066,0,0
20171010,NH-GHCAE,Fonds,115.6396,115.6396,115.6396,115.6396,0,0
