quote_date,paper,exch,open,high,low,close,volume,value
20171109,NH-JAHCF,Fonds,136.8827,136.8827,136.8827,136.8827,0,0
20171108,NH-JAHCF,Fonds,136.9564,136.9564,136.9564,136.9564,0,0
20171107,NH-JAHCF,Fonds,136.1636,136.1636,136.1636,136.1636,0,0
20171106,NH-JAHCF,Fonds,134.0341,134.0341,134.0341,134.0341,0,0
20171102,NH-JAHCF,Fonds,133.3085,133.3085,133.3085,133.3085,0,0
20171101,NH-JAHCF,Fonds,133.6427,133.6427,133.6427,133.6427,0,0
20171031,NH-JAHCF,Fonds,133.1542,133.1542,133.1542,133.1542,0,0
20171027,NH-JAHCF,Fonds,131.9886,131.9886,131.9886,131.9886,0,0
20171026,NH-JAHCF,Fonds,130.5668,130.5668,130.5668,130.5668,0,0
20171025,NH-JAHCF,Fonds,130.2566,130.2566,130.2566,130.2566,0,0
20171024,NH-JAHCF,Fonds,130.8324,130.8324,130.8324,130.8324,0,0
20171023,NH-JAHCF,Fonds,130.2462,130.2462,130.2462,130.2462,0,0
20171020,NH-JAHCF,Fonds,129.2921,129.2921,129.2921,129.2921,0,0
20171019,NH-JAHCF,Fonds,129.9951,129.9951,129.9951,129.9951,0,0
20171018,NH-JAHCF,Fonds,129.0801,129.0801,129.0801,129.0801,0,0
20171017,NH-JAHCF,Fonds,129.6675,129.6675,129.6675,129.6675,0,0
20171016,NH-JAHCF,Fonds,130.6578,130.6578,130.6578,130.6578,0,0
20171013,NH-JAHCF,Fonds,129.9732,129.9732,129.9732,129.9732,0,0
20171012,NH-JAHCF,Fonds,128.5523,128.5523,128.5523,128.5523,0,0
20171011,NH-JAHCF,Fonds,127.894,127.894,127.894,127.894,0,0
20171010,NH-JAHCF,Fonds,127.3333,127.3333,127.3333,127.3333,0,0
20171006,NH-JAHCF,Fonds,125.6766,125.6766,125.6766,125.6766,0,0
20171005,NH-JAHCF,Fonds,126.6718,126.6718,126.6718,126.6718,0,0
20171004,NH-JAHCF,Fonds,126.7277,126.7277,126.7277,126.7277,0,0
20171003,NH-JAHCF,Fonds,125.8949,125.8949,125.8949,125.8949,0,0
20171002,NH-JAHCF,Fonds,125.4397,125.4397,125.4397,125.4397,0,0
20170929,NH-JAHCF,Fonds,125.9108,125.9108,125.9108,125.9108,0,0
20170928,NH-JAHCF,Fonds,125.4182,125.4182,125.4182,125.4182,0,0
20170927,NH-JAHCF,Fonds,123.8032,123.8032,123.8032,123.8032,0,0
20170926,NH-JAHCF,Fonds,124.9738,124.9738,124.9738,124.9738,0,0
20170925,NH-JAHCF,Fonds,125.4659,125.4659,125.4659,125.4659,0,0
20170922,NH-JAHCF,Fonds,125.2448,125.2448,125.2448,125.2448,0,0
20170921,NH-JAHCF,Fonds,125.6811,125.6811,125.6811,125.6811,0,0
20170920,NH-JAHCF,Fonds,127.2485,127.2485,127.2485,127.2485,0,0
20170919,NH-JAHCF,Fonds,127.28,127.28,127.28,127.28,0,0
20170915,NH-JAHCF,Fonds,126.0121,126.0121,126.0121,126.0121,0,0
20170914,NH-JAHCF,Fonds,125.9736,125.9736,125.9736,125.9736,0,0
20170913,NH-JAHCF,Fonds,126.7568,126.7568,126.7568,126.7568,0,0
20170912,NH-JAHCF,Fonds,126.0459,126.0459,126.0459,126.0459,0,0
20170911,NH-JAHCF,Fonds,125.27,125.27,125.27,125.27,0,0
20170908,NH-JAHCF,Fonds,124.7567,124.7567,124.7567,124.7567,0,0
20170907,NH-JAHCF,Fonds,124.1023,124.1023,124.1023,124.1023,0,0
20170906,NH-JAHCF,Fonds,122.7159,122.7159,122.7159,122.7159,0,0
20170905,NH-JAHCF,Fonds,122.0679,122.0679,122.0679,122.0679,0,0
20170904,NH-JAHCF,Fonds,123.2556,123.2556,123.2556,123.2556,0,0
20170901,NH-JAHCF,Fonds,123.9061,123.9061,123.9061,123.9061,0,0
20170831,NH-JAHCF,Fonds,122.7332,122.7332,122.7332,122.7332,0,0
20170830,NH-JAHCF,Fonds,122.5497,122.5497,122.5497,122.5497,0,0
20170829,NH-JAHCF,Fonds,123.9695,123.9695,123.9695,123.9695,0,0
20170825,NH-JAHCF,Fonds,122.3372,122.3372,122.3372,122.3372,0,0
20170824,NH-JAHCF,Fonds,122.6216,122.6216,122.6216,122.6216,0,0
20170823,NH-JAHCF,Fonds,123.3274,123.3274,123.3274,123.3274,0,0
20170822,NH-JAHCF,Fonds,122.1826,122.1826,122.1826,122.1826,0,0
20170821,NH-JAHCF,Fonds,122.3163,122.3163,122.3163,122.3163,0,0
20170818,NH-JAHCF,Fonds,122.8763,122.8763,122.8763,122.8763,0,0
20170817,NH-JAHCF,Fonds,122.4615,122.4615,122.4615,122.4615,0,0
20170816,NH-JAHCF,Fonds,121.7292,121.7292,121.7292,121.7292,0,0
20170815,NH-JAHCF,Fonds,121.8058,121.8058,121.8058,121.8058,0,0
