quote_date,paper,exch,open,high,low,close,volume,value
20171121,NH-JAPST,Fonds,129.9141,129.9141,129.9141,129.9141,0,0
20171120,NH-JAPST,Fonds,128.907,128.907,128.907,128.907,0,0
20171117,NH-JAPST,Fonds,128.7152,128.7152,128.7152,128.7152,0,0
20171116,NH-JAPST,Fonds,128.8136,128.8136,128.8136,128.8136,0,0
20171115,NH-JAPST,Fonds,126.2228,126.2228,126.2228,126.2228,0,0
20171114,NH-JAPST,Fonds,129.4619,129.4619,129.4619,129.4619,0,0
20171113,NH-JAPST,Fonds,128.6546,128.6546,128.6546,128.6546,0,0
20171110,NH-JAPST,Fonds,130.0943,130.0943,130.0943,130.0943,0,0
20171109,NH-JAPST,Fonds,131.0254,131.0254,131.0254,131.0254,0,0
20171108,NH-JAPST,Fonds,132.1496,132.1496,132.1496,132.1496,0,0
20171107,NH-JAPST,Fonds,131.7946,131.7946,131.7946,131.7946,0,0
20171106,NH-JAPST,Fonds,130.4661,130.4661,130.4661,130.4661,0,0
20171102,NH-JAPST,Fonds,130.3066,130.3066,130.3066,130.3066,0,0
20171101,NH-JAPST,Fonds,130.3235,130.3235,130.3235,130.3235,0,0
20171031,NH-JAPST,Fonds,128.6313,128.6313,128.6313,128.6313,0,0
20171027,NH-JAPST,Fonds,128.411,128.411,128.411,128.411,0,0
20171026,NH-JAPST,Fonds,127.1015,127.1015,127.1015,127.1015,0,0
20171025,NH-JAPST,Fonds,126.8196,126.8196,126.8196,126.8196,0,0
20171024,NH-JAPST,Fonds,127.2229,127.2229,127.2229,127.2229,0,0
20171023,NH-JAPST,Fonds,126.2508,126.2508,126.2508,126.2508,0,0
20171020,NH-JAPST,Fonds,125.1254,125.1254,125.1254,125.1254,0,0
20171019,NH-JAPST,Fonds,124.0031,124.0031,124.0031,124.0031,0,0
20171018,NH-JAPST,Fonds,124.6531,124.6531,124.6531,124.6531,0,0
20171017,NH-JAPST,Fonds,124.4966,124.4966,124.4966,124.4966,0,0
20171016,NH-JAPST,Fonds,123.8285,123.8285,123.8285,123.8285,0,0
20171013,NH-JAPST,Fonds,122.9059,122.9059,122.9059,122.9059,0,0
20171012,NH-JAPST,Fonds,122.5702,122.5702,122.5702,122.5702,0,0
20171011,NH-JAPST,Fonds,122.3387,122.3387,122.3387,122.3387,0,0
20171010,NH-JAPST,Fonds,122.2296,122.2296,122.2296,122.2296,0,0
20171006,NH-JAPST,Fonds,121.8296,121.8296,121.8296,121.8296,0,0
20171005,NH-JAPST,Fonds,121.1893,121.1893,121.1893,121.1893,0,0
20171004,NH-JAPST,Fonds,121.4982,121.4982,121.4982,121.4982,0,0
20171003,NH-JAPST,Fonds,121.3425,121.3425,121.3425,121.3425,0,0
20171002,NH-JAPST,Fonds,120.5776,120.5776,120.5776,120.5776,0,0
20170929,NH-JAPST,Fonds,120.8841,120.8841,120.8841,120.8841,0,0
20170928,NH-JAPST,Fonds,120.7475,120.7475,120.7475,120.7475,0,0
20170927,NH-JAPST,Fonds,120.7432,120.7432,120.7432,120.7432,0,0
20170926,NH-JAPST,Fonds,120.1378,120.1378,120.1378,120.1378,0,0
20170925,NH-JAPST,Fonds,119.9147,119.9147,119.9147,119.9147,0,0
20170922,NH-JAPST,Fonds,119.3157,119.3157,119.3157,119.3157,0,0
20170921,NH-JAPST,Fonds,119.32,119.32,119.32,119.32,0,0
20170920,NH-JAPST,Fonds,119.1321,119.1321,119.1321,119.1321,0,0
20170919,NH-JAPST,Fonds,118.7735,118.7735,118.7735,118.7735,0,0
20170915,NH-JAPST,Fonds,117.1169,117.1169,117.1169,117.1169,0,0
20170914,NH-JAPST,Fonds,116.464,116.464,116.464,116.464,0,0
20170913,NH-JAPST,Fonds,116.7047,116.7047,116.7047,116.7047,0,0
20170912,NH-JAPST,Fonds,116.4668,116.4668,116.4668,116.4668,0,0
20170911,NH-JAPST,Fonds,115.547,115.547,115.547,115.547,0,0
20170908,NH-JAPST,Fonds,113.931,113.931,113.931,113.931,0,0
20170907,NH-JAPST,Fonds,114.2567,114.2567,114.2567,114.2567,0,0
20170906,NH-JAPST,Fonds,113.7348,113.7348,113.7348,113.7348,0,0
20170905,NH-JAPST,Fonds,113.5647,113.5647,113.5647,113.5647,0,0
20170904,NH-JAPST,Fonds,114.2792,114.2792,114.2792,114.2792,0,0
20170901,NH-JAPST,Fonds,115.5568,115.5568,115.5568,115.5568,0,0
20170831,NH-JAPST,Fonds,115.6149,115.6149,115.6149,115.6149,0,0
20170830,NH-JAPST,Fonds,114.6452,114.6452,114.6452,114.6452,0,0
20170829,NH-JAPST,Fonds,113.8139,113.8139,113.8139,113.8139,0,0
20170825,NH-JAPST,Fonds,114.4733,114.4733,114.4733,114.4733,0,0
20170824,NH-JAPST,Fonds,113.5192,113.5192,113.5192,113.5192,0,0
20170823,NH-JAPST,Fonds,113.9609,113.9609,113.9609,113.9609,0,0
20170822,NH-JAPST,Fonds,113.8365,113.8365,113.8365,113.8365,0,0
20170821,NH-JAPST,Fonds,113.0472,113.0472,113.0472,113.0472,0,0
20170818,NH-JAPST,Fonds,112.8222,112.8222,112.8222,112.8222,0,0
20170817,NH-JAPST,Fonds,114.8462,114.8462,114.8462,114.8462,0,0
20170816,NH-JAPST,Fonds,115.335,115.335,115.335,115.335,0,0
20170815,NH-JAPST,Fonds,115.1209,115.1209,115.1209,115.1209,0,0
20170814,NH-JAPST,Fonds,114.3014,114.3014,114.3014,114.3014,0,0
20170810,NH-JAPST,Fonds,114.8218,114.8218,114.8218,114.8218,0,0
20170809,NH-JAPST,Fonds,115.8339,115.8339,115.8339,115.8339,0,0
20170808,NH-JAPST,Fonds,116.8334,116.8334,116.8334,116.8334,0,0
20170804,NH-JAPST,Fonds,117.0269,117.0269,117.0269,117.0269,0,0
20170803,NH-JAPST,Fonds,116.58,116.58,116.58,116.58,0,0
20170802,NH-JAPST,Fonds,116.7377,116.7377,116.7377,116.7377,0,0
20170801,NH-JAPST,Fonds,116.5778,116.5778,116.5778,116.5778,0,0
20170731,NH-JAPST,Fonds,115.9944,115.9944,115.9944,115.9944,0,0
20170728,NH-JAPST,Fonds,115.7999,115.7999,115.7999,115.7999,0,0
20170727,NH-JAPST,Fonds,116.5329,116.5329,116.5329,116.5329,0,0
20170726,NH-JAPST,Fonds,116.2535,116.2535,116.2535,116.2535,0,0
20170725,NH-JAPST,Fonds,116.0864,116.0864,116.0864,116.0864,0,0
20170724,NH-JAPST,Fonds,116.041,116.041,116.041,116.041,0,0
20170721,NH-JAPST,Fonds,116.2053,116.2053,116.2053,116.2053,0,0
20170720,NH-JAPST,Fonds,117.0694,117.0694,117.0694,117.0694,0,0
20170719,NH-JAPST,Fonds,116.3357,116.3357,116.3357,116.3357,0,0
20170718,NH-JAPST,Fonds,116.1222,116.1222,116.1222,116.1222,0,0
20170714,NH-JAPST,Fonds,116.5865,116.5865,116.5865,116.5865,0,0
20170713,NH-JAPST,Fonds,116.571,116.571,116.571,116.571,0,0
20170712,NH-JAPST,Fonds,116.7022,116.7022,116.7022,116.7022,0,0
20170711,NH-JAPST,Fonds,116.5749,116.5749,116.5749,116.5749,0,0
20170710,NH-JAPST,Fonds,115.6838,115.6838,115.6838,115.6838,0,0
20170707,NH-JAPST,Fonds,115.4588,115.4588,115.4588,115.4588,0,0
20170706,NH-JAPST,Fonds,115.0914,115.0914,115.0914,115.0914,0,0
20170705,NH-JAPST,Fonds,115.7316,115.7316,115.7316,115.7316,0,0
20170704,NH-JAPST,Fonds,115.3214,115.3214,115.3214,115.3214,0,0
20170703,NH-JAPST,Fonds,115.9848,115.9848,115.9848,115.9848,0,0
20170630,NH-JAPST,Fonds,115.222,115.222,115.222,115.222,0,0
20170629,NH-JAPST,Fonds,115.3622,115.3622,115.3622,115.3622,0,0
20170628,NH-JAPST,Fonds,114.6896,114.6896,114.6896,114.6896,0,0
20170627,NH-JAPST,Fonds,114.8043,114.8043,114.8043,114.8043,0,0
20170626,NH-JAPST,Fonds,114.9141,114.9141,114.9141,114.9141,0,0
20170623,NH-JAPST,Fonds,114.311,114.311,114.311,114.311,0,0
20170622,NH-JAPST,Fonds,114.4447,114.4447,114.4447,114.4447,0,0
20170621,NH-JAPST,Fonds,114.676,114.676,114.676,114.676,0,0
20170620,NH-JAPST,Fonds,114.6881,114.6881,114.6881,114.6881,0,0
20170619,NH-JAPST,Fonds,114.2979,114.2979,114.2979,114.2979,0,0
20170616,NH-JAPST,Fonds,113.2712,113.2712,113.2712,113.2712,0,0
20170615,NH-JAPST,Fonds,112.5143,112.5143,112.5143,112.5143,0,0
20170614,NH-JAPST,Fonds,113.081,113.081,113.081,113.081,0,0
20170613,NH-JAPST,Fonds,113.5954,113.5954,113.5954,113.5954,0,0
20170612,NH-JAPST,Fonds,112.5108,112.5108,112.5108,112.5108,0,0
20170609,NH-JAPST,Fonds,113.5453,113.5453,113.5453,113.5453,0,0
20170608,NH-JAPST,Fonds,113.8879,113.8879,113.8879,113.8879,0,0
20170607,NH-JAPST,Fonds,113.5187,113.5187,113.5187,113.5187,0,0
20170606,NH-JAPST,Fonds,113.23,113.23,113.23,113.23,0,0
20170602,NH-JAPST,Fonds,114.4457,114.4457,114.4457,114.4457,0,0
20170601,NH-JAPST,Fonds,113.4449,113.4449,113.4449,113.4449,0,0
20170531,NH-JAPST,Fonds,111.6522,111.6522,111.6522,111.6522,0,0
20170530,NH-JAPST,Fonds,112.0632,112.0632,112.0632,112.0632,0,0
20170526,NH-JAPST,Fonds,111.7896,111.7896,111.7896,111.7896,0,0
20170524,NH-JAPST,Fonds,112.3883,112.3883,112.3883,112.3883,0,0
20170523,NH-JAPST,Fonds,111.9406,111.9406,111.9406,111.9406,0,0
20170522,NH-JAPST,Fonds,111.8189,111.8189,111.8189,111.8189,0,0
20170519,NH-JAPST,Fonds,111.8452,111.8452,111.8452,111.8452,0,0
20170518,NH-JAPST,Fonds,110.4058,110.4058,110.4058,110.4058,0,0
20170516,NH-JAPST,Fonds,113.697,113.697,113.697,113.697,0,0
20170515,NH-JAPST,Fonds,113.6953,113.6953,113.6953,113.6953,0,0
20170512,NH-JAPST,Fonds,113.3173,113.3173,113.3173,113.3173,0,0
20170511,NH-JAPST,Fonds,113.6206,113.6206,113.6206,113.6206,0,0
20170510,NH-JAPST,Fonds,114.3372,114.3372,114.3372,114.3372,0,0
20170509,NH-JAPST,Fonds,114.718,114.718,114.718,114.718,0,0
20170508,NH-JAPST,Fonds,113.9193,113.9193,113.9193,113.9193,0,0
20170502,NH-JAPST,Fonds,111.9915,111.9915,111.9915,111.9915,0,0
20170428,NH-JAPST,Fonds,110.7697,110.7697,110.7697,110.7697,0,0
20170427,NH-JAPST,Fonds,110.6792,110.6792,110.6792,110.6792,0,0
20170426,NH-JAPST,Fonds,110.5991,110.5991,110.5991,110.5991,0,0
20170425,NH-JAPST,Fonds,109.6491,109.6491,109.6491,109.6491,0,0
20170424,NH-JAPST,Fonds,108.2944,108.2944,108.2944,108.2944,0,0
20170421,NH-JAPST,Fonds,106.9284,106.9284,106.9284,106.9284,0,0
20170420,NH-JAPST,Fonds,106.1708,106.1708,106.1708,106.1708,0,0
20170419,NH-JAPST,Fonds,106.0533,106.0533,106.0533,106.0533,0,0
20170418,NH-JAPST,Fonds,105.6052,105.6052,105.6052,105.6052,0,0
20170412,NH-JAPST,Fonds,106.2135,106.2135,106.2135,106.2135,0,0
20170411,NH-JAPST,Fonds,107.1757,107.1757,107.1757,107.1757,0,0
