quote_date,paper,exch,open,high,low,close,volume,value
20171109,NH-JAPVF,Fonds,119.0276,119.0276,119.0276,119.0276,0,0
20171108,NH-JAPVF,Fonds,120.0377,120.0377,120.0377,120.0377,0,0
20171107,NH-JAPVF,Fonds,119.7084,119.7084,119.7084,119.7084,0,0
20171106,NH-JAPVF,Fonds,118.5015,118.5015,118.5015,118.5015,0,0
20171102,NH-JAPVF,Fonds,118.355,118.355,118.355,118.355,0,0
20171101,NH-JAPVF,Fonds,118.3885,118.3885,118.3885,118.3885,0,0
20171031,NH-JAPVF,Fonds,116.838,116.838,116.838,116.838,0,0
20171027,NH-JAPVF,Fonds,116.5325,116.5325,116.5325,116.5325,0,0
20171026,NH-JAPVF,Fonds,115.4343,115.4343,115.4343,115.4343,0,0
20171025,NH-JAPVF,Fonds,115.1927,115.1927,115.1927,115.1927,0,0
20171024,NH-JAPVF,Fonds,115.5263,115.5263,115.5263,115.5263,0,0
20171023,NH-JAPVF,Fonds,114.6383,114.6383,114.6383,114.6383,0,0
20171020,NH-JAPVF,Fonds,113.6106,113.6106,113.6106,113.6106,0,0
20171019,NH-JAPVF,Fonds,112.5981,112.5981,112.5981,112.5981,0,0
20171018,NH-JAPVF,Fonds,113.1772,113.1772,113.1772,113.1772,0,0
20171017,NH-JAPVF,Fonds,113.0348,113.0348,113.0348,113.0348,0,0
20171016,NH-JAPVF,Fonds,112.4316,112.4316,112.4316,112.4316,0,0
20171013,NH-JAPVF,Fonds,111.5978,111.5978,111.5978,111.5978,0,0
20171012,NH-JAPVF,Fonds,111.275,111.275,111.275,111.275,0,0
20171011,NH-JAPVF,Fonds,111.0552,111.0552,111.0552,111.0552,0,0
20171010,NH-JAPVF,Fonds,110.9533,110.9533,110.9533,110.9533,0,0
20171006,NH-JAPVF,Fonds,110.5615,110.5615,110.5615,110.5615,0,0
20171005,NH-JAPVF,Fonds,109.9916,109.9916,109.9916,109.9916,0,0
20171004,NH-JAPVF,Fonds,110.276,110.276,110.276,110.276,0,0
20171003,NH-JAPVF,Fonds,110.1221,110.1221,110.1221,110.1221,0,0
20171002,NH-JAPVF,Fonds,109.4244,109.4244,109.4244,109.4244,0,0
20170929,NH-JAPVF,Fonds,109.7175,109.7175,109.7175,109.7175,0,0
20170928,NH-JAPVF,Fonds,109.4257,109.4257,109.4257,109.4257,0,0
20170927,NH-JAPVF,Fonds,109.5499,109.5499,109.5499,109.5499,0,0
20170926,NH-JAPVF,Fonds,109.008,109.008,109.008,109.008,0,0
20170925,NH-JAPVF,Fonds,108.7878,108.7878,108.7878,108.7878,0,0
20170922,NH-JAPVF,Fonds,108.2442,108.2442,108.2442,108.2442,0,0
20170921,NH-JAPVF,Fonds,108.2417,108.2417,108.2417,108.2417,0,0
20170920,NH-JAPVF,Fonds,108.065,108.065,108.065,108.065,0,0
20170919,NH-JAPVF,Fonds,107.7361,107.7361,107.7361,107.7361,0,0
20170915,NH-JAPVF,Fonds,106.2421,106.2421,106.2421,106.2421,0,0
20170914,NH-JAPVF,Fonds,105.6403,105.6403,105.6403,105.6403,0,0
20170913,NH-JAPVF,Fonds,105.8505,105.8505,105.8505,105.8505,0,0
20170912,NH-JAPVF,Fonds,105.6253,105.6253,105.6253,105.6253,0,0
20170911,NH-JAPVF,Fonds,104.7661,104.7661,104.7661,104.7661,0,0
20170908,NH-JAPVF,Fonds,103.2867,103.2867,103.2867,103.2867,0,0
20170907,NH-JAPVF,Fonds,103.5887,103.5887,103.5887,103.5887,0,0
20170906,NH-JAPVF,Fonds,103.1009,103.1009,103.1009,103.1009,0,0
20170905,NH-JAPVF,Fonds,102.9447,102.9447,102.9447,102.9447,0,0
20170904,NH-JAPVF,Fonds,103.5946,103.5946,103.5946,103.5946,0,0
20170901,NH-JAPVF,Fonds,104.7492,104.7492,104.7492,104.7492,0,0
20170831,NH-JAPVF,Fonds,104.7864,104.7864,104.7864,104.7864,0,0
20170830,NH-JAPVF,Fonds,103.8937,103.8937,103.8937,103.8937,0,0
20170829,NH-JAPVF,Fonds,103.1543,103.1543,103.1543,103.1543,0,0
20170825,NH-JAPVF,Fonds,103.747,103.747,103.747,103.747,0,0
20170824,NH-JAPVF,Fonds,102.8956,102.8956,102.8956,102.8956,0,0
20170823,NH-JAPVF,Fonds,103.2775,103.2775,103.2775,103.2775,0,0
20170822,NH-JAPVF,Fonds,103.1661,103.1661,103.1661,103.1661,0,0
20170821,NH-JAPVF,Fonds,102.4467,102.4467,102.4467,102.4467,0,0
20170818,NH-JAPVF,Fonds,102.2422,102.2422,102.2422,102.2422,0,0
20170817,NH-JAPVF,Fonds,104.0521,104.0521,104.0521,104.0521,0,0
20170816,NH-JAPVF,Fonds,104.4806,104.4806,104.4806,104.4806,0,0
20170815,NH-JAPVF,Fonds,104.2812,104.2812,104.2812,104.2812,0,0
20170814,NH-JAPVF,Fonds,103.51,103.51,103.51,103.51,0,0
20170810,NH-JAPVF,Fonds,103.9747,103.9747,103.9747,103.9747,0,0
20170809,NH-JAPVF,Fonds,104.8806,104.8806,104.8806,104.8806,0,0
20170808,NH-JAPVF,Fonds,105.785,105.785,105.785,105.785,0,0
20170804,NH-JAPVF,Fonds,105.9695,105.9695,105.9695,105.9695,0,0
20170803,NH-JAPVF,Fonds,105.5573,105.5573,105.5573,105.5573,0,0
20170802,NH-JAPVF,Fonds,105.6889,105.6889,105.6889,105.6889,0,0
20170801,NH-JAPVF,Fonds,105.5353,105.5353,105.5353,105.5353,0,0
20170731,NH-JAPVF,Fonds,104.994,104.994,104.994,104.994,0,0
20170728,NH-JAPVF,Fonds,104.8284,104.8284,104.8284,104.8284,0,0
20170727,NH-JAPVF,Fonds,105.4865,105.4865,105.4865,105.4865,0,0
20170726,NH-JAPVF,Fonds,105.2164,105.2164,105.2164,105.2164,0,0
20170725,NH-JAPVF,Fonds,105.0814,105.0814,105.0814,105.0814,0,0
20170724,NH-JAPVF,Fonds,105.0371,105.0371,105.0371,105.0371,0,0
20170721,NH-JAPVF,Fonds,105.1821,105.1821,105.1821,105.1821,0,0
20170720,NH-JAPVF,Fonds,105.9604,105.9604,105.9604,105.9604,0,0
20170719,NH-JAPVF,Fonds,105.2897,105.2897,105.2897,105.2897,0,0
20170718,NH-JAPVF,Fonds,105.0914,105.0914,105.0914,105.0914,0,0
20170714,NH-JAPVF,Fonds,105.5064,105.5064,105.5064,105.5064,0,0
20170713,NH-JAPVF,Fonds,105.4869,105.4869,105.4869,105.4869,0,0
20170712,NH-JAPVF,Fonds,105.5931,105.5931,105.5931,105.5931,0,0
20170711,NH-JAPVF,Fonds,105.4709,105.4709,105.4709,105.4709,0,0
20170710,NH-JAPVF,Fonds,104.6612,104.6612,104.6612,104.6612,0,0
20170707,NH-JAPVF,Fonds,104.4589,104.4589,104.4589,104.4589,0,0
20170706,NH-JAPVF,Fonds,104.1302,104.1302,104.1302,104.1302,0,0
20170705,NH-JAPVF,Fonds,104.6981,104.6981,104.6981,104.6981,0,0
20170704,NH-JAPVF,Fonds,104.329,104.329,104.329,104.329,0,0
20170703,NH-JAPVF,Fonds,104.9242,104.9242,104.9242,104.9242,0,0
20170630,NH-JAPVF,Fonds,104.244,104.244,104.244,104.244,0,0
20170629,NH-JAPVF,Fonds,104.3587,104.3587,104.3587,104.3587,0,0
20170628,NH-JAPVF,Fonds,103.7505,103.7505,103.7505,103.7505,0,0
20170627,NH-JAPVF,Fonds,103.8494,103.8494,103.8494,103.8494,0,0
20170626,NH-JAPVF,Fonds,103.9661,103.9661,103.9661,103.9661,0,0
20170623,NH-JAPVF,Fonds,103.4161,103.4161,103.4161,103.4161,0,0
