quote_date,paper,exch,open,high,low,close,volume,value
20171121,NH-JPHCF,Fonds,130.5573,130.5573,130.5573,130.5573,0,0
20171120,NH-JPHCF,Fonds,129.3095,129.3095,129.3095,129.3095,0,0
20171117,NH-JPHCF,Fonds,128.96,128.96,128.96,128.96,0,0
20171116,NH-JPHCF,Fonds,127.8893,127.8893,127.8893,127.8893,0,0
20171115,NH-JPHCF,Fonds,125.829,125.829,125.829,125.829,0,0
20171114,NH-JPHCF,Fonds,127.538,127.538,127.538,127.538,0,0
20171113,NH-JPHCF,Fonds,128.9228,128.9228,128.9228,128.9228,0,0
20171110,NH-JPHCF,Fonds,129.2322,129.2322,129.2322,129.2322,0,0
20171109,NH-JPHCF,Fonds,130.532,130.532,130.532,130.532,0,0
20171108,NH-JPHCF,Fonds,130.9701,130.9701,130.9701,130.9701,0,0
20171107,NH-JPHCF,Fonds,130.4275,130.4275,130.4275,130.4275,0,0
20171106,NH-JPHCF,Fonds,128.3119,128.3119,128.3119,128.3119,0,0
20171102,NH-JPHCF,Fonds,126.7598,126.7598,126.7598,126.7598,0,0
20171101,NH-JPHCF,Fonds,127.4344,127.4344,127.4344,127.4344,0,0
20171031,NH-JPHCF,Fonds,126.9048,126.9048,126.9048,126.9048,0,0
20171027,NH-JPHCF,Fonds,126.4418,126.4418,126.4418,126.4418,0,0
20171026,NH-JPHCF,Fonds,123.5978,123.5978,123.5978,123.5978,0,0
20171025,NH-JPHCF,Fonds,122.5008,122.5008,122.5008,122.5008,0,0
20171024,NH-JPHCF,Fonds,123.4259,123.4259,123.4259,123.4259,0,0
20171023,NH-JPHCF,Fonds,122.9792,122.9792,122.9792,122.9792,0,0
20171020,NH-JPHCF,Fonds,121.6691,121.6691,121.6691,121.6691,0,0
20171019,NH-JPHCF,Fonds,121.7282,121.7282,121.7282,121.7282,0,0
20171018,NH-JPHCF,Fonds,121.7569,121.7569,121.7569,121.7569,0,0
20171017,NH-JPHCF,Fonds,122.4845,122.4845,122.4845,122.4845,0,0
20171016,NH-JPHCF,Fonds,122.7735,122.7735,122.7735,122.7735,0,0
20171013,NH-JPHCF,Fonds,121.6048,121.6048,121.6048,121.6048,0,0
20171012,NH-JPHCF,Fonds,120.3937,120.3937,120.3937,120.3937,0,0
20171011,NH-JPHCF,Fonds,119.8092,119.8092,119.8092,119.8092,0,0
20171010,NH-JPHCF,Fonds,119.8472,119.8472,119.8472,119.8472,0,0
20171006,NH-JPHCF,Fonds,119.2554,119.2554,119.2554,119.2554,0,0
20171005,NH-JPHCF,Fonds,119.8172,119.8172,119.8172,119.8172,0,0
20171004,NH-JPHCF,Fonds,119.439,119.439,119.439,119.439,0,0
20171003,NH-JPHCF,Fonds,118.9132,118.9132,118.9132,118.9132,0,0
20171002,NH-JPHCF,Fonds,118.3791,118.3791,118.3791,118.3791,0,0
20170929,NH-JPHCF,Fonds,118.0987,118.0987,118.0987,118.0987,0,0
20170928,NH-JPHCF,Fonds,118.2748,118.2748,118.2748,118.2748,0,0
20170927,NH-JPHCF,Fonds,117.2065,117.2065,117.2065,117.2065,0,0
20170926,NH-JPHCF,Fonds,117.599,117.599,117.599,117.599,0,0
20170925,NH-JPHCF,Fonds,117.2683,117.2683,117.2683,117.2683,0,0
20170922,NH-JPHCF,Fonds,116.1225,116.1225,116.1225,116.1225,0,0
20170921,NH-JPHCF,Fonds,117.0421,117.0421,117.0421,117.0421,0,0
20170920,NH-JPHCF,Fonds,117.7671,117.7671,117.7671,117.7671,0,0
20170919,NH-JPHCF,Fonds,117.8765,117.8765,117.8765,117.8765,0,0
20170915,NH-JPHCF,Fonds,116.806,116.806,116.806,116.806,0,0
20170914,NH-JPHCF,Fonds,117.5624,117.5624,117.5624,117.5624,0,0
20170913,NH-JPHCF,Fonds,117.5143,117.5143,117.5143,117.5143,0,0
20170912,NH-JPHCF,Fonds,117.2486,117.2486,117.2486,117.2486,0,0
20170911,NH-JPHCF,Fonds,116.0083,116.0083,116.0083,116.0083,0,0
20170908,NH-JPHCF,Fonds,114.9859,114.9859,114.9859,114.9859,0,0
20170907,NH-JPHCF,Fonds,114.2563,114.2563,114.2563,114.2563,0,0
20170906,NH-JPHCF,Fonds,114.1603,114.1603,114.1603,114.1603,0,0
20170905,NH-JPHCF,Fonds,113.8739,113.8739,113.8739,113.8739,0,0
20170904,NH-JPHCF,Fonds,114.9931,114.9931,114.9931,114.9931,0,0
20170901,NH-JPHCF,Fonds,115.566,115.566,115.566,115.566,0,0
20170831,NH-JPHCF,Fonds,115.039,115.039,115.039,115.039,0,0
20170830,NH-JPHCF,Fonds,114.1218,114.1218,114.1218,114.1218,0,0
20170829,NH-JPHCF,Fonds,114.4043,114.4043,114.4043,114.4043,0,0
20170825,NH-JPHCF,Fonds,115.0513,115.0513,115.0513,115.0513,0,0
20170824,NH-JPHCF,Fonds,115.3838,115.3838,115.3838,115.3838,0,0
20170823,NH-JPHCF,Fonds,116.0692,116.0692,116.0692,116.0692,0,0
20170822,NH-JPHCF,Fonds,115.3405,115.3405,115.3405,115.3405,0,0
20170821,NH-JPHCF,Fonds,115.282,115.282,115.282,115.282,0,0
20170818,NH-JPHCF,Fonds,116.1202,116.1202,116.1202,116.1202,0,0
20170817,NH-JPHCF,Fonds,116.2591,116.2591,116.2591,116.2591,0,0
20170816,NH-JPHCF,Fonds,115.4619,115.4619,115.4619,115.4619,0,0
20170815,NH-JPHCF,Fonds,115.6745,115.6745,115.6745,115.6745,0,0
20170814,NH-JPHCF,Fonds,114.3701,114.3701,114.3701,114.3701,0,0
20170810,NH-JPHCF,Fonds,115.8962,115.8962,115.8962,115.8962,0,0
20170809,NH-JPHCF,Fonds,116.3208,116.3208,116.3208,116.3208,0,0
20170808,NH-JPHCF,Fonds,116.3271,116.3271,116.3271,116.3271,0,0
20170804,NH-JPHCF,Fonds,116.0775,116.0775,116.0775,116.0775,0,0
20170803,NH-JPHCF,Fonds,115.9536,115.9536,115.9536,115.9536,0,0
20170802,NH-JPHCF,Fonds,116.1885,116.1885,116.1885,116.1885,0,0
20170801,NH-JPHCF,Fonds,115.6855,115.6855,115.6855,115.6855,0,0
20170731,NH-JPHCF,Fonds,115.8937,115.8937,115.8937,115.8937,0,0
20170728,NH-JPHCF,Fonds,115.7349,115.7349,115.7349,115.7349,0,0
20170727,NH-JPHCF,Fonds,116.1798,116.1798,116.1798,116.1798,0,0
20170726,NH-JPHCF,Fonds,115.5925,115.5925,115.5925,115.5925,0,0
20170725,NH-JPHCF,Fonds,115.7137,115.7137,115.7137,115.7137,0,0
20170724,NH-JPHCF,Fonds,116.8251,116.8251,116.8251,116.8251,0,0
20170721,NH-JPHCF,Fonds,116.9185,116.9185,116.9185,116.9185,0,0
20170720,NH-JPHCF,Fonds,116.4824,116.4824,116.4824,116.4824,0,0
20170719,NH-JPHCF,Fonds,116.6419,116.6419,116.6419,116.6419,0,0
20170718,NH-JPHCF,Fonds,116.1331,116.1331,116.1331,116.1331,0,0
20170714,NH-JPHCF,Fonds,116.7854,116.7854,116.7854,116.7854,0,0
20170713,NH-JPHCF,Fonds,116.1084,116.1084,116.1084,116.1084,0,0
20170712,NH-JPHCF,Fonds,115.73,115.73,115.73,115.73,0,0
20170711,NH-JPHCF,Fonds,115.5603,115.5603,115.5603,115.5603,0,0
20170710,NH-JPHCF,Fonds,114.6026,114.6026,114.6026,114.6026,0,0
20170707,NH-JPHCF,Fonds,114.3609,114.3609,114.3609,114.3609,0,0
20170706,NH-JPHCF,Fonds,115.2622,115.2622,115.2622,115.2622,0,0
20170705,NH-JPHCF,Fonds,115.7259,115.7259,115.7259,115.7259,0,0
