quote_date,paper,exch,open,high,low,close,volume,value
20171109,NH-JSRGH,Fonds,113.1504,113.1504,113.1504,113.1504,0,0
20171108,NH-JSRGH,Fonds,114.1209,114.1209,114.1209,114.1209,0,0
20171107,NH-JSRGH,Fonds,113.7995,113.7995,113.7995,113.7995,0,0
20171106,NH-JSRGH,Fonds,112.6564,112.6564,112.6564,112.6564,0,0
20171102,NH-JSRGH,Fonds,112.5222,112.5222,112.5222,112.5222,0,0
20171101,NH-JSRGH,Fonds,112.5513,112.5513,112.5513,112.5513,0,0
20171031,NH-JSRGH,Fonds,111.0837,111.0837,111.0837,111.0837,0,0
20171027,NH-JSRGH,Fonds,110.9042,110.9042,110.9042,110.9042,0,0
20171026,NH-JSRGH,Fonds,109.7637,109.7637,109.7637,109.7637,0,0
20171025,NH-JSRGH,Fonds,109.513,109.513,109.513,109.513,0,0
20171024,NH-JSRGH,Fonds,109.8572,109.8572,109.8572,109.8572,0,0
20171023,NH-JSRGH,Fonds,109.0201,109.0201,109.0201,109.0201,0,0
20171020,NH-JSRGH,Fonds,108.0564,108.0564,108.0564,108.0564,0,0
20171019,NH-JSRGH,Fonds,107.1024,107.1024,107.1024,107.1024,0,0
20171018,NH-JSRGH,Fonds,107.6577,107.6577,107.6577,107.6577,0,0
20171017,NH-JSRGH,Fonds,107.5213,107.5213,107.5213,107.5213,0,0
20171016,NH-JSRGH,Fonds,106.9447,106.9447,106.9447,106.9447,0,0
20171013,NH-JSRGH,Fonds,106.1489,106.1489,106.1489,106.1489,0,0
20171012,NH-JSRGH,Fonds,105.8565,105.8565,105.8565,105.8565,0,0
20171011,NH-JSRGH,Fonds,105.6566,105.6566,105.6566,105.6566,0,0
20171010,NH-JSRGH,Fonds,105.5624,105.5624,105.5624,105.5624,0,0
20171006,NH-JSRGH,Fonds,105.2169,105.2169,105.2169,105.2169,0,0
20171005,NH-JSRGH,Fonds,104.6625,104.6625,104.6625,104.6625,0,0
20171004,NH-JSRGH,Fonds,104.9293,104.9293,104.9293,104.9293,0,0
20171003,NH-JSRGH,Fonds,104.7947,104.7947,104.7947,104.7947,0,0
20171002,NH-JSRGH,Fonds,104.1342,104.1342,104.1342,104.1342,0,0
20170929,NH-JSRGH,Fonds,104.3989,104.3989,104.3989,104.3989,0,0
20170928,NH-JSRGH,Fonds,104.2809,104.2809,104.2809,104.2809,0,0
20170927,NH-JSRGH,Fonds,104.2772,104.2772,104.2772,104.2772,0,0
20170926,NH-JSRGH,Fonds,103.7543,103.7543,103.7543,103.7543,0,0
20170925,NH-JSRGH,Fonds,103.5627,103.5627,103.5627,103.5627,0,0
20170922,NH-JSRGH,Fonds,103.0454,103.0454,103.0454,103.0454,0,0
20170921,NH-JSRGH,Fonds,103.0491,103.0491,103.0491,103.0491,0,0
20170920,NH-JSRGH,Fonds,102.8867,102.8867,102.8867,102.8867,0,0
20170919,NH-JSRGH,Fonds,102.5777,102.5777,102.5777,102.5777,0,0
20170915,NH-JSRGH,Fonds,101.1506,101.1506,101.1506,101.1506,0,0
20170914,NH-JSRGH,Fonds,100.6071,100.6071,100.6071,100.6071,0,0
20170913,NH-JSRGH,Fonds,100.8277,100.8277,100.8277,100.8277,0,0
