quote_date,paper,exch,open,high,low,close,volume,value
20171109,NH-JSTVF,Fonds,22277.8008,22277.8008,22277.8008,22277.8008,0,0
20171108,NH-JSTVF,Fonds,22470.6162,22470.6162,22470.6162,22470.6162,0,0
20171107,NH-JSTVF,Fonds,22413.783,22413.783,22413.783,22413.783,0,0
20171106,NH-JSTVF,Fonds,22186.9748,22186.9748,22186.9748,22186.9748,0,0
20171102,NH-JSTVF,Fonds,22161.0076,22161.0076,22161.0076,22161.0076,0,0
20171101,NH-JSTVF,Fonds,22173.5677,22173.5677,22173.5677,22173.5677,0,0
20171031,NH-JSTVF,Fonds,21884.3083,21884.3083,21884.3083,21884.3083,0,0
20171027,NH-JSTVF,Fonds,21843.4765,21843.4765,21843.4765,21843.4765,0,0
20171026,NH-JSTVF,Fonds,21625.9936,21625.9936,21625.9936,21625.9936,0,0
20171025,NH-JSTVF,Fonds,21585.8725,21585.8725,21585.8725,21585.8725,0,0
20171024,NH-JSTVF,Fonds,21637.7877,21637.7877,21637.7877,21637.7877,0,0
20171023,NH-JSTVF,Fonds,21476.4017,21476.4017,21476.4017,21476.4017,0,0
20171020,NH-JSTVF,Fonds,21285.1224,21285.1224,21285.1224,21285.1224,0,0
20171019,NH-JSTVF,Fonds,21096.3739,21096.3739,21096.3739,21096.3739,0,0
20171018,NH-JSTVF,Fonds,21210.9401,21210.9401,21210.9401,21210.9401,0,0
20171017,NH-JSTVF,Fonds,21181.4828,21181.4828,21181.4828,21181.4828,0,0
20171016,NH-JSTVF,Fonds,21067.6769,21067.6769,21067.6769,21067.6769,0,0
20171013,NH-JSTVF,Fonds,20913.6928,20913.6928,20913.6928,20913.6928,0,0
20171012,NH-JSTVF,Fonds,20855.7917,20855.7917,20855.7917,20855.7917,0,0
20171011,NH-JSTVF,Fonds,20817.6877,20817.6877,20817.6877,20817.6877,0,0
20171010,NH-JSTVF,Fonds,20800.0199,20800.0199,20800.0199,20800.0199,0,0
20171006,NH-JSTVF,Fonds,20733.5032,20733.5032,20733.5032,20733.5032,0,0
20171005,NH-JSTVF,Fonds,20623.972,20623.972,20623.972,20623.972,0,0
20171004,NH-JSTVF,Fonds,20681.2409,20681.2409,20681.2409,20681.2409,0,0
20171003,NH-JSTVF,Fonds,20656.5552,20656.5552,20656.5552,20656.5552,0,0
20171002,NH-JSTVF,Fonds,20527.4937,20527.4937,20527.4937,20527.4937,0,0
20170929,NH-JSTVF,Fonds,20584.2485,20584.2485,20584.2485,20584.2485,0,0
20170928,NH-JSTVF,Fonds,20563.098,20563.098,20563.098,20563.098,0,0
20170927,NH-JSTVF,Fonds,20561.467,20561.467,20561.467,20561.467,0,0
20170926,NH-JSTVF,Fonds,20458.8896,20458.8896,20458.8896,20458.8896,0,0
20170925,NH-JSTVF,Fonds,20415.3209,20415.3209,20415.3209,20415.3209,0,0
20170922,NH-JSTVF,Fonds,20315.1767,20315.1767,20315.1767,20315.1767,0,0
20170921,NH-JSTVF,Fonds,20316.1628,20316.1628,20316.1628,20316.1628,0,0
20170920,NH-JSTVF,Fonds,20284.4316,20284.4316,20284.4316,20284.4316,0,0
20170919,NH-JSTVF,Fonds,20223.8977,20223.8977,20223.8977,20223.8977,0,0
20170915,NH-JSTVF,Fonds,19942.4992,19942.4992,19942.4992,19942.4992,0,0
20170914,NH-JSTVF,Fonds,19830.202,19830.202,19830.202,19830.202,0,0
20170913,NH-JSTVF,Fonds,19872.3748,19872.3748,19872.3748,19872.3748,0,0
20170912,NH-JSTVF,Fonds,19831.2664,19831.2664,19831.2664,19831.2664,0,0
20170911,NH-JSTVF,Fonds,19668.3575,19668.3575,19668.3575,19668.3575,0,0
20170908,NH-JSTVF,Fonds,19392.184,19392.184,19392.184,19392.184,0,0
20170907,NH-JSTVF,Fonds,19448.6909,19448.6909,19448.6909,19448.6909,0,0
20170906,NH-JSTVF,Fonds,19360.4498,19360.4498,19360.4498,19360.4498,0,0
20170905,NH-JSTVF,Fonds,19332.1598,19332.1598,19332.1598,19332.1598,0,0
20170904,NH-JSTVF,Fonds,19454.0861,19454.0861,19454.0861,19454.0861,0,0
20170901,NH-JSTVF,Fonds,19673.1601,19673.1601,19673.1601,19673.1601,0,0
20170831,NH-JSTVF,Fonds,19682.7222,19682.7222,19682.7222,19682.7222,0,0
20170830,NH-JSTVF,Fonds,19518.4058,19518.4058,19518.4058,19518.4058,0,0
20170829,NH-JSTVF,Fonds,19375.2508,19375.2508,19375.2508,19375.2508,0,0
20170825,NH-JSTVF,Fonds,19489.9872,19489.9872,19489.9872,19489.9872,0,0
20170824,NH-JSTVF,Fonds,19328.4149,19328.4149,19328.4149,19328.4149,0,0
20170823,NH-JSTVF,Fonds,19404.0503,19404.0503,19404.0503,19404.0503,0,0
20170822,NH-JSTVF,Fonds,19383.8735,19383.8735,19383.8735,19383.8735,0,0
20170821,NH-JSTVF,Fonds,19250.269,19250.269,19250.269,19250.269,0,0
20170818,NH-JSTVF,Fonds,19214.2397,19214.2397,19214.2397,19214.2397,0,0
20170817,NH-JSTVF,Fonds,19552.4088,19552.4088,19552.4088,19552.4088,0,0
20170816,NH-JSTVF,Fonds,19637.0442,19637.0442,19637.0442,19637.0442,0,0
20170815,NH-JSTVF,Fonds,19601.0174,19601.0174,19601.0174,19601.0174,0,0
20170814,NH-JSTVF,Fonds,19461.2875,19461.2875,19461.2875,19461.2875,0,0
20170810,NH-JSTVF,Fonds,19550.5917,19550.5917,19550.5917,19550.5917,0,0
20170809,NH-JSTVF,Fonds,19723.9904,19723.9904,19723.9904,19723.9904,0,0
20170808,NH-JSTVF,Fonds,19893.8688,19893.8688,19893.8688,19893.8688,0,0
20170804,NH-JSTVF,Fonds,19929.9418,19929.9418,19929.9418,19929.9418,0,0
20170803,NH-JSTVF,Fonds,19853.9345,19853.9345,19853.9345,19853.9345,0,0
20170802,NH-JSTVF,Fonds,19884.1987,19884.1987,19884.1987,19884.1987,0,0
20170801,NH-JSTVF,Fonds,19856.6882,19856.6882,19856.6882,19856.6882,0,0
20170731,NH-JSTVF,Fonds,19757.2594,19757.2594,19757.2594,19757.2594,0,0
20170728,NH-JSTVF,Fonds,19724.8601,19724.8601,19724.8601,19724.8601,0,0
20170727,NH-JSTVF,Fonds,19850.1972,19850.1972,19850.1972,19850.1972,0,0
20170726,NH-JSTVF,Fonds,19802.5171,19802.5171,19802.5171,19802.5171,0,0
20170725,NH-JSTVF,Fonds,19774.9406,19774.9406,19774.9406,19774.9406,0,0
20170724,NH-JSTVF,Fonds,19767.6945,19767.6945,19767.6945,19767.6945,0,0
20170721,NH-JSTVF,Fonds,19796.9614,19796.9614,19796.9614,19796.9614,0,0
20170720,NH-JSTVF,Fonds,19944.8664,19944.8664,19944.8664,19944.8664,0,0
20170719,NH-JSTVF,Fonds,19821.1757,19821.1757,19821.1757,19821.1757,0,0
20170718,NH-JSTVF,Fonds,19785.4584,19785.4584,19785.4584,19785.4584,0,0
20170714,NH-JSTVF,Fonds,19866.4608,19866.4608,19866.4608,19866.4608,0,0
20170713,NH-JSTVF,Fonds,19864.3988,19864.3988,19864.3988,19864.3988,0,0
20170712,NH-JSTVF,Fonds,19887.2538,19887.2538,19887.2538,19887.2538,0,0
20170711,NH-JSTVF,Fonds,19867.614,19867.614,19867.614,19867.614,0,0
20170710,NH-JSTVF,Fonds,19716.5373,19716.5373,19716.5373,19716.5373,0,0
