quote_date,paper,exch,open,high,low,close,volume,value
20171109,NH-NFIEU,Fonds,105.6219,105.6219,105.6219,105.6219,0,0
20171108,NH-NFIEU,Fonds,105.9692,105.9692,105.9692,105.9692,0,0
20171107,NH-NFIEU,Fonds,106.1833,106.1833,106.1833,106.1833,0,0
20171106,NH-NFIEU,Fonds,106.1403,106.1403,106.1403,106.1403,0,0
20171103,NH-NFIEU,Fonds,106.0906,106.0906,106.0906,106.0906,0,0
20171102,NH-NFIEU,Fonds,106.042,106.042,106.042,106.042,0,0
20171101,NH-NFIEU,Fonds,106.099,106.099,106.099,106.099,0,0
20171031,NH-NFIEU,Fonds,105.9734,105.9734,105.9734,105.9734,0,0
20171027,NH-NFIEU,Fonds,105.9183,105.9183,105.9183,105.9183,0,0
20171026,NH-NFIEU,Fonds,105.9459,105.9459,105.9459,105.9459,0,0
20171025,NH-NFIEU,Fonds,106.0238,106.0238,106.0238,106.0238,0,0
20171024,NH-NFIEU,Fonds,106.089,106.089,106.089,106.089,0,0
20171023,NH-NFIEU,Fonds,106.0685,106.0685,106.0685,106.0685,0,0
20171020,NH-NFIEU,Fonds,106.0024,106.0024,106.0024,106.0024,0,0
20171019,NH-NFIEU,Fonds,105.9812,105.9812,105.9812,105.9812,0,0
20171018,NH-NFIEU,Fonds,106.075,106.075,106.075,106.075,0,0
20171017,NH-NFIEU,Fonds,105.95,105.95,105.95,105.95,0,0
20171016,NH-NFIEU,Fonds,105.9244,105.9244,105.9244,105.9244,0,0
20171013,NH-NFIEU,Fonds,105.8461,105.8461,105.8461,105.8461,0,0
20171012,NH-NFIEU,Fonds,105.8518,105.8518,105.8518,105.8518,0,0
20171011,NH-NFIEU,Fonds,105.8645,105.8645,105.8645,105.8645,0,0
20171010,NH-NFIEU,Fonds,105.8671,105.8671,105.8671,105.8671,0,0
20171006,NH-NFIEU,Fonds,105.8223,105.8223,105.8223,105.8223,0,0
20171005,NH-NFIEU,Fonds,105.7761,105.7761,105.7761,105.7761,0,0
20171004,NH-NFIEU,Fonds,105.7843,105.7843,105.7843,105.7843,0,0
20171003,NH-NFIEU,Fonds,105.7554,105.7554,105.7554,105.7554,0,0
20171002,NH-NFIEU,Fonds,105.742,105.742,105.742,105.742,0,0
20170929,NH-NFIEU,Fonds,105.6896,105.6896,105.6896,105.6896,0,0
20170928,NH-NFIEU,Fonds,105.817,105.817,105.817,105.817,0,0
20170927,NH-NFIEU,Fonds,105.6387,105.6387,105.6387,105.6387,0,0
20170926,NH-NFIEU,Fonds,105.6133,105.6133,105.6133,105.6133,0,0
20170925,NH-NFIEU,Fonds,105.5522,105.5522,105.5522,105.5522,0,0
20170922,NH-NFIEU,Fonds,105.4968,105.4968,105.4968,105.4968,0,0
20170921,NH-NFIEU,Fonds,105.514,105.514,105.514,105.514,0,0
20170920,NH-NFIEU,Fonds,105.4196,105.4196,105.4196,105.4196,0,0
20170919,NH-NFIEU,Fonds,105.3649,105.3649,105.3649,105.3649,0,0
20170918,NH-NFIEU,Fonds,105.3277,105.3277,105.3277,105.3277,0,0
20170915,NH-NFIEU,Fonds,105.2569,105.2569,105.2569,105.2569,0,0
20170914,NH-NFIEU,Fonds,105.1785,105.1785,105.1785,105.1785,0,0
20170913,NH-NFIEU,Fonds,105.1729,105.1729,105.1729,105.1729,0,0
20170912,NH-NFIEU,Fonds,105.1054,105.1054,105.1054,105.1054,0,0
20170911,NH-NFIEU,Fonds,105.053,105.053,105.053,105.053,0,0
20170908,NH-NFIEU,Fonds,105.0681,105.0681,105.0681,105.0681,0,0
20170907,NH-NFIEU,Fonds,105.064,105.064,105.064,105.064,0,0
20170906,NH-NFIEU,Fonds,104.9936,104.9936,104.9936,104.9936,0,0
20170905,NH-NFIEU,Fonds,104.9965,104.9965,104.9965,104.9965,0,0
20170901,NH-NFIEU,Fonds,104.8939,104.8939,104.8939,104.8939,0,0
20170831,NH-NFIEU,Fonds,104.7208,104.7208,104.7208,104.7208,0,0
20170830,NH-NFIEU,Fonds,104.674,104.674,104.674,104.674,0,0
20170829,NH-NFIEU,Fonds,104.6917,104.6917,104.6917,104.6917,0,0
20170825,NH-NFIEU,Fonds,104.5857,104.5857,104.5857,104.5857,0,0
20170824,NH-NFIEU,Fonds,104.5418,104.5418,104.5418,104.5418,0,0
20170823,NH-NFIEU,Fonds,104.5645,104.5645,104.5645,104.5645,0,0
20170822,NH-NFIEU,Fonds,104.5331,104.5331,104.5331,104.5331,0,0
20170821,NH-NFIEU,Fonds,104.5194,104.5194,104.5194,104.5194,0,0
20170818,NH-NFIEU,Fonds,104.6042,104.6042,104.6042,104.6042,0,0
20170817,NH-NFIEU,Fonds,104.6852,104.6852,104.6852,104.6852,0,0
20170816,NH-NFIEU,Fonds,104.6659,104.6659,104.6659,104.6659,0,0
20170815,NH-NFIEU,Fonds,104.6541,104.6541,104.6541,104.6541,0,0
20170814,NH-NFIEU,Fonds,104.5527,104.5527,104.5527,104.5527,0,0
20170811,NH-NFIEU,Fonds,104.6092,104.6092,104.6092,104.6092,0,0
20170810,NH-NFIEU,Fonds,104.8669,104.8669,104.8669,104.8669,0,0
20170809,NH-NFIEU,Fonds,105.1375,105.1375,105.1375,105.1375,0,0
20170808,NH-NFIEU,Fonds,105.1871,105.1871,105.1871,105.1871,0,0
20170804,NH-NFIEU,Fonds,105.1934,105.1934,105.1934,105.1934,0,0
20170803,NH-NFIEU,Fonds,105.1948,105.1948,105.1948,105.1948,0,0
20170802,NH-NFIEU,Fonds,105.1636,105.1636,105.1636,105.1636,0,0
20170801,NH-NFIEU,Fonds,105.129,105.129,105.129,105.129,0,0
20170731,NH-NFIEU,Fonds,105.0726,105.0726,105.0726,105.0726,0,0
20170728,NH-NFIEU,Fonds,105.0428,105.0428,105.0428,105.0428,0,0
20170727,NH-NFIEU,Fonds,105.079,105.079,105.079,105.079,0,0
20170726,NH-NFIEU,Fonds,104.9354,104.9354,104.9354,104.9354,0,0
20170725,NH-NFIEU,Fonds,104.8333,104.8333,104.8333,104.8333,0,0
20170724,NH-NFIEU,Fonds,104.8162,104.8162,104.8162,104.8162,0,0
20170721,NH-NFIEU,Fonds,104.829,104.829,104.829,104.829,0,0
20170720,NH-NFIEU,Fonds,104.7331,104.7331,104.7331,104.7331,0,0
20170719,NH-NFIEU,Fonds,104.5564,104.5564,104.5564,104.5564,0,0
20170718,NH-NFIEU,Fonds,104.4701,104.4701,104.4701,104.4701,0,0
20170717,NH-NFIEU,Fonds,104.3531,104.3531,104.3531,104.3531,0,0
20170714,NH-NFIEU,Fonds,104.2195,104.2195,104.2195,104.2195,0,0
20170713,NH-NFIEU,Fonds,104.1341,104.1341,104.1341,104.1341,0,0
20170712,NH-NFIEU,Fonds,103.919,103.919,103.919,103.919,0,0
20170711,NH-NFIEU,Fonds,103.8463,103.8463,103.8463,103.8463,0,0
20170710,NH-NFIEU,Fonds,103.8136,103.8136,103.8136,103.8136,0,0
20170707,NH-NFIEU,Fonds,103.8589,103.8589,103.8589,103.8589,0,0
20170706,NH-NFIEU,Fonds,104.0215,104.0215,104.0215,104.0215,0,0
20170705,NH-NFIEU,Fonds,104.1086,104.1086,104.1086,104.1086,0,0
20170703,NH-NFIEU,Fonds,104.0821,104.0821,104.0821,104.0821,0,0
20170630,NH-NFIEU,Fonds,104.0437,104.0437,104.0437,104.0437,0,0
20170629,NH-NFIEU,Fonds,104.0565,104.0565,104.0565,104.0565,0,0
20170628,NH-NFIEU,Fonds,104.0484,104.0484,104.0484,104.0484,0,0
20170627,NH-NFIEU,Fonds,104.0305,104.0305,104.0305,104.0305,0,0
20170626,NH-NFIEU,Fonds,103.9873,103.9873,103.9873,103.9873,0,0
20170623,NH-NFIEU,Fonds,103.9016,103.9016,103.9016,103.9016,0,0
20170622,NH-NFIEU,Fonds,103.8913,103.8913,103.8913,103.8913,0,0
20170621,NH-NFIEU,Fonds,104.1688,104.1688,104.1688,104.1688,0,0
20170620,NH-NFIEU,Fonds,104.3996,104.3996,104.3996,104.3996,0,0
20170619,NH-NFIEU,Fonds,104.3961,104.3961,104.3961,104.3961,0,0
20170616,NH-NFIEU,Fonds,104.4573,104.4573,104.4573,104.4573,0,0
20170615,NH-NFIEU,Fonds,104.6227,104.6227,104.6227,104.6227,0,0
20170614,NH-NFIEU,Fonds,104.7111,104.7111,104.7111,104.7111,0,0
20170613,NH-NFIEU,Fonds,104.6295,104.6295,104.6295,104.6295,0,0
20170612,NH-NFIEU,Fonds,104.6033,104.6033,104.6033,104.6033,0,0
20170609,NH-NFIEU,Fonds,104.5497,104.5497,104.5497,104.5497,0,0
20170608,NH-NFIEU,Fonds,104.6377,104.6377,104.6377,104.6377,0,0
20170607,NH-NFIEU,Fonds,104.7825,104.7825,104.7825,104.7825,0,0
20170606,NH-NFIEU,Fonds,104.7612,104.7612,104.7612,104.7612,0,0
20170602,NH-NFIEU,Fonds,104.6126,104.6126,104.6126,104.6126,0,0
20170601,NH-NFIEU,Fonds,104.4885,104.4885,104.4885,104.4885,0,0
20170531,NH-NFIEU,Fonds,104.5923,104.5923,104.5923,104.5923,0,0
20170530,NH-NFIEU,Fonds,104.5986,104.5986,104.5986,104.5986,0,0
20170526,NH-NFIEU,Fonds,104.5031,104.5031,104.5031,104.5031,0,0
20170524,NH-NFIEU,Fonds,104.407,104.407,104.407,104.407,0,0
20170523,NH-NFIEU,Fonds,104.3693,104.3693,104.3693,104.3693,0,0
20170522,NH-NFIEU,Fonds,104.2665,104.2665,104.2665,104.2665,0,0
20170519,NH-NFIEU,Fonds,104.0468,104.0468,104.0468,104.0468,0,0
20170518,NH-NFIEU,Fonds,104.1899,104.1899,104.1899,104.1899,0,0
20170516,NH-NFIEU,Fonds,104.3634,104.3634,104.3634,104.3634,0,0
