quote_date,paper,exch,open,high,low,close,volume,value
20171106,NH-SUHYU,Fonds,107.4088,107.4088,107.4088,107.4088,0,0
20171103,NH-SUHYU,Fonds,107.5934,107.5934,107.5934,107.5934,0,0
20171102,NH-SUHYU,Fonds,107.5833,107.5833,107.5833,107.5833,0,0
20171101,NH-SUHYU,Fonds,107.5504,107.5504,107.5504,107.5504,0,0
20171031,NH-SUHYU,Fonds,107.50,107.50,107.50,107.50,0,0
20171027,NH-SUHYU,Fonds,107.4662,107.4662,107.4662,107.4662,0,0
20171026,NH-SUHYU,Fonds,107.4975,107.4975,107.4975,107.4975,0,0
20171025,NH-SUHYU,Fonds,107.3491,107.3491,107.3491,107.3491,0,0
20171024,NH-SUHYU,Fonds,107.6046,107.6046,107.6046,107.6046,0,0
20171023,NH-SUHYU,Fonds,107.5666,107.5666,107.5666,107.5666,0,0
20171020,NH-SUHYU,Fonds,107.4964,107.4964,107.4964,107.4964,0,0
20171019,NH-SUHYU,Fonds,107.454,107.454,107.454,107.454,0,0
20171018,NH-SUHYU,Fonds,107.4451,107.4451,107.4451,107.4451,0,0
20171017,NH-SUHYU,Fonds,107.3614,107.3614,107.3614,107.3614,0,0
20171016,NH-SUHYU,Fonds,107.3228,107.3228,107.3228,107.3228,0,0
20171013,NH-SUHYU,Fonds,107.2698,107.2698,107.2698,107.2698,0,0
20171012,NH-SUHYU,Fonds,107.321,107.321,107.321,107.321,0,0
20171011,NH-SUHYU,Fonds,107.3225,107.3225,107.3225,107.3225,0,0
20171010,NH-SUHYU,Fonds,107.2606,107.2606,107.2606,107.2606,0,0
20171006,NH-SUHYU,Fonds,107.2108,107.2108,107.2108,107.2108,0,0
20171005,NH-SUHYU,Fonds,107.184,107.184,107.184,107.184,0,0
20171004,NH-SUHYU,Fonds,107.1349,107.1349,107.1349,107.1349,0,0
20171003,NH-SUHYU,Fonds,107.1048,107.1048,107.1048,107.1048,0,0
20171002,NH-SUHYU,Fonds,107.1018,107.1018,107.1018,107.1018,0,0
20170929,NH-SUHYU,Fonds,107.0333,107.0333,107.0333,107.0333,0,0
20170928,NH-SUHYU,Fonds,106.9876,106.9876,106.9876,106.9876,0,0
20170927,NH-SUHYU,Fonds,106.9714,106.9714,106.9714,106.9714,0,0
20170926,NH-SUHYU,Fonds,106.9324,106.9324,106.9324,106.9324,0,0
20170925,NH-SUHYU,Fonds,106.8828,106.8828,106.8828,106.8828,0,0
20170922,NH-SUHYU,Fonds,106.8551,106.8551,106.8551,106.8551,0,0
20170921,NH-SUHYU,Fonds,106.8609,106.8609,106.8609,106.8609,0,0
20170920,NH-SUHYU,Fonds,106.7957,106.7957,106.7957,106.7957,0,0
20170919,NH-SUHYU,Fonds,106.7375,106.7375,106.7375,106.7375,0,0
20170918,NH-SUHYU,Fonds,106.6647,106.6647,106.6647,106.6647,0,0
20170915,NH-SUHYU,Fonds,106.6299,106.6299,106.6299,106.6299,0,0
20170914,NH-SUHYU,Fonds,106.6413,106.6413,106.6413,106.6413,0,0
20170913,NH-SUHYU,Fonds,106.6252,106.6252,106.6252,106.6252,0,0
20170912,NH-SUHYU,Fonds,106.5869,106.5869,106.5869,106.5869,0,0
20170911,NH-SUHYU,Fonds,106.5729,106.5729,106.5729,106.5729,0,0
20170908,NH-SUHYU,Fonds,106.5843,106.5843,106.5843,106.5843,0,0
20170907,NH-SUHYU,Fonds,106.6106,106.6106,106.6106,106.6106,0,0
20170906,NH-SUHYU,Fonds,106.508,106.508,106.508,106.508,0,0
20170905,NH-SUHYU,Fonds,106.5309,106.5309,106.5309,106.5309,0,0
20170901,NH-SUHYU,Fonds,106.4413,106.4413,106.4413,106.4413,0,0
20170831,NH-SUHYU,Fonds,106.1873,106.1873,106.1873,106.1873,0,0
20170830,NH-SUHYU,Fonds,106.1288,106.1288,106.1288,106.1288,0,0
20170829,NH-SUHYU,Fonds,106.0983,106.0983,106.0983,106.0983,0,0
20170825,NH-SUHYU,Fonds,105.8964,105.8964,105.8964,105.8964,0,0
20170824,NH-SUHYU,Fonds,105.8109,105.8109,105.8109,105.8109,0,0
20170823,NH-SUHYU,Fonds,105.699,105.699,105.699,105.699,0,0
20170822,NH-SUHYU,Fonds,105.6221,105.6221,105.6221,105.6221,0,0
20170821,NH-SUHYU,Fonds,105.6305,105.6305,105.6305,105.6305,0,0
20170818,NH-SUHYU,Fonds,105.7226,105.7226,105.7226,105.7226,0,0
20170817,NH-SUHYU,Fonds,105.8233,105.8233,105.8233,105.8233,0,0
20170816,NH-SUHYU,Fonds,105.732,105.732,105.732,105.732,0,0
20170815,NH-SUHYU,Fonds,105.7163,105.7163,105.7163,105.7163,0,0
20170814,NH-SUHYU,Fonds,105.5862,105.5862,105.5862,105.5862,0,0
20170811,NH-SUHYU,Fonds,105.6353,105.6353,105.6353,105.6353,0,0
20170810,NH-SUHYU,Fonds,105.9562,105.9562,105.9562,105.9562,0,0
20170809,NH-SUHYU,Fonds,106.3146,106.3146,106.3146,106.3146,0,0
20170808,NH-SUHYU,Fonds,106.442,106.442,106.442,106.442,0,0
20170804,NH-SUHYU,Fonds,106.4582,106.4582,106.4582,106.4582,0,0
20170803,NH-SUHYU,Fonds,106.5073,106.5073,106.5073,106.5073,0,0
20170802,NH-SUHYU,Fonds,106.4905,106.4905,106.4905,106.4905,0,0
20170801,NH-SUHYU,Fonds,106.3747,106.3747,106.3747,106.3747,0,0
20170731,NH-SUHYU,Fonds,106.3912,106.3912,106.3912,106.3912,0,0
20170728,NH-SUHYU,Fonds,106.3405,106.3405,106.3405,106.3405,0,0
20170727,NH-SUHYU,Fonds,106.3621,106.3621,106.3621,106.3621,0,0
20170726,NH-SUHYU,Fonds,106.3107,106.3107,106.3107,106.3107,0,0
20170725,NH-SUHYU,Fonds,106.1905,106.1905,106.1905,106.1905,0,0
20170724,NH-SUHYU,Fonds,106.1462,106.1462,106.1462,106.1462,0,0
20170721,NH-SUHYU,Fonds,106.1233,106.1233,106.1233,106.1233,0,0
20170720,NH-SUHYU,Fonds,106.0045,106.0045,106.0045,106.0045,0,0
20170719,NH-SUHYU,Fonds,105.8685,105.8685,105.8685,105.8685,0,0
20170718,NH-SUHYU,Fonds,105.7629,105.7629,105.7629,105.7629,0,0
20170717,NH-SUHYU,Fonds,105.6178,105.6178,105.6178,105.6178,0,0
20170714,NH-SUHYU,Fonds,105.4268,105.4268,105.4268,105.4268,0,0
20170713,NH-SUHYU,Fonds,105.3541,105.3541,105.3541,105.3541,0,0
20170712,NH-SUHYU,Fonds,105.0863,105.0863,105.0863,105.0863,0,0
20170711,NH-SUHYU,Fonds,105.0732,105.0732,105.0732,105.0732,0,0
20170710,NH-SUHYU,Fonds,105.074,105.074,105.074,105.074,0,0
20170707,NH-SUHYU,Fonds,105.2289,105.2289,105.2289,105.2289,0,0
20170706,NH-SUHYU,Fonds,105.4049,105.4049,105.4049,105.4049,0,0
20170705,NH-SUHYU,Fonds,105.3974,105.3974,105.3974,105.3974,0,0
20170703,NH-SUHYU,Fonds,105.3634,105.3634,105.3634,105.3634,0,0
20170630,NH-SUHYU,Fonds,105.257,105.257,105.257,105.257,0,0
20170629,NH-SUHYU,Fonds,105.2789,105.2789,105.2789,105.2789,0,0
20170628,NH-SUHYU,Fonds,105.2624,105.2624,105.2624,105.2624,0,0
20170627,NH-SUHYU,Fonds,105.1735,105.1735,105.1735,105.1735,0,0
20170626,NH-SUHYU,Fonds,105.0627,105.0627,105.0627,105.0627,0,0
20170623,NH-SUHYU,Fonds,104.972,104.972,104.972,104.972,0,0
20170622,NH-SUHYU,Fonds,105.0301,105.0301,105.0301,105.0301,0,0
20170621,NH-SUHYU,Fonds,105.2245,105.2245,105.2245,105.2245,0,0
20170620,NH-SUHYU,Fonds,105.406,105.406,105.406,105.406,0,0
20170619,NH-SUHYU,Fonds,105.365,105.365,105.365,105.365,0,0
20170616,NH-SUHYU,Fonds,105.3935,105.3935,105.3935,105.3935,0,0
20170615,NH-SUHYU,Fonds,105.478,105.478,105.478,105.478,0,0
20170614,NH-SUHYU,Fonds,105.4466,105.4466,105.4466,105.4466,0,0
20170613,NH-SUHYU,Fonds,105.349,105.349,105.349,105.349,0,0
20170612,NH-SUHYU,Fonds,105.3206,105.3206,105.3206,105.3206,0,0
20170609,NH-SUHYU,Fonds,105.2469,105.2469,105.2469,105.2469,0,0
20170608,NH-SUHYU,Fonds,105.356,105.356,105.356,105.356,0,0
20170607,NH-SUHYU,Fonds,105.4421,105.4421,105.4421,105.4421,0,0
20170606,NH-SUHYU,Fonds,105.4449,105.4449,105.4449,105.4449,0,0
20170602,NH-SUHYU,Fonds,105.3115,105.3115,105.3115,105.3115,0,0
20170601,NH-SUHYU,Fonds,105.2096,105.2096,105.2096,105.2096,0,0
20170531,NH-SUHYU,Fonds,105.1695,105.1695,105.1695,105.1695,0,0
20170530,NH-SUHYU,Fonds,105.1251,105.1251,105.1251,105.1251,0,0
20170526,NH-SUHYU,Fonds,105.054,105.054,105.054,105.054,0,0
20170524,NH-SUHYU,Fonds,104.9911,104.9911,104.9911,104.9911,0,0
20170523,NH-SUHYU,Fonds,104.9178,104.9178,104.9178,104.9178,0,0
20170522,NH-SUHYU,Fonds,104.8472,104.8472,104.8472,104.8472,0,0
20170519,NH-SUHYU,Fonds,104.5501,104.5501,104.5501,104.5501,0,0
20170518,NH-SUHYU,Fonds,104.6287,104.6287,104.6287,104.6287,0,0
20170516,NH-SUHYU,Fonds,104.674,104.674,104.674,104.674,0,0
20170515,NH-SUHYU,Fonds,104.5467,104.5467,104.5467,104.5467,0,0
20170512,NH-SUHYU,Fonds,104.5046,104.5046,104.5046,104.5046,0,0
20170511,NH-SUHYU,Fonds,104.4788,104.4788,104.4788,104.4788,0,0
20170510,NH-SUHYU,Fonds,104.4419,104.4419,104.4419,104.4419,0,0
20170509,NH-SUHYU,Fonds,104.349,104.349,104.349,104.349,0,0
20170508,NH-SUHYU,Fonds,104.2803,104.2803,104.2803,104.2803,0,0
20170505,NH-SUHYU,Fonds,104.3245,104.3245,104.3245,104.3245,0,0
20170504,NH-SUHYU,Fonds,104.5867,104.5867,104.5867,104.5867,0,0
20170503,NH-SUHYU,Fonds,104.6126,104.6126,104.6126,104.6126,0,0
20170502,NH-SUHYU,Fonds,104.6357,104.6357,104.6357,104.6357,0,0
20170428,NH-SUHYU,Fonds,104.5029,104.5029,104.5029,104.5029,0,0
20170427,NH-SUHYU,Fonds,104.452,104.452,104.452,104.452,0,0
20170426,NH-SUHYU,Fonds,104.3555,104.3555,104.3555,104.3555,0,0
20170425,NH-SUHYU,Fonds,104.1828,104.1828,104.1828,104.1828,0,0
20170424,NH-SUHYU,Fonds,103.9692,103.9692,103.9692,103.9692,0,0
20170421,NH-SUHYU,Fonds,103.8114,103.8114,103.8114,103.8114,0,0
20170420,NH-SUHYU,Fonds,103.7218,103.7218,103.7218,103.7218,0,0
20170419,NH-SUHYU,Fonds,103.5534,103.5534,103.5534,103.5534,0,0
