quote_date,paper,exch,open,high,low,close,volume,value
20171121,NH-UHYBE,Fonds,186.4014,186.4014,186.4014,186.4014,0,0
20171120,NH-UHYBE,Fonds,185.989,185.989,185.989,185.989,0,0
20171117,NH-UHYBE,Fonds,185.2663,185.2663,185.2663,185.2663,0,0
20171116,NH-UHYBE,Fonds,184.8517,184.8517,184.8517,184.8517,0,0
20171115,NH-UHYBE,Fonds,183.8037,183.8037,183.8037,183.8037,0,0
20171114,NH-UHYBE,Fonds,185.3662,185.3662,185.3662,185.3662,0,0
20171113,NH-UHYBE,Fonds,187.427,187.427,187.427,187.427,0,0
20171110,NH-UHYBE,Fonds,187.4205,187.4205,187.4205,187.4205,0,0
20171109,NH-UHYBE,Fonds,188.3377,188.3377,188.3377,188.3377,0,0
20171108,NH-UHYBE,Fonds,189.5482,189.5482,189.5482,189.5482,0,0
20171107,NH-UHYBE,Fonds,190.2608,190.2608,190.2608,190.2608,0,0
20171106,NH-UHYBE,Fonds,190.0831,190.0831,190.0831,190.0831,0,0
20171103,NH-UHYBE,Fonds,189.5988,189.5988,189.5988,189.5988,0,0
20171102,NH-UHYBE,Fonds,188.6851,188.6851,188.6851,188.6851,0,0
20171101,NH-UHYBE,Fonds,189.2556,189.2556,189.2556,189.2556,0,0
20171031,NH-UHYBE,Fonds,188.9738,188.9738,188.9738,188.9738,0,0
20171027,NH-UHYBE,Fonds,189.7801,189.7801,189.7801,189.7801,0,0
20171026,NH-UHYBE,Fonds,187.6174,187.6174,187.6174,187.6174,0,0
20171025,NH-UHYBE,Fonds,186.5301,186.5301,186.5301,186.5301,0,0
20171024,NH-UHYBE,Fonds,187.2228,187.2228,187.2228,187.2228,0,0
20171023,NH-UHYBE,Fonds,187.3358,187.3358,187.3358,187.3358,0,0
20171020,NH-UHYBE,Fonds,186.6078,186.6078,186.6078,186.6078,0,0
20171019,NH-UHYBE,Fonds,185.5978,185.5978,185.5978,185.5978,0,0
20171018,NH-UHYBE,Fonds,186.9403,186.9403,186.9403,186.9403,0,0
20171017,NH-UHYBE,Fonds,187.0335,187.0335,187.0335,187.0335,0,0
20171016,NH-UHYBE,Fonds,185.9981,185.9981,185.9981,185.9981,0,0
20171013,NH-UHYBE,Fonds,185.0741,185.0741,185.0741,185.0741,0,0
20171012,NH-UHYBE,Fonds,185.2975,185.2975,185.2975,185.2975,0,0
20171011,NH-UHYBE,Fonds,185.3763,185.3763,185.3763,185.3763,0,0
20171010,NH-UHYBE,Fonds,186.2097,186.2097,186.2097,186.2097,0,0
