quote_date,paper,exch,open,high,low,close,volume,value
20171121,NH-UHYBF,Fonds,112.6681,112.6681,112.6681,112.6681,0,0
20171120,NH-UHYBF,Fonds,112.6004,112.6004,112.6004,112.6004,0,0
20171117,NH-UHYBF,Fonds,112.5309,112.5309,112.5309,112.5309,0,0
20171116,NH-UHYBF,Fonds,112.1459,112.1459,112.1459,112.1459,0,0
20171115,NH-UHYBF,Fonds,111.9232,111.9232,111.9232,111.9232,0,0
20171114,NH-UHYBF,Fonds,112.2517,112.2517,112.2517,112.2517,0,0
20171113,NH-UHYBF,Fonds,112.6204,112.6204,112.6204,112.6204,0,0
20171110,NH-UHYBF,Fonds,112.6581,112.6581,112.6581,112.6581,0,0
20171109,NH-UHYBF,Fonds,112.8639,112.8639,112.8639,112.8639,0,0
20171108,NH-UHYBF,Fonds,113.296,113.296,113.296,113.296,0,0
20171107,NH-UHYBF,Fonds,113.5445,113.5445,113.5445,113.5445,0,0
20171106,NH-UHYBF,Fonds,113.5098,113.5098,113.5098,113.5098,0,0
20171103,NH-UHYBF,Fonds,113.4456,113.4456,113.4456,113.4456,0,0
20171102,NH-UHYBF,Fonds,113.4235,113.4235,113.4235,113.4235,0,0
20171101,NH-UHYBF,Fonds,113.5238,113.5238,113.5238,113.5238,0,0
20171031,NH-UHYBF,Fonds,113.415,113.415,113.415,113.415,0,0
20171027,NH-UHYBF,Fonds,113.3673,113.3673,113.3673,113.3673,0,0
20171026,NH-UHYBF,Fonds,113.3808,113.3808,113.3808,113.3808,0,0
20171025,NH-UHYBF,Fonds,113.4458,113.4458,113.4458,113.4458,0,0
20171024,NH-UHYBF,Fonds,113.526,113.526,113.526,113.526,0,0
20171023,NH-UHYBF,Fonds,113.5307,113.5307,113.5307,113.5307,0,0
20171020,NH-UHYBF,Fonds,113.4935,113.4935,113.4935,113.4935,0,0
20171019,NH-UHYBF,Fonds,113.456,113.456,113.456,113.456,0,0
20171018,NH-UHYBF,Fonds,113.4642,113.4642,113.4642,113.4642,0,0
20171017,NH-UHYBF,Fonds,113.3628,113.3628,113.3628,113.3628,0,0
20171016,NH-UHYBF,Fonds,113.3528,113.3528,113.3528,113.3528,0,0
20171013,NH-UHYBF,Fonds,113.2869,113.2869,113.2869,113.2869,0,0
20171012,NH-UHYBF,Fonds,113.3166,113.3166,113.3166,113.3166,0,0
20171011,NH-UHYBF,Fonds,113.3639,113.3639,113.3639,113.3639,0,0
20171010,NH-UHYBF,Fonds,113.3392,113.3392,113.3392,113.3392,0,0
20171006,NH-UHYBF,Fonds,113.2902,113.2902,113.2902,113.2902,0,0
20171005,NH-UHYBF,Fonds,113.2666,113.2666,113.2666,113.2666,0,0
20171004,NH-UHYBF,Fonds,113.2752,113.2752,113.2752,113.2752,0,0
20171003,NH-UHYBF,Fonds,113.2734,113.2734,113.2734,113.2734,0,0
20171002,NH-UHYBF,Fonds,113.2785,113.2785,113.2785,113.2785,0,0
20170929,NH-UHYBF,Fonds,113.1871,113.1871,113.1871,113.1871,0,0
20170928,NH-UHYBF,Fonds,113.3989,113.3989,113.3989,113.3989,0,0
20170927,NH-UHYBF,Fonds,113.1349,113.1349,113.1349,113.1349,0,0
20170926,NH-UHYBF,Fonds,113.0736,113.0736,113.0736,113.0736,0,0
20170925,NH-UHYBF,Fonds,112.9814,112.9814,112.9814,112.9814,0,0
20170922,NH-UHYBF,Fonds,112.91,112.91,112.91,112.91,0,0
20170921,NH-UHYBF,Fonds,112.9351,112.9351,112.9351,112.9351,0,0
20170920,NH-UHYBF,Fonds,112.8378,112.8378,112.8378,112.8378,0,0
20170919,NH-UHYBF,Fonds,112.7493,112.7493,112.7493,112.7493,0,0
20170918,NH-UHYBF,Fonds,112.7046,112.7046,112.7046,112.7046,0,0
20170915,NH-UHYBF,Fonds,112.6534,112.6534,112.6534,112.6534,0,0
20170914,NH-UHYBF,Fonds,112.5281,112.5281,112.5281,112.5281,0,0
20170913,NH-UHYBF,Fonds,112.5005,112.5005,112.5005,112.5005,0,0
20170912,NH-UHYBF,Fonds,112.4242,112.4242,112.4242,112.4242,0,0
20170911,NH-UHYBF,Fonds,112.3761,112.3761,112.3761,112.3761,0,0
20170908,NH-UHYBF,Fonds,112.4225,112.4225,112.4225,112.4225,0,0
20170907,NH-UHYBF,Fonds,112.3999,112.3999,112.3999,112.3999,0,0
20170906,NH-UHYBF,Fonds,112.3464,112.3464,112.3464,112.3464,0,0
20170905,NH-UHYBF,Fonds,112.3526,112.3526,112.3526,112.3526,0,0
20170901,NH-UHYBF,Fonds,112.23,112.23,112.23,112.23,0,0
20170831,NH-UHYBF,Fonds,112.0182,112.0182,112.0182,112.0182,0,0
20170830,NH-UHYBF,Fonds,111.9361,111.9361,111.9361,111.9361,0,0
20170829,NH-UHYBF,Fonds,111.9366,111.9366,111.9366,111.9366,0,0
20170825,NH-UHYBF,Fonds,111.8086,111.8086,111.8086,111.8086,0,0
20170824,NH-UHYBF,Fonds,111.7097,111.7097,111.7097,111.7097,0,0
20170823,NH-UHYBF,Fonds,111.732,111.732,111.732,111.732,0,0
20170822,NH-UHYBF,Fonds,111.6676,111.6676,111.6676,111.6676,0,0
20170821,NH-UHYBF,Fonds,111.6578,111.6578,111.6578,111.6578,0,0
20170818,NH-UHYBF,Fonds,111.8123,111.8123,111.8123,111.8123,0,0
20170817,NH-UHYBF,Fonds,111.9388,111.9388,111.9388,111.9388,0,0
20170816,NH-UHYBF,Fonds,111.9005,111.9005,111.9005,111.9005,0,0
20170815,NH-UHYBF,Fonds,111.9212,111.9212,111.9212,111.9212,0,0
20170814,NH-UHYBF,Fonds,111.7696,111.7696,111.7696,111.7696,0,0
20170811,NH-UHYBF,Fonds,111.8667,111.8667,111.8667,111.8667,0,0
20170810,NH-UHYBF,Fonds,112.1808,112.1808,112.1808,112.1808,0,0
20170809,NH-UHYBF,Fonds,112.5948,112.5948,112.5948,112.5948,0,0
20170808,NH-UHYBF,Fonds,112.7055,112.7055,112.7055,112.7055,0,0
20170804,NH-UHYBF,Fonds,112.7266,112.7266,112.7266,112.7266,0,0
20170803,NH-UHYBF,Fonds,112.7824,112.7824,112.7824,112.7824,0,0
20170802,NH-UHYBF,Fonds,112.8447,112.8447,112.8447,112.8447,0,0
20170801,NH-UHYBF,Fonds,112.7789,112.7789,112.7789,112.7789,0,0
20170731,NH-UHYBF,Fonds,112.7897,112.7897,112.7897,112.7897,0,0
20170728,NH-UHYBF,Fonds,112.7509,112.7509,112.7509,112.7509,0,0
20170727,NH-UHYBF,Fonds,112.7627,112.7627,112.7627,112.7627,0,0
20170726,NH-UHYBF,Fonds,112.6383,112.6383,112.6383,112.6383,0,0
20170725,NH-UHYBF,Fonds,112.5306,112.5306,112.5306,112.5306,0,0
20170724,NH-UHYBF,Fonds,112.4923,112.4923,112.4923,112.4923,0,0
20170721,NH-UHYBF,Fonds,112.5354,112.5354,112.5354,112.5354,0,0
20170720,NH-UHYBF,Fonds,112.4073,112.4073,112.4073,112.4073,0,0
20170719,NH-UHYBF,Fonds,112.2171,112.2171,112.2171,112.2171,0,0
20170718,NH-UHYBF,Fonds,112.1058,112.1058,112.1058,112.1058,0,0
20170717,NH-UHYBF,Fonds,111.9174,111.9174,111.9174,111.9174,0,0
20170714,NH-UHYBF,Fonds,111.7129,111.7129,111.7129,111.7129,0,0
20170713,NH-UHYBF,Fonds,111.6041,111.6041,111.6041,111.6041,0,0
20170712,NH-UHYBF,Fonds,111.3314,111.3314,111.3314,111.3314,0,0
20170711,NH-UHYBF,Fonds,111.2558,111.2558,111.2558,111.2558,0,0
20170710,NH-UHYBF,Fonds,111.1924,111.1924,111.1924,111.1924,0,0
20170707,NH-UHYBF,Fonds,111.3816,111.3816,111.3816,111.3816,0,0
20170706,NH-UHYBF,Fonds,111.5614,111.5614,111.5614,111.5614,0,0
20170705,NH-UHYBF,Fonds,111.6088,111.6088,111.6088,111.6088,0,0
20170703,NH-UHYBF,Fonds,111.5658,111.5658,111.5658,111.5658,0,0
20170630,NH-UHYBF,Fonds,111.4568,111.4568,111.4568,111.4568,0,0
20170629,NH-UHYBF,Fonds,111.3745,111.3745,111.3745,111.3745,0,0
20170628,NH-UHYBF,Fonds,111.3591,111.3591,111.3591,111.3591,0,0
20170627,NH-UHYBF,Fonds,111.2396,111.2396,111.2396,111.2396,0,0
20170626,NH-UHYBF,Fonds,111.1265,111.1265,111.1265,111.1265,0,0
20170623,NH-UHYBF,Fonds,111.0366,111.0366,111.0366,111.0366,0,0
20170622,NH-UHYBF,Fonds,111.0279,111.0279,111.0279,111.0279,0,0
20170621,NH-UHYBF,Fonds,111.3952,111.3952,111.3952,111.3952,0,0
20170620,NH-UHYBF,Fonds,111.6982,111.6982,111.6982,111.6982,0,0
20170619,NH-UHYBF,Fonds,111.6769,111.6769,111.6769,111.6769,0,0
20170616,NH-UHYBF,Fonds,111.7894,111.7894,111.7894,111.7894,0,0
20170615,NH-UHYBF,Fonds,112.0112,112.0112,112.0112,112.0112,0,0
20170614,NH-UHYBF,Fonds,112.1016,112.1016,112.1016,112.1016,0,0
20170613,NH-UHYBF,Fonds,112.0453,112.0453,112.0453,112.0453,0,0
20170612,NH-UHYBF,Fonds,111.992,111.992,111.992,111.992,0,0
20170609,NH-UHYBF,Fonds,111.8551,111.8551,111.8551,111.8551,0,0
20170608,NH-UHYBF,Fonds,112.0168,112.0168,112.0168,112.0168,0,0
20170607,NH-UHYBF,Fonds,112.2404,112.2404,112.2404,112.2404,0,0
20170606,NH-UHYBF,Fonds,112.2665,112.2665,112.2665,112.2665,0,0
20170602,NH-UHYBF,Fonds,112.1795,112.1795,112.1795,112.1795,0,0
20170601,NH-UHYBF,Fonds,112.0965,112.0965,112.0965,112.0965,0,0
20170531,NH-UHYBF,Fonds,112.1675,112.1675,112.1675,112.1675,0,0
20170530,NH-UHYBF,Fonds,112.1754,112.1754,112.1754,112.1754,0,0
20170526,NH-UHYBF,Fonds,112.1228,112.1228,112.1228,112.1228,0,0
20170524,NH-UHYBF,Fonds,112.0893,112.0893,112.0893,112.0893,0,0
20170523,NH-UHYBF,Fonds,111.9913,111.9913,111.9913,111.9913,0,0
20170522,NH-UHYBF,Fonds,111.886,111.886,111.886,111.886,0,0
20170519,NH-UHYBF,Fonds,111.5725,111.5725,111.5725,111.5725,0,0
20170518,NH-UHYBF,Fonds,111.71,111.71,111.71,111.71,0,0
20170516,NH-UHYBF,Fonds,111.8939,111.8939,111.8939,111.8939,0,0
20170515,NH-UHYBF,Fonds,111.7583,111.7583,111.7583,111.7583,0,0
20170512,NH-UHYBF,Fonds,111.6779,111.6779,111.6779,111.6779,0,0
20170511,NH-UHYBF,Fonds,111.6131,111.6131,111.6131,111.6131,0,0
20170510,NH-UHYBF,Fonds,111.5254,111.5254,111.5254,111.5254,0,0
20170509,NH-UHYBF,Fonds,111.4158,111.4158,111.4158,111.4158,0,0
20170508,NH-UHYBF,Fonds,111.404,111.404,111.404,111.404,0,0
20170505,NH-UHYBF,Fonds,111.3756,111.3756,111.3756,111.3756,0,0
20170504,NH-UHYBF,Fonds,111.65,111.65,111.65,111.65,0,0
20170503,NH-UHYBF,Fonds,111.6955,111.6955,111.6955,111.6955,0,0
20170502,NH-UHYBF,Fonds,111.6879,111.6879,111.6879,111.6879,0,0
20170428,NH-UHYBF,Fonds,111.5714,111.5714,111.5714,111.5714,0,0
20170427,NH-UHYBF,Fonds,111.5451,111.5451,111.5451,111.5451,0,0
20170426,NH-UHYBF,Fonds,111.4231,111.4231,111.4231,111.4231,0,0
20170425,NH-UHYBF,Fonds,111.2919,111.2919,111.2919,111.2919,0,0
20170424,NH-UHYBF,Fonds,111.0651,111.0651,111.0651,111.0651,0,0
20170421,NH-UHYBF,Fonds,110.9618,110.9618,110.9618,110.9618,0,0
