quote_date,paper,exch,open,high,low,close,volume,value
20171109,NH-USHBO,Fonds,99.204,99.204,99.204,99.204,0,0
20171108,NH-USHBO,Fonds,99.5701,99.5701,99.5701,99.5701,0,0
20171107,NH-USHBO,Fonds,99.7835,99.7835,99.7835,99.7835,0,0
20171106,NH-USHBO,Fonds,99.7484,99.7484,99.7484,99.7484,0,0
20171103,NH-USHBO,Fonds,99.6807,99.6807,99.6807,99.6807,0,0
20171102,NH-USHBO,Fonds,99.6886,99.6886,99.6886,99.6886,0,0
20171101,NH-USHBO,Fonds,99.7308,99.7308,99.7308,99.7308,0,0
20171031,NH-USHBO,Fonds,99.6312,99.6312,99.6312,99.6312,0,0
20171027,NH-USHBO,Fonds,99.618,99.618,99.618,99.618,0,0
20171026,NH-USHBO,Fonds,99.6018,99.6018,99.6018,99.6018,0,0
20171025,NH-USHBO,Fonds,99.6793,99.6793,99.6793,99.6793,0,0
20171024,NH-USHBO,Fonds,99.7556,99.7556,99.7556,99.7556,0,0
20171023,NH-USHBO,Fonds,99.7394,99.7394,99.7394,99.7394,0,0
20171020,NH-USHBO,Fonds,99.6893,99.6893,99.6893,99.6893,0,0
20171019,NH-USHBO,Fonds,99.6352,99.6352,99.6352,99.6352,0,0
20171018,NH-USHBO,Fonds,99.6365,99.6365,99.6365,99.6365,0,0
20171017,NH-USHBO,Fonds,99.5486,99.5486,99.5486,99.5486,0,0
20171016,NH-USHBO,Fonds,99.5305,99.5305,99.5305,99.5305,0,0
20171013,NH-USHBO,Fonds,99.4793,99.4793,99.4793,99.4793,0,0
20171012,NH-USHBO,Fonds,99.508,99.508,99.508,99.508,0,0
20171011,NH-USHBO,Fonds,99.5316,99.5316,99.5316,99.5316,0,0
20171010,NH-USHBO,Fonds,99.5139,99.5139,99.5139,99.5139,0,0
20171006,NH-USHBO,Fonds,99.4878,99.4878,99.4878,99.4878,0,0
20171005,NH-USHBO,Fonds,99.4446,99.4446,99.4446,99.4446,0,0
20171004,NH-USHBO,Fonds,99.4318,99.4318,99.4318,99.4318,0,0
20171003,NH-USHBO,Fonds,99.4253,99.4253,99.4253,99.4253,0,0
20171002,NH-USHBO,Fonds,99.4141,99.4141,99.4141,99.4141,0,0
20170929,NH-USHBO,Fonds,100.7486,100.7486,100.7486,100.7486,0,0
20170928,NH-USHBO,Fonds,100.8276,100.8276,100.8276,100.8276,0,0
20170927,NH-USHBO,Fonds,100.6971,100.6971,100.6971,100.6971,0,0
20170926,NH-USHBO,Fonds,100.6347,100.6347,100.6347,100.6347,0,0
20170925,NH-USHBO,Fonds,100.5661,100.5661,100.5661,100.5661,0,0
20170922,NH-USHBO,Fonds,100.4979,100.4979,100.4979,100.4979,0,0
20170921,NH-USHBO,Fonds,100.5179,100.5179,100.5179,100.5179,0,0
20170920,NH-USHBO,Fonds,100.4219,100.4219,100.4219,100.4219,0,0
20170919,NH-USHBO,Fonds,100.3407,100.3407,100.3407,100.3407,0,0
20170918,NH-USHBO,Fonds,100.2967,100.2967,100.2967,100.2967,0,0
20170915,NH-USHBO,Fonds,100.2437,100.2437,100.2437,100.2437,0,0
20170914,NH-USHBO,Fonds,100.1593,100.1593,100.1593,100.1593,0,0
20170913,NH-USHBO,Fonds,100.1333,100.1333,100.1333,100.1333,0,0
20170912,NH-USHBO,Fonds,100.0634,100.0634,100.0634,100.0634,0,0
20170911,NH-USHBO,Fonds,100.0195,100.0195,100.0195,100.0195,0,0
20170908,NH-USHBO,Fonds,100.0521,100.0521,100.0521,100.0521,0,0
20170907,NH-USHBO,Fonds,100.0345,100.0345,100.0345,100.0345,0,0
20170906,NH-USHBO,Fonds,99.975,99.975,99.975,99.975,0,0
20170905,NH-USHBO,Fonds,99.9733,99.9733,99.9733,99.9733,0,0
20170901,NH-USHBO,Fonds,99.8625,99.8625,99.8625,99.8625,0,0
20170831,NH-USHBO,Fonds,99.6629,99.6629,99.6629,99.6629,0,0
20170830,NH-USHBO,Fonds,99.5809,99.5809,99.5809,99.5809,0,0
20170829,NH-USHBO,Fonds,99.5905,99.5905,99.5905,99.5905,0,0
20170825,NH-USHBO,Fonds,99.4498,99.4498,99.4498,99.4498,0,0
20170824,NH-USHBO,Fonds,99.3621,99.3621,99.3621,99.3621,0,0
20170823,NH-USHBO,Fonds,99.3723,99.3723,99.3723,99.3723,0,0
20170822,NH-USHBO,Fonds,99.3107,99.3107,99.3107,99.3107,0,0
20170821,NH-USHBO,Fonds,99.2959,99.2959,99.2959,99.2959,0,0
20170818,NH-USHBO,Fonds,99.4257,99.4257,99.4257,99.4257,0,0
20170817,NH-USHBO,Fonds,99.5435,99.5435,99.5435,99.5435,0,0
20170816,NH-USHBO,Fonds,99.5015,99.5015,99.5015,99.5015,0,0
20170815,NH-USHBO,Fonds,99.5174,99.5174,99.5174,99.5174,0,0
20170814,NH-USHBO,Fonds,99.3715,99.3715,99.3715,99.3715,0,0
20170811,NH-USHBO,Fonds,99.4494,99.4494,99.4494,99.4494,0,0
20170810,NH-USHBO,Fonds,99.7288,99.7288,99.7288,99.7288,0,0
20170809,NH-USHBO,Fonds,100.0857,100.0857,100.0857,100.0857,0,0
20170808,NH-USHBO,Fonds,100.1804,100.1804,100.1804,100.1804,0,0
20170804,NH-USHBO,Fonds,100.1939,100.1939,100.1939,100.1939,0,0
20170803,NH-USHBO,Fonds,100.2389,100.2389,100.2389,100.2389,0,0
20170802,NH-USHBO,Fonds,100.2724,100.2724,100.2724,100.2724,0,0
20170801,NH-USHBO,Fonds,100.2084,100.2084,100.2084,100.2084,0,0
20170731,NH-USHBO,Fonds,100.2215,100.2215,100.2215,100.2215,0,0
