quote_date,paper,exch,open,high,low,close,volume,value
20171109,NH-USHGB,Fonds,101.7718,101.7718,101.7718,101.7718,0,0
20171108,NH-USHGB,Fonds,102.4246,102.4246,102.4246,102.4246,0,0
20171107,NH-USHGB,Fonds,102.8082,102.8082,102.8082,102.8082,0,0
20171106,NH-USHGB,Fonds,102.7107,102.7107,102.7107,102.7107,0,0
20171103,NH-USHGB,Fonds,102.4449,102.4449,102.4449,102.4449,0,0
20171102,NH-USHGB,Fonds,101.9498,101.9498,101.9498,101.9498,0,0
20171101,NH-USHGB,Fonds,102.2566,102.2566,102.2566,102.2566,0,0
20171031,NH-USHGB,Fonds,102.103,102.103,102.103,102.103,0,0
20171027,NH-USHGB,Fonds,102.533,102.533,102.533,102.533,0,0
20171026,NH-USHGB,Fonds,101.3632,101.3632,101.3632,101.3632,0,0
20171025,NH-USHGB,Fonds,100.7744,100.7744,100.7744,100.7744,0,0
20171024,NH-USHGB,Fonds,101.1472,101.1472,101.1472,101.1472,0,0
20171023,NH-USHGB,Fonds,101.2069,101.2069,101.2069,101.2069,0,0
20171020,NH-USHGB,Fonds,100.8094,100.8094,100.8094,100.8094,0,0
20171019,NH-USHGB,Fonds,100.2624,100.2624,100.2624,100.2624,0,0
20171018,NH-USHGB,Fonds,100.9863,100.9863,100.9863,100.9863,0,0
20171017,NH-USHGB,Fonds,101.0353,101.0353,101.0353,101.0353,0,0
20171016,NH-USHGB,Fonds,100.4747,100.4747,100.4747,100.4747,0,0
20171013,NH-USHGB,Fonds,99.971,99.971,99.971,99.971,0,0
