quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-EUROA,Fonds,115.55,115.55,115.55,115.55,0,0
20171108,OD-EUROA,Fonds,116.98,116.98,116.98,116.98,0,0
20171107,OD-EUROA,Fonds,117.44,117.44,117.44,117.44,0,0
20171106,OD-EUROA,Fonds,117.74,117.74,117.74,117.74,0,0
20171103,OD-EUROA,Fonds,118.09,118.09,118.09,118.09,0,0
20171102,OD-EUROA,Fonds,117.50,117.50,117.50,117.50,0,0
20171101,OD-EUROA,Fonds,117.72,117.72,117.72,117.72,0,0
20171030,OD-EUROA,Fonds,117.20,117.20,117.20,117.20,0,0
20171027,OD-EUROA,Fonds,116.70,116.70,116.70,116.70,0,0
20171026,OD-EUROA,Fonds,115.86,115.86,115.86,115.86,0,0
20171025,OD-EUROA,Fonds,114.34,114.34,114.34,114.34,0,0
20171024,OD-EUROA,Fonds,113.17,113.17,113.17,113.17,0,0
20171023,OD-EUROA,Fonds,112.85,112.85,112.85,112.85,0,0
20171020,OD-EUROA,Fonds,112.87,112.87,112.87,112.87,0,0
20171019,OD-EUROA,Fonds,112.95,112.95,112.95,112.95,0,0
20171018,OD-EUROA,Fonds,114.14,114.14,114.14,114.14,0,0
20171017,OD-EUROA,Fonds,113.56,113.56,113.56,113.56,0,0
20171016,OD-EUROA,Fonds,113.34,113.34,113.34,113.34,0,0
20171013,OD-EUROA,Fonds,113.65,113.65,113.65,113.65,0,0
20171012,OD-EUROA,Fonds,113.79,113.79,113.79,113.79,0,0
20171011,OD-EUROA,Fonds,113.88,113.88,113.88,113.88,0,0
20171010,OD-EUROA,Fonds,113.96,113.96,113.96,113.96,0,0
20171009,OD-EUROA,Fonds,113.89,113.89,113.89,113.89,0,0
20171006,OD-EUROA,Fonds,114.29,114.29,114.29,114.29,0,0
20171005,OD-EUROA,Fonds,114.23,114.23,114.23,114.23,0,0
20171004,OD-EUROA,Fonds,113.95,113.95,113.95,113.95,0,0
20171002,OD-EUROA,Fonds,113.84,113.84,113.84,113.84,0,0
20170929,OD-EUROA,Fonds,113.17,113.17,113.17,113.17,0,0
20170928,OD-EUROA,Fonds,112.30,112.30,112.30,112.30,0,0
20170927,OD-EUROA,Fonds,111.61,111.61,111.61,111.61,0,0
20170926,OD-EUROA,Fonds,110.92,110.92,110.92,110.92,0,0
