quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-FINLN,Fonds,8752.77,8752.77,8752.77,8752.77,0,0
20171108,OD-FINLN,Fonds,8868.79,8868.79,8868.79,8868.79,0,0
20171107,OD-FINLN,Fonds,8910.62,8910.62,8910.62,8910.62,0,0
20171106,OD-FINLN,Fonds,8941.00,8941.00,8941.00,8941.00,0,0
20171103,OD-FINLN,Fonds,8946.72,8946.72,8946.72,8946.72,0,0
20171102,OD-FINLN,Fonds,8910.86,8910.86,8910.86,8910.86,0,0
20171101,OD-FINLN,Fonds,8930.52,8930.52,8930.52,8930.52,0,0
20171031,OD-FINLN,Fonds,8915.75,8915.75,8915.75,8915.75,0,0
20171030,OD-FINLN,Fonds,8938.87,8938.87,8938.87,8938.87,0,0
20171027,OD-FINLN,Fonds,9015.72,9015.72,9015.72,9015.72,0,0
20171026,OD-FINLN,Fonds,8943.92,8943.92,8943.92,8943.92,0,0
20171025,OD-FINLN,Fonds,8982.43,8982.43,8982.43,8982.43,0,0
20171024,OD-FINLN,Fonds,8944.78,8944.78,8944.78,8944.78,0,0
20171023,OD-FINLN,Fonds,8956.40,8956.40,8956.40,8956.40,0,0
20171020,OD-FINLN,Fonds,8952.22,8952.22,8952.22,8952.22,0,0
20171019,OD-FINLN,Fonds,8895.13,8895.13,8895.13,8895.13,0,0
20171018,OD-FINLN,Fonds,8908.67,8908.67,8908.67,8908.67,0,0
20171017,OD-FINLN,Fonds,8869.31,8869.31,8869.31,8869.31,0,0
20171016,OD-FINLN,Fonds,8848.73,8848.73,8848.73,8848.73,0,0
20171013,OD-FINLN,Fonds,8852.44,8852.44,8852.44,8852.44,0,0
20171012,OD-FINLN,Fonds,8909.00,8909.00,8909.00,8909.00,0,0
20171011,OD-FINLN,Fonds,8948.52,8948.52,8948.52,8948.52,0,0
20171010,OD-FINLN,Fonds,8967.44,8967.44,8967.44,8967.44,0,0
20171009,OD-FINLN,Fonds,8956.73,8956.73,8956.73,8956.73,0,0
20171006,OD-FINLN,Fonds,8961.75,8961.75,8961.75,8961.75,0,0
20171005,OD-FINLN,Fonds,8945.61,8945.61,8945.61,8945.61,0,0
