quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-FLEX,Fonds,179.66,179.66,179.66,179.66,0,0
20171108,OD-FLEX,Fonds,180.72,180.72,180.72,180.72,0,0
20171107,OD-FLEX,Fonds,181.07,181.07,181.07,181.07,0,0
20171106,OD-FLEX,Fonds,181.36,181.36,181.36,181.36,0,0
20171103,OD-FLEX,Fonds,181.45,181.45,181.45,181.45,0,0
20171102,OD-FLEX,Fonds,180.73,180.73,180.73,180.73,0,0
20171101,OD-FLEX,Fonds,181.22,181.22,181.22,181.22,0,0
20171031,OD-FLEX,Fonds,181.07,181.07,181.07,181.07,0,0
20171030,OD-FLEX,Fonds,180.75,180.75,180.75,180.75,0,0
20171027,OD-FLEX,Fonds,180.71,180.71,180.71,180.71,0,0
20171026,OD-FLEX,Fonds,180.13,180.13,180.13,180.13,0,0
20171025,OD-FLEX,Fonds,179.05,179.05,179.05,179.05,0,0
20171024,OD-FLEX,Fonds,178.51,178.51,178.51,178.51,0,0
20171023,OD-FLEX,Fonds,178.83,178.83,178.83,178.83,0,0
20171020,OD-FLEX,Fonds,178.80,178.80,178.80,178.80,0,0
20171019,OD-FLEX,Fonds,178.22,178.22,178.22,178.22,0,0
20171018,OD-FLEX,Fonds,178.59,178.59,178.59,178.59,0,0
20171017,OD-FLEX,Fonds,178.36,178.36,178.36,178.36,0,0
20171016,OD-FLEX,Fonds,178.16,178.16,178.16,178.16,0,0
20171013,OD-FLEX,Fonds,178.28,178.28,178.28,178.28,0,0
20171012,OD-FLEX,Fonds,178.23,178.23,178.23,178.23,0,0
20171011,OD-FLEX,Fonds,178.30,178.30,178.30,178.30,0,0
20171010,OD-FLEX,Fonds,178.30,178.30,178.30,178.30,0,0
20171009,OD-FLEX,Fonds,178.33,178.33,178.33,178.33,0,0
20171006,OD-FLEX,Fonds,178.45,178.45,178.45,178.45,0,0
20171005,OD-FLEX,Fonds,178.38,178.38,178.38,178.38,0,0
