quote_date,paper,exch,open,high,low,close,volume,value
20171120,OD-KREDA,Fonds,110.55,110.55,110.55,110.55,0,0
20171117,OD-KREDA,Fonds,110.55,110.55,110.55,110.55,0,0
20171116,OD-KREDA,Fonds,110.46,110.46,110.46,110.46,0,0
20171115,OD-KREDA,Fonds,110.22,110.22,110.22,110.22,0,0
20171114,OD-KREDA,Fonds,110.44,110.44,110.44,110.44,0,0
20171113,OD-KREDA,Fonds,110.50,110.50,110.50,110.50,0,0
20171110,OD-KREDA,Fonds,110.55,110.55,110.55,110.55,0,0
20171109,OD-KREDA,Fonds,110.74,110.74,110.74,110.74,0,0
20171108,OD-KREDA,Fonds,110.84,110.84,110.84,110.84,0,0
20171107,OD-KREDA,Fonds,110.95,110.95,110.95,110.95,0,0
20171106,OD-KREDA,Fonds,110.90,110.90,110.90,110.90,0,0
20171103,OD-KREDA,Fonds,110.83,110.83,110.83,110.83,0,0
20171102,OD-KREDA,Fonds,110.75,110.75,110.75,110.75,0,0
20171101,OD-KREDA,Fonds,110.77,110.77,110.77,110.77,0,0
20171031,OD-KREDA,Fonds,110.61,110.61,110.61,110.61,0,0
20171030,OD-KREDA,Fonds,110.42,110.42,110.42,110.42,0,0
20171027,OD-KREDA,Fonds,110.27,110.27,110.27,110.27,0,0
20171026,OD-KREDA,Fonds,110.10,110.10,110.10,110.10,0,0
20171025,OD-KREDA,Fonds,110.02,110.02,110.02,110.02,0,0
20171024,OD-KREDA,Fonds,110.01,110.01,110.01,110.01,0,0
20171023,OD-KREDA,Fonds,110.00,110.00,110.00,110.00,0,0
20171020,OD-KREDA,Fonds,109.89,109.89,109.89,109.89,0,0
20171019,OD-KREDA,Fonds,109.86,109.86,109.86,109.86,0,0
20171018,OD-KREDA,Fonds,109.86,109.86,109.86,109.86,0,0
20171017,OD-KREDA,Fonds,109.80,109.80,109.80,109.80,0,0
20171016,OD-KREDA,Fonds,109.68,109.68,109.68,109.68,0,0
20171013,OD-KREDA,Fonds,109.57,109.57,109.57,109.57,0,0
20171012,OD-KREDA,Fonds,109.47,109.47,109.47,109.47,0,0
20171011,OD-KREDA,Fonds,109.38,109.38,109.38,109.38,0,0
20171010,OD-KREDA,Fonds,109.29,109.29,109.29,109.29,0,0
20171009,OD-KREDA,Fonds,109.26,109.26,109.26,109.26,0,0
20171006,OD-KREDA,Fonds,109.22,109.22,109.22,109.22,0,0
20171005,OD-KREDA,Fonds,109.18,109.18,109.18,109.18,0,0
20171004,OD-KREDA,Fonds,109.11,109.11,109.11,109.11,0,0
20171003,OD-KREDA,Fonds,109.17,109.17,109.17,109.17,0,0
20171002,OD-KREDA,Fonds,109.12,109.12,109.12,109.12,0,0
20170929,OD-KREDA,Fonds,109.06,109.06,109.06,109.06,0,0
20170928,OD-KREDA,Fonds,109.00,109.00,109.00,109.00,0,0
20170927,OD-KREDA,Fonds,109.05,109.05,109.05,109.05,0,0
20170926,OD-KREDA,Fonds,109.02,109.02,109.02,109.02,0,0
20170925,OD-KREDA,Fonds,109.05,109.05,109.05,109.05,0,0
20170922,OD-KREDA,Fonds,109.05,109.05,109.05,109.05,0,0
20170921,OD-KREDA,Fonds,109.05,109.05,109.05,109.05,0,0
20170920,OD-KREDA,Fonds,109.09,109.09,109.09,109.09,0,0
20170919,OD-KREDA,Fonds,109.08,109.08,109.08,109.08,0,0
20170918,OD-KREDA,Fonds,109.07,109.07,109.07,109.07,0,0
20170915,OD-KREDA,Fonds,108.97,108.97,108.97,108.97,0,0
20170914,OD-KREDA,Fonds,108.99,108.99,108.99,108.99,0,0
20170913,OD-KREDA,Fonds,108.98,108.98,108.98,108.98,0,0
20170912,OD-KREDA,Fonds,108.95,108.95,108.95,108.95,0,0
20170911,OD-KREDA,Fonds,108.87,108.87,108.87,108.87,0,0
20170908,OD-KREDA,Fonds,108.64,108.64,108.64,108.64,0,0
20170907,OD-KREDA,Fonds,108.67,108.67,108.67,108.67,0,0
20170906,OD-KREDA,Fonds,108.62,108.62,108.62,108.62,0,0
20170905,OD-KREDA,Fonds,108.62,108.62,108.62,108.62,0,0
20170904,OD-KREDA,Fonds,108.66,108.66,108.66,108.66,0,0
20170901,OD-KREDA,Fonds,108.66,108.66,108.66,108.66,0,0
20170831,OD-KREDA,Fonds,108.61,108.61,108.61,108.61,0,0
20170830,OD-KREDA,Fonds,108.50,108.50,108.50,108.50,0,0
20170829,OD-KREDA,Fonds,108.42,108.42,108.42,108.42,0,0
20170828,OD-KREDA,Fonds,108.54,108.54,108.54,108.54,0,0
20170825,OD-KREDA,Fonds,108.45,108.45,108.45,108.45,0,0
20170824,OD-KREDA,Fonds,108.41,108.41,108.41,108.41,0,0
20170823,OD-KREDA,Fonds,108.37,108.37,108.37,108.37,0,0
20170822,OD-KREDA,Fonds,108.39,108.39,108.39,108.39,0,0
20170821,OD-KREDA,Fonds,108.44,108.44,108.44,108.44,0,0
20170818,OD-KREDA,Fonds,108.50,108.50,108.50,108.50,0,0
20170817,OD-KREDA,Fonds,108.62,108.62,108.62,108.62,0,0
20170816,OD-KREDA,Fonds,108.61,108.61,108.61,108.61,0,0
20170815,OD-KREDA,Fonds,108.53,108.53,108.53,108.53,0,0
20170814,OD-KREDA,Fonds,108.38,108.38,108.38,108.38,0,0
20170811,OD-KREDA,Fonds,108.14,108.14,108.14,108.14,0,0
20170810,OD-KREDA,Fonds,108.33,108.33,108.33,108.33,0,0
20170809,OD-KREDA,Fonds,108.39,108.39,108.39,108.39,0,0
20170808,OD-KREDA,Fonds,108.64,108.64,108.64,108.64,0,0
20170807,OD-KREDA,Fonds,108.88,108.88,108.88,108.88,0,0
20170804,OD-KREDA,Fonds,108.81,108.81,108.81,108.81,0,0
20170803,OD-KREDA,Fonds,108.83,108.83,108.83,108.83,0,0
20170802,OD-KREDA,Fonds,108.75,108.75,108.75,108.75,0,0
20170801,OD-KREDA,Fonds,108.65,108.65,108.65,108.65,0,0
20170731,OD-KREDA,Fonds,108.48,108.48,108.48,108.48,0,0
20170728,OD-KREDA,Fonds,108.36,108.36,108.36,108.36,0,0
20170727,OD-KREDA,Fonds,108.25,108.25,108.25,108.25,0,0
20170726,OD-KREDA,Fonds,108.10,108.10,108.10,108.10,0,0
20170725,OD-KREDA,Fonds,108.01,108.01,108.01,108.01,0,0
20170724,OD-KREDA,Fonds,107.98,107.98,107.98,107.98,0,0
20170721,OD-KREDA,Fonds,107.93,107.93,107.93,107.93,0,0
20170720,OD-KREDA,Fonds,107.82,107.82,107.82,107.82,0,0
20170719,OD-KREDA,Fonds,107.71,107.71,107.71,107.71,0,0
20170718,OD-KREDA,Fonds,107.67,107.67,107.67,107.67,0,0
20170717,OD-KREDA,Fonds,107.61,107.61,107.61,107.61,0,0
20170714,OD-KREDA,Fonds,107.53,107.53,107.53,107.53,0,0
20170713,OD-KREDA,Fonds,107.50,107.50,107.50,107.50,0,0
20170712,OD-KREDA,Fonds,107.45,107.45,107.45,107.45,0,0
20170711,OD-KREDA,Fonds,107.37,107.37,107.37,107.37,0,0
20170710,OD-KREDA,Fonds,107.38,107.38,107.38,107.38,0,0
20170707,OD-KREDA,Fonds,107.34,107.34,107.34,107.34,0,0
20170706,OD-KREDA,Fonds,107.43,107.43,107.43,107.43,0,0
20170705,OD-KREDA,Fonds,107.48,107.48,107.48,107.48,0,0
20170704,OD-KREDA,Fonds,107.39,107.39,107.39,107.39,0,0
20170703,OD-KREDA,Fonds,107.35,107.35,107.35,107.35,0,0
20170630,OD-KREDA,Fonds,107.31,107.31,107.31,107.31,0,0
20170629,OD-KREDA,Fonds,107.34,107.34,107.34,107.34,0,0
20170628,OD-KREDA,Fonds,107.39,107.39,107.39,107.39,0,0
20170627,OD-KREDA,Fonds,107.44,107.44,107.44,107.44,0,0
20170626,OD-KREDA,Fonds,107.43,107.43,107.43,107.43,0,0
20170623,OD-KREDA,Fonds,107.22,107.22,107.22,107.22,0,0
20170622,OD-KREDA,Fonds,107.18,107.18,107.18,107.18,0,0
20170621,OD-KREDA,Fonds,107.20,107.20,107.20,107.20,0,0
20170620,OD-KREDA,Fonds,107.23,107.23,107.23,107.23,0,0
20170619,OD-KREDA,Fonds,107.13,107.13,107.13,107.13,0,0
20170616,OD-KREDA,Fonds,107.05,107.05,107.05,107.05,0,0
20170615,OD-KREDA,Fonds,106.98,106.98,106.98,106.98,0,0
20170614,OD-KREDA,Fonds,107.00,107.00,107.00,107.00,0,0
20170613,OD-KREDA,Fonds,106.82,106.82,106.82,106.82,0,0
20170612,OD-KREDA,Fonds,106.82,106.82,106.82,106.82,0,0
20170609,OD-KREDA,Fonds,106.80,106.80,106.80,106.80,0,0
20170608,OD-KREDA,Fonds,106.89,106.89,106.89,106.89,0,0
20170607,OD-KREDA,Fonds,106.95,106.95,106.95,106.95,0,0
20170606,OD-KREDA,Fonds,107.01,107.01,107.01,107.01,0,0
20170602,OD-KREDA,Fonds,106.99,106.99,106.99,106.99,0,0
20170601,OD-KREDA,Fonds,106.90,106.90,106.90,106.90,0,0
20170531,OD-KREDA,Fonds,106.88,106.88,106.88,106.88,0,0
20170530,OD-KREDA,Fonds,106.86,106.86,106.86,106.86,0,0
20170529,OD-KREDA,Fonds,106.90,106.90,106.90,106.90,0,0
20170526,OD-KREDA,Fonds,106.85,106.85,106.85,106.85,0,0
20170524,OD-KREDA,Fonds,106.70,106.70,106.70,106.70,0,0
20170523,OD-KREDA,Fonds,106.63,106.63,106.63,106.63,0,0
20170522,OD-KREDA,Fonds,106.57,106.57,106.57,106.57,0,0
20170519,OD-KREDA,Fonds,106.44,106.44,106.44,106.44,0,0
20170518,OD-KREDA,Fonds,106.28,106.28,106.28,106.28,0,0
20170516,OD-KREDA,Fonds,106.59,106.59,106.59,106.59,0,0
20170515,OD-KREDA,Fonds,106.59,106.59,106.59,106.59,0,0
20170512,OD-KREDA,Fonds,106.63,106.63,106.63,106.63,0,0
20170511,OD-KREDA,Fonds,106.66,106.66,106.66,106.66,0,0
20170510,OD-KREDA,Fonds,106.62,106.62,106.62,106.62,0,0
20170509,OD-KREDA,Fonds,106.58,106.58,106.58,106.58,0,0
20170508,OD-KREDA,Fonds,106.52,106.52,106.52,106.52,0,0
20170505,OD-KREDA,Fonds,106.37,106.37,106.37,106.37,0,0
20170504,OD-KREDA,Fonds,106.42,106.42,106.42,106.42,0,0
20170503,OD-KREDA,Fonds,106.17,106.17,106.17,106.17,0,0
20170502,OD-KREDA,Fonds,106.05,106.05,106.05,106.05,0,0
20170428,OD-KREDA,Fonds,105.78,105.78,105.78,105.78,0,0
20170427,OD-KREDA,Fonds,105.69,105.69,105.69,105.69,0,0
20170426,OD-KREDA,Fonds,105.65,105.65,105.65,105.65,0,0
20170425,OD-KREDA,Fonds,105.41,105.41,105.41,105.41,0,0
20170424,OD-KREDA,Fonds,105.26,105.26,105.26,105.26,0,0
20170421,OD-KREDA,Fonds,104.87,104.87,104.87,104.87,0,0
20170420,OD-KREDA,Fonds,104.72,104.72,104.72,104.72,0,0
20170419,OD-KREDA,Fonds,104.53,104.53,104.53,104.53,0,0
20170418,OD-KREDA,Fonds,104.48,104.48,104.48,104.48,0,0
20170412,OD-KREDA,Fonds,104.44,104.44,104.44,104.44,0,0
20170411,OD-KREDA,Fonds,104.44,104.44,104.44,104.44,0,0
20170410,OD-KREDA,Fonds,104.43,104.43,104.43,104.43,0,0
20170407,OD-KREDA,Fonds,104.38,104.38,104.38,104.38,0,0
20170406,OD-KREDA,Fonds,104.32,104.32,104.32,104.32,0,0
20170405,OD-KREDA,Fonds,104.35,104.35,104.35,104.35,0,0
20170404,OD-KREDA,Fonds,104.30,104.30,104.30,104.30,0,0
20170403,OD-KREDA,Fonds,104.30,104.30,104.30,104.30,0,0
20170331,OD-KREDA,Fonds,104.25,104.25,104.25,104.25,0,0
20170330,OD-KREDA,Fonds,104.22,104.22,104.22,104.22,0,0
20170329,OD-KREDA,Fonds,104.17,104.17,104.17,104.17,0,0
20170328,OD-KREDA,Fonds,104.09,104.09,104.09,104.09,0,0
20170327,OD-KREDA,Fonds,104.02,104.02,104.02,104.02,0,0
20170324,OD-KREDA,Fonds,104.05,104.05,104.05,104.05,0,0
