quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-KREDC,Fonds,133.67,133.67,133.67,133.67,0,0
20171108,OD-KREDC,Fonds,133.80,133.80,133.80,133.80,0,0
20171107,OD-KREDC,Fonds,133.93,133.93,133.93,133.93,0,0
20171106,OD-KREDC,Fonds,133.87,133.87,133.87,133.87,0,0
20171103,OD-KREDC,Fonds,133.79,133.79,133.79,133.79,0,0
20171102,OD-KREDC,Fonds,133.70,133.70,133.70,133.70,0,0
20171101,OD-KREDC,Fonds,133.72,133.72,133.72,133.72,0,0
20171031,OD-KREDC,Fonds,133.53,133.53,133.53,133.53,0,0
20171030,OD-KREDC,Fonds,133.30,133.30,133.30,133.30,0,0
20171027,OD-KREDC,Fonds,133.12,133.12,133.12,133.12,0,0
20171026,OD-KREDC,Fonds,132.92,132.92,132.92,132.92,0,0
20171025,OD-KREDC,Fonds,132.82,132.82,132.82,132.82,0,0
20171024,OD-KREDC,Fonds,132.81,132.81,132.81,132.81,0,0
20171023,OD-KREDC,Fonds,132.79,132.79,132.79,132.79,0,0
20171020,OD-KREDC,Fonds,132.67,132.67,132.67,132.67,0,0
20171019,OD-KREDC,Fonds,132.64,132.64,132.64,132.64,0,0
20171018,OD-KREDC,Fonds,132.63,132.63,132.63,132.63,0,0
20171017,OD-KREDC,Fonds,132.56,132.56,132.56,132.56,0,0
20171016,OD-KREDC,Fonds,132.42,132.42,132.42,132.42,0,0
20171013,OD-KREDC,Fonds,132.29,132.29,132.29,132.29,0,0
20171012,OD-KREDC,Fonds,132.16,132.16,132.16,132.16,0,0
20171011,OD-KREDC,Fonds,132.06,132.06,132.06,132.06,0,0
20171010,OD-KREDC,Fonds,131.96,131.96,131.96,131.96,0,0
20171009,OD-KREDC,Fonds,131.92,131.92,131.92,131.92,0,0
20171006,OD-KREDC,Fonds,131.88,131.88,131.88,131.88,0,0
20171005,OD-KREDC,Fonds,131.83,131.83,131.83,131.83,0,0
20171004,OD-KREDC,Fonds,131.74,131.74,131.74,131.74,0,0
20171003,OD-KREDC,Fonds,131.81,131.81,131.81,131.81,0,0
20171002,OD-KREDC,Fonds,131.75,131.75,131.75,131.75,0,0
20170929,OD-KREDC,Fonds,131.69,131.69,131.69,131.69,0,0
20170928,OD-KREDC,Fonds,131.61,131.61,131.61,131.61,0,0
20170927,OD-KREDC,Fonds,131.68,131.68,131.68,131.68,0,0
20170926,OD-KREDC,Fonds,131.64,131.64,131.64,131.64,0,0
20170925,OD-KREDC,Fonds,131.68,131.68,131.68,131.68,0,0
20170922,OD-KREDC,Fonds,131.68,131.68,131.68,131.68,0,0
20170921,OD-KREDC,Fonds,131.68,131.68,131.68,131.68,0,0
20170920,OD-KREDC,Fonds,131.73,131.73,131.73,131.73,0,0
20170919,OD-KREDC,Fonds,131.72,131.72,131.72,131.72,0,0
20170918,OD-KREDC,Fonds,131.71,131.71,131.71,131.71,0,0
20170915,OD-KREDC,Fonds,131.59,131.59,131.59,131.59,0,0
20170914,OD-KREDC,Fonds,131.61,131.61,131.61,131.61,0,0
20170913,OD-KREDC,Fonds,131.60,131.60,131.60,131.60,0,0
20170912,OD-KREDC,Fonds,131.57,131.57,131.57,131.57,0,0
20170911,OD-KREDC,Fonds,131.47,131.47,131.47,131.47,0,0
20170908,OD-KREDC,Fonds,131.20,131.20,131.20,131.20,0,0
20170907,OD-KREDC,Fonds,131.24,131.24,131.24,131.24,0,0
20170906,OD-KREDC,Fonds,131.18,131.18,131.18,131.18,0,0
20170905,OD-KREDC,Fonds,131.17,131.17,131.17,131.17,0,0
20170904,OD-KREDC,Fonds,131.23,131.23,131.23,131.23,0,0
20170901,OD-KREDC,Fonds,131.23,131.23,131.23,131.23,0,0
20170831,OD-KREDC,Fonds,131.17,131.17,131.17,131.17,0,0
20170830,OD-KREDC,Fonds,131.03,131.03,131.03,131.03,0,0
20170829,OD-KREDC,Fonds,130.94,130.94,130.94,130.94,0,0
20170828,OD-KREDC,Fonds,131.08,131.08,131.08,131.08,0,0
20170825,OD-KREDC,Fonds,130.99,130.99,130.99,130.99,0,0
20170824,OD-KREDC,Fonds,130.94,130.94,130.94,130.94,0,0
20170823,OD-KREDC,Fonds,130.89,130.89,130.89,130.89,0,0
20170822,OD-KREDC,Fonds,130.91,130.91,130.91,130.91,0,0
20170821,OD-KREDC,Fonds,130.97,130.97,130.97,130.97,0,0
20170818,OD-KREDC,Fonds,131.05,131.05,131.05,131.05,0,0
20170817,OD-KREDC,Fonds,131.19,131.19,131.19,131.19,0,0
20170816,OD-KREDC,Fonds,131.19,131.19,131.19,131.19,0,0
20170815,OD-KREDC,Fonds,131.09,131.09,131.09,131.09,0,0
20170814,OD-KREDC,Fonds,130.91,130.91,130.91,130.91,0,0
20170811,OD-KREDC,Fonds,130.62,130.62,130.62,130.62,0,0
20170810,OD-KREDC,Fonds,130.84,130.84,130.84,130.84,0,0
20170809,OD-KREDC,Fonds,130.92,130.92,130.92,130.92,0,0
20170808,OD-KREDC,Fonds,131.23,131.23,131.23,131.23,0,0
20170807,OD-KREDC,Fonds,131.51,131.51,131.51,131.51,0,0
20170804,OD-KREDC,Fonds,131.44,131.44,131.44,131.44,0,0
20170803,OD-KREDC,Fonds,131.46,131.46,131.46,131.46,0,0
20170802,OD-KREDC,Fonds,131.36,131.36,131.36,131.36,0,0
20170801,OD-KREDC,Fonds,131.25,131.25,131.25,131.25,0,0
20170731,OD-KREDC,Fonds,131.04,131.04,131.04,131.04,0,0
20170728,OD-KREDC,Fonds,130.90,130.90,130.90,130.90,0,0
20170727,OD-KREDC,Fonds,130.77,130.77,130.77,130.77,0,0
20170726,OD-KREDC,Fonds,130.58,130.58,130.58,130.58,0,0
20170725,OD-KREDC,Fonds,130.47,130.47,130.47,130.47,0,0
20170724,OD-KREDC,Fonds,130.44,130.44,130.44,130.44,0,0
20170721,OD-KREDC,Fonds,130.38,130.38,130.38,130.38,0,0
20170720,OD-KREDC,Fonds,130.25,130.25,130.25,130.25,0,0
20170719,OD-KREDC,Fonds,130.12,130.12,130.12,130.12,0,0
20170718,OD-KREDC,Fonds,130.08,130.08,130.08,130.08,0,0
20170717,OD-KREDC,Fonds,130.00,130.00,130.00,130.00,0,0
20170714,OD-KREDC,Fonds,129.90,129.90,129.90,129.90,0,0
