quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-NORDA,Fonds,114.87,114.87,114.87,114.87,0,0
20171108,OD-NORDA,Fonds,116.39,116.39,116.39,116.39,0,0
20171107,OD-NORDA,Fonds,117.04,117.04,117.04,117.04,0,0
20171106,OD-NORDA,Fonds,117.54,117.54,117.54,117.54,0,0
20171103,OD-NORDA,Fonds,117.83,117.83,117.83,117.83,0,0
20171102,OD-NORDA,Fonds,117.24,117.24,117.24,117.24,0,0
20171101,OD-NORDA,Fonds,117.43,117.43,117.43,117.43,0,0
20171031,OD-NORDA,Fonds,117.87,117.87,117.87,117.87,0,0
20171030,OD-NORDA,Fonds,117.47,117.47,117.47,117.47,0,0
20171027,OD-NORDA,Fonds,117.74,117.74,117.74,117.74,0,0
20171026,OD-NORDA,Fonds,117.35,117.35,117.35,117.35,0,0
20171025,OD-NORDA,Fonds,116.18,116.18,116.18,116.18,0,0
20171024,OD-NORDA,Fonds,115.57,115.57,115.57,115.57,0,0
20171023,OD-NORDA,Fonds,116.12,116.12,116.12,116.12,0,0
20171020,OD-NORDA,Fonds,116.35,116.35,116.35,116.35,0,0
20171019,OD-NORDA,Fonds,115.37,115.37,115.37,115.37,0,0
20171018,OD-NORDA,Fonds,115.36,115.36,115.36,115.36,0,0
20171017,OD-NORDA,Fonds,114.90,114.90,114.90,114.90,0,0
20171016,OD-NORDA,Fonds,114.97,114.97,114.97,114.97,0,0
20171013,OD-NORDA,Fonds,114.83,114.83,114.83,114.83,0,0
20171012,OD-NORDA,Fonds,115.19,115.19,115.19,115.19,0,0
20171011,OD-NORDA,Fonds,115.67,115.67,115.67,115.67,0,0
20171010,OD-NORDA,Fonds,115.58,115.58,115.58,115.58,0,0
20171009,OD-NORDA,Fonds,115.52,115.52,115.52,115.52,0,0
20171006,OD-NORDA,Fonds,115.27,115.27,115.27,115.27,0,0
20171005,OD-NORDA,Fonds,115.25,115.25,115.25,115.25,0,0
20171004,OD-NORDA,Fonds,114.65,114.65,114.65,114.65,0,0
20171003,OD-NORDA,Fonds,114.85,114.85,114.85,114.85,0,0
20171002,OD-NORDA,Fonds,114.25,114.25,114.25,114.25,0,0
20170929,OD-NORDA,Fonds,113.62,113.62,113.62,113.62,0,0
20170928,OD-NORDA,Fonds,113.26,113.26,113.26,113.26,0,0
20170927,OD-NORDA,Fonds,112.86,112.86,112.86,112.86,0,0
20170926,OD-NORDA,Fonds,111.89,111.89,111.89,111.89,0,0
20170925,OD-NORDA,Fonds,112.15,112.15,112.15,112.15,0,0
20170922,OD-NORDA,Fonds,112.24,112.24,112.24,112.24,0,0
20170921,OD-NORDA,Fonds,112.11,112.11,112.11,112.11,0,0
20170920,OD-NORDA,Fonds,111.97,111.97,111.97,111.97,0,0
20170919,OD-NORDA,Fonds,111.68,111.68,111.68,111.68,0,0
20170918,OD-NORDA,Fonds,111.80,111.80,111.80,111.80,0,0
20170915,OD-NORDA,Fonds,111.45,111.45,111.45,111.45,0,0
20170914,OD-NORDA,Fonds,112.06,112.06,112.06,112.06,0,0
20170913,OD-NORDA,Fonds,111.22,111.22,111.22,111.22,0,0
20170912,OD-NORDA,Fonds,110.83,110.83,110.83,110.83,0,0
20170911,OD-NORDA,Fonds,110.34,110.34,110.34,110.34,0,0
20170908,OD-NORDA,Fonds,108.58,108.58,108.58,108.58,0,0
