quote_date,paper,exch,open,high,low,close,volume,value
20171121,OD-NORDD,Fonds,115.62,115.62,115.62,115.62,0,0
20171120,OD-NORDD,Fonds,115.59,115.59,115.59,115.59,0,0
20171117,OD-NORDD,Fonds,115.03,115.03,115.03,115.03,0,0
20171116,OD-NORDD,Fonds,115.42,115.42,115.42,115.42,0,0
20171115,OD-NORDD,Fonds,114.33,114.33,114.33,114.33,0,0
20171114,OD-NORDD,Fonds,114.55,114.55,114.55,114.55,0,0
20171113,OD-NORDD,Fonds,114.01,114.01,114.01,114.01,0,0
20171110,OD-NORDD,Fonds,114.27,114.27,114.27,114.27,0,0
20171109,OD-NORDD,Fonds,114.53,114.53,114.53,114.53,0,0
20171108,OD-NORDD,Fonds,116.05,116.05,116.05,116.05,0,0
20171107,OD-NORDD,Fonds,116.70,116.70,116.70,116.70,0,0
20171106,OD-NORDD,Fonds,117.20,117.20,117.20,117.20,0,0
20171103,OD-NORDD,Fonds,117.49,117.49,117.49,117.49,0,0
20171102,OD-NORDD,Fonds,116.90,116.90,116.90,116.90,0,0
20171101,OD-NORDD,Fonds,117.09,117.09,117.09,117.09,0,0
20171031,OD-NORDD,Fonds,117.53,117.53,117.53,117.53,0,0
20171030,OD-NORDD,Fonds,117.13,117.13,117.13,117.13,0,0
20171027,OD-NORDD,Fonds,117.41,117.41,117.41,117.41,0,0
20171026,OD-NORDD,Fonds,117.01,117.01,117.01,117.01,0,0
20171025,OD-NORDD,Fonds,115.85,115.85,115.85,115.85,0,0
20171024,OD-NORDD,Fonds,115.24,115.24,115.24,115.24,0,0
20171023,OD-NORDD,Fonds,115.79,115.79,115.79,115.79,0,0
20171020,OD-NORDD,Fonds,116.03,116.03,116.03,116.03,0,0
20171019,OD-NORDD,Fonds,115.04,115.04,115.04,115.04,0,0
20171018,OD-NORDD,Fonds,115.04,115.04,115.04,115.04,0,0
20171017,OD-NORDD,Fonds,114.57,114.57,114.57,114.57,0,0
20171016,OD-NORDD,Fonds,114.65,114.65,114.65,114.65,0,0
20171013,OD-NORDD,Fonds,114.51,114.51,114.51,114.51,0,0
20171012,OD-NORDD,Fonds,114.87,114.87,114.87,114.87,0,0
20171011,OD-NORDD,Fonds,115.35,115.35,115.35,115.35,0,0
20171010,OD-NORDD,Fonds,115.26,115.26,115.26,115.26,0,0
20171009,OD-NORDD,Fonds,115.20,115.20,115.20,115.20,0,0
20171006,OD-NORDD,Fonds,114.96,114.96,114.96,114.96,0,0
20171005,OD-NORDD,Fonds,114.94,114.94,114.94,114.94,0,0
20171004,OD-NORDD,Fonds,114.34,114.34,114.34,114.34,0,0
20171003,OD-NORDD,Fonds,114.54,114.54,114.54,114.54,0,0
20171002,OD-NORDD,Fonds,113.95,113.95,113.95,113.95,0,0
20170929,OD-NORDD,Fonds,113.32,113.32,113.32,113.32,0,0
20170928,OD-NORDD,Fonds,112.96,112.96,112.96,112.96,0,0
20170927,OD-NORDD,Fonds,112.56,112.56,112.56,112.56,0,0
20170926,OD-NORDD,Fonds,111.59,111.59,111.59,111.59,0,0
