quote_date,paper,exch,open,high,low,close,volume,value
20171109,OD-NORGA,Fonds,135.68,135.68,135.68,135.68,0,0
20171108,OD-NORGA,Fonds,137.91,137.91,137.91,137.91,0,0
20171107,OD-NORGA,Fonds,137.70,137.70,137.70,137.70,0,0
20171106,OD-NORGA,Fonds,137.96,137.96,137.96,137.96,0,0
20171103,OD-NORGA,Fonds,137.87,137.87,137.87,137.87,0,0
20171102,OD-NORGA,Fonds,136.70,136.70,136.70,136.70,0,0
20171101,OD-NORGA,Fonds,137.81,137.81,137.81,137.81,0,0
20171031,OD-NORGA,Fonds,136.50,136.50,136.50,136.50,0,0
20171030,OD-NORGA,Fonds,136.52,136.52,136.52,136.52,0,0
20171027,OD-NORGA,Fonds,135.45,135.45,135.45,135.45,0,0
20171026,OD-NORGA,Fonds,134.69,134.69,134.69,134.69,0,0
20171025,OD-NORGA,Fonds,134.61,134.61,134.61,134.61,0,0
20171024,OD-NORGA,Fonds,133.58,133.58,133.58,133.58,0,0
20171023,OD-NORGA,Fonds,134.56,134.56,134.56,134.56,0,0
20171020,OD-NORGA,Fonds,135.80,135.80,135.80,135.80,0,0
20171019,OD-NORGA,Fonds,134.70,134.70,134.70,134.70,0,0
20171018,OD-NORGA,Fonds,134.72,134.72,134.72,134.72,0,0
20171017,OD-NORGA,Fonds,135.24,135.24,135.24,135.24,0,0
20171016,OD-NORGA,Fonds,135.33,135.33,135.33,135.33,0,0
20171013,OD-NORGA,Fonds,135.57,135.57,135.57,135.57,0,0
20171012,OD-NORGA,Fonds,135.40,135.40,135.40,135.40,0,0
20171011,OD-NORGA,Fonds,135.19,135.19,135.19,135.19,0,0
20171010,OD-NORGA,Fonds,135.00,135.00,135.00,135.00,0,0
20171009,OD-NORGA,Fonds,134.89,134.89,134.89,134.89,0,0
20171006,OD-NORGA,Fonds,134.64,134.64,134.64,134.64,0,0
20171005,OD-NORGA,Fonds,134.90,134.90,134.90,134.90,0,0
20171004,OD-NORGA,Fonds,133.96,133.96,133.96,133.96,0,0
20171003,OD-NORGA,Fonds,134.46,134.46,134.46,134.46,0,0
20171002,OD-NORGA,Fonds,133.88,133.88,133.88,133.88,0,0
20170929,OD-NORGA,Fonds,133.54,133.54,133.54,133.54,0,0
20170928,OD-NORGA,Fonds,133.51,133.51,133.51,133.51,0,0
20170927,OD-NORGA,Fonds,132.95,132.95,132.95,132.95,0,0
20170926,OD-NORGA,Fonds,132.30,132.30,132.30,132.30,0,0
20170925,OD-NORGA,Fonds,132.97,132.97,132.97,132.97,0,0
20170922,OD-NORGA,Fonds,132.20,132.20,132.20,132.20,0,0
20170921,OD-NORGA,Fonds,132.07,132.07,132.07,132.07,0,0
20170920,OD-NORGA,Fonds,131.26,131.26,131.26,131.26,0,0
20170919,OD-NORGA,Fonds,131.13,131.13,131.13,131.13,0,0
20170918,OD-NORGA,Fonds,130.84,130.84,130.84,130.84,0,0
20170915,OD-NORGA,Fonds,130.20,130.20,130.20,130.20,0,0
20170914,OD-NORGA,Fonds,130.71,130.71,130.71,130.71,0,0
20170913,OD-NORGA,Fonds,130.86,130.86,130.86,130.86,0,0
20170912,OD-NORGA,Fonds,130.48,130.48,130.48,130.48,0,0
20170911,OD-NORGA,Fonds,129.62,129.62,129.62,129.62,0,0
20170908,OD-NORGA,Fonds,128.79,128.79,128.79,128.79,0,0
20170907,OD-NORGA,Fonds,129.14,129.14,129.14,129.14,0,0
20170906,OD-NORGA,Fonds,129.01,129.01,129.01,129.01,0,0
20170905,OD-NORGA,Fonds,129.23,129.23,129.23,129.23,0,0
20170904,OD-NORGA,Fonds,129.04,129.04,129.04,129.04,0,0
20170901,OD-NORGA,Fonds,129.14,129.14,129.14,129.14,0,0
20170831,OD-NORGA,Fonds,127.87,127.87,127.87,127.87,0,0
20170830,OD-NORGA,Fonds,126.80,126.80,126.80,126.80,0,0
20170829,OD-NORGA,Fonds,125.76,125.76,125.76,125.76,0,0
20170828,OD-NORGA,Fonds,126.49,126.49,126.49,126.49,0,0
20170825,OD-NORGA,Fonds,126.92,126.92,126.92,126.92,0,0
20170824,OD-NORGA,Fonds,126.99,126.99,126.99,126.99,0,0
20170823,OD-NORGA,Fonds,126.87,126.87,126.87,126.87,0,0
20170822,OD-NORGA,Fonds,126.75,126.75,126.75,126.75,0,0
20170821,OD-NORGA,Fonds,126.26,126.26,126.26,126.26,0,0
20170818,OD-NORGA,Fonds,126.53,126.53,126.53,126.53,0,0
20170817,OD-NORGA,Fonds,126.68,126.68,126.68,126.68,0,0
20170816,OD-NORGA,Fonds,127.95,127.95,127.95,127.95,0,0
20170815,OD-NORGA,Fonds,126.92,126.92,126.92,126.92,0,0
20170814,OD-NORGA,Fonds,127.66,127.66,127.66,127.66,0,0
20170811,OD-NORGA,Fonds,126.53,126.53,126.53,126.53,0,0
20170810,OD-NORGA,Fonds,127.53,127.53,127.53,127.53,0,0
20170809,OD-NORGA,Fonds,128.14,128.14,128.14,128.14,0,0
20170808,OD-NORGA,Fonds,128.47,128.47,128.47,128.47,0,0
20170807,OD-NORGA,Fonds,128.30,128.30,128.30,128.30,0,0
20170804,OD-NORGA,Fonds,127.90,127.90,127.90,127.90,0,0
20170803,OD-NORGA,Fonds,127.58,127.58,127.58,127.58,0,0
20170802,OD-NORGA,Fonds,127.53,127.53,127.53,127.53,0,0
20170801,OD-NORGA,Fonds,128.24,128.24,128.24,128.24,0,0
20170731,OD-NORGA,Fonds,127.63,127.63,127.63,127.63,0,0
20170728,OD-NORGA,Fonds,127.57,127.57,127.57,127.57,0,0
20170727,OD-NORGA,Fonds,127.31,127.31,127.31,127.31,0,0
20170726,OD-NORGA,Fonds,127.29,127.29,127.29,127.29,0,0
20170725,OD-NORGA,Fonds,126.32,126.32,126.32,126.32,0,0
20170724,OD-NORGA,Fonds,125.89,125.89,125.89,125.89,0,0
20170721,OD-NORGA,Fonds,126.44,126.44,126.44,126.44,0,0
20170720,OD-NORGA,Fonds,128.35,128.35,128.35,128.35,0,0
20170719,OD-NORGA,Fonds,127.38,127.38,127.38,127.38,0,0
20170718,OD-NORGA,Fonds,126.75,126.75,126.75,126.75,0,0
20170717,OD-NORGA,Fonds,127.93,127.93,127.93,127.93,0,0
20170714,OD-NORGA,Fonds,126.65,126.65,126.65,126.65,0,0
20170713,OD-NORGA,Fonds,127.22,127.22,127.22,127.22,0,0
20170712,OD-NORGA,Fonds,126.48,126.48,126.48,126.48,0,0
20170711,OD-NORGA,Fonds,124.66,124.66,124.66,124.66,0,0
20170710,OD-NORGA,Fonds,124.48,124.48,124.48,124.48,0,0
20170707,OD-NORGA,Fonds,123.64,123.64,123.64,123.64,0,0
20170706,OD-NORGA,Fonds,124.13,124.13,124.13,124.13,0,0
20170705,OD-NORGA,Fonds,124.44,124.44,124.44,124.44,0,0
20170704,OD-NORGA,Fonds,124.78,124.78,124.78,124.78,0,0
20170703,OD-NORGA,Fonds,124.45,124.45,124.45,124.45,0,0
20170630,OD-NORGA,Fonds,123.84,123.84,123.84,123.84,0,0
20170629,OD-NORGA,Fonds,123.07,123.07,123.07,123.07,0,0
20170628,OD-NORGA,Fonds,123.44,123.44,123.44,123.44,0,0
20170627,OD-NORGA,Fonds,122.67,122.67,122.67,122.67,0,0
20170626,OD-NORGA,Fonds,122.60,122.60,122.60,122.60,0,0
20170623,OD-NORGA,Fonds,122.79,122.79,122.79,122.79,0,0
20170622,OD-NORGA,Fonds,122.76,122.76,122.76,122.76,0,0
20170621,OD-NORGA,Fonds,123.08,123.08,123.08,123.08,0,0
20170620,OD-NORGA,Fonds,123.79,123.79,123.79,123.79,0,0
20170619,OD-NORGA,Fonds,124.23,124.23,124.23,124.23,0,0
20170616,OD-NORGA,Fonds,123.32,123.32,123.32,123.32,0,0
20170615,OD-NORGA,Fonds,122.66,122.66,122.66,122.66,0,0
20170614,OD-NORGA,Fonds,124.16,124.16,124.16,124.16,0,0
20170613,OD-NORGA,Fonds,123.34,123.34,123.34,123.34,0,0
20170612,OD-NORGA,Fonds,123.61,123.61,123.61,123.61,0,0
20170609,OD-NORGA,Fonds,122.83,122.83,122.83,122.83,0,0
20170608,OD-NORGA,Fonds,122.34,122.34,122.34,122.34,0,0
20170607,OD-NORGA,Fonds,122.76,122.76,122.76,122.76,0,0
20170606,OD-NORGA,Fonds,122.98,122.98,122.98,122.98,0,0
20170602,OD-NORGA,Fonds,123.34,123.34,123.34,123.34,0,0
20170601,OD-NORGA,Fonds,123.47,123.47,123.47,123.47,0,0
20170531,OD-NORGA,Fonds,123.24,123.24,123.24,123.24,0,0
20170530,OD-NORGA,Fonds,124.38,124.38,124.38,124.38,0,0
20170529,OD-NORGA,Fonds,124.03,124.03,124.03,124.03,0,0
20170526,OD-NORGA,Fonds,124.07,124.07,124.07,124.07,0,0
20170524,OD-NORGA,Fonds,125.01,125.01,125.01,125.01,0,0
20170523,OD-NORGA,Fonds,124.08,124.08,124.08,124.08,0,0
20170522,OD-NORGA,Fonds,124.53,124.53,124.53,124.53,0,0
20170519,OD-NORGA,Fonds,124.53,124.53,124.53,124.53,0,0
20170518,OD-NORGA,Fonds,122.86,122.86,122.86,122.86,0,0
20170516,OD-NORGA,Fonds,125.89,125.89,125.89,125.89,0,0
20170515,OD-NORGA,Fonds,125.38,125.38,125.38,125.38,0,0
